Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.27583584	0.14759818	0.675857	0.06209523	500.0	0.2219934	0.03133325	0.2879668	0.15062813	16000	-5.7742e-08	0.023120817	-0.006461436	-0.02032749	1.3564423	0.0058794837	0.0538125	127.0	28.9136323928833	0.0	0.0	0.0	0.0	0.0
1	0.640269	0.40167037	1.7623925	0.04538285	500.0	0.083958395	0.01588258	0.1356374	0.038326047	32000	1.1175871e-08	0.010692801	-0.0058994805	-0.0046505975	1.3564423	0.0062019015	0.048875004	127.0	52.21042227745056	0.0	0.0	0.0	0.0	0.0
2	1.0541949	0.6117486	2.817277	0.3426305	500.0	0.121220775	0.033335544	0.20575769	0.0058630016	48000	-1.1175871e-08	0.018222675	-0.009093905	-0.007051654	1.3564423	0.0068874797	0.08875	127.0	76.40913438796997	0.0	0.0	0.0	0.0	0.0
3	2.2528846	1.3892491	6.8669257	0.6584234	500.0	0.24435827	0.058555797	0.38526472	0.07660898	64000	-5.9604645e-08	0.111385405	-0.0071945386	-0.043604925	1.3564423	0.005894839	0.0714375	127.0	99.09009599685669	0.0	0.0	0.0	0.0	0.0
4	6.053095	4.490684	16.837492	0.54165864	500.0	0.48750475	0.06996197	0.7318579	0.2038464	80000	0.0	1.4096671	-0.006467509	-0.6295979	1.3564423	0.006530428	0.0569375	127.0	127.09444212913513	0.0	0.0	0.0	0.0	0.0
5	9.549214	5.368396	24.973736	1.1688315	500.0	1.2583504	0.18937548	1.8894559	0.45733517	96000	4.4703484e-08	2.3416214	-0.0057662185	-1.0234208	1.3564423	0.0053902315	0.047312498	127.0	153.39657354354858	0.0	0.03125	0.0	0.0	0.0
6	14.9512615	5.014996	27.714003	5.644939	500.0	2.281763	0.6415548	3.7041268	-0.022127546	112000	-3.7252903e-09	2.7870321	-0.0073091583	-1.4633678	1.3564423	0.006323542	0.063687496	127.0	180.97892713546753	0.0	0.0	0.0	0.0	0.0
7	15.235453	6.6589465	29.430613	4.9330435	500.0	3.5982695	1.0825883	5.241314	-0.16828088	128000	-4.0978193e-08	2.2041364	-0.0073224623	-0.28577685	1.3564423	0.005743304	0.071812496	127.0	204.07560229301453	0.0	0.0625	0.0	0.0	0.0
8	20.923489	11.646249	61.3472	5.704355	500.0	4.041794	1.2626599	6.060171	-0.36508867	144000	2.9802322e-08	7.244925	-0.0064580096	-1.2558382	1.3564423	0.0073980503	0.0695	127.0	229.8048391342163	0.0	0.1875	0.0	0.0	0.0
9	20.747702	4.812736	30.264801	8.33053	500.0	5.163629	1.5170852	7.0236945	-0.67411083	160000	-4.656613e-08	1.3806764	-0.0087386435	-0.100557424	1.3564423	0.006385113	0.069125004	127.0	254.97645568847656	0.0	0.09375	0.0	0.0	0.0
10	28.561924	8.563193	56.97953	19.591208	500.0	5.283545	1.4272038	6.9870534	-0.28216326	176000	-1.8626451e-08	5.6677895	-0.007850152	-1.6983553	1.3564423	0.0062438725	0.068312496	127.0	277.50055742263794	0.0	0.1875	0.0	0.0	0.0
11	25.408579	7.1579137	38.073124	12.242747	500.0	6.6718993	1.5506014	8.205929	0.48385277	192000	1.3038516e-08	3.3174167	-0.0068078307	-0.46845078	1.3564423	0.0058258437	0.050125	127.0	300.4025037288666	0.0	0.03125	0.0	0.0	0.0
12	27.680262	9.199056	60.78931	16.520529	500.0	6.2144513	1.1677709	7.473094	1.4371755	208000	-2.9802322e-08	4.595665	-0.0072592804	-0.17488459	1.3564423	0.00672299	0.056	127.0	325.33336091041565	0.0	0.125	0.0	0.0	0.0
13	31.854279	15.739049	85.54072	11.11776	500.0	6.4141164	1.1225817	7.7043624	1.7734523	224000	-7.450581e-09	13.16384	-0.0061345906	-1.2459052	1.3564423	0.006149251	0.0525625	127.0	358.70236825942993	0.0	0.21875	0.0	0.0	0.0
14	40.152435	24.480162	109.134544	16.20986	500.0	7.39272	1.4290789	9.050019	1.5966372	240000	0.0	30.779118	-0.007901914	-3.0085452	1.3564423	0.0067566456	0.0668125	127.0	393.43440771102905	0.0	0.46875	0.0	0.0	0.0
15	32.055706	15.400057	96.95314	14.988485	500.0	8.533254	1.4838982	10.601273	3.0059307	256000	-1.8626451e-08	11.435375	-0.007088922	-1.180803	1.3564423	0.0068426197	0.0583125	127.0	426.57239723205566	0.0	0.15625	0.0	0.0	0.0
16	37.007053	18.239735	94.31119	13.779622	500.0	7.78458	1.5445561	10.203124	2.1974168	272000	-1.4901161e-08	14.417372	-0.006630163	-1.3429542	1.3564423	0.0066939387	0.0641875	127.0	451.63174653053284	0.0	0.28125	0.0	0.0	0.0
17	29.702019	4.0704947	37.00048	19.075905	500.0	8.222356	1.5171623	10.496575	2.0087466	288000	3.7252903e-08	2.4161582	-0.0075216023	-1.4678459	1.3564423	0.0047393553	0.058999997	127.0	476.3665933609009	0.0	0.0625	0.0	0.0	0.0
18	32.297096	6.2546344	62.923134	24.786293	500.0	7.1489506	1.4364645	10.668186	1.6277977	304000	1.21071935e-08	2.0303197	-0.0075244554	-0.21278626	1.3564423	0.008310112	0.0564375	127.0	502.30917620658875	0.0	0.125	0.0	0.0	0.0
19	30.881557	2.62018	35.52325	24.832186	500.0	7.3400016	1.253103	9.842639	1.982954	320000	-2.0489097e-08	0.9056237	-0.007964189	-0.22243723	1.3564423	0.0074294955	0.0663125	127.0	529.19260430336	0.0	0.0625	0.0	0.0	0.0
