Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.16271275	0.1329364	0.56879175	0.026688533	500.0	0.10973109	0.023089478	0.19044742	0.067948356	16000	1.0803342e-07	0.006159857	-0.00701031	-0.0050839856	1.3564423	0.006123555	0.047937497	127.0	21.429585456848145	0.0	0.0	0.0	0.0	0.0
1	0.4073884	0.26600024	1.0946596	0.03380977	500.0	0.04920193	0.012908855	0.09809341	0.019122355	32000	1.8626451e-09	0.003448355	-0.0069133583	-0.0017945124	1.3564423	0.0068150694	0.061375	127.0	41.73858451843262	0.0	0.0	0.0	0.0	0.0
2	0.6839311	0.351517	1.4855539	0.11354564	500.0	0.092045546	0.017656906	0.13804126	0.013416549	48000	-1.4901161e-08	0.004898872	-0.008891371	-0.0026289364	1.3564423	0.0054999623	0.07075	127.0	60.25803518295288	0.0	0.0	0.0	0.0	0.0
3	1.4340624	0.7375476	3.2997882	0.44299084	500.0	0.16848865	0.035647094	0.243212	0.051255442	64000	2.2351742e-08	0.038907416	-0.0075339824	-0.019917505	1.3564423	0.00648831	0.0764375	127.0	80.46871972084045	0.0	0.0	0.0	0.0	0.0
4	2.7755327	1.666472	7.1161733	0.70625186	500.0	0.34585983	0.08070086	0.55525744	0.08683175	80000	-3.5390258e-08	0.23992598	-0.005747156	-0.12243767	1.3564423	0.0053062886	0.057125	127.0	100.09916353225708	0.0	0.0	0.0	0.0	0.0
5	4.401237	2.4580936	10.924899	1.4194365	500.0	0.68068886	0.2887391	1.3643932	-0.041117027	96000	4.4703484e-08	0.47681004	-0.0070591066	-0.21288428	1.3564423	0.00715746	0.078687504	127.0	122.30125188827515	0.0	0.0	0.0	0.0	0.0
6	8.444893	5.8907304	22.833168	0.9387879	500.0	1.2558985	0.5969419	2.6413805	0.011570159	112000	3.7252903e-09	2.4222429	-0.0063387793	-1.1216288	1.3564423	0.0065738205	0.06575	127.0	145.78288626670837	0.0	0.0625	0.0	0.0	0.0
7	11.345865	4.818209	21.327541	1.3069015	500.0	2.1495545	1.2418294	4.8221135	-0.18284991	128000	-1.8626451e-09	1.7616472	-0.0076905703	-0.7964962	1.3564423	0.007380081	0.0808125	127.0	166.27306294441223	0.0	0.0	0.0	0.0	0.0
8	14.817382	6.0579176	31.140808	4.1116657	500.0	3.433735	1.7590759	6.2228465	-0.19051671	144000	1.4901161e-08	2.9714131	-0.006674515	-0.49990436	1.3564423	0.003918644	0.06925	127.0	185.32450985908508	0.0	0.125	0.0	0.0	0.0
9	12.460231	6.2860293	27.61511	3.0385642	500.0	3.8658848	1.7577524	6.277778	0.08706257	160000	7.450581e-09	1.8316317	-0.007127325	-0.2934887	1.3564423	0.0054941564	0.0581875	127.0	208.91871094703674	0.0	0.0	0.0	0.0	0.0
10	16.564457	9.18558	54.405327	4.8701696	500.0	3.5958145	1.8409003	6.240554	-0.16994056	176000	-2.2351742e-08	3.816296	-0.007777569	-0.6721169	1.3564423	0.0064730314	0.0699375	127.0	231.36543107032776	0.0	0.21875	0.0	0.0	0.0
11	23.662022	11.138216	66.8027	10.062772	500.0	5.1271772	2.0137696	7.471406	-0.37987113	192000	7.450581e-09	7.2863007	-0.0078229	-0.6539611	1.3564423	0.0073516397	0.0800625	127.0	251.1722559928894	0.0	0.1875	0.0	0.0	0.0
12	22.497616	7.876416	50.056877	10.679503	500.0	5.745816	1.9658136	7.8733406	0.34550247	208000	-1.8626451e-09	3.3818307	-0.0067242617	-0.12915546	1.3564423	0.0061976807	0.056	127.0	271.5473623275757	0.0	0.03125	0.0	0.0	0.0
13	21.958061	7.143399	36.842045	11.0089	500.0	5.8391943	1.8152834	7.6240797	0.27904752	224000	0.0	2.5361605	-0.00819163	-0.20994951	1.3564423	0.007218958	0.0609375	127.0	294.5953001976013	0.0	0.0	0.0	0.0	0.0
14	21.932007	8.55679	44.812584	12.264216	500.0	5.6167264	1.5459228	6.9900866	0.83975405	240000	1.6763806e-08	3.4970746	-0.005606558	-0.20203644	1.3564423	0.004449457	0.0450625	127.0	313.94773745536804	0.0	0.15625	0.0	0.0	0.0
15	26.241085	11.738651	62.746143	2.721661	500.0	5.3180137	1.2704082	6.783419	0.9030533	256000	0.0	6.3165674	-0.0075965784	-1.2909219	1.3564423	0.007845094	0.057875	127.0	338.8007073402405	0.0	0.125	0.0	0.0	0.0
16	24.598766	10.054661	52.197407	3.0668468	500.0	6.117075	1.7013581	8.049537	0.8805507	272000	-7.450581e-09	4.3695164	-0.007830418	-0.30299002	1.3564423	0.006767851	0.0599375	127.0	362.65956711769104	0.0	0.03125	0.0	0.0	0.0
17	29.302174	10.273214	57.076397	13.459003	500.0	5.9951434	1.5559713	7.8588066	0.52585185	288000	1.8626451e-08	6.07438	-0.0068758475	-0.709258	1.3564423	0.0069702547	0.058125	127.0	383.78990602493286	0.0	0.125	0.0	0.0	0.0
18	27.633564	7.9628944	38.827156	15.462006	500.0	6.4840803	1.3889208	7.951345	1.4598362	304000	-3.7252903e-09	2.020391	-0.007643597	-0.33947667	1.3564423	0.00685999	0.0555625	127.0	405.0773735046387	0.0	0.0	0.0	0.0	0.0
19	30.457382	9.936501	64.44169	16.635826	500.0	6.6550093	1.3548067	8.409081	1.6523658	320000	-2.2351742e-08	4.9314046	-0.0062803067	-0.24068587	1.3564423	0.0053082295	0.0598125	127.0	425.87082719802856	0.0	0.0625	0.0	0.0	0.0
