Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.16161558	0.1340353	0.59549177	0.026714597	500.0	0.11078136	0.022990685	0.19520004	0.06904042	16000	1.2665987e-07	0.006235233	-0.0070964433	-0.005146184	1.3564423	0.00602091	0.048125	127.0	25.014197826385498	0.0	0.0	0.0	0.0	0.0
1	0.38655528	0.24599421	1.0476438	0.03469505	500.0	0.04994134	0.014401062	0.10024858	0.017699959	32000	7.450581e-09	0.0028993497	-0.0072999736	-0.0014595562	1.3564423	0.0070127454	0.0638125	127.0	44.81568241119385	0.0	0.0	0.0	0.0	0.0
2	0.6123567	0.31458867	1.289656	0.1204547	500.0	0.08725369	0.01656547	0.13036466	0.017856754	48000	7.450581e-09	0.0036207065	-0.009329554	-0.0017570131	1.3564423	0.005812336	0.0735	127.0	65.79501438140869	0.0	0.0	0.0	0.0	0.0
3	1.2379172	0.62813973	3.048504	0.41189227	500.0	0.15211557	0.033580653	0.24062853	0.047309905	64000	7.450581e-09	0.024621204	-0.0075241136	-0.011718307	1.3564423	0.0065218704	0.077625	127.0	87.89234924316406	0.0	0.0	0.0	0.0	0.0
4	2.6506042	1.6232752	7.170114	0.47561315	500.0	0.30082294	0.065523684	0.49128628	0.09719086	80000	-1.4901161e-08	0.23211856	-0.0051952526	-0.11416805	1.3564423	0.0049621044	0.0495	127.0	109.78531813621521	0.0	0.0	0.0	0.0	0.0
5	4.0403113	2.1494055	9.781637	1.2608628	500.0	0.60411304	0.23221862	1.1928025	-0.015286101	96000	-2.4214387e-08	0.37966385	-0.007073761	-0.18925388	1.3564423	0.00652948	0.067562506	127.0	139.9613950252533	0.0	0.0	0.0	0.0	0.0
6	7.8031235	5.041469	20.92658	1.1058738	500.0	1.1031119	0.5204989	2.3137167	-0.056528047	112000	1.6763806e-08	1.9007902	-0.0059974897	-0.92405623	1.3564423	0.006643239	0.061125	127.0	171.07044959068298	0.0	0.0	0.0	0.0	0.0
7	11.367319	4.745215	22.138292	1.6429096	500.0	1.8977237	1.1222558	4.2829556	-0.2270981	128000	9.313226e-10	2.1238732	-0.0066696806	-1.1337488	1.3564423	0.0072852634	0.0709375	127.0	202.9056215286255	0.0	0.0	0.0	0.0	0.0
8	14.84188	5.278362	25.563974	2.9252725	500.0	3.303252	1.6915209	5.9520574	-0.19074059	144000	1.8626451e-08	2.1689692	-0.0071014557	-0.4269489	1.3564423	0.0040872744	0.064687505	127.0	224.47894716262817	0.0	0.09375	0.0	0.0	0.0
9	16.052542	7.0386715	37.332516	4.1421375	500.0	4.021414	1.8529135	6.45171	-0.17695576	160000	-2.2351742e-08	2.4400241	-0.00791722	-0.119676664	1.3564423	0.0068031233	0.070437506	127.0	245.15010142326355	0.0	0.09375	0.0	0.0	0.0
10	20.715988	7.3780775	43.739746	10.78622	500.0	4.4410005	1.8882375	6.8317184	-0.03591516	176000	-4.4703484e-08	3.4739003	-0.0071389033	-0.5914508	1.3564423	0.005763606	0.067	127.0	266.04039907455444	0.0	0.09375	0.0	0.0	0.0
11	24.569397	8.866178	49.03953	13.533101	500.0	5.668702	1.8484566	7.5614233	0.09617548	192000	-1.4901161e-08	4.1543837	-0.00810944	-0.42635176	1.3564423	0.006486845	0.07	127.0	289.0545687675476	0.0	0.09375	0.0	0.0	0.0
12	26.597656	10.469566	56.262775	12.508268	500.0	6.0195994	1.8328456	8.162812	0.5104295	208000	-1.6763806e-08	6.0893955	-0.0061634216	-0.3739093	1.3564423	0.006743788	0.066062495	127.0	312.9579198360443	0.0	0.125	0.0	0.0	0.0
13	23.948296	9.934133	53.951233	11.15403	500.0	6.5429864	1.9339677	8.816304	0.63250655	224000	-3.7252903e-09	6.137476	-0.0070810546	-0.86812973	1.3564423	0.0062040575	0.05925	127.0	338.03610134124756	0.0	0.09375	0.0	0.0	0.0
14	21.794865	10.954961	54.854374	12.811803	500.0	6.0362663	1.5993029	8.327086	1.0366488	240000	-4.656613e-09	5.7812433	-0.005493363	-1.4030416	1.3564423	0.005268192	0.0460625	127.0	359.85973072052	0.0	0.125	0.0	0.0	0.0
