Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.13843365	0.13033421	0.58526534	0.027493661	500.0	0.11129047	0.022233635	0.19520004	0.069151446	16000	1.1175871e-08	0.006640166	-0.0074758846	-0.0055572237	1.3564423	0.0053292373	0.0514375	127.0	27.50091552734375	0.0	0.0	0.0	0.0	0.0
1	0.37414044	0.2684418	0.8829944	0.059188414	500.0	0.050294336	0.018419933	0.09873799	0.008993356	32000	1.8626451e-08	0.0032290993	-0.0072371913	-0.0014789535	1.3564423	0.00534437	0.0551875	127.0	46.31589150428772	0.0	0.0	0.0	0.0	0.0
2	0.7468498	0.44910485	1.695206	0.092914954	500.0	0.08807866	0.019994626	0.13959806	0.018650133	48000	1.4901161e-08	0.009337732	-0.008944096	-0.0046255337	1.3564423	0.005448397	0.07825	127.0	70.32407069206238	0.0	0.0	0.0	0.0	0.0
3	1.0886309	0.64729464	3.687599	0.32254478	500.0	0.16727817	0.025598751	0.23546803	0.060538802	64000	1.4901161e-08	0.02528226	-0.0066281813	-0.010242265	1.3564423	0.006680475	0.0843125	127.0	92.09159088134766	0.0	0.0	0.0	0.0	0.0
4	1.133611	0.31396636	1.8306156	0.5239689	500.0	0.22398032	0.035865188	0.36945382	0.06805306	80000	-7.450581e-09	0.003809705	-0.012150161	-0.0009475328	1.3564423	0.006922041	0.099999994	127.0	113.73850774765015	0.0	0.0	0.0	0.0	0.0
5	2.3386269	3.302546	14.653345	0.7320473	500.0	0.27777067	0.08661517	0.7139273	0.09398382	96000	7.450581e-09	0.5082736	-0.0036674533	-0.30634895	1.3564423	0.0034717356	0.023937501	127.0	134.1403431892395	0.0	0.0	0.0	0.0	0.0
6	2.5568552	2.8739836	10.771121	0.6713501	500.0	0.65458024	0.69677645	3.0632298	-0.36667374	112000	1.1175871e-08	0.18725923	-0.007300417	-0.034570035	1.3564423	0.0072585233	0.087125	127.0	155.89997339248657	0.0	0.0	0.0	0.0	0.0
7	4.82194	5.0851197	17.916254	0.6307891	500.0	1.3905855	1.0598178	3.6655836	-0.31594303	128000	-3.7252903e-09	0.6383921	-0.006448606	-0.17103812	1.3564423	0.006165927	0.0810625	127.0	177.94006085395813	0.0	0.0	0.0	0.0	0.0
8	5.5621157	4.4831595	17.292677	0.7254325	500.0	1.7252059	1.2574201	5.4679203	-0.5826949	144000	0.0	0.63348335	-0.008677667	-0.14664473	1.3564423	0.0068152063	0.065375	127.0	199.54557299613953	0.0	0.0	0.0	0.0	0.0
9	11.257111	6.4116635	25.298677	0.43600896	500.0	2.0593119	1.4443728	6.0271697	-0.75759447	160000	0.0	1.97349	-0.010691813	-0.9684322	1.3564423	0.008478809	0.10125	127.0	220.4738585948944	0.0	0.03125	0.0	0.0	0.0
10	10.524672	9.872487	54.412735	0.4548648	500.0	2.8182042	1.9934262	7.1544676	-0.5919471	176000	0.0	2.8823252	-0.0053504696	-0.2744327	1.3564423	0.006654429	0.054875	127.0	242.31285762786865	0.0	0.0625	0.0	0.0	0.0
11	7.4130936	7.2300253	21.23991	0.6819592	500.0	2.331658	1.9685887	7.2303524	-0.8188282	192000	9.313226e-09	1.1817627	-0.007713474	-0.26734772	1.3564423	0.0077498057	0.07700001	127.0	266.3321807384491	0.0	0.0	0.0	0.0	0.0
12	11.83248	13.201883	78.76632	0.6037353	500.0	3.1282125	2.0137365	6.475557	-0.9088119	208000	2.2351742e-08	7.004601	-0.004488529	-0.44171083	1.3564423	0.0046582604	0.0423125	127.0	289.64879083633423	0.0	0.0625	0.0	0.0	0.0
13	13.458769	5.367922	21.438934	0.9618794	500.0	3.854668	1.8823746	6.8968487	-1.2240992	224000	-7.450581e-09	2.097683	-0.0066909073	-0.59015983	1.3564423	0.0076084263	0.057375	127.0	313.10034918785095	0.0	0.0	0.0	0.0	0.0
14	12.611534	4.639909	26.07033	4.0302644	500.0	3.8936832	1.3095202	5.772571	-0.32051963	240000	2.2351742e-08	2.066592	-0.0086549055	-0.8259704	1.3564423	0.0065061385	0.0705625	127.0	333.09747433662415	0.0	0.0	0.0	0.0	0.0
15	14.248551	3.101232	20.120876	9.157206	500.0	3.2772505	1.016334	4.913992	-0.12496962	256000	-1.9557774e-08	1.4996995	-0.007048563	-0.23549525	1.3564423	0.0062290216	0.0636875	127.0	356.014023065567	0.0	0.125	0.0	0.0	0.0
16	16.693502	4.758033	26.078688	8.646052	500.0	3.5272863	0.90209484	5.0909767	-0.28093386	272000	7.450581e-09	1.7807275	-0.0063618864	-0.3637935	1.3564423	0.0055238553	0.049187496	127.0	381.07609605789185	0.0	0.03125	0.0	0.0	0.0
