Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.1233826	0.7496372	2.8493679	0.24559504	500.0	0.04337194	0.013920217	0.10893378	-0.036925703	16000	-5.029142e-08	0.04993923	-0.005745242	-0.025946205	1.3564423	0.0073968107	0.047875	127.0	25.355798482894897	0.0	0.0	0.0	0.0	0.0
1	1.9124831	1.268576	4.6770716	0.32506183	500.0	0.17887253	0.06364387	0.3343872	-0.04930741	32000	1.1175871e-08	0.08730322	-0.006507147	-0.03171026	1.3564423	0.0057502235	0.058312498	127.0	46.96375751495361	0.0	0.0	0.0	0.0	0.0
2	3.6764026	2.6870437	12.487919	0.6537227	500.0	0.37155527	0.11629131	0.65352255	-0.037207913	48000	-2.9802322e-08	0.3970905	-0.0070316107	-0.12754935	1.3564423	0.0063410136	0.0726875	127.0	69.44696855545044	0.0	0.0	0.0	0.0	0.0
3	8.132626	5.3143654	19.75546	0.95508057	500.0	0.80988747	0.18350114	1.3583221	0.093976796	64000	-1.4901161e-08	1.8932205	-0.007309664	-0.77748954	1.3564423	0.006298109	0.065625004	127.0	92.79865050315857	0.0	0.0	0.0	0.0	0.0
4	11.694422	5.649358	24.806896	1.7197224	500.0	1.8062947	0.27676034	2.5865405	0.7369628	80000	2.9802322e-08	2.3983583	-0.007962104	-0.87935364	1.3564423	0.00713569	0.0665	127.0	112.43986940383911	0.0	0.0	0.0	0.0	0.0
5	18.159504	5.0736947	29.98975	6.7442245	500.0	2.701104	0.43931273	3.8010235	0.8210354	96000	5.5879354e-09	3.8932953	-0.007829646	-2.0456	1.3564423	0.0035980952	0.055875003	127.0	135.93629908561707	0.0	0.0	0.0	0.0	0.0
6	20.921772	5.381489	35.89407	12.2367	500.0	4.1700616	0.8534405	5.822143	1.3135551	112000	3.7252903e-08	2.6721435	-0.008148445	-0.5657548	1.3564423	0.005311717	0.06075	127.0	158.38297152519226	0.0	0.0	0.0	0.0	0.0
7	23.07808	4.1704283	33.583847	13.656602	500.0	4.9215965	1.0079029	6.452186	1.4732152	128000	1.6763806e-08	2.1270618	-0.009193045	-0.33836922	1.3564423	0.007156993	0.079875	127.0	180.46995282173157	0.0	0.0	0.0	0.0	0.0
8	22.584047	5.1981387	35.05803	13.778899	500.0	5.7214394	1.1107478	7.005309	1.4304036	144000	7.450581e-09	2.4167943	-0.008366117	-0.33043033	1.3564423	0.0056992793	0.0648125	127.0	205.05116248130798	0.0	0.0	0.0	0.0	0.0
9	25.027245	4.7651696	39.79954	17.614117	500.0	5.422149	0.8306722	6.363631	1.9651062	160000	3.7252903e-09	1.9604869	-0.009069696	-0.12858075	1.3564423	0.0081455875	0.08025	127.0	229.32801246643066	0.0	0.0	0.0	0.0	0.0
10	26.017788	6.170467	44.88861	15.1817	500.0	5.776659	0.6789118	6.4774117	2.6010766	176000	3.7252903e-09	2.4369912	-0.0076076165	-0.12193057	1.3564423	0.005050566	0.059875	127.0	253.75605583190918	0.0	0.0	0.0	0.0	0.0
11	30.255142	8.681577	51.226562	19.498087	500.0	5.818033	0.40182877	6.24437	3.214173	192000	4.4703484e-08	4.9391704	-0.0073682843	-0.5933144	1.3564423	0.006011623	0.058	127.0	275.6611897945404	0.0	0.0	0.0	0.0	0.0
12	29.495144	8.010947	45.4469	19.643318	500.0	6.5553923	0.48239484	7.0194798	2.4853897	208000	-2.7939677e-08	3.279438	-0.008024501	-0.0353546	1.3564423	0.005542538	0.059437502	127.0	300.3897876739502	0.0	0.0	0.0	0.0	0.0
13	32.11103	7.753003	47.20052	21.923124	500.0	6.4744725	0.47631666	6.8922496	2.261718	224000	-1.1175871e-08	3.6164021	-0.008065011	-0.26547334	1.3564423	0.0064610103	0.058312498	127.0	326.76488637924194	0.0	0.0	0.0	0.0	0.0
14	33.6772	8.376641	48.83056	22.039722	500.0	6.9529896	0.5525471	7.4372354	2.2748516	240000	-3.7252903e-08	4.0169144	-0.0073168576	-0.1610063	1.3564423	0.006327267	0.057625003	127.0	350.67214822769165	0.0	0.0625	0.0	0.0	0.0
