Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.14245522	0.13458455	0.60615575	0.02794176	500.0	0.10763643	0.022559462	0.19040245	0.06360166	16000	-1.1175871e-07	0.0061439117	-0.0071336403	-0.0050254664	1.3564423	0.0055350754	0.053687498	127.0	23.545081615447998	0.0	0.0	0.0	0.0	0.0
1	0.40741143	0.2814253	0.95648116	0.061255977	500.0	0.048976485	0.01677097	0.091654316	0.010485103	32000	3.7252903e-08	0.0038306946	-0.0070609413	-0.0019038984	1.3564423	0.005003167	0.0549375	127.0	45.3402099609375	0.0	0.0	0.0	0.0	0.0
2	0.8139529	0.4964856	2.002902	0.09525503	500.0	0.0945441	0.020429973	0.14980838	0.02131091	48000	1.4901161e-08	0.01223978	-0.008555578	-0.0060111163	1.3564423	0.005632557	0.0773125	127.0	67.96272158622742	0.0	0.0	0.0	0.0	0.0
3	1.0331815	0.5105683	2.9425976	0.30238745	500.0	0.17917535	0.03018056	0.2658671	0.06947439	64000	1.6763806e-08	0.012268411	-0.00743425	-0.005010206	1.3564423	0.005847775	0.08437501	127.0	89.76306104660034	0.0	0.0	0.0	0.0	0.0
4	1.1822319	0.3415059	2.0163248	0.64542395	500.0	0.22128323	0.034671262	0.31115443	0.08641918	80000	0.0	0.0044094133	-0.012651677	-0.0013745616	1.3564423	0.0075702136	0.102	127.0	111.5486512184143	0.0	0.0	0.0	0.0	0.0
5	2.1449933	3.0998883	17.168383	0.7706985	500.0	0.26902196	0.059375327	0.5148673	0.08931706	96000	2.6077032e-08	0.4508391	-0.0026780115	-0.2560284	1.3564423	0.0044866567	0.0283125	127.0	133.6576063632965	0.0	0.0	0.0	0.0	0.0
6	2.1578522	2.2912388	10.570242	0.7164084	500.0	0.53183967	0.5435302	2.9115243	-0.30058295	112000	-3.7252903e-09	0.10876045	-0.009754316	-0.039458342	1.3564423	0.0075967964	0.0995	127.0	154.71642065048218	0.0	0.0	0.0	0.0	0.0
7	3.977294	4.719576	16.15801	0.63438714	500.0	1.0505879	0.97449076	3.7021613	-0.3692513	128000	-2.9802322e-08	0.4113704	-0.0065664947	-0.10299814	1.3564423	0.006564681	0.07675	127.0	178.21369647979736	0.0	0.0	0.0	0.0	0.0
8	5.584497	4.4882317	16.127213	0.51223576	500.0	1.8093106	1.3289573	4.948709	-0.6018212	144000	-4.284084e-08	0.6633822	-0.007867055	-0.23215981	1.3564423	0.006373184	0.061375	127.0	201.45660853385925	0.0	0.0	0.0	0.0	0.0
9	10.427753	5.5848827	21.098444	0.5594953	500.0	2.1209652	1.4224114	5.789734	-0.6808435	160000	-4.4703484e-08	1.2028489	-0.011555284	-0.4983509	1.3564423	0.008363455	0.1011875	127.0	226.0361557006836	0.0	0.0	0.0	0.0	0.0
10	11.95721	8.310461	40.60071	0.706843	500.0	2.823493	1.911457	7.1217036	-0.7755489	176000	1.1175871e-08	2.524814	-0.006852519	-0.45764792	1.3564423	0.0066093584	0.063625	127.0	251.20927572250366	0.0	0.0625	0.0	0.0	0.0
11	7.0523477	6.1732616	19.942192	0.7557088	500.0	2.602524	1.7915626	7.180086	-0.51649666	192000	1.8626451e-08	0.8881265	-0.010207225	-0.32806662	1.3564423	0.0071257064	0.0735	127.0	274.61106157302856	0.0	0.0	0.0	0.0	0.0
12	10.263749	14.6304455	67.651924	0.5759649	500.0	2.1734495	2.1727793	7.1390166	-1.7137154	208000	0.0	6.786937	-0.0058731744	-1.2036059	1.3564423	0.006739594	0.065437496	127.0	297.6246109008789	0.0	0.09375	0.0	0.0	0.0
13	8.358199	9.238985	43.431942	0.54911584	500.0	2.8153067	2.523345	8.032635	-1.9736569	224000	2.2351742e-08	2.3079793	-0.006479745	-0.43342233	1.3564423	0.006154326	0.056375	127.0	321.01394057273865	0.0	0.09375	0.0	0.0	0.0
14	11.545186	8.866686	30.334604	0.6789797	500.0	3.1360996	2.4569051	7.6987867	-1.59245	240000	-3.7252903e-09	1.6273489	-0.008465454	-0.46353656	1.3564423	0.006536362	0.0705	127.0	346.0430603027344	0.0	0.0	0.0	0.0	0.0
15	12.2029	7.4620824	26.536732	0.6802736	500.0	3.7738924	2.4680278	7.338811	-1.4875082	256000	2.7939677e-08	1.6490386	-0.008856157	-0.48205197	1.3564423	0.006725514	0.0690625	127.0	370.35756754875183	0.0	0.03125	0.0	0.0	0.0
16	14.380024	6.175352	28.764355	0.36066133	500.0	3.8868856	1.8908737	6.0977454	-1.0097239	272000	-7.450581e-09	1.685465	-0.006763625	-0.3437329	1.3564423	0.0057376483	0.053062502	127.0	392.9008102416992	0.0	0.0	0.0	0.0	0.0
17	20.18105	14.674588	96.66901	6.642599	500.0	4.102915	1.3004204	5.588538	-0.5132602	288000	-3.7252903e-09	9.028428	-0.0063180025	-0.9961474	1.3564423	0.0056476556	0.065937504	127.0	415.38559103012085	0.0	0.03125	0.0	0.0	0.0
18	20.747997	19.557642	98.19055	9.444784	500.0	4.704415	1.2453014	6.752083	-0.0016477667	304000	-7.450581e-09	16.5026	-0.0063495417	-2.1877174	1.3564423	0.0063938126	0.058750004	127.0	440.6651031970978	0.0	0.09375	0.0	0.0	0.0
19	17.81388	17.575037	108.946754	7.429184	500.0	4.926308	1.7549306	8.242364	-0.32837427	320000	1.1175871e-08	13.272995	-0.0073894477	-2.2720766	1.3564423	0.007518203	0.083187506	127.0	466.07134318351746	0.0	0.03125	0.0	0.0	0.0
20	18.512444	16.696629	109.32209	8.63567	500.0	3.897848	1.44087	6.820966	0.025368325	336000	0.0	10.409622	-0.006364236	-0.67018324	1.3564423	0.008262264	0.080875	127.0	489.73474764823914	0.0	0.03125	0.0	0.0	0.0
21	16.340431	5.141845	28.612282	0.63703704	500.0	4.0518	1.7434667	7.6150417	-0.24914287	352000	-7.450581e-09	1.4437256	-0.010447508	-0.7322041	1.3564423	0.007828459	0.0975	127.0	514.7462451457977	0.0	0.0	0.0	0.0	0.0
22	18.192799	13.8688	88.82748	0.862122	500.0	4.1667275	1.5940486	8.406127	-0.7026989	368000	1.4901161e-08	6.577365	-0.007889565	-0.4962564	1.3564423	0.00573957	0.0856875	127.0	539.5356125831604	0.0	0.0625	0.0	0.0	0.0
23	17.939903	5.1055923	33.00054	8.906432	500.0	4.2906837	1.4621948	8.797622	-0.7484647	384000	-1.1175871e-08	1.0406208	-0.0098284315	-0.268355	1.3564423	0.00835038	0.082875	127.0	562.6607956886292	0.0	0.0	0.0	0.0	0.0
24	18.26277	7.4838567	32.336716	1.044931	500.0	4.4915214	1.7149787	8.664834	-0.44566125	400000	0.0	2.0181656	-0.010966133	-0.64020485	1.3564423	0.0075245365	0.08625	127.0	586.1571137905121	0.0	0.0	0.0	0.0	0.0
25	22.20655	15.498665	105.72148	14.184995	500.0	4.8272653	1.5408866	7.708947	-0.7037445	416000	-3.7252903e-09	10.896944	-0.008533913	-1.6224711	1.3564423	0.008855426	0.0779375	127.0	611.9022920131683	0.0	0.0625	0.0	0.0	0.0
26	25.689304	12.947916	93.61865	8.004994	500.0	4.8682	1.4081336	7.547377	-0.39119947	432000	2.6077032e-08	8.067824	-0.008480681	-1.4008884	1.3564423	0.0079773925	0.084875	127.0	638.1086864471436	0.0	0.09375	0.0	0.0	0.0
27	18.231453	6.825431	27.865425	0.7532676	500.0	4.7181554	2.127436	8.388231	-1.4237479	448000	-3.7252903e-09	2.8677373	-0.009789635	-1.5350885	1.3564423	0.008316698	0.08575	127.0	662.1770000457764	0.0	0.0	0.0	0.0	0.0
28	24.471718	14.122302	96.39714	8.761783	500.0	4.698887	1.4936887	7.2260175	-0.32526475	464000	-7.450581e-09	8.52878	-0.007870598	-0.96478975	1.3564423	0.010089645	0.0914375	127.0	687.0975420475006	0.0	0.125	0.0	0.0	0.0
29	23.512962	4.863341	32.871708	13.492495	500.0	5.627337	1.4072393	8.480736	0.9268038	480000	1.3038516e-08	1.6497158	-0.0097283535	-0.5315019	1.3564423	0.0059440797	0.068625	127.0	709.563200712204	0.0	0.0625	0.0	0.0	0.0
30	23.106089	4.5393124	30.566145	12.5691595	500.0	5.277249	1.3482337	7.519456	0.34736565	496000	0.0	1.0572312	-0.010720544	-0.26341093	1.3564423	0.008208588	0.0860625	127.0	733.9947922229767	0.0	0.0	0.0	0.0	0.0
31	27.708366	14.7842	108.20455	16.211369	500.0	5.4489803	1.4629033	8.085434	0.36417422	512000	-1.4901161e-08	8.745607	-0.006929742	-0.76703125	1.3564423	0.008082458	0.0911875	127.0	757.9713971614838	0.0	0.03125	0.0	0.0	0.0
32	29.1358	17.10193	121.22864	13.896362	500.0	6.101602	1.6084142	9.113799	-1.0285946	528000	1.4901161e-08	10.7541685	-0.008821469	-0.53075576	1.3564423	0.009476266	0.111875	127.0	781.0543875694275	0.0	0.03125	0.0	0.0	0.0
33	27.534437	16.181997	114.312004	15.274116	500.0	6.4955096	1.6510775	9.4663515	0.32707968	544000	-2.2351742e-08	9.615307	-0.0067872377	-0.459729	1.3564423	0.006597577	0.083875	127.0	805.7807874679565	0.0	0.0625	0.0	0.0	0.0
34	25.173655	3.5995376	31.87581	15.1282625	500.0	6.553286	1.7024064	9.494913	0.11043913	560000	2.9802322e-08	1.6878409	-0.010523479	-0.95699483	1.3564423	0.0074697956	0.0843125	127.0	827.9554808139801	0.0	0.0625	0.0	0.0	0.0
