Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.37167323	0.3440037	1.3729112	0.04316297	500.0	0.14656484	0.026200905	0.21898691	0.0981171	16000	1.4901161e-08	0.011166906	-0.0070422934	-0.0062004793	1.3564423	0.006818332	0.059687503	127.0	23.528022289276123	0.0	0.0	0.0	0.0	0.0
1	1.1484239	0.96431935	3.6441464	0.08545416	500.0	0.09669867	0.022256022	0.14268078	0.030725136	32000	-1.1175871e-08	0.045270175	-0.007728072	-0.018913379	1.3564423	0.006234018	0.069562495	127.0	45.28176784515381	0.0	0.0	0.0	0.0	0.0
2	3.078209	2.0675724	9.134738	0.46821427	500.0	0.2674165	0.04986853	0.40072295	0.11088217	48000	-4.8428774e-08	0.28408194	-0.0063744965	-0.14108095	1.3564423	0.0055397404	0.0635625	127.0	65.6174886226654	0.0	0.0	0.0	0.0	0.0
3	6.7085695	5.700917	26.442787	1.4942598	500.0	0.7147566	0.15259504	1.1476749	0.17397466	64000	2.9802322e-08	2.164225	-0.005227424	-0.6513422	1.3564423	0.0049380423	0.054125	127.0	88.47984671592712	0.0	0.0625	0.0	0.0	0.0
4	9.77264	6.705256	27.74243	1.429895	500.0	1.5803895	0.32850698	2.276392	0.25671563	80000	-3.7252903e-08	2.6990323	-0.005910344	-0.9038485	1.3564423	0.0043348456	0.05225	127.0	110.43100905418396	0.0	0.03125	0.0	0.0	0.0
5	13.668615	7.966144	39.894684	2.1059594	500.0	2.3623233	0.8752767	4.3474646	-0.32382014	96000	1.8626451e-09	3.7262733	-0.0072941054	-1.2553471	1.3564423	0.006597178	0.068937495	127.0	133.81789445877075	0.0	0.0625	0.0	0.0	0.0
6	18.638447	5.4786534	27.526377	7.5414104	500.0	3.652018	1.3703052	5.876298	-0.35390517	112000	-3.7252903e-09	2.4569688	-0.008471102	-0.8315829	1.3564423	0.0072604893	0.085374996	127.0	156.63599753379822	0.0	0.0	0.0	0.0	0.0
7	22.456844	9.490533	65.73929	6.827541	500.0	4.821601	1.5293863	6.9433827	-0.01933277	128000	-2.2351742e-08	5.0423594	-0.0065958686	-0.4516351	1.3564423	0.0065447036	0.069562495	127.0	179.70982909202576	0.0	0.0625	0.0	0.0	0.0
8	23.865244	10.225092	68.92531	11.508869	500.0	5.744847	1.6984587	7.82788	0.005846191	144000	0.0	5.339873	-0.007594668	-0.24040753	1.3564423	0.0069525894	0.0695	127.0	203.34894943237305	0.0	0.09375	0.0	0.0	0.0
9	24.671368	13.778557	83.17902	13.376472	500.0	5.9515514	1.5212947	7.4573226	0.45109034	160000	1.4901161e-08	9.100581	-0.006802454	-0.431958	1.3564423	0.005524976	0.061062504	127.0	235.25114941596985	0.0	0.09375	0.0	0.0	0.0
10	23.667112	5.8351545	32.608017	13.6732235	500.0	6.099341	1.4891675	7.6347585	0.9833399	176000	3.7252903e-09	2.4043906	-0.0062161954	-0.59368205	1.3564423	0.0048338403	0.0466875	127.0	265.72326588630676	0.0	0.09375	0.0	0.0	0.0
11	28.100836	9.428003	71.052155	14.355692	500.0	5.735057	0.9358891	6.8704357	1.9839048	192000	-1.4901161e-08	4.899054	-0.0059957756	-0.4601876	1.3564423	0.005280873	0.045500003	127.0	291.8219041824341	0.0	0.15625	0.0	0.0	0.0
12	27.819065	12.740342	82.43549	14.933514	500.0	6.467333	0.98677135	7.457511	2.200322	208000	-7.450581e-09	8.171973	-0.0070018144	-0.120119415	1.3564423	0.0066402988	0.075	127.0	316.0249733924866	0.0	0.09375	0.0	0.0	0.0
13	29.912453	10.184049	80.31994	19.137665	500.0	6.367915	0.9899436	7.4068813	2.5145988	224000	0.0	5.056438	-0.005485258	-0.22345684	1.3564423	0.0062836963	0.0489375	127.0	340.67616510391235	0.0	0.03125	0.0	0.0	0.0
14	31.5075	17.479727	100.67451	14.374048	500.0	6.8278217	0.9195937	7.8094068	2.3457828	240000	-7.450581e-09	14.001094	-0.0059215697	-1.4048247	1.3564423	0.0062203533	0.042812504	127.0	363.845995426178	0.0	0.34375	0.0	0.0	0.0
15	44.92089	28.133772	107.81707	17.547373	500.0	7.0127625	0.9661625	8.89313	3.139202	256000	1.3038516e-08	39.557236	-0.0065753004	-7.670208	1.3564423	0.0077452846	0.0519375	127.0	387.17818880081177	0.0	0.3125	0.0	0.0	0.0
16	30.745945	5.4106274	38.123173	19.431622	500.0	9.064652	1.0772022	10.77619	3.9816427	272000	4.284084e-08	4.384215	-0.006970876	-3.1540046	1.3564423	0.005550918	0.056062497	127.0	411.1418182849884	0.0	0.03125	0.0	0.0	0.0
17	34.086952	14.83228	111.22769	22.945763	500.0	7.5538573	1.3422133	10.72204	-1.672927	288000	-7.450581e-09	7.7024126	-0.0072455592	-0.52815497	1.3564423	0.004123086	0.049625	127.0	436.0930280685425	0.0	0.0625	0.0	0.0	0.0
18	32.846855	4.3516746	39.18306	21.522781	500.0	7.5237575	1.2926532	10.097135	0.95683116	304000	-7.450581e-09	1.1466902	-0.0076580816	-0.2512833	1.3564423	0.0052205003	0.055562496	127.0	459.899530172348	0.0	0.0	0.0	0.0	0.0
19	40.604942	21.969587	112.57595	24.60886	500.0	7.8087068	1.325015	11.296238	2.485429	320000	-1.8626451e-08	18.51255	-0.006229667	-2.6073725	1.3564423	0.006897156	0.07025	127.0	482.7883803844452	0.0	0.25	0.0	0.0	0.0
20	39.16879	18.912334	111.85228	23.036882	500.0	8.873986	1.5181383	12.716045	2.73015	336000	3.7252903e-09	12.899987	-0.006028681	-1.0799931	1.3564423	0.0065611214	0.068749994	127.0	506.9810767173767	0.0	0.15625	0.0	0.0	0.0
21	44.559517	22.647093	114.694244	21.743708	500.0	8.901235	1.6959231	13.427325	3.3810463	352000	1.1175871e-08	17.445202	-0.005862019	-2.887948	1.3564423	0.0051157367	0.04	127.0	530.9994707107544	0.0	0.25	0.0	0.0	0.0
22	35.1133	3.8862095	41.39755	27.026154	500.0	9.133109	1.4772502	14.680898	2.704906	368000	-5.9604645e-08	2.8518906	-0.007848742	-1.7423831	1.3564423	0.004836873	0.050625	127.0	554.1898815631866	0.0	0.0	0.0	0.0	0.0
23	37.26916	9.205151	84.82523	28.11432	500.0	8.145644	1.6475428	14.670078	1.7177341	384000	7.450581e-09	4.518479	-0.0073649324	-0.59321356	1.3564423	0.0068206214	0.0764375	127.0	581.7325825691223	0.0	0.0625	0.0	0.0	0.0
24	37.78111	11.658257	81.45982	26.490257	500.0	8.848926	1.6157762	14.585647	1.8269424	400000	1.1175871e-08	6.4420185	-0.0072220387	-0.63095903	1.3564423	0.007829024	0.078875005	127.0	612.097767829895	0.0	0.0625	0.0	0.0	0.0
25	46.129562	23.417574	118.9655	29.34455	500.0	8.844465	1.9255159	14.956886	0.8053351	416000	2.9802322e-08	18.555447	-0.006990101	-3.717868	1.3564423	0.009061721	0.0769375	127.0	647.4875001907349	0.0	0.15625	0.0	0.0	0.0
26	47.959152	20.858269	108.560616	27.893087	500.0	10.163507	2.1977863	16.36044	1.1778378	432000	-7.450581e-09	16.859407	-0.0074662725	-2.8268945	1.3564423	0.0055089872	0.058	127.0	672.6438300609589	0.0	0.25	0.0	0.0	0.0
27	56.086304	30.232103	117.082375	20.760878	500.0	10.255535	5.048265	17.701445	-16.938416	448000	2.9802322e-08	35.41616	-0.006769794	-5.291407	1.3564423	0.005497551	0.056999996	127.0	697.58948969841	0.0	0.40625	0.0	0.0	0.0
28	46.22934	22.152973	112.475685	25.047583	500.0	11.523771	3.0547705	19.015215	-2.1521685	464000	-2.9802322e-08	15.376193	-0.007951701	-2.92876	1.3564423	0.0057929093	0.0668125	127.0	721.2466411590576	0.0	0.1875	0.0	0.0	0.0
29	53.597458	30.823719	120.30018	30.381027	500.0	11.482491	3.7054114	19.770512	0.47353536	480000	5.5879354e-09	25.40139	-0.0065187914	-3.2218573	1.3564423	0.004983739	0.0433125	127.0	745.3942494392395	0.0	0.28125	0.0	0.0	0.0
30	64.55724	36.35534	128.11514	28.540188	500.0	12.784724	4.2582817	20.770765	-5.0913086	496000	-7.450581e-09	34.8151	-0.0065924833	-6.1626472	1.3564423	0.005784233	0.0501875	127.0	769.0549848079681	0.0	0.4375	0.0	0.0	0.0
31	58.368263	33.801086	125.74091	29.568298	500.0	13.041205	4.443066	22.66441	-0.9543722	512000	-3.5390258e-08	23.234613	-0.0077615636	-3.5899773	1.3564423	0.0070604375	0.0695	127.0	791.7263872623444	0.0	0.34375	0.0	0.0	0.0
32	58.031197	35.487232	125.95343	26.981604	500.0	12.586066	5.3699546	23.855274	-0.0075343847	528000	-1.4901161e-08	25.206188	-0.00770327	-4.8809037	1.3564423	0.00728227	0.0618125	127.0	816.1419911384583	0.0	0.4375	0.0	0.0	0.0
33	59.92043	36.76692	130.89844	26.903797	500.0	12.679701	7.252846	24.97313	-21.674862	544000	-1.1175871e-08	28.848118	-0.007499596	-7.1317887	1.3564423	0.007072297	0.063875005	127.0	840.6114642620087	0.0	0.375	0.0	0.0	0.0
34	58.36793	35.798626	131.7702	26.96939	500.0	12.72503	5.984656	25.982325	-21.880693	560000	3.7252903e-09	23.002342	-0.0071843606	-3.2219687	1.3564423	0.004096334	0.0619375	127.0	865.1727867126465	0.0	0.40625	0.0	0.0	0.0
35	63.896854	39.42743	130.01921	26.820961	500.0	13.094968	6.5685945	26.759722	-0.8512095	576000	7.450581e-09	26.283808	-0.0071222554	-4.0504804	1.3564423	0.006137737	0.068375	127.0	889.6244864463806	0.0	0.46875	0.0	0.0	0.0
36	54.23207	33.099335	128.78273	25.387745	500.0	12.711579	6.281548	27.695677	-8.609009	592000	-3.7252903e-09	25.0049	-0.006919339	-5.968812	1.3564423	0.005377904	0.061062496	127.0	913.8833644390106	0.0	0.375	0.0	0.0	0.0
37	58.22342	38.124825	130.05042	24.17526	500.0	13.024791	6.708083	28.090488	4.5252924	608000	5.5879354e-09	20.293783	-0.007584933	-2.614293	1.3564423	0.0069474345	0.0783125	127.0	938.8483865261078	0.0	0.34375	0.0	0.0	0.0
38	74.34412	42.735794	138.9126	23.995045	500.0	15.5868025	8.147195	28.77926	-0.5875946	624000	-1.4901161e-08	22.858257	-0.0072774305	-3.8960786	1.3564423	0.0050637177	0.068187505	127.0	964.9203448295593	0.0	0.5625	0.0	0.0	0.0
39	64.0663	40.732822	132.7112	26.363188	500.0	14.624742	7.9323425	29.660309	0.099930495	640000	7.450581e-09	21.635944	-0.0067599025	-3.8410416	1.3564423	0.005924959	0.067125	127.0	989.5154690742493	0.0	0.46875	0.0	0.0	0.0
40	58.666847	36.50692	132.46808	27.022163	500.0	14.634902	7.5681624	30.216003	3.8050342	656000	3.7252903e-09	20.334385	-0.0066504627	-5.7274942	1.3564423	0.0063002002	0.078187495	127.0	1013.037805557251	0.0	0.34375	0.0	0.0	0.0
41	64.394455	42.249035	134.32063	24.479416	500.0	14.638981	7.879667	30.554356	4.2545905	672000	7.450581e-09	21.9019	-0.006142416	-2.966569	1.3564423	0.0067051286	0.071499996	127.0	1036.8481178283691	0.0	0.4375	0.0	0.0	0.0
42	63.83325	40.05112	140.6223	24.583017	500.0	14.634951	8.7835865	31.163599	1.039478	688000	-5.5879354e-09	26.954395	-0.007886588	-2.172258	1.3564423	0.0063662967	0.083875	127.0	1062.8926236629486	0.0	0.40625	0.0	0.0	0.0
43	63.36614	39.817722	132.56445	26.492151	500.0	13.666494	7.9352183	31.121117	1.6453166	704000	-1.8626451e-09	22.759201	-0.0075416006	-3.3078372	1.3564423	0.006980268	0.082499996	127.0	1086.28133559227	0.0	0.46875	0.0	0.0	0.0
44	51.216034	32.41649	129.41525	18.952663	500.0	12.964701	7.5149407	31.5243	0.62922907	720000	-1.6763806e-08	28.288515	-0.007398463	-11.249061	1.3564423	0.0052517415	0.0680625	127.0	1108.9718697071075	0.0	0.375	0.0	0.0	0.0
45	56.227463	37.951412	130.5521	22.232412	500.0	12.100561	7.0132904	31.490278	-2.9328396	736000	-1.1175871e-08	23.775276	-0.006355008	-3.9537838	1.3564423	0.005413617	0.063999996	127.0	1132.574768781662	0.0	0.34375	0.0	0.0	0.0
46	54.08272	33.563362	136.93617	25.86064	500.0	13.095	8.127126	31.869907	-1.2108151	752000	-7.450581e-09	28.844341	-0.008112499	-4.7223306	1.3564423	0.0048546046	0.08175	127.0	1156.5788238048553	0.0	0.3125	0.0	0.0	0.0
47	67.27794	40.954514	132.33406	20.029015	500.0	14.235873	8.775809	31.369263	5.7438893	768000	-1.4901161e-08	26.243689	-0.0066712964	-4.817965	1.3564423	0.0060421303	0.0763125	127.0	1191.3853995800018	0.0	0.4375	0.0	0.0	0.0
48	52.760624	37.906322	136.94098	15.871424	500.0	13.361772	8.1142845	31.890055	-0.7852236	784000	-5.5879354e-09	18.772858	-0.008854212	-4.77299	1.3564423	0.006692065	0.08	127.0	1227.3492739200592	0.0	0.375	0.0	0.0	0.0
49	66.047165	44.62754	142.59218	28.93381	500.0	13.7121525	9.724255	32.145138	-0.23928231	800000	-3.7252903e-09	22.098324	-0.0072035166	-2.3903806	1.3564423	0.009060225	0.11225	127.0	1252.048284292221	0.0	0.5	0.0	0.0	0.0
50	49.378544	31.795244	134.88432	25.758278	500.0	12.254582	7.3896904	32.427998	-1.1803439	816000	7.450581e-09	21.502762	-0.007996734	-2.2592328	1.3564423	0.0065579372	0.07575	127.0	1275.4455094337463	0.0	0.34375	0.0	0.0	0.0
51	69.793396	45.129448	135.57768	23.904776	500.0	15.450929	10.140921	31.845655	5.6187835	832000	9.313226e-10	31.340797	-0.007916656	-1.8137472	1.3564423	0.008883178	0.0908125	127.0	1300.430289030075	0.0	0.46875	0.0	0.0	0.0
