Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.43552113	0.29709908	1.2165419	0.07233895	500.0	0.13278903	0.016599355	0.17448492	0.07551412	16000	-7.450581e-09	0.0071518617	-0.0062609212	-0.003678475	1.3564423	0.007930777	0.0566875	127.0	20.749850511550903	0.0	0.0	0.0	0.0	0.0
1	0.8160616	0.657492	2.3553724	0.12800269	500.0	0.0932963	0.01986163	0.14396147	0.037023574	32000	1.3038516e-08	0.018430999	-0.004716347	-0.006577872	1.3564423	0.0049519185	0.0489375	127.0	39.5920045375824	0.0	0.0	0.0	0.0	0.0
2	0.7734109	0.42716852	1.8076367	0.19168082	500.0	0.13885528	0.05728539	0.29881188	-0.011447744	48000	3.7252903e-09	0.0054644803	-0.007720409	-0.0016085862	1.3564423	0.0072366535	0.083187506	127.0	58.871185064315796	0.0	0.0	0.0	0.0	0.0
3	1.2301257	1.1331301	6.009668	0.26018253	500.0	0.16085818	0.053510364	0.30177683	-1.2278557e-05	64000	0.0	0.03946617	-0.006202144	-0.017516721	1.3564423	0.0070716282	0.06631251	127.0	79.47922706604004	0.0	0.0	0.0	0.0	0.0
4	2.008299	1.5297414	6.583907	0.19974506	500.0	0.31877363	0.11590643	0.7242116	0.00952911	80000	0.0	0.05370943	-0.011000817	-0.02612149	1.3564423	0.009478278	0.12025	127.0	98.0237045288086	0.0	0.0	0.0	0.0	0.0
5	3.1168623	2.362083	11.546619	0.55403566	500.0	0.5179464	0.20981045	1.07212	0.0060532503	96000	3.7252903e-09	0.16608274	-0.0103034545	-0.08535249	1.3564423	0.007490863	0.109375	127.0	116.7689254283905	0.0	0.0	0.0	0.0	0.0
6	5.0007486	2.906352	11.364376	0.7705863	500.0	0.9635023	0.3542457	1.9006215	-0.21600245	112000	1.4901161e-08	0.23062637	-0.01004356	-0.105179615	1.3564423	0.006117752	0.09650001	127.0	136.60288882255554	0.0	0.0	0.0	0.0	0.0
7	7.897817	5.909971	21.08991	1.1200266	500.0	1.2539419	0.6540966	3.09151	-0.29308483	128000	3.7252903e-09	1.1109822	-0.008552064	-0.671409	1.3564423	0.008203843	0.09631251	127.0	155.6177155971527	0.0	0.0	0.0	0.0	0.0
8	14.230885	7.2398977	30.663355	2.9768646	500.0	2.7283218	1.1260489	5.1759453	-0.38208956	144000	0.0	2.1920934	-0.008754663	-0.72350776	1.3564423	0.0055241226	0.079687506	127.0	175.45873928070068	0.0	0.0	0.0	0.0	0.0
9	15.449163	7.7142253	30.762505	4.166924	500.0	3.2075038	1.5948582	6.3860583	-1.2597469	160000	-3.7252903e-09	2.3905032	-0.010787624	-0.7445029	1.3564423	0.008302099	0.103750005	127.0	193.74865889549255	0.0	0.0625	0.0	0.0	0.0
10	21.326626	6.5110803	31.41371	9.462416	500.0	4.4702234	1.835896	8.036942	-1.0278773	176000	-1.4901161e-08	2.803818	-0.009715165	-0.76804477	1.3564423	0.0062806066	0.0851875	127.0	214.60233974456787	0.0	0.03125	0.0	0.0	0.0
11	24.11198	4.9094915	31.593283	11.90847	500.0	5.4416075	1.8066761	8.547576	-0.049316343	192000	-2.2351742e-08	2.4772675	-0.010118963	-0.38336718	1.3564423	0.0057389643	0.077625	127.0	235.22744607925415	0.0	0.0	0.0	0.0	0.0
12	28.585537	8.24341	51.132465	13.417228	500.0	6.4732957	1.7626318	9.237597	0.23846044	208000	4.0978193e-08	3.955436	-0.0080052875	-0.37923092	1.3564423	0.0063458104	0.065437496	127.0	255.6561381816864	0.0	0.0625	0.0	0.0	0.0
13	31.144617	8.318487	61.073444	17.111012	500.0	6.7739844	1.8172483	9.757411	0.45777965	224000	-2.2351742e-08	5.7275743	-0.008237708	-0.6122615	1.3564423	0.007962163	0.06875	127.0	275.22884798049927	0.0	0.125	0.0	0.0	0.0
14	33.847115	6.6445236	44.41966	19.90627	500.0	7.5951977	1.7774222	9.943584	0.8925048	240000	7.450581e-09	3.150797	-0.007764037	-0.27700317	1.3564423	0.004759932	0.057	127.0	296.95831298828125	0.0	0.09375	0.0	0.0	0.0
15	30.936878	6.574741	42.564274	17.3334	500.0	8.050002	1.7725704	10.02377	0.84826076	256000	-7.450581e-09	3.5676513	-0.009570953	-0.7557029	1.3564423	0.0073402505	0.0693125	127.0	317.9031894207001	0.0	0.0	0.0	0.0	0.0
16	37.481567	12.226497	85.121765	18.955994	500.0	7.284923	1.5626677	9.253564	1.8516614	272000	-7.450581e-09	8.974558	-0.008350307	-1.5418477	1.3564423	0.006992368	0.065125	127.0	336.809743642807	0.0	0.15625	0.0	0.0	0.0
17	36.529602	6.830791	50.060474	14.659175	500.0	8.325988	1.8586702	10.421389	1.4268267	288000	-1.7695129e-08	3.0083718	-0.008526262	-0.32112393	1.3564423	0.0088853985	0.073	127.0	358.2846260070801	0.0	0.0625	0.0	0.0	0.0
18	37.47155	9.943875	81.624344	22.154833	500.0	8.653342	2.0570078	10.9497	1.7853044	304000	-2.2351742e-08	7.039837	-0.008123636	-0.43228316	1.3564423	0.008351438	0.0665625	127.0	378.90363693237305	0.0	0.0625	0.0	0.0	0.0
19	41.771126	5.8564024	54.039627	31.274538	500.0	8.718984	1.6395447	10.41243	2.3959193	320000	-7.450581e-09	3.8589816	-0.008119554	-0.8914052	1.3564423	0.0058442885	0.06075	127.0	397.7046592235565	0.0	0.15625	0.0	0.0	0.0
20	46.375786	17.731943	110.30859	26.451134	500.0	9.871869	1.9408264	11.54822	1.4620486	336000	0.0	16.742596	-0.006072051	-0.9798099	1.3564423	0.0063466043	0.043124996	127.0	418.8000259399414	0.0	0.40625	0.0	0.0	0.0
21	48.39209	14.404134	98.87444	29.278065	500.0	10.317733	1.6850785	11.8053	2.990786	352000	-2.6077032e-08	11.229301	-0.007382622	-0.6851571	1.3564423	0.00790453	0.063999996	127.0	440.4858646392822	0.0	0.375	0.0	0.0	0.0
22	42.92189	9.247593	84.9424	31.239275	500.0	11.127547	1.972646	12.486175	2.8327935	368000	5.5879354e-08	6.668085	-0.008080857	-1.2306628	1.3564423	0.007270219	0.0605	127.0	460.2970836162567	0.0	0.125	0.0	0.0	0.0
23	49.61971	17.115335	107.20026	32.520885	500.0	10.035881	1.699664	11.346261	2.8799672	384000	-1.4901161e-08	16.383972	-0.007900845	-1.71781	1.3564423	0.0076984772	0.07075	127.0	480.3971621990204	0.0	0.34375	0.0	0.0	0.0
24	44.559433	9.580238	79.173965	28.59432	500.0	11.169529	2.0391784	12.738049	2.7558873	400000	3.7252903e-09	6.5866776	-0.007253936	-1.1376864	1.3564423	0.0076150782	0.066375	127.0	499.87882351875305	0.0	0.34375	0.0	0.0	0.0
25	50.705833	17.78845	105.66349	34.528053	500.0	10.390553	1.6627971	11.798124	3.813053	416000	-1.4901161e-08	15.835761	-0.008984556	-1.24137	1.3564423	0.0067921225	0.080375	127.0	519.0068128108978	0.0	0.46875	0.0	0.0	0.0
26	48.190247	13.001943	92.98514	31.156906	500.0	11.26518	1.9696755	12.771286	2.9733782	432000	4.656613e-08	8.312261	-0.008223183	-0.5255996	1.3564423	0.0095280865	0.07843751	127.0	538.9840047359467	0.0	0.15625	0.0	0.0	0.0
27	47.902763	11.944956	89.787964	30.994377	500.0	11.229966	2.0454216	12.977119	3.182197	448000	2.9802322e-08	7.966392	-0.008100735	-0.46711975	1.3564423	0.008429417	0.0900625	127.0	561.4140310287476	0.0	0.40625	0.0	0.0	0.0
