Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.6699498	0.5230135	1.9567488	0.09237765	500.0	0.08061978	0.01437941	0.122564726	0.023106307	16000	5.5879354e-09	0.014294883	-0.004815196	-0.005183651	1.3564423	0.007590731	0.0474375	127.0	25.488242626190186	0.0	0.0	0.0	0.0	0.0
1	1.0504799	0.86368424	3.3527405	0.06671143	500.0	0.11416683	0.05254666	0.22779734	-0.03045387	32000	-8.381903e-09	0.029804135	-0.0055859573	-0.009254066	1.3564423	0.006080229	0.0674375	127.0	46.931283473968506	0.0	0.0	0.0	0.0	0.0
2	1.4022148	1.2119948	5.978442	0.19449805	500.0	0.1933555	0.085533865	0.4424847	-0.03899136	48000	0.0	0.044800937	-0.0072245942	-0.013244156	1.3564423	0.0073059364	0.0925625	127.0	68.81501412391663	0.0	0.0	0.0	0.0	0.0
3	2.5648584	1.991477	7.386303	0.3695606	500.0	0.33789906	0.12699322	0.6235123	-0.1146274	64000	0.0	0.11681959	-0.008507454	-0.059493504	1.3564423	0.0077453386	0.0884375	127.0	90.77886390686035	0.0	0.0	0.0	0.0	0.0
4	3.8473082	2.7025297	11.828254	0.6693312	500.0	0.6457105	0.23925877	1.3727453	-0.08137544	80000	2.2351742e-08	0.21018168	-0.011090468	-0.11383534	1.3564423	0.009345699	0.111499995	127.0	113.58228850364685	0.0	0.0	0.0	0.0	0.0
5	8.840805	5.949159	26.546711	1.6897587	500.0	1.1214062	0.4691486	2.2798176	0.01822161	96000	-1.8626451e-08	1.9531014	-0.007984809	-1.0892192	1.3564423	0.0065588965	0.0806875	127.0	137.9310486316681	0.0	0.0	0.0	0.0	0.0
6	14.451116	8.364218	33.61213	1.8516147	500.0	2.507949	1.0521336	4.5734034	-0.31890255	112000	-1.21071935e-08	3.1233976	-0.0074934447	-1.5551622	1.3564423	0.0051546525	0.070999995	127.0	162.28258180618286	0.0	0.0	0.0	0.0	0.0
7	16.46059	6.7606444	30.226646	5.852945	500.0	3.5385892	1.769683	7.139101	-1.4445242	128000	2.2351742e-08	1.8841202	-0.0100254305	-0.4422713	1.3564423	0.0064854166	0.09056249	127.0	184.59563732147217	0.0	0.0	0.0	0.0	0.0
8	21.566998	9.78682	46.096664	7.259726	500.0	4.7483377	1.8496721	7.742454	-1.3690745	144000	-1.4901161e-08	3.1566224	-0.008492662	-0.484381	1.3564423	0.0056791995	0.0740625	127.0	209.0141110420227	0.0	0.0	0.0	0.0	0.0
9	24.56933	9.931313	62.29738	10.119916	500.0	4.8385334	2.0519161	8.19351	-1.8632365	160000	1.1175871e-08	5.742439	-0.0076455185	-1.7532818	1.3564423	0.008131883	0.069562495	127.0	232.93529868125916	0.0	0.09375	0.0	0.0	0.0
10	30.35226	12.332747	85.15026	10.352478	500.0	6.7124653	2.1231208	9.987451	-0.2900872	176000	-3.3527613e-08	7.3930187	-0.007819743	-0.856121	1.3564423	0.005838426	0.063	127.0	255.58700442314148	0.0	0.125	0.0	0.0	0.0
11	29.519297	9.197868	60.610687	14.805284	500.0	7.2375436	2.2454886	10.321072	-1.0323831	192000	-7.450581e-09	4.874482	-0.008920638	-0.498639	1.3564423	0.0073751886	0.061875	127.0	276.587842464447	0.0	0.03125	0.0	0.0	0.0
12	31.972454	10.202434	65.25634	20.837923	500.0	7.8397975	1.8492616	10.114751	-0.7089337	208000	3.5390258e-08	7.3884525	-0.007013184	-0.5845745	1.3564423	0.0069622793	0.0571875	127.0	300.66716599464417	0.0	0.15625	0.0	0.0	0.0
13	33.979786	12.499285	89.181656	16.243269	500.0	7.597104	1.7868704	9.794282	-1.0809717	224000	7.450581e-09	9.903696	-0.0087769795	-0.43817502	1.3564423	0.008505558	0.074375	127.0	324.3239381313324	0.0	0.125	0.0	0.0	0.0
14	35.728683	11.317535	71.639755	20.336111	500.0	8.217982	1.787219	10.09133	-1.2600957	240000	2.2351742e-08	8.282218	-0.0073908144	-0.7347417	1.3564423	0.0070786355	0.053625003	127.0	349.76455450057983	0.0	0.1875	0.0	0.0	0.0
15	31.180351	8.275187	48.92354	15.446863	500.0	8.5311165	1.7360612	10.283255	0.052929655	256000	7.450581e-09	7.844127	-0.008798448	-2.2457254	1.3564423	0.007539235	0.06725	127.0	374.5532042980194	0.0	0.15625	0.0	0.0	0.0
16	38.72352	11.41957	81.3713	23.130875	500.0	7.3675838	1.0343812	8.376785	1.5068548	272000	-2.9802322e-08	9.417114	-0.007102445	-1.5108134	1.3564423	0.0066551724	0.0595625	127.0	400.5000169277191	0.0	0.25	0.0	0.0	0.0
17	41.986973	15.434574	99.22459	22.267494	500.0	8.361567	1.3966874	9.551347	-0.119631946	288000	-2.2351742e-08	13.923393	-0.008206098	-1.4312074	1.3564423	0.0067655845	0.0565	127.0	426.02404522895813	0.0	0.5	0.0	0.0	0.0
18	34.42305	9.677307	52.91749	17.335928	500.0	9.392088	1.7190775	10.6235075	-0.38658842	304000	-2.2351742e-08	8.135834	-0.008257428	-1.8524915	1.3564423	0.00739686	0.054875	127.0	449.8447468280792	0.0	0.0625	0.0	0.0	0.0
19	45.07582	20.132832	126.66451	26.719692	500.0	8.230768	1.2345674	9.257992	1.1082277	320000	2.9802322e-08	23.07383	-0.007196863	-2.9857976	1.3564423	0.0058389874	0.0643125	127.0	473.9441227912903	0.0	0.3125	0.0	0.0	0.0
