Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.54007286	0.29117912	1.2077858	0.13877352	500.0	0.13794485	0.01735932	0.19049904	0.050459087	16000	-2.9802322e-08	0.0071397866	-0.006742335	-0.0034217662	1.3564423	0.0076754093	0.05525	127.0	26.69475221633911	0.0	0.0	0.0	0.0	0.0
1	0.9045173	0.55474645	2.3002388	0.24158053	500.0	0.11416628	0.027997896	0.18383642	0.03026738	32000	-3.7252903e-09	0.01458047	-0.005664554	-0.005021482	1.3564423	0.0052859494	0.059375	127.0	48.51906681060791	0.0	0.0	0.0	0.0	0.0
2	0.93893546	0.36783513	1.6702809	0.3829664	500.0	0.16365972	0.057278387	0.31269145	0.0032223389	48000	-2.6077032e-08	0.0061760955	-0.008429617	-0.0017538066	1.3564423	0.007472331	0.084874995	127.0	70.11974120140076	0.0	0.0	0.0	0.0	0.0
3	1.3368845	0.9553516	5.2692904	0.4720541	500.0	0.18476225	0.059548352	0.3204284	0.014565234	64000	1.4901161e-08	0.03050657	-0.0071774228	-0.012254855	1.3564423	0.0067099943	0.07075	127.0	91.18826460838318	0.0	0.0	0.0	0.0	0.0
4	2.327473	1.4750255	7.007269	0.34116367	500.0	0.3188758	0.09515446	0.6445178	0.0033501536	80000	2.9802322e-08	0.07252319	-0.011049943	-0.038096666	1.3564423	0.008917984	0.1105	127.0	115.39759516716003	0.0	0.0	0.0	0.0	0.0
5	3.7988327	2.0955997	10.912092	0.9270168	500.0	0.5771143	0.16811953	1.222807	0.09624436	96000	2.9802322e-08	0.18248783	-0.0115262	-0.086853996	1.3564423	0.0074549504	0.109937504	127.0	140.21111845970154	0.0	0.0	0.0	0.0	0.0
6	6.6628723	3.083669	12.991682	1.8281542	500.0	1.1058072	0.30002335	1.9986957	0.13353536	112000	-7.450581e-09	0.4614757	-0.0081221815	-0.2378594	1.3564423	0.0053052064	0.0758125	127.0	161.338205575943	0.0	0.0	0.0	0.0	0.0
7	9.630655	5.769158	22.074451	2.5794265	500.0	1.6080184	0.5497462	3.1502428	0.325868	128000	-3.7252903e-09	1.3410518	-0.00912726	-0.7714729	1.3564423	0.0069755977	0.09118751	127.0	182.45883679389954	0.0	0.0	0.0	0.0	0.0
8	16.295937	6.35981	30.607946	6.3649116	500.0	3.052552	1.0250428	5.323493	0.21484211	144000	3.7252903e-08	2.1068225	-0.009753946	-0.83537686	1.3564423	0.00787808	0.09343751	127.0	205.1546654701233	0.0	0.0	0.0	0.0	0.0
9	18.316545	6.4714346	31.87345	5.5287476	500.0	3.8620565	1.3544141	6.8817873	0.16961503	160000	7.450581e-09	1.9783803	-0.011960583	-0.61839473	1.3564423	0.009590202	0.120812505	127.0	227.99335169792175	0.0	0.0	0.0	0.0	0.0
10	21.837648	5.5572224	36.23936	12.491959	500.0	5.057089	1.5659797	7.7645154	-0.1338802	176000	7.450581e-09	1.9530871	-0.010131912	-0.29762906	1.3564423	0.0062801	0.0960625	127.0	250.2615659236908	0.0	0.0	0.0	0.0	0.0
11	26.547123	7.9604745	42.023937	14.357939	500.0	5.5268836	1.3903408	7.70284	1.0734065	192000	-3.7252903e-09	4.0419297	-0.0074537545	-0.7298057	1.3564423	0.004780351	0.065312505	127.0	272.76974272727966	0.0	0.0	0.0	0.0	0.0
12	27.01233	6.525789	45.577663	16.773777	500.0	6.5754027	1.403502	9.408367	1.4667948	208000	-9.313226e-09	3.3369386	-0.008791422	-0.5065721	1.3564423	0.007457412	0.053999998	127.0	296.710186958313	0.0	0.0	0.0	0.0	0.0
13	30.439316	8.624524	52.167732	19.70027	500.0	6.3448153	1.0337187	8.266429	2.0228696	224000	1.8626451e-08	5.0542693	-0.007449208	-0.49274534	1.3564423	0.0058684913	0.0505	127.0	323.0655264854431	0.0	0.0	0.0	0.0	0.0
14	31.845287	10.447116	66.300064	19.30334	500.0	7.01717	1.0675336	8.596278	1.8689094	240000	-5.5879354e-09	5.586672	-0.006610955	-0.2331252	1.3564423	0.0059815515	0.0430625	127.0	348.00301337242126	0.0	0.0625	0.0	0.0	0.0
15	31.486101	9.08144	48.760315	19.860193	500.0	7.259368	1.1189263	9.106164	2.4926546	256000	1.4901161e-08	4.706211	-0.008135243	-0.2709921	1.3564423	0.006483487	0.0590625	127.0	370.7942328453064	0.0	0.0	0.0	0.0	0.0
16	39.299873	10.215817	57.02672	19.895454	500.0	7.333183	1.0566162	8.978299	3.2583883	272000	-2.6077032e-08	7.653038	-0.007291854	-1.8391159	1.3564423	0.007719867	0.058250003	127.0	394.43600392341614	0.0	0.0625	0.0	0.0	0.0
17	37.30809	10.183352	67.718056	20.347855	500.0	8.412604	1.2451056	10.292451	2.9364388	288000	-1.8626451e-08	6.1042957	-0.008139647	-0.40401524	1.3564423	0.0067481073	0.0544375	127.0	416.84459614753723	0.0	0.03125	0.0	0.0	0.0
18	37.484955	10.293661	54.12298	19.266716	500.0	8.63951	1.7479223	10.774726	0.8798214	304000	-1.4901161e-08	6.728608	-0.008792033	-0.9712274	1.3564423	0.006319727	0.060375	127.0	439.7356083393097	0.0	0.125	0.0	0.0	0.0
19	36.233974	9.185413	50.03764	22.832447	500.0	8.432766	1.1258876	10.052058	3.4014068	320000	-3.7252903e-09	5.0456443	-0.007678111	-0.31779033	1.3564423	0.0067014163	0.05725	127.0	461.269731760025	0.0	0.0	0.0	0.0	0.0
20	42.414913	13.082435	73.67103	23.016321	500.0	8.332865	1.3524711	10.07515	2.5685244	336000	2.9802322e-08	8.377186	-0.009245235	-2.3280823	1.3564423	0.0066734627	0.0673125	127.0	484.3755373954773	0.0	0.1875	0.0	0.0	0.0
21	43.371506	9.463079	71.38922	28.440554	500.0	9.677445	1.7719287	11.99472	0.9213217	352000	7.450581e-09	5.8218985	-0.009893496	-0.4248011	1.3564423	0.009426532	0.069749996	127.0	508.1364052295685	0.0	0.03125	0.0	0.0	0.0
22	46.80912	9.146837	69.21078	27.379002	500.0	10.07062	1.5666957	11.706006	3.545004	368000	2.2351742e-08	5.8338833	-0.009804193	-0.41150948	1.3564423	0.009147852	0.063125	127.0	529.2575304508209	0.0	0.15625	0.0	0.0	0.0
23	44.768585	12.862161	79.19757	23.992916	500.0	10.388899	1.7773004	12.07533	2.5950868	384000	-1.4901161e-08	7.758449	-0.00938334	-0.53889847	1.3564423	0.0076090004	0.059062503	127.0	551.7553744316101	0.0	0.21875	0.0	0.0	0.0
24	44.69346	11.05342	66.43748	23.953615	500.0	9.958472	2.6968634	12.470807	-9.28478	400000	0.0	7.1237903	-0.010054921	-0.80541074	1.3564423	0.0065349913	0.06775	127.0	573.4994752407074	0.0	0.25	0.0	0.0	0.0
25	47.308372	7.415505	61.114326	22.494085	500.0	10.425785	1.7078655	12.449426	3.8727334	416000	-7.450581e-09	4.400281	-0.010525973	-0.5734394	1.3564423	0.009093971	0.072500005	127.0	597.0122060775757	0.0	0.125	0.0	0.0	0.0
26	53.47103	14.062538	95.46992	28.71043	500.0	10.840461	1.8004165	12.277562	2.980669	432000	-7.450581e-09	12.543592	-0.008903986	-1.8971323	1.3564423	0.007028633	0.0581875	127.0	619.8709328174591	0.0	0.46875	0.0	0.0	0.0
27	56.82729	18.609522	90.574135	25.51701	500.0	11.823556	2.3508399	13.806651	2.250573	448000	2.9802322e-08	17.620409	-0.007643009	-2.91788	1.3564423	0.008093933	0.0714375	127.0	643.670471906662	0.0	0.5625	0.0	0.0	0.0
28	54.93183	19.897783	100.58863	22.252674	500.0	11.89119	4.23792	15.623151	-4.1323643	464000	7.450581e-09	19.98433	-0.010030331	-3.089997	1.3564423	0.007488907	0.079937495	127.0	669.3002347946167	0.0	0.4375	0.0	0.0	0.0
29	53.194633	20.027534	103.47198	22.470592	500.0	12.361955	3.3356895	16.063637	0.6038121	480000	-3.7252903e-09	16.203506	-0.010224386	-2.2446518	1.3564423	0.0066893515	0.06731251	127.0	693.2750532627106	0.0	0.5	0.0	0.0	0.0
30	57.03121	22.35148	108.48425	25.784037	500.0	12.384784	3.5390115	16.35231	-0.7956158	496000	0.0	21.069199	-0.009358849	-0.97989064	1.3564423	0.008003852	0.085625	127.0	719.1221735477448	0.0	0.46875	0.0	0.0	0.0
31	51.13378	19.988314	110.276985	28.711256	500.0	12.289756	4.3609796	16.98618	-15.617624	512000	-7.450581e-09	20.76074	-0.0100117475	-2.3024945	1.3564423	0.009388798	0.0748125	127.0	741.3510439395905	0.0	0.40625	0.0	0.0	0.0
32	54.135563	19.046717	88.75527	28.815561	500.0	11.763765	3.284071	16.218172	-0.31099644	528000	2.2351742e-08	17.316444	-0.0099198	-1.472251	1.3564423	0.0060886447	0.071375	127.0	763.932674407959	0.0	0.375	0.0	0.0	0.0
33	56.22137	23.381838	104.42283	25.295843	500.0	12.249184	3.3259883	16.407429	3.5959976	544000	-5.5879354e-09	23.432146	-0.009205296	-1.6813948	1.3564423	0.007701235	0.0808125	127.0	787.1650648117065	0.0	0.4375	0.0	0.0	0.0
34	55.725056	25.047724	108.9059	23.340122	500.0	12.658442	3.8823547	16.737497	-3.474309	560000	-2.9802322e-08	29.618227	-0.008670865	-1.2767999	1.3564423	0.00631331	0.0640625	127.0	810.5225098133087	0.0	0.46875	0.0	0.0	0.0
35	51.603237	21.084097	108.05986	30.492868	500.0	11.562522	3.5060694	16.666243	1.6085765	576000	1.4901161e-08	22.303135	-0.009450811	-2.211782	1.3564423	0.0083102295	0.084125	127.0	833.3143575191498	0.0	0.3125	0.0	0.0	0.0
36	57.981567	22.433313	108.99714	31.006542	500.0	11.879324	2.858662	15.94793	4.1123824	592000	-1.1175871e-08	22.920708	-0.009140283	-2.8359838	1.3564423	0.008680787	0.0835	127.0	856.3325340747833	0.0	0.59375	0.0	0.0	0.0
37	57.853596	24.89811	120.65038	22.655794	500.0	12.377085	3.5738344	17.50581	3.6153798	608000	7.450581e-09	23.248085	-0.010289482	-3.0457728	1.3564423	0.0092001	0.100062504	127.0	877.9520494937897	0.0	0.375	0.0	0.0	0.0
38	61.31185	30.217798	115.69935	21.561457	500.0	13.45558	4.4691405	18.565859	2.4957306	624000	0.0	32.24004	-0.0102299955	-3.4033537	1.3564423	0.0070578204	0.084625	127.0	902.4380588531494	0.0	0.53125	0.0	0.0	0.0
39	65.60165	26.48057	117.41412	28.154823	500.0	14.293148	4.6436353	19.704947	3.2598095	640000	-1.1175871e-08	26.337059	-0.0094778435	-2.6864192	1.3564423	0.006935167	0.073750004	127.0	924.8485050201416	0.0	0.71875	0.0	0.0	0.0
40	65.41661	26.08876	119.43394	28.33798	500.0	14.56463	4.8188357	20.727163	-5.2779126	656000	-1.8626451e-09	25.014435	-0.010342861	-3.0474994	1.3564423	0.007248652	0.0724375	127.0	947.5019555091858	0.0	0.5	0.0	0.0	0.0
41	56.392143	22.552425	114.25597	25.114962	500.0	14.167492	4.7919383	21.634207	-11.98383	672000	-7.450581e-09	23.382057	-0.009884089	-3.6942115	1.3564423	0.0072113737	0.084	127.0	973.5038876533508	0.0	0.375	0.0	0.0	0.0
42	63.691505	30.832264	115.60991	24.25803	500.0	13.310565	5.193118	21.099052	2.1197796	688000	2.2351742e-08	25.535946	-0.010197908	-4.420958	1.3564423	0.007131448	0.0766875	127.0	996.6235144138336	0.0	0.625	0.0	0.0	0.0
