Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.30904537	0.1169468	0.61562943	0.114216834	500.0	0.07715463	0.025957646	0.14192086	-0.02930953	16000	-2.0489097e-08	0.0030453715	-0.0070018815	-0.002087819	1.3564423	0.0075216675	0.053375	127.0	27.287559509277344	0.0	0.0	0.0	0.0	0.0
1	0.34036767	0.16576391	0.8130958	0.07764662	500.0	0.055627525	0.020794366	0.12713744	0.008601877	32000	9.313226e-10	0.001424739	-0.008169863	-0.0004889484	1.3564423	0.0067106113	0.08125	127.0	53.67582607269287	0.0	0.0	0.0	0.0	0.0
2	0.5228579	0.22863327	1.0260905	0.20338388	500.0	0.06648116	0.030900871	0.14747916	-0.0150105	48000	7.450581e-09	0.0022151086	-0.011374967	-0.00082472415	1.3564423	0.009987213	0.13174999	127.0	79.58528423309326	0.0	0.0	0.0	0.0	0.0
3	0.7634895	0.28372407	1.9165953	0.32417157	500.0	0.111222394	0.040027563	0.21648797	-0.0073065665	64000	0.0	0.004185825	-0.010645725	-0.0017449539	1.3564423	0.008694365	0.0958125	127.0	104.02756261825562	0.0	0.0	0.0	0.0	0.0
4	0.9951446	0.5068292	2.7006648	0.26925224	500.0	0.16326867	0.0398473	0.27028587	0.055273056	80000	2.2351742e-08	0.008067756	-0.011589524	-0.0033738588	1.3564423	0.007790798	0.11325	127.0	128.88450360298157	0.0	0.0	0.0	0.0	0.0
5	1.706577	0.9921035	6.5491004	0.38678008	500.0	0.243042	0.06814638	0.5105987	0.02066302	96000	-7.450581e-09	0.05115591	-0.008871572	-0.027037116	1.3564423	0.009433933	0.139625	127.0	150.71202850341797	0.0	0.0	0.0	0.0	0.0
6	2.80266	1.667247	9.172938	1.246583	500.0	0.53124607	0.17771882	1.1094422	0.07224202	112000	-7.450581e-09	0.12290634	-0.0069355485	-0.07237913	1.3564423	0.006096394	0.084750004	127.0	171.86678099632263	0.0	0.0	0.0	0.0	0.0
7	2.9424577	1.841376	11.196046	1.0296422	500.0	0.6890846	0.33913505	1.8641416	-0.036520056	128000	-2.2351742e-08	0.10703774	-0.009336593	-0.033230428	1.3564423	0.009311952	0.1346875	127.0	193.93219375610352	0.0	0.0	0.0	0.0	0.0
8	5.009013	4.13006	17.900375	1.3353202	500.0	0.964044	0.6088325	2.9253798	-0.025392113	144000	2.2351742e-08	0.46427488	-0.008647621	-0.22459695	1.3564423	0.009599797	0.1241875	127.0	216.4931960105896	0.0	0.0	0.0	0.0	0.0
9	6.9629173	4.8159633	15.853982	0.6890648	500.0	1.647892	1.108113	4.313917	-0.30815238	160000	-4.656613e-09	0.49269506	-0.008439378	-0.09798514	1.3564423	0.0073546423	0.09056249	127.0	241.9867525100708	0.0	0.0	0.0	0.0	0.0
10	7.5642834	5.5426292	20.394815	2.3765633	500.0	1.9273326	1.2276075	4.965307	-0.47953314	176000	2.2351742e-08	0.40114865	-0.008427483	-0.16458452	1.3564423	0.007186993	0.080125004	127.0	265.7514443397522	0.0	0.0	0.0	0.0	0.0
11	8.8116455	4.877445	20.443981	1.318776	500.0	2.8361387	1.7408439	6.343902	-0.23398857	192000	1.1175871e-08	0.71411145	-0.007458022	-0.32290053	1.3564423	0.005658194	0.0619375	127.0	287.32265400886536	0.0	0.0	0.0	0.0	0.0
