Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.7443557	0.43370643	1.7391841	0.16278183	500.0	0.08600847	0.015805556	0.14471197	-0.00424489	16000	-9.313226e-10	0.013107425	-0.0053855875	-0.005826889	1.3564423	0.007974581	0.0534375	127.0	31.26130723953247	0.0	0.0	0.0	0.0	0.0
1	1.1863948	0.7867448	3.2141805	0.12965596	500.0	0.12868018	0.057142135	0.25521132	-0.026047615	32000	1.8626451e-08	0.028032538	-0.006296601	-0.009032255	1.3564423	0.0061054127	0.072124995	127.0	51.75198745727539	0.0	0.0	0.0	0.0	0.0
2	1.602566	0.98121655	4.9184604	0.4285737	500.0	0.22038537	0.090626284	0.4429943	-0.02918539	48000	0.0	0.035243656	-0.008491337	-0.00832183	1.3564423	0.007380982	0.0948125	127.0	73.49911856651306	0.0	0.0	0.0	0.0	0.0
3	2.7322063	1.8608823	8.887412	0.71072465	500.0	0.34998217	0.10549773	0.5870467	-0.002530098	64000	-5.9604645e-08	0.12943724	-0.0077936444	-0.055657864	1.3564423	0.0074901227	0.0784375	127.0	93.418949842453	0.0	0.0	0.0	0.0	0.0
4	4.492775	2.5253305	12.074416	0.92704517	500.0	0.6480042	0.1489973	1.1633373	0.17104794	80000	7.450581e-09	0.28413096	-0.010911576	-0.1655239	1.3564423	0.008868449	0.1081875	127.0	114.95854616165161	0.0	0.0	0.0	0.0	0.0
5	9.820391	5.084712	24.388247	2.6090825	500.0	1.1810666	0.37088063	2.3758426	0.29298878	96000	3.7252903e-09	1.9233727	-0.008848831	-1.1795853	1.3564423	0.0065417523	0.0833125	127.0	136.9156231880188	0.0	0.0	0.0	0.0	0.0
6	15.024113	6.122834	28.7142	3.2837353	500.0	2.5919998	0.82082635	4.3528733	0.24345517	112000	1.3038516e-08	2.2717566	-0.0074901558	-1.1409233	1.3564423	0.0057986565	0.0676875	127.0	159.76369905471802	0.0	0.0	0.0	0.0	0.0
7	17.33591	4.997353	30.363482	9.391281	500.0	3.6805956	1.3534884	6.38126	-0.26718587	128000	-2.9802322e-08	1.5404503	-0.009901685	-0.42523912	1.3564423	0.0070390883	0.0959375	127.0	189.32116556167603	0.0	0.0	0.0	0.0	0.0
8	21.551859	6.5804057	40.699707	11.781989	500.0	4.704437	1.5672421	7.1622796	-0.20214549	144000	-7.450581e-09	1.9010284	-0.01004795	-0.29395947	1.3564423	0.008030723	0.0898125	127.0	222.7731373310089	0.0	0.0	0.0	0.0	0.0
9	24.508171	6.4368877	45.55959	13.254116	500.0	5.241906	1.5202556	7.792578	0.35928947	160000	4.4703484e-08	2.501943	-0.009422652	-0.47361335	1.3564423	0.008000792	0.0841875	127.0	245.11892414093018	0.0	0.0	0.0	0.0	0.0
