Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.24163747	0.0908385	0.5437506	0.09579771	500.0	0.077881575	0.025239564	0.13550693	-0.010280259	16000	1.6763806e-08	0.0025260304	-0.0073859207	-0.0018666291	1.3564423	0.008048855	0.0650625	127.0	33.42590808868408	0.0	0.0	0.0	0.0	0.0
1	0.27932805	0.13487859	0.63830924	0.07561717	500.0	0.049818862	0.010860695	0.086726144	0.020661324	32000	0.0	0.00096559833	-0.0078067402	-0.0004261654	1.3564423	0.0056945286	0.06925	127.0	58.80796146392822	0.0	0.0	0.0	0.0	0.0
2	0.3990617	0.15274268	0.9411638	0.10635896	500.0	0.058291543	0.02186108	0.10899402	0.0043724217	48000	0.0	0.0009735872	-0.013201676	-0.00031687267	1.3564423	0.010142779	0.145625	127.0	87.38640904426575	0.0	0.0	0.0	0.0	0.0
3	0.63415253	0.22147916	1.4086652	0.27277395	500.0	0.09543254	0.022687914	0.14333498	0.011944486	64000	-5.2154064e-08	0.0025554919	-0.0111935595	-0.0012725652	1.3564423	0.008047236	0.0995	127.0	113.381267786026	0.0	0.0	0.0	0.0	0.0
4	0.8442186	0.32810125	1.7422242	0.37703285	500.0	0.1376597	0.02708135	0.22718735	0.03654194	80000	0.0	0.0041518686	-0.013944566	-0.0021561082	1.3564423	0.00897406	0.127375	127.0	138.6765332221985	0.0	0.0	0.0	0.0	0.0
5	1.7746733	0.7694183	4.426829	0.7630526	500.0	0.2191827	0.05128034	0.40644956	0.097477876	96000	1.8626451e-08	0.051269874	-0.009093646	-0.029292792	1.3564423	0.007926147	0.107625	127.0	162.52915787696838	0.0	0.0	0.0	0.0	0.0
6	3.3324094	1.6046023	8.305389	1.1055592	500.0	0.48416913	0.15040436	0.91185087	0.10449879	112000	-3.3527613e-08	0.20000736	-0.006459899	-0.111261286	1.3564423	0.0061644316	0.0754375	127.0	189.40441417694092	0.0	0.0	0.0	0.0	0.0
7	4.9258413	2.0320783	9.021986	1.8286862	500.0	0.9068629	0.3691927	1.6402264	0.068859205	128000	-6.519258e-09	0.28192484	-0.008684258	-0.14704923	1.3564423	0.0077091292	0.103375	127.0	214.62701845169067	0.0	0.0	0.0	0.0	0.0
8	8.229343	3.4146624	16.230505	2.5940468	500.0	1.4149512	0.65725654	2.763381	-0.18780877	144000	-3.5390258e-08	1.014934	-0.0076471725	-0.5458642	1.3564423	0.008173025	0.0689375	127.0	239.6837306022644	0.0	0.0	0.0	0.0	0.0
9	12.7658825	4.6045523	20.282375	2.432699	500.0	2.346745	1.1619974	4.4398756	-0.47062272	160000	-1.4901161e-08	1.7253095	-0.010034523	-0.978543	1.3564423	0.006372293	0.09075	127.0	265.42145323753357	0.0	0.0	0.0	0.0	0.0
10	15.977728	4.378229	23.039633	8.315253	500.0	3.5505035	1.6328225	5.96971	-0.944559	176000	1.1175871e-08	1.2103378	-0.009807497	-0.396814	1.3564423	0.0073059616	0.09275	127.0	291.22354531288147	0.0	0.0	0.0	0.0	0.0
11	21.183262	4.23316	28.930038	11.921131	500.0	4.3323126	1.7961617	6.8148203	-0.60415363	192000	7.450581e-09	2.0473323	-0.00937335	-1.1174586	1.3564423	0.0048321867	0.0848125	127.0	317.85968375205994	0.0	0.03125	0.0	0.0	0.0
12	23.573803	2.9779265	29.756634	16.949759	500.0	5.6030626	2.2319117	8.235763	-0.52589494	208000	7.450581e-09	0.85504717	-0.009035865	-0.16334838	1.3564423	0.0055504106	0.0749375	127.0	349.95469522476196	0.0	0.0	0.0	0.0	0.0
13	25.442776	5.517776	35.064728	6.716313	500.0	5.9230633	2.3563206	8.571293	0.5193374	224000	-7.450581e-09	1.8478072	-0.008933266	-0.3688342	1.3564423	0.007642569	0.080375	127.0	389.35275864601135	0.0	0.125	0.0	0.0	0.0
14	26.08148	5.4534616	36.046875	16.134989	500.0	6.8227954	2.4678283	9.333265	0.3979833	240000	2.9802322e-08	1.6982231	-0.007470605	-0.092473194	1.3564423	0.0063019656	0.054250002	127.0	419.29472398757935	0.0	0.0625	0.0	0.0	0.0
15	27.232224	5.3994937	38.114243	17.246172	500.0	6.858087	2.438225	9.318444	0.49944952	256000	4.0978193e-08	1.6952696	-0.009452087	-0.07021387	1.3564423	0.0065797586	0.065375	127.0	444.50915789604187	0.0	0.0	0.0	0.0	0.0
