Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20465407	0.08177852	0.42711714	0.08215913	500.0	0.07737755	0.025193157	0.13731945	-0.0072455704	16000	2.2351742e-08	0.0026053987	-0.0073485817	-0.0020295861	1.3564423	0.007783412	0.06575	127.0	28.888342142105103	0.0	0.0	0.0	0.0	0.0
1	0.20366292	0.091779046	0.47223693	0.049170624	500.0	0.044971123	0.008170946	0.07286714	0.020961503	32000	1.8626451e-09	0.0006337408	-0.006880422	-0.00032745785	1.3564423	0.0056306194	0.06125	127.0	55.78527522087097	0.0	0.0	0.0	0.0	0.0
2	0.296582	0.12818597	0.6477013	0.078834794	500.0	0.04239372	0.015245016	0.07803863	-0.00054255687	48000	0.0	0.0007047773	-0.010105489	-0.00025896245	1.3564423	0.008743976	0.114374995	127.0	79.86110377311707	0.0	0.0	0.0	0.0	0.0
3	0.4655013	0.16500144	0.7439787	0.17323616	500.0	0.070634216	0.018046133	0.11787597	0.0022301115	64000	-9.313226e-09	0.0013345715	-0.01009104	-0.0005681977	1.3564423	0.008094881	0.0940625	127.0	103.48036241531372	0.0	0.0	0.0	0.0	0.0
4	0.7692979	0.33573383	1.6327245	0.25321794	500.0	0.10503479	0.022628175	0.16233727	0.041937426	80000	3.7252903e-09	0.0047911108	-0.0116410125	-0.0029795477	1.3564423	0.007821497	0.10106251	127.0	131.11186289787292	0.0	0.0	0.0	0.0	0.0
5	1.0365355	0.2925139	1.5599439	0.6082372	500.0	0.16416147	0.04187772	0.29318944	0.068968676	96000	-2.4214387e-08	0.005631268	-0.012686673	-0.003077456	1.3564423	0.008878533	0.1175	127.0	158.00742363929749	0.0	0.0	0.0	0.0	0.0
6	1.7487538	0.6318923	4.242915	0.74262536	500.0	0.27340832	0.058369085	0.44609112	0.09573887	112000	3.1664968e-08	0.025991268	-0.00960234	-0.016485818	1.3564423	0.005715871	0.08525	127.0	185.840665102005	0.0	0.0	0.0	0.0	0.0
7	2.3893194	0.730557	5.5712194	1.2179816	500.0	0.40637654	0.117106766	0.8306126	0.07804536	128000	-2.6077032e-08	0.030641403	-0.011237584	-0.019110944	1.3564423	0.0077783475	0.11162499	127.0	212.4315013885498	0.0	0.0	0.0	0.0	0.0
8	2.744239	0.99286044	6.9734635	1.4406893	500.0	0.5428574	0.16468075	1.179677	0.15144739	144000	-7.450581e-09	0.044764638	-0.00851348	-0.02466271	1.3564423	0.009580527	0.106374994	127.0	237.1101632118225	0.0	0.0	0.0	0.0	0.0
9	3.5813723	1.4059215	8.487012	1.9691098	500.0	0.8047178	0.334341	1.836728	0.10421847	160000	-1.1175871e-08	0.07457284	-0.010118581	-0.030849157	1.3564423	0.0066834823	0.10625	127.0	264.35166215896606	0.0	0.0	0.0	0.0	0.0
10	3.7216508	1.1430181	7.9949474	2.5604413	500.0	0.89197534	0.3405076	2.3891654	0.057489607	176000	1.6763806e-08	0.032417245	-0.011248912	-0.012593658	1.3564423	0.0071400134	0.095750004	127.0	290.6964566707611	0.0	0.0	0.0	0.0	0.0
11	4.5152106	2.4009948	11.647002	1.5140882	500.0	1.0653764	0.5299597	2.964662	0.14486355	192000	1.1175871e-08	0.112096086	-0.0068093515	-0.04130792	1.3564423	0.006262973	0.069125004	127.0	316.28560876846313	0.0	0.0	0.0	0.0	0.0
12	5.270409	3.109801	12.614264	1.3767935	500.0	1.2871144	0.8117855	3.8918746	0.18869062	208000	7.450581e-09	0.09426761	-0.010384678	-0.019770022	1.3564423	0.008223858	0.087375	127.0	341.9081828594208	0.0	0.0	0.0	0.0	0.0
13	7.1145926	4.845966	17.930212	2.1472774	500.0	1.8013943	1.2574126	4.900949	-0.019403348	224000	-1.4901161e-08	0.3579401	-0.005578073	-0.09266576	1.3564423	0.0049290517	0.04275	127.0	366.9633696079254	0.0	0.0	0.0	0.0	0.0
14	9.19907	6.5149155	20.548985	1.1111811	500.0	2.0259688	1.4192142	5.2466607	-0.07726381	240000	-1.3969839e-08	0.45719576	-0.0075502205	-0.1725625	1.3564423	0.0076003703	0.0728125	127.0	395.28990650177	0.0	0.0	0.0	0.0	0.0
15	8.697625	7.124799	21.712864	0.5809022	500.0	2.3339474	1.8440739	6.0078998	-0.25810885	256000	0.0	0.48135078	-0.0077763572	-0.09946307	1.3564423	0.0047340533	0.0638125	127.0	421.29163002967834	0.0	0.0	0.0	0.0	0.0
16	13.410994	8.391406	26.328209	1.2426664	500.0	3.1802597	1.9295633	6.440871	-0.080084756	272000	-2.2351742e-08	0.70862615	-0.0070877625	-0.2367838	1.3564423	0.0055689793	0.058624998	127.0	446.5529065132141	0.0	0.0	0.0	0.0	0.0
17	12.594806	8.857609	29.329823	1.973467	500.0	2.9374115	2.4967754	7.2683835	-0.884842	288000	1.1175871e-08	0.85330594	-0.008987629	-0.22749282	1.3564423	0.008137155	0.0741875	127.0	473.05541491508484	0.0	0.0	0.0	0.0	0.0
18	19.192104	9.368776	33.482494	0.98428744	500.0	4.491828	2.1795352	7.832533	-0.20250693	304000	0.0	1.1966796	-0.0084369425	-0.3796202	1.3564423	0.0058516953	0.067499995	127.0	499.56211972236633	0.0	0.0625	0.0	0.0	0.0
19	24.319386	7.0574274	34.15971	3.0242305	500.0	5.423484	2.5253024	8.996073	-1.0607022	320000	-1.8626451e-09	1.3544135	-0.009349994	-0.4686388	1.3564423	0.005960677	0.0700625	127.0	526.2665684223175	0.0	0.125	0.0	0.0	0.0
20	22.494436	9.555094	37.461304	2.0808294	500.0	5.694544	2.86148	9.572893	-0.5957421	336000	-1.8626451e-08	1.1037366	-0.009648128	-0.08378786	1.3564423	0.0067825094	0.0785625	127.0	552.652360200882	0.0	0.09375	0.0	0.0	0.0
21	25.053734	11.565153	38.195187	1.2661861	500.0	6.01497	2.8419025	9.792647	-1.5232948	352000	-4.656613e-09	1.3387091	-0.00988644	-0.37266323	1.3564423	0.006268915	0.07075	127.0	580.0696129798889	0.0	0.0	0.0	0.0	0.0
22	24.34406	11.32848	36.6373	1.4924268	500.0	6.240157	3.0420816	10.117179	-0.8309039	368000	-7.450581e-09	1.1993916	-0.008828038	-0.16676816	1.3564423	0.0062564756	0.062	127.0	604.8573520183563	0.0	0.0625	0.0	0.0	0.0
23	25.114025	11.651983	36.094624	1.5293399	500.0	6.3808637	3.1531663	10.188835	-0.6385904	384000	1.4901161e-08	1.1120508	-0.009557234	-0.12232821	1.3564423	0.0061380477	0.05625	127.0	629.2147088050842	0.0	0.03125	0.0	0.0	0.0
24	26.228567	9.969557	36.15964	1.3551395	500.0	6.8253026	2.9117692	10.135406	-0.30035695	400000	-1.6763806e-08	1.4928446	-0.009261991	-0.23866847	1.3564423	0.00608664	0.06125	127.0	652.7536296844482	0.0	0.28125	0.0	0.0	0.0
