Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.23745319	0.08985958	0.5340966	0.09097867	500.0	0.0733295	0.024951221	0.13052467	-0.012835611	16000	1.8626451e-09	0.0023420632	-0.007245901	-0.0017127023	1.3564423	0.008007176	0.068937495	127.0	23.98470449447632	0.0	0.0	0.0	0.0	0.0
1	0.27737677	0.1326891	0.61579084	0.07295179	500.0	0.047932953	0.011737738	0.08645108	0.019069545	32000	7.450581e-09	0.00089905463	-0.0081624	-0.00038763398	1.3564423	0.0059022508	0.073125	127.0	44.92292857170105	0.0	0.0	0.0	0.0	0.0
2	0.40003476	0.14916658	0.93095255	0.10444914	500.0	0.057487305	0.022358865	0.10812926	0.0014140178	48000	-2.6077032e-08	0.00095850334	-0.013222181	-0.00031884084	1.3564423	0.009746909	0.1413125	127.0	64.5208261013031	0.0	0.0	0.0	0.0	0.0
3	0.6098404	0.20821936	1.331926	0.2889655	500.0	0.09310964	0.023258623	0.14151269	0.008820852	64000	2.2351742e-08	0.002234774	-0.01143449	-0.0010755202	1.3564423	0.00828322	0.106000006	127.0	85.56635689735413	0.0	0.0	0.0	0.0	0.0
4	0.8346589	0.30977234	1.6648183	0.4104286	500.0	0.13321029	0.027002031	0.22172314	0.0354707	80000	-7.450581e-09	0.003913728	-0.014220928	-0.0020069012	1.3564423	0.009004107	0.128625	127.0	106.13703536987305	0.0	0.0	0.0	0.0	0.0
5	1.7544308	0.6048596	3.2058923	0.74085104	500.0	0.21393009	0.04508009	0.3696438	0.09809603	96000	-3.7252903e-08	0.039080195	-0.010382348	-0.025590118	1.3564423	0.0076732566	0.100250006	127.0	126.03850317001343	0.0	0.0	0.0	0.0	0.0
6	3.2878137	1.5690365	7.860464	1.2747396	500.0	0.44587424	0.12258075	0.80802786	0.15753822	112000	-3.7252903e-09	0.20149237	-0.006560899	-0.116063766	1.3564423	0.0062565384	0.069437504	127.0	151.40545678138733	0.0	0.0	0.0	0.0	0.0
7	5.134433	1.7692897	9.3194685	2.143217	500.0	0.8837527	0.3422466	1.5789398	0.09823686	128000	3.7252903e-09	0.30262583	-0.008417036	-0.17842615	1.3564423	0.0077577718	0.101375	127.0	180.0990104675293	0.0	0.0	0.0	0.0	0.0
8	8.419062	3.0474498	15.478729	2.866613	500.0	1.4486942	0.64837474	2.7932298	-0.17403752	144000	-2.2351742e-08	0.9156835	-0.007812195	-0.51259273	1.3564423	0.0071890913	0.075875	127.0	208.39047765731812	0.0	0.0	0.0	0.0	0.0
9	13.41481	4.626187	20.628311	3.9294255	500.0	2.3672135	1.1076804	4.4226155	-0.08568576	160000	-7.450581e-09	2.1075962	-0.009141713	-1.2098186	1.3564423	0.006656657	0.0843125	127.0	228.2544972896576	0.0	0.0	0.0	0.0	0.0
10	17.586231	4.2968245	24.429857	8.377387	500.0	3.7398238	1.6850494	6.2318473	-0.8390865	176000	-1.4901161e-08	1.4922824	-0.010588723	-0.6044494	1.3564423	0.0076409485	0.10206251	127.0	251.92368364334106	0.0	0.0	0.0	0.0	0.0
11	21.803036	4.532523	29.701391	11.81919	500.0	4.7326603	1.8451661	7.204945	-0.49285987	192000	1.6763806e-08	1.6623368	-0.00924	-0.61178	1.3564423	0.0042713587	0.078	127.0	274.83966851234436	0.0	0.0625	0.0	0.0	0.0
12	24.954111	3.5372303	31.618979	15.936113	500.0	5.6947694	2.176522	8.110952	-0.35688722	208000	1.4901161e-08	1.2527033	-0.009783702	-0.34031346	1.3564423	0.0064354353	0.083375	127.0	295.96045207977295	0.0	0.0	0.0	0.0	0.0
13	27.032494	6.1199107	44.784603	6.790185	500.0	6.309023	2.3739061	8.860387	0.15404794	224000	-2.9802322e-08	2.1504798	-0.01013618	-0.33589602	1.3564423	0.00701039	0.0916875	127.0	317.55859756469727	0.0	0.1875	0.0	0.0	0.0
14	26.56172	5.461183	36.380905	15.834485	500.0	7.1069527	2.4913974	9.448307	0.4250437	240000	3.7252903e-09	1.6294744	-0.0084527405	-0.24924445	1.3564423	0.007854739	0.056625	127.0	340.06289625167847	0.0	0.0	0.0	0.0	0.0
15	27.515354	5.427011	37.840496	13.716116	500.0	6.8666215	2.3610013	9.209225	1.0520649	256000	-1.7695129e-08	1.5328248	-0.009679003	-0.104348585	1.3564423	0.0078529855	0.070999995	127.0	361.3762848377228	0.0	0.09375	0.0	0.0	0.0
16	29.013493	5.3564463	43.65158	17.529415	500.0	7.082394	2.2246299	9.354006	1.2977581	272000	2.4214387e-08	1.6436493	-0.008672323	-0.09005413	1.3564423	0.006961217	0.061000004	127.0	382.1952829360962	0.0	0.0625	0.0	0.0	0.0
17	29.86853	5.688234	38.283962	15.881565	500.0	7.249259	2.192929	9.18198	1.3376479	288000	-2.9802322e-08	1.8635826	-0.008233855	-0.1378775	1.3564423	0.006290367	0.06275	127.0	406.3597195148468	0.0	0.0	0.0	0.0	0.0
18	32.29177	5.500251	41.35753	15.154735	500.0	7.347873	2.2219634	9.433766	0.8829412	304000	4.0978193e-08	2.107562	-0.00997442	-0.4350821	1.3564423	0.0090922145	0.0775	127.0	429.87474179267883	0.0	0.3125	0.0	0.0	0.0
19	34.00898	5.855933	44.28321	19.838394	500.0	7.9782443	2.3005936	10.255982	-0.17918414	320000	-2.142042e-08	2.072895	-0.009444306	-0.15791473	1.3564423	0.009044634	0.070125	127.0	452.36302495002747	0.0	0.25	0.0	0.0	0.0
