Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20359953	0.08077907	0.42204812	0.080962166	500.0	0.07612811	0.025112867	0.13711157	-0.0059430115	16000	2.4214387e-08	0.0025100713	-0.0069670547	-0.0019408038	1.3564423	0.0073860805	0.061750002	127.0	27.041658878326416	0.0	0.0	0.0	0.0	0.0
1	0.20122175	0.0905414	0.4647634	0.049182	500.0	0.04451369	0.008165484	0.07142367	0.01785165	32000	-1.4901161e-08	0.00061234774	-0.0068304874	-0.00031769724	1.3564423	0.005432154	0.0616875	127.0	51.61065340042114	0.0	0.0	0.0	0.0	0.0
2	0.29130158	0.1269417	0.6357394	0.07630393	500.0	0.042044535	0.014692502	0.07676738	-0.00047731958	48000	0.0	0.0006659762	-0.010166058	-0.00024075212	1.3564423	0.009154614	0.1200625	127.0	76.14731907844543	0.0	0.0	0.0	0.0	0.0
3	0.45208794	0.16370985	0.7336335	0.16908619	500.0	0.07073601	0.01764759	0.11894681	0.002838986	64000	-2.7939677e-09	0.0012820219	-0.009887187	-0.00054641184	1.3564423	0.008038675	0.0945	127.0	98.54542994499207	0.0	0.0	0.0	0.0	0.0
4	0.74429965	0.33284593	1.5211282	0.24125604	500.0	0.1021062	0.021083077	0.15941794	0.04615179	80000	-2.9802322e-08	0.004498678	-0.01155523	-0.0028279354	1.3564423	0.007836925	0.1003125	127.0	120.79062962532043	0.0	0.0	0.0	0.0	0.0
5	0.98740494	0.28915462	1.5497415	0.5881261	500.0	0.15793276	0.042369165	0.29954144	0.06786387	96000	2.2351742e-08	0.004165942	-0.014630751	-0.002141104	1.3564423	0.009491705	0.133	127.0	143.70899271965027	0.0	0.0	0.0	0.0	0.0
6	1.7339203	0.6370475	4.315553	0.7894538	500.0	0.27332947	0.059973348	0.4371939	0.09793304	112000	2.2351742e-08	0.025231004	-0.009325264	-0.015608841	1.3564423	0.0049174293	0.0818125	127.0	166.7482340335846	0.0	0.0	0.0	0.0	0.0
7	2.3173172	0.7031396	5.4758906	1.2497164	500.0	0.40518495	0.11573359	0.8364852	0.08778794	128000	-1.4901161e-08	0.026476812	-0.011346851	-0.015181674	1.3564423	0.008188997	0.115187496	127.0	190.2931830883026	0.0	0.0	0.0	0.0	0.0
8	2.686474	0.99730104	7.2157326	1.4565419	500.0	0.52888423	0.16250785	1.1650805	0.14400494	144000	-5.5879354e-08	0.045238078	-0.00848033	-0.022875559	1.3564423	0.009815887	0.109437495	127.0	211.0496346950531	0.0	0.0	0.0	0.0	0.0
9	3.5713363	1.3947185	8.375908	2.3332179	500.0	0.7900799	0.3313218	1.8084025	0.1136299	160000	-1.4901161e-08	0.07622356	-0.008995733	-0.030723743	1.3564423	0.0061789462	0.09525	127.0	232.7350640296936	0.0	0.0	0.0	0.0	0.0
10	3.62	1.1019349	8.005909	2.4074779	500.0	0.8623108	0.3284025	2.328749	0.069925904	176000	1.3038516e-08	0.029933697	-0.011332918	-0.011137255	1.3564423	0.0074881325	0.1019375	127.0	254.5382046699524	0.0	0.0	0.0	0.0	0.0
11	4.586919	2.4712114	11.915554	1.625117	500.0	1.0609688	0.5346582	2.8633158	0.1840827	192000	1.1175871e-08	0.11933952	-0.006678509	-0.04466418	1.3564423	0.005743616	0.071	127.0	278.37116026878357	0.0	0.0	0.0	0.0	0.0
12	5.2011824	3.327627	13.01983	1.0438629	500.0	1.2684995	0.8194948	3.8768153	0.18066525	208000	3.7252903e-09	0.1054109	-0.009937955	-0.022991436	1.3564423	0.008468128	0.0885	127.0	301.5458309650421	0.0	0.0	0.0	0.0	0.0
13	7.1822205	5.031377	18.536476	1.251387	500.0	1.7649434	1.2500736	4.901219	0.02088099	224000	-7.450581e-09	0.33499393	-0.0057618297	-0.060614884	1.3564423	0.0056950087	0.0505625	127.0	323.8707962036133	0.0	0.0	0.0	0.0	0.0
14	10.33799	6.460913	21.658148	1.0550826	500.0	2.3384385	1.4573733	5.3044443	-0.0672934	240000	-9.313226e-09	0.5516785	-0.0071865744	-0.16588053	1.3564423	0.007535472	0.0690625	127.0	346.48943519592285	0.0	0.0	0.0	0.0	0.0
15	9.674857	7.2633133	22.994148	0.7252644	500.0	2.4899914	1.9532964	6.6095476	-0.67551595	256000	-6.519258e-09	0.4704118	-0.006777431	-0.07749096	1.3564423	0.004288172	0.0558125	127.0	371.213223695755	0.0	0.0	0.0	0.0	0.0
