Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.39001942	0.16723785	0.8440872	0.11720798	500.0	0.04434188	0.02693231	0.13252723	-0.0514843	16000	1.8626451e-08	0.0039190906	-0.00511817	-0.0024984097	1.3564423	0.007616696	0.047624998	127.0	25.781403303146362	0.0	0.0	0.0	0.0	0.0
1	0.48999584	0.27830225	1.5720657	0.14170901	500.0	0.06619298	0.030878743	0.15350565	-0.018149987	32000	0.0	0.0029337946	-0.008897477	-0.00096553843	1.3564423	0.006868095	0.09900001	127.0	50.234713554382324	0.0	0.0	0.0	0.0	0.0
2	0.83621	0.412792	2.4910493	0.3292387	500.0	0.102866895	0.0370274	0.20835115	-0.009203801	48000	-6.0535967e-09	0.006838712	-0.012524199	-0.0028944686	1.3564423	0.008661972	0.1281875	127.0	72.8648419380188	0.0	0.0	0.0	0.0	0.0
3	1.2830359	0.71155024	3.889196	0.44225597	500.0	0.18243042	0.056419384	0.33683735	0.033467874	64000	1.4901161e-08	0.022474539	-0.010277856	-0.008952124	1.3564423	0.008940814	0.113125004	127.0	97.58659386634827	0.0	0.0	0.0	0.0	0.0
4	2.662861	1.8284991	8.1956215	0.5150891	500.0	0.3403427	0.107752874	0.66118795	0.1239486	80000	0.0	0.2052148	-0.006615444	-0.12103844	1.3564423	0.0075469	0.0750625	127.0	120.73918199539185	0.0	0.0	0.0	0.0	0.0
5	6.7108	4.9029703	18.26068	0.8859064	500.0	0.7403705	0.3954378	1.9014915	-0.12506972	96000	-1.4901161e-08	1.4951773	-0.006471859	-0.924557	1.3564423	0.006621861	0.0658125	127.0	141.94179677963257	0.0	0.0	0.0	0.0	0.0
6	10.652971	6.622353	21.74295	1.0683237	500.0	1.8389736	1.1750891	4.21528	-0.12695353	112000	0.0	1.6713129	-0.0069350987	-0.7846643	1.3564423	0.0043058246	0.07700001	127.0	163.66299486160278	0.0	0.0	0.0	0.0	0.0
7	14.07953	6.362754	27.199465	0.754955	500.0	3.0243769	1.753498	6.0425725	-0.4822672	128000	-2.2351742e-08	1.5349336	-0.00901458	-0.45399585	1.3564423	0.008683342	0.09425001	127.0	185.99976444244385	0.0	0.0	0.0	0.0	0.0
8	20.307503	4.640491	35.76549	13.260755	500.0	4.5338044	1.5953715	6.84675	0.011025213	144000	0.0	2.1034153	-0.0073094033	-0.5802095	1.3564423	0.0051262057	0.069875	127.0	206.57151460647583	0.0	0.0	0.0	0.0	0.0
9	16.040825	8.155831	30.924576	0.6601674	500.0	4.5934515	1.5639664	6.508935	0.69087696	160000	1.4901161e-08	1.6860756	-0.008335141	-0.5429188	1.3564423	0.0077957646	0.073125	127.0	228.2866108417511	0.0	0.0	0.0	0.0	0.0
10	22.521458	7.9911103	36.353355	1.2767684	500.0	4.480262	1.526492	6.3875766	0.085808575	176000	-7.450581e-09	3.0911486	-0.0076914355	-0.81114143	1.3564423	0.0069555696	0.0638125	127.0	252.6556317806244	0.0	0.0	0.0	0.0	0.0
11	21.56287	7.2471886	38.53216	1.0937396	500.0	5.375275	1.5904981	6.7688622	0.43745446	192000	-7.450581e-09	1.9912257	-0.0071719624	-0.26021647	1.3564423	0.00576381	0.051125	127.0	276.137309551239	0.0	0.0	0.0	0.0	0.0
12	23.875172	5.3459244	38.21031	17.642614	500.0	5.4308105	1.0149856	6.1925235	1.155591	208000	2.2351742e-08	2.0035627	-0.008005433	-0.17353417	1.3564423	0.0064324737	0.066062495	127.0	298.9780068397522	0.0	0.0	0.0	0.0	0.0
13	22.510052	6.1038623	38.07471	1.5478624	500.0	5.471825	0.9469851	6.0285482	0.91043293	224000	-1.8626451e-09	1.7023271	-0.008523276	-0.2103221	1.3564423	0.006252004	0.0655625	127.0	321.6030979156494	0.0	0.0	0.0	0.0	0.0
14	24.148163	6.5128064	42.963943	2.118974	500.0	5.177289	0.98880976	5.7904935	1.0339648	240000	1.4901161e-08	1.740341	-0.008126077	-0.23574042	1.3564423	0.0063991845	0.0579375	127.0	343.2457182407379	0.0	0.0	0.0	0.0	0.0
15	25.78584	8.946012	49.072422	1.994646	500.0	5.429073	1.0812926	5.981228	0.08956857	256000	-2.2351742e-08	3.1933792	-0.008142516	-0.31553584	1.3564423	0.009736227	0.0731875	127.0	365.695365190506	0.0	0.0	0.0	0.0	0.0
16	24.964031	9.096921	41.645107	1.456813	500.0	5.410787	1.6983848	6.4475927	-1.6130962	272000	3.7252903e-09	1.6444669	-0.00828735	-0.14545782	1.3564423	0.0067227697	0.0590625	127.0	389.34960651397705	0.0	0.0	0.0	0.0	0.0
17	29.166447	8.597021	49.020626	2.2041218	500.0	5.975176	1.1790414	6.708745	0.6391252	288000	-7.450581e-09	2.8563051	-0.008502207	-0.3319606	1.3564423	0.0071917498	0.072375	127.0	413.4163248538971	0.0	0.0	0.0	0.0	0.0
18	29.655651	3.4255412	37.16205	23.70323	500.0	6.498357	0.94440895	7.2202015	0.31201816	304000	-1.4901161e-08	0.8161665	-0.008735038	-0.075504944	1.3564423	0.0055100378	0.0671875	127.0	437.25750279426575	0.0	0.0	0.0	0.0	0.0
19	29.02625	9.052828	46.04888	0.86633974	500.0	6.2701793	1.7070441	7.3202715	-2.2715437	320000	2.6077032e-08	1.5858071	-0.00878064	-0.12422913	1.3564423	0.008007815	0.0720625	127.0	461.637273311615	0.0	0.0	0.0	0.0	0.0
20	31.67611	5.487508	50.987514	21.873323	500.0	6.7633553	1.1176895	7.68905	0.38256454	336000	5.5879354e-09	1.5236297	-0.0076547842	-0.14495608	1.3564423	0.005071355	0.061249994	127.0	487.94822335243225	0.0	0.03125	0.0	0.0	0.0
21	34.57106	6.7479763	53.562477	22.12367	500.0	7.0289497	1.0031266	7.8151245	1.8815216	352000	-2.2351742e-08	2.268196	-0.007355975	-0.46073276	1.3564423	0.0043867696	0.06325	127.0	512.931791305542	0.0	0.0	0.0	0.0	0.0
22	34.024612	6.719257	50.05742	24.87772	500.0	7.5212245	1.2053918	8.551509	1.4338518	368000	0.0	2.1333923	-0.009492299	-0.10175869	1.3564423	0.006960048	0.0741875	127.0	537.1738886833191	0.0	0.0	0.0	0.0	0.0
23	33.7909	8.952483	52.80792	2.5564377	500.0	7.589818	1.2635472	8.681478	2.0854304	384000	-1.1175871e-08	2.0721807	-0.00857907	-0.17597505	1.3564423	0.007766931	0.071812496	127.0	560.3835034370422	0.0	0.0	0.0	0.0	0.0
24	32.86615	6.882083	47.686615	4.089599	500.0	7.5232472	1.3688422	8.830957	1.0844105	400000	-2.3283064e-08	1.0784953	-0.0092217	-0.22760999	1.3564423	0.006637034	0.0699375	127.0	584.3976683616638	0.0	0.0	0.0	0.0	0.0
25	34.692127	8.076683	49.254604	6.455369	500.0	7.5077915	1.2481307	8.534161	1.9004546	416000	-7.450581e-09	1.6237478	-0.010498004	-0.2407793	1.3564423	0.007039263	0.077250004	127.0	607.2206082344055	0.0	0.0	0.0	0.0	0.0
26	35.065853	2.8473742	45.63587	30.581425	500.0	7.8242893	1.1148936	8.919923	1.5389631	432000	-1.4901161e-08	0.6989024	-0.012109916	-0.037450343	1.3564423	0.0071376986	0.09262501	127.0	631.9126555919647	0.0	0.0	0.0	0.0	0.0
27	37.249123	4.8183303	47.729507	26.074348	500.0	7.920392	1.0166279	8.796308	2.5991914	448000	-9.313226e-09	1.1270006	-0.008398072	-0.16362312	1.3564423	0.006130126	0.068625	127.0	654.5435733795166	0.0	0.0625	0.0	0.0	0.0
28	36.77648	7.0525236	50.641434	21.04215	500.0	8.030916	1.1800942	9.126998	1.7206867	464000	2.9802322e-08	1.5426167	-0.010273059	-0.24817616	1.3564423	0.006819647	0.077250004	127.0	677.50195479393	0.0	0.0625	0.0	0.0	0.0
29	37.4081	6.399228	53.010227	18.904879	500.0	8.410477	1.1228294	9.473179	2.6242158	480000	2.2351742e-08	1.1723154	-0.00982835	-0.17102021	1.3564423	0.009893058	0.079375	127.0	701.260986328125	0.0	0.03125	0.0	0.0	0.0
