Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.97825825	0.81097716	3.096105	0.1418484	500.0	0.044252943	0.013153246	0.08374679	-0.0022277106	16000	-4.4703484e-08	0.044362493	-0.00521054	-0.019788384	1.3564423	0.007652504	0.048	127.0	26.64609432220459	0.0	0.0	0.0	0.0	0.0
1	1.6906633	1.3228915	4.7604184	0.18031442	500.0	0.1595751	0.060304232	0.29417354	-0.056525625	32000	3.9115548e-08	0.08347394	-0.0063069304	-0.026725583	1.3564423	0.0058793398	0.059062503	127.0	48.84264826774597	0.0	0.0	0.0	0.0	0.0
2	2.873127	2.5819628	11.648186	0.33776778	500.0	0.32287332	0.1044813	0.58272165	-0.034614764	48000	-2.2351742e-08	0.31062233	-0.006342535	-0.0786739	1.3564423	0.0063012093	0.0749375	127.0	71.73523330688477	0.0	0.0	0.0	0.0	0.0
3	6.997761	5.5719876	21.668842	0.48921597	500.0	0.6544798	0.1688835	1.1329691	0.030431028	64000	4.4703484e-08	1.789703	-0.006596091	-0.7714937	1.3564423	0.0068011777	0.06475	127.0	95.68283128738403	0.0	0.0	0.0	0.0	0.0
4	9.260576	6.132083	22.756615	0.7325732	500.0	1.6187276	0.36001524	2.5972319	0.3597259	80000	0.0	1.991849	-0.008317246	-0.8457009	1.3564423	0.007876053	0.07637501	127.0	118.0189299583435	0.0	0.0	0.0	0.0	0.0
5	17.21041	7.925391	32.969162	3.696892	500.0	2.3697608	0.7480277	3.9541097	0.109359115	96000	-1.8626451e-08	5.508911	-0.008155677	-2.8708851	1.3564423	0.00474434	0.071624994	127.0	140.06760668754578	0.0	0.0	0.0	0.0	0.0
6	22.589766	8.375496	42.780647	6.872069	500.0	4.2158804	1.3368745	6.4276786	-0.004945766	112000	-3.7252903e-09	4.7196045	-0.008756809	-1.5991513	1.3564423	0.00546199	0.0725625	127.0	163.2700436115265	0.0	0.0	0.0	0.0	0.0
7	26.84962	7.499419	43.912518	14.137486	500.0	5.409629	1.7522485	8.0695305	-0.17391598	128000	1.1175871e-08	5.1796627	-0.0089468	-1.2459548	1.3564423	0.008919114	0.0878125	127.0	185.74784445762634	0.0	0.25	0.0	0.0	0.0
8	26.374897	9.36093	56.12743	8.733605	500.0	6.964581	1.9383644	9.036399	-0.76210004	144000	-2.6077032e-08	4.9727144	-0.008647479	-0.7864323	1.3564423	0.006210087	0.07225	127.0	210.28139853477478	0.0	0.0625	0.0	0.0	0.0
9	31.051193	6.674066	44.10518	17.806355	500.0	6.4246655	1.5533061	8.253218	-0.19960585	160000	1.1175871e-08	3.679325	-0.009924275	-0.7403496	1.3564423	0.008004574	0.086500004	127.0	234.5376739501953	0.0	0.03125	0.0	0.0	0.0
