Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.4912209	0.30033794	1.2214235	0.10309665	500.0	0.08790265	0.014017072	0.1263896	0.02996777	16000	1.1175871e-08	0.0053262673	-0.0050768126	-0.0021574004	1.3564423	0.008032942	0.0540625	127.0	24.978076696395874	0.0	0.0	0.0	0.0	0.0
1	0.77422285	0.5293162	2.1363246	0.0773476	500.0	0.0923792	0.03367233	0.16528271	-0.012502471	32000	-2.7008355e-08	0.011424316	-0.0058240895	-0.0041293167	1.3564423	0.0060945936	0.064875	127.0	44.99809265136719	0.0	0.0	0.0	0.0	0.0
2	1.0982544	0.7598858	3.6220152	0.2161343	500.0	0.14980954	0.055265248	0.31338382	-0.007312715	48000	-3.7252903e-09	0.018805364	-0.008093152	-0.006404776	1.3564423	0.007320161	0.0940625	127.0	66.35415387153625	0.0	0.0	0.0	0.0	0.0
3	2.0262833	1.4008527	6.0668	0.42021608	500.0	0.26669872	0.08062788	0.4486793	-0.031037234	64000	-5.9604645e-08	0.06773771	-0.008834346	-0.034162596	1.3564423	0.007324216	0.086500004	127.0	87.61171627044678	0.0	0.0	0.0	0.0	0.0
4	3.4466052	1.8973882	9.152198	0.7156874	500.0	0.52309424	0.1589609	1.0378242	0.045094598	80000	2.9802322e-08	0.15920503	-0.011068328	-0.094568245	1.3564423	0.009118757	0.10525	127.0	108.50518417358398	0.0	0.0	0.0	0.0	0.0
5	8.312603	4.6780677	22.675173	2.0247798	500.0	0.9298655	0.3381364	1.7302635	0.10219561	96000	-4.0978193e-08	1.7394005	-0.0073490543	-1.0776248	1.3564423	0.005894564	0.0703125	127.0	132.34317326545715	0.0	0.0	0.0	0.0	0.0
6	13.399433	6.146307	25.908579	2.503799	500.0	2.2162569	0.8116909	3.9405935	0.04340757	112000	1.4901161e-08	2.3952408	-0.0073564695	-1.3182695	1.3564423	0.004978808	0.0639375	127.0	152.61610221862793	0.0	0.0625	0.0	0.0	0.0
7	14.678605	4.5484786	27.012655	6.739369	500.0	3.2018614	1.4079902	5.972391	-0.65099484	128000	2.2351742e-08	1.0944797	-0.0102737155	-0.3083729	1.3564423	0.006919244	0.095375	127.0	173.68080878257751	0.0	0.0	0.0	0.0	0.0
8	20.011364	6.6943192	35.699596	10.368428	500.0	4.143583	1.5208404	6.488073	-0.71981794	144000	7.450581e-09	1.9745998	-0.009181945	-0.5200755	1.3564423	0.0063641006	0.0803125	127.0	196.54262328147888	0.0	0.0	0.0	0.0	0.0
9	21.054619	5.039631	33.15763	11.464033	500.0	4.715512	1.6804264	7.2345123	-0.62349135	160000	-1.8626451e-08	1.6899544	-0.008479217	-0.3374938	1.3564423	0.0072442917	0.063250005	127.0	216.33743858337402	0.0	0.0	0.0	0.0	0.0
