Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.4912209	0.30033794	1.2214235	0.10309665	500.0	0.08790265	0.014017072	0.1263896	0.02996777	16000	1.1175871e-08	0.0053262673	-0.0050768126	-0.0021574004	1.3564423	0.008032942	0.0540625	127.0	25.40838360786438	0.0	0.0	0.0	0.0	0.0
1	0.77480555	0.5290781	2.1363246	0.0773476	500.0	0.09232211	0.03365409	0.16528271	-0.012502471	32000	-4.656613e-09	0.011424341	-0.005845488	-0.0041502444	1.3564423	0.0061634663	0.064875	127.0	47.326388120651245	0.0	0.0	0.0	0.0	0.0
2	1.0929562	0.73422635	3.375271	0.23628716	500.0	0.14972258	0.055053685	0.30199602	-0.0068912786	48000	4.0978193e-08	0.017816551	-0.008373923	-0.0058016893	1.3564423	0.0071543613	0.09425	127.0	66.53453707695007	0.0	0.0	0.0	0.0	0.0
3	2.023937	1.4064968	6.1780143	0.4202983	500.0	0.26355436	0.07868925	0.43928626	-0.027620764	64000	2.9802322e-08	0.069346085	-0.0085222535	-0.035212122	1.3564423	0.007377303	0.08475	127.0	90.52278780937195	0.0	0.0	0.0	0.0	0.0
4	3.429775	1.862314	8.778079	0.7155573	500.0	0.51984596	0.15462422	1.0039448	0.051853906	80000	1.4901161e-08	0.15627293	-0.011082215	-0.09250471	1.3564423	0.00909265	0.104375005	127.0	111.74763703346252	0.0	0.0	0.0	0.0	0.0
5	8.207915	4.6139865	22.48819	1.9851038	500.0	0.9215858	0.33193627	1.7230902	0.107173845	96000	-1.1175871e-08	1.6850294	-0.0076385997	-1.0357469	1.3564423	0.0061145104	0.073249996	127.0	130.7525565624237	0.0	0.0	0.0	0.0	0.0
6	13.107563	5.675158	25.026028	2.5215201	500.0	2.1803813	0.79387784	3.8431838	0.05016932	112000	1.0244548e-08	2.0785308	-0.0072937813	-1.2239676	1.3564423	0.0051999427	0.0678125	127.0	150.14497661590576	0.0	0.0	0.0	0.0	0.0
7	15.117279	4.500526	27.619724	6.884965	500.0	3.1570766	1.3609396	5.8037004	-0.5191609	128000	-1.4901161e-08	1.1739101	-0.009897144	-0.3982537	1.3564423	0.0072483923	0.097625	127.0	170.58842873573303	0.0	0.0	0.0	0.0	0.0
8	19.909851	6.7750983	35.430637	10.14003	500.0	4.217573	1.5417143	6.712145	-0.7344508	144000	0.0	1.8308704	-0.009197864	-0.45057687	1.3564423	0.006102187	0.0783125	127.0	191.82646894454956	0.0	0.0	0.0	0.0	0.0
9	21.223461	5.525841	33.83047	10.002935	500.0	4.730381	1.7082249	7.077707	-0.7286411	160000	2.2351742e-08	1.7098899	-0.008852708	-0.38085675	1.3564423	0.006882807	0.06025	127.0	213.81950879096985	0.0	0.0	0.0	0.0	0.0
10	24.95906	6.1450953	36.056736	12.90547	500.0	5.6081157	1.713922	8.344408	0.17747124	176000	-5.5879354e-09	1.9775298	-0.008821184	-0.22497298	1.3564423	0.005470323	0.06825	127.0	235.36101031303406	0.0	0.0	0.0	0.0	0.0
11	27.141735	8.396518	55.870037	17.070404	500.0	6.028142	1.7355403	8.719882	-0.16594024	192000	0.0	3.1602108	-0.0072563044	-0.40777984	1.3564423	0.0054185414	0.060187496	127.0	259.0902535915375	0.0	0.0625	0.0	0.0	0.0
12	28.247784	9.067632	57.077595	12.758319	500.0	6.973589	1.7054334	9.760936	-0.30902475	208000	3.7252903e-09	4.420377	-0.008418016	-0.33597305	1.3564423	0.006661183	0.059687503	127.0	280.4197006225586	0.0	0.09375	0.0	0.0	0.0
13	33.052353	9.938181	71.13433	22.217176	500.0	6.6983423	1.52818	8.688958	0.0062358957	224000	0.0	6.3352523	-0.0074731107	-1.188775	1.3564423	0.0059232926	0.063	127.0	304.40463733673096	0.0	0.1875	0.0	0.0	0.0
14	31.46899	11.501973	82.0395	14.637024	500.0	7.865901	1.8892735	9.834443	0.0493729	240000	0.0	6.2966747	-0.007063769	-0.4617222	1.3564423	0.006511797	0.05325	127.0	326.1480300426483	0.0	0.03125	0.0	0.0	0.0
15	27.420712	8.151898	39.2426	10.343793	500.0	7.6576943	1.4361025	9.118461	1.5245308	256000	-5.7742e-08	5.0298576	-0.009025386	-1.332531	1.3564423	0.009391347	0.0709375	127.0	345.8794972896576	0.0	0.125	0.0	0.0	0.0
16	32.256145	9.031895	67.572624	16.929752	500.0	6.6585197	1.1457067	7.870683	1.7861929	272000	-1.8626451e-08	4.6952477	-0.0071258885	-0.5696106	1.3564423	0.0059464043	0.0518125	127.0	369.056640625	0.0	0.03125	0.0	0.0	0.0
