Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.48525876	0.2968096	1.199035	0.10172717	500.0	0.08130739	0.014228944	0.121915855	0.023881	16000	0.0	0.0052588847	-0.0052453484	-0.0021835912	1.3564423	0.0077794148	0.0530625	127.0	24.873967170715332	0.0	0.0	0.0	0.0	0.0
1	0.7708484	0.5305654	2.1302202	0.07756801	500.0	0.090432815	0.03545181	0.16721213	-0.01954398	32000	-7.450581e-09	0.011406908	-0.005909643	-0.004091494	1.3564423	0.006204102	0.066250004	127.0	48.78132081031799	0.0	0.0	0.0	0.0	0.0
2	1.0922558	0.7596864	3.6710346	0.21906658	500.0	0.1507598	0.055336025	0.3172426	-0.015570836	48000	-7.450581e-09	0.018495344	-0.008253017	-0.006237451	1.3564423	0.007481377	0.095874995	127.0	71.56522727012634	0.0	0.0	0.0	0.0	0.0
3	2.034428	1.4008465	6.0134315	0.42292482	500.0	0.27084908	0.08194968	0.45246756	-0.026071526	64000	2.9802322e-08	0.06725864	-0.008933885	-0.03407488	1.3564423	0.007431861	0.088125	127.0	95.04126453399658	0.0	0.0	0.0	0.0	0.0
4	3.4451566	1.9877994	9.618612	0.6788961	500.0	0.5239793	0.1662674	1.0650178	0.022148766	80000	-1.4901161e-08	0.16911472	-0.011415506	-0.10217442	1.3564423	0.009288404	0.110687494	127.0	120.05488991737366	0.0	0.0	0.0	0.0	0.0
5	8.211908	4.605974	21.94244	2.0217502	500.0	0.9799913	0.37408432	1.9234205	0.089758	96000	-5.5879354e-08	1.6072615	-0.007748054	-0.9589726	1.3564423	0.00643837	0.0760625	127.0	142.52507495880127	0.0	0.0	0.0	0.0	0.0
6	12.953071	5.82871	24.149431	2.4172204	500.0	2.214563	0.8395756	3.9434195	-0.006580079	112000	-1.7229468e-08	1.9481891	-0.0068271942	-1.1433662	1.3564423	0.0047497507	0.059437502	127.0	165.7928659915924	0.0	0.0	0.0	0.0	0.0
7	14.6567745	4.546818	25.737494	6.8047876	500.0	3.1484435	1.3997751	5.9655285	-0.64481103	128000	-1.4901161e-08	1.1073325	-0.009678848	-0.3179148	1.3564423	0.007010957	0.0925625	127.0	189.77808380126953	0.0	0.0	0.0	0.0	0.0
8	19.342655	6.967977	34.16481	9.808699	500.0	4.128088	1.5033141	6.4368863	-0.7340267	144000	-4.4703484e-08	1.9267324	-0.008904979	-0.36573845	1.3564423	0.0060142362	0.0749375	127.0	213.60686779022217	0.0	0.0	0.0	0.0	0.0
9	21.115429	6.033964	33.272747	11.819133	500.0	4.5284786	1.6513406	7.072211	-0.8150562	160000	0.0	2.019127	-0.009146363	-0.53285074	1.3564423	0.0075841923	0.0645625	127.0	236.70848488807678	0.0	0.0	0.0	0.0	0.0
10	24.60978	5.955028	37.03636	13.009683	500.0	5.5568023	1.7172866	8.202279	0.09801311	176000	-5.5879354e-09	1.7876662	-0.007914601	-0.22774357	1.3564423	0.006141415	0.06475	127.0	261.97445368766785	0.0	0.0	0.0	0.0	0.0
11	27.873459	10.921452	65.40683	16.437439	500.0	5.974334	1.6821426	8.701693	-0.005834818	192000	3.7252903e-09	5.864662	-0.00701503	-0.66366905	1.3564423	0.006361232	0.0586875	127.0	287.4544942378998	0.0	0.0625	0.0	0.0	0.0
12	30.091293	11.720448	65.05584	14.436056	500.0	6.8086686	1.5723957	9.576351	0.024900962	208000	1.4901161e-08	7.0183573	-0.0073467055	-0.74095017	1.3564423	0.005334072	0.052562498	127.0	311.1525604724884	0.0	0.125	0.0	0.0	0.0
13	29.25827	9.188473	66.35051	13.869163	500.0	7.032413	1.6071081	9.316434	-0.8208729	224000	-3.7252903e-09	5.593269	-0.008903927	-0.5027261	1.3564423	0.005891951	0.0670625	127.0	333.150349855423	0.0	0.15625	0.0	0.0	0.0
14	30.398594	13.477726	90.19499	12.684606	500.0	7.1855927	1.5383018	8.94805	-0.7680016	240000	3.7252903e-09	7.998723	-0.0060603493	-0.26385152	1.3564423	0.0061762445	0.048875	127.0	354.51770424842834	0.0	0.0625	0.0	0.0	0.0
15	26.15289	8.248254	38.875324	11.261907	500.0	7.1939673	1.3359553	8.713639	0.8472847	256000	-5.5879354e-09	4.839622	-0.007856357	-1.2022341	1.3564423	0.008100556	0.05675	127.0	380.4410169124603	0.0	0.0625	0.0	0.0	0.0
