Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.12045147	0.10647669	0.37400588	0.011106889	500.0	0.12768978	0.02612955	0.1852647	0.07089469	16000	-9.313226e-09	0.007774546	-0.008772184	-0.0070583904	1.3564423	0.007489166	0.078875005	127.0	18.513593673706055	0.0	0.0	0.0	0.0	0.0
1	0.30979604	0.3888272	1.6847147	0.018730791	500.0	0.059341386	0.023897333	0.14741123	0.002354443	32000	2.6077032e-08	0.006271879	-0.005870629	-0.0023310953	1.3564423	0.0058955736	0.0628125	127.0	35.00136756896973	0.0	0.0	0.0	0.0	0.0
2	0.667392	0.5759032	2.1366038	0.049487453	500.0	0.09876939	0.03866589	0.22006613	0.018041518	48000	3.7252903e-09	0.014967317	-0.008560503	-0.006635259	1.3564423	0.008675759	0.1036875	127.0	51.80743741989136	0.0	0.0	0.0	0.0	0.0
3	1.7941024	1.6929479	7.8358045	0.40448025	500.0	0.26881322	0.10077467	0.54484504	0.0018890817	64000	2.2351742e-08	0.15142559	-0.006428823	-0.05351734	1.3564423	0.005922022	0.06725	127.0	69.19381070137024	0.0	0.0	0.0	0.0	0.0
4	3.6356573	2.9385953	13.464651	0.33245283	500.0	0.54217124	0.20641871	1.0341957	-0.2460734	80000	1.4901161e-08	0.47754407	-0.006755108	-0.1948977	1.3564423	0.0074784425	0.074	127.0	87.13020706176758	0.0	0.0	0.0	0.0	0.0
5	5.084401	4.853696	19.239603	0.65928686	500.0	0.9385814	0.36603624	1.9898655	-0.23495916	96000	1.4901161e-08	1.1179641	-0.0072183637	-0.46921995	1.3564423	0.0076733613	0.089125	127.0	104.08421397209167	0.0	0.0	0.0	0.0	0.0
6	10.123464	5.931704	26.900223	2.7300591	500.0	1.9565867	0.866307	4.5218315	-0.21851426	112000	-1.4901161e-08	2.0909636	-0.010139197	-0.6300698	1.3564423	0.008935023	0.108375	127.0	121.25185203552246	0.0	0.0	0.0	0.0	0.0
7	15.093128	6.8377223	27.576689	3.7154806	500.0	3.039351	1.3664855	5.777395	-0.48810384	128000	3.7252903e-09	3.334981	-0.007757213	-1.3362392	1.3564423	0.007534096	0.0853125	127.0	138.31465697288513	0.0	0.0	0.0	0.0	0.0
8	17.725882	6.889481	32.783253	3.8005686	500.0	4.567529	2.075331	7.7154055	-1.372094	144000	-1.6763806e-08	2.7702153	-0.008832454	-0.5023202	1.3564423	0.0046963096	0.0763125	127.0	155.3223581314087	0.0	0.0625	0.0	0.0	0.0
9	21.258228	6.356638	35.208164	3.0610313	500.0	4.9608183	2.3011904	7.888851	-1.6853392	160000	-3.1664968e-08	3.4978037	-0.009676109	-0.5082144	1.3564423	0.0076710596	0.080375	127.0	172.4022400379181	0.0	0.03125	0.0	0.0	0.0
