Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2514509	0.20612562	0.72365034	0.027684608	500.0	0.056460343	0.020870747	0.11763166	-0.017871942	16000	-1.4901161e-08	0.0024472272	-0.0058627357	-0.0015346264	1.3564423	0.0062229354	0.050125003	127.0	21.246546030044556	0.0	0.0	0.0	0.0	0.0
1	0.5070658	0.32019	1.272583	0.06619602	500.0	0.077012114	0.026140219	0.1557321	0.0018193275	32000	1.6763806e-08	0.0052645113	-0.008948729	-0.002656749	1.3564423	0.006959682	0.0803125	127.0	49.380711793899536	0.0	0.0	0.0	0.0	0.0
2	1.3112651	0.9082318	4.7566285	0.10134113	500.0	0.15430935	0.059428655	0.31753543	-0.012652112	48000	-7.450581e-09	0.06366823	-0.0067206807	-0.02871747	1.3564423	0.0064104665	0.079625	127.0	81.5833945274353	0.0	0.0	0.0	0.0	0.0
3	2.2036824	1.6603893	5.772468	0.43758786	500.0	0.32433802	0.14349763	0.76456904	-0.06867475	64000	2.9802322e-08	0.15256803	-0.008282555	-0.07732016	1.3564423	0.008360103	0.10075	127.0	107.54612731933594	0.0	0.0	0.0	0.0	0.0
4	7.27106	4.265151	16.089903	1.1340547	500.0	0.797453	0.3720067	1.681109	-0.32412508	80000	7.450581e-09	1.86672	-0.006195015	-0.98793846	1.3564423	0.006358819	0.0599375	127.0	128.3753216266632	0.0	0.0	0.0	0.0	0.0
5	11.812141	5.870675	23.591955	0.8930349	500.0	1.8127998	0.8867834	3.49744	-0.64023364	96000	-2.9802322e-08	3.1614952	-0.0072126063	-1.7502804	1.3564423	0.006018477	0.0680625	127.0	148.5396888256073	0.0	0.0	0.0	0.0	0.0
6	17.230013	6.7764163	32.57874	4.412911	500.0	3.4189346	1.7089392	5.9926133	-1.5321254	112000	0.0	3.8678625	-0.008161811	-1.3315628	1.3564423	0.0065571046	0.0775	127.0	167.0516517162323	0.0	0.0	0.0	0.0	0.0
7	20.93357	5.402536	30.009623	11.910144	500.0	4.6729856	2.1603453	7.6068625	-1.5919523	128000	-1.1175871e-08	2.900718	-0.008168299	-0.682136	1.3564423	0.0051574335	0.065625	127.0	186.68782210350037	0.0	0.0	0.0	0.0	0.0
8	21.930851	7.20886	33.656654	5.152176	500.0	5.637291	2.4005406	8.623219	-1.076629	144000	1.21071935e-08	3.8352304	-0.0068678013	-0.30803418	1.3564423	0.005469028	0.0460625	127.0	207.286474943161	0.0	0.0	0.0	0.0	0.0
9	27.154957	8.195085	47.073753	9.308244	500.0	5.9537086	2.0671132	8.34416	-0.16090117	160000	-3.7252903e-08	4.729923	-0.00920222	-0.5921926	1.3564423	0.008064064	0.0913125	127.0	229.66507530212402	0.0	0.0	0.0	0.0	0.0
10	30.1795	7.5665283	44.141586	10.79656	500.0	6.808033	2.0210667	8.803387	0.27170023	176000	-1.8626451e-09	4.105608	-0.007828286	-0.37914515	1.3564423	0.006745588	0.0628125	127.0	248.6532337665558	0.0	0.0	0.0	0.0	0.0
11	28.123436	6.6387033	41.80448	8.196707	500.0	7.4018607	1.859244	9.1483345	0.09050056	192000	-1.8626451e-08	4.0405245	-0.008358967	-0.5081427	1.3564423	0.006284759	0.0543125	127.0	267.3140609264374	0.0	0.0	0.0	0.0	0.0
12	32.476433	8.196149	47.565094	13.798341	500.0	6.919457	1.5873425	8.562261	0.9948155	208000	-2.2351742e-08	4.7230597	-0.008668985	-0.5097874	1.3564423	0.0060568852	0.06937499	127.0	287.8685956001282	0.0	0.0	0.0	0.0	0.0
13	34.05085	6.6419516	43.752357	15.391301	500.0	7.563668	1.5993638	8.99621	1.1307744	224000	1.8626451e-09	3.4177873	-0.007948654	-0.16856262	1.3564423	0.007021594	0.063374996	127.0	308.24529004096985	0.0	0.03125	0.0	0.0	0.0
14	37.991913	9.263866	71.816986	24.6744	500.0	7.955834	1.5068097	9.197545	1.643095	240000	-2.0489097e-08	6.0372148	-0.007133033	-0.6917832	1.3564423	0.0069526057	0.059062503	127.0	327.86465311050415	0.0	0.15625	0.0	0.0	0.0
15	38.101494	6.109916	52.31691	28.277554	500.0	8.631808	1.7792165	10.15021	1.4152011	256000	2.7939677e-08	2.5400898	-0.008927306	-0.17802566	1.3564423	0.007829946	0.065125	127.0	348.50965189933777	0.0	0.0625	0.0	0.0	0.0
16	41.23152	5.8770785	49.363503	19.979443	500.0	8.965265	1.7252902	10.305321	1.5078943	272000	1.4901161e-08	2.5838137	-0.00865764	-0.33386144	1.3564423	0.0064633884	0.0703125	127.0	368.00325989723206	0.0	0.0625	0.0	0.0	0.0
17	41.353786	9.926473	52.946785	0.70432156	500.0	9.386346	1.8122743	10.916473	1.2130318	288000	-7.450581e-09	4.2742414	-0.0085586365	-1.1172323	1.3564423	0.0052525764	0.059875	127.0	387.25546193122864	0.0	0.0	0.0	0.0	0.0
18	44.34738	7.225248	61.68425	22.128386	500.0	9.795532	2.076282	11.706137	-3.9040349	304000	3.0733645e-08	3.333144	-0.009157801	-0.38891283	1.3564423	0.00681212	0.073312506	127.0	409.05456352233887	0.0	0.1875	0.0	0.0	0.0
19	45.079147	7.447932	61.984642	21.618553	500.0	10.057651	2.0577328	11.9317045	-2.7697074	320000	-7.450581e-09	2.9309874	-0.010975415	-0.30194902	1.3564423	0.009076726	0.0816875	127.0	428.55987644195557	0.0	0.15625	0.0	0.0	0.0
20	46.613693	12.470207	103.66292	23.853788	500.0	10.514611	1.8851551	12.042925	1.890012	336000	-7.450581e-09	6.6589603	-0.008406867	-0.38471994	1.3564423	0.007073425	0.0769375	127.0	448.8661823272705	0.0	0.125	0.0	0.0	0.0
21	46.583515	13.355208	105.89275	27.667473	500.0	10.719347	2.0777445	12.5696125	2.3336043	352000	-1.4901161e-08	7.974048	-0.007913297	-0.6562332	1.3564423	0.008149144	0.080937505	127.0	469.59548449516296	0.0	0.25	0.0	0.0	0.0
22	47.18512	11.346545	103.14701	34.215546	500.0	10.844709	1.9666617	12.677287	2.8401275	368000	2.2351742e-08	5.2070155	-0.009337867	-0.4530022	1.3564423	0.010660162	0.0958125	127.0	490.06001567840576	0.0	0.0625	0.0	0.0	0.0
23	45.0166	5.614187	53.734398	33.5697	500.0	10.71742	2.299304	13.417098	1.66	384000	-4.656613e-09	1.7849503	-0.00958325	-0.53121954	1.3564423	0.008185245	0.07275	127.0	511.2765383720398	0.0	0.09375	0.0	0.0	0.0
24	53.072216	14.904444	111.165474	35.1008	500.0	10.841861	1.9473432	12.757494	2.5059497	400000	1.4901161e-08	10.998958	-0.007595785	-1.7742574	1.3564423	0.006983559	0.07718749	127.0	532.5652611255646	0.0	0.375	0.0	0.0	0.0
25	51.199127	15.07817	101.42258	31.8218	500.0	11.746022	2.6036375	14.415513	1.235692	416000	7.450581e-09	9.711003	-0.008911202	-0.6401913	1.3564423	0.008990962	0.0784375	127.0	553.7227056026459	0.0	0.28125	0.0	0.0	0.0
26	57.741974	19.759459	105.5637	36.974537	500.0	11.573781	2.3218055	14.022658	1.5740445	432000	-1.8626451e-09	18.177227	-0.0085630845	-3.4911532	1.3564423	0.009141018	0.09487501	127.0	573.9426436424255	0.0	0.625	0.0	0.0	0.0
27	54.511044	16.060148	117.79643	31.368332	500.0	12.989899	3.1385255	16.408203	-1.3717433	448000	-7.450581e-09	12.368998	-0.010210482	-1.3767707	1.3564423	0.008500589	0.0779375	127.0	596.1648900508881	0.0	0.3125	0.0	0.0	0.0
28	52.99043	14.800049	109.75394	38.193188	500.0	12.571012	2.6659153	15.565147	0.3105445	464000	0.0	10.380349	-0.008530933	-0.8394908	1.3564423	0.0073983027	0.0763125	127.0	615.6887218952179	0.0	0.4375	0.0	0.0	0.0
29	54.38115	17.553139	109.1223	39.19881	500.0	11.639041	2.7276986	15.1361265	0.5462031	480000	-1.4901161e-08	14.393866	-0.009774853	-1.2764044	1.3564423	0.009911062	0.093125	127.0	635.6414439678192	0.0	0.375	0.0	0.0	0.0
30	56.294117	15.07172	105.57505	41.807316	500.0	13.059141	2.5935283	15.485399	2.3162582	496000	-3.7252903e-09	10.200988	-0.0087389285	-0.20508376	1.3564423	0.0067569944	0.08325	127.0	656.409916639328	0.0	0.3125	0.0	0.0	0.0
31	57.445244	19.31821	116.437035	33.168823	500.0	12.622572	2.7785044	15.488535	1.3249493	512000	0.0	13.15679	-0.008999219	-1.3283613	1.3564423	0.0071644154	0.082499996	127.0	676.4183893203735	0.0	0.4375	0.0	0.0	0.0
32	56.709404	19.336647	112.05108	18.556046	500.0	12.669579	3.2243896	16.827501	1.4124525	528000	7.450581e-09	16.305649	-0.008940026	-3.2479222	1.3564423	0.007851047	0.083124995	127.0	696.2124092578888	0.0	0.5	0.0	0.0	0.0
33	59.14196	21.235544	116.508224	39.60979	500.0	12.957132	3.2924573	17.36882	1.4809172	544000	7.450581e-09	19.649834	-0.009833908	-1.4894264	1.3564423	0.01040539	0.0949375	127.0	717.2832310199738	0.0	0.46875	0.0	0.0	0.0
34	63.19164	22.232622	111.35485	41.4343	500.0	13.446511	3.1652863	17.154432	0.7470436	560000	-7.450581e-09	22.00385	-0.008957351	-2.5848627	1.3564423	0.0075274277	0.076562494	127.0	736.7648968696594	0.0	0.625	0.0	0.0	0.0
35	64.812454	25.43179	117.20221	39.690426	500.0	14.5372305	3.4302692	18.798857	2.4107347	576000	1.8626451e-09	23.44505	-0.01000751	-2.6774516	1.3564423	0.007046212	0.09137499	127.0	756.2532165050507	0.0	0.59375	0.0	0.0	0.0
