Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.11657987	0.10262007	0.3790129	0.012865127	500.0	0.061029702	0.02686721	0.12790132	0.014053079	16000	4.0978193e-08	0.0019910191	-0.007528742	-0.0016463131	1.3564423	0.0073597776	0.064500004	127.0	24.42047429084778	0.0	0.0	0.0	0.0	0.0
1	0.1837487	0.17582051	0.7897023	0.023244914	500.0	0.036425605	0.013154977	0.08912721	0.009023069	32000	-3.3527613e-08	0.000998497	-0.0051794136	-0.0005113903	1.3564423	0.0044276016	0.0428125	127.0	45.81286382675171	0.0	0.0	0.0	0.0	0.0
2	0.22040047	0.20942657	0.7957797	0.015819594	500.0	0.04213829	0.01463249	0.0851177	0.0048438385	48000	-7.450581e-09	0.00088545796	-0.008705687	-0.000509705	1.3564423	0.006380503	0.087625	127.0	66.90537571907043	0.0	0.0	0.0	0.0	0.0
3	0.32985777	0.38134477	1.8792562	0.022642381	500.0	0.058832463	0.029032195	0.13772155	-0.013142018	64000	1.8626451e-08	0.006316729	-0.0057827337	-0.002896472	1.3564423	0.007865746	0.0869375	127.0	89.25797438621521	0.0	0.0	0.0	0.0	0.0
4	0.26633847	0.29474822	1.2533295	0.019428026	500.0	0.0583719	0.058166213	0.23502702	-0.071893334	80000	1.1175871e-08	0.0009795108	-0.009775577	-0.00025655434	1.3564423	0.0058085877	0.0809375	127.0	108.98342323303223	0.0	0.0	0.0	0.0	0.0
5	0.30166212	0.2875861	1.1450847	0.018294647	500.0	0.06960187	0.06260129	0.3953795	-0.07802473	96000	2.2351742e-08	0.00215848	-0.0072489097	-0.00078943005	1.3564423	0.006522234	0.0791875	127.0	130.19447684288025	0.0	0.0	0.0	0.0	0.0
6	0.3674227	0.3704071	1.2248964	0.02873806	500.0	0.079230405	0.07279756	0.49502572	-0.059031297	112000	3.4458935e-08	0.003545072	-0.0074123926	-0.0013285219	1.3564423	0.008062176	0.0824375	127.0	152.19655203819275	0.0	0.0	0.0	0.0	0.0
7	0.82831055	0.83221114	4.6984086	0.06673749	500.0	0.16562207	0.15389206	0.78629273	-0.06170583	128000	3.7252903e-09	0.053302214	-0.005483337	-0.02079375	1.3564423	0.005518358	0.055875	127.0	171.2551167011261	0.0	0.0	0.0	0.0	0.0
8	0.8160779	0.71852887	3.5245447	0.05404819	500.0	0.19950432	0.21937676	1.0338115	-0.18154971	144000	1.8626451e-09	0.035293452	-0.006716314	-0.0122951465	1.3564423	0.0051886598	0.06025	127.0	192.02128982543945	0.0	0.0	0.0	0.0	0.0
9	2.0776749	1.9277948	7.152277	0.03614821	500.0	0.39869592	0.33150986	1.3267463	-0.16654652	160000	7.450581e-09	0.29431105	-0.005840282	-0.09021704	1.3564423	0.00731998	0.0635	127.0	210.52152061462402	0.0	0.0	0.0	0.0	0.0
10	3.126708	2.0381434	7.446285	0.62835795	500.0	0.7429374	0.5566561	2.2104402	-0.38342425	176000	-7.450581e-09	0.37468383	-0.006475239	-0.0676513	1.3564423	0.0058208173	0.0699375	127.0	229.9508922100067	0.0	0.0	0.0	0.0	0.0
11	7.804031	4.3476086	18.177156	1.8195163	500.0	1.0873672	0.6969789	2.5275617	-0.30822244	192000	1.1175871e-08	2.4204638	-0.00793514	-0.99977505	1.3564423	0.009053279	0.082499996	127.0	250.04433012008667	0.0	0.0	0.0	0.0	0.0
12	7.5270967	4.4433775	21.72383	0.93241864	500.0	1.8519523	1.1199862	3.7259493	-0.4542137	208000	0.0	1.2444793	-0.008094516	-0.18207897	1.3564423	0.0080001885	0.07862501	127.0	270.4277575016022	0.0	0.0	0.0	0.0	0.0
13	11.367523	4.960707	21.442911	2.0299635	500.0	2.412924	1.3530964	4.952016	-0.24953283	224000	-3.3527613e-08	2.3947659	-0.0081882905	-0.68547916	1.3564423	0.006169806	0.078125	127.0	290.68275260925293	0.0	0.03125	0.0	0.0	0.0
14	13.187866	4.2447615	22.612183	4.10833	500.0	3.3004584	1.8441677	6.9413238	-0.87769246	240000	-1.4901161e-08	2.1783433	-0.00860743	-0.5425103	1.3564423	0.008009669	0.067062505	127.0	310.5880181789398	0.0	0.0625	0.0	0.0	0.0
15	12.372272	5.7152977	24.837294	3.4529681	500.0	3.8192155	2.062214	6.8163733	-0.5825876	256000	-1.4901161e-08	2.306744	-0.009161821	-0.7311732	1.3564423	0.0065786946	0.0705625	127.0	331.4695613384247	0.0	0.0	0.0	0.0	0.0
16	13.733067	5.61507	26.223997	2.8375823	500.0	3.8739188	2.4439182	8.175212	-0.74179214	272000	7.450581e-09	1.7225635	-0.010050723	-0.09437636	1.3564423	0.008451464	0.088625	127.0	351.2208857536316	0.0	0.03125	0.0	0.0	0.0
17	16.14734	5.135234	26.878624	5.725843	500.0	4.3402567	2.5559812	7.7417936	-0.7267555	288000	-1.8626451e-08	1.704695	-0.008877271	-0.11827924	1.3564423	0.0070086215	0.0839375	127.0	372.8007621765137	0.0	0.0625	0.0	0.0	0.0
18	18.831415	5.5288844	33.99693	7.300614	500.0	4.694052	2.4163673	8.220618	-0.3669442	304000	1.8626451e-09	2.2470512	-0.009224902	-0.25462985	1.3564423	0.005589324	0.07443751	127.0	392.9026219844818	0.0	0.09375	0.0	0.0	0.0
19	22.776829	9.439315	59.80184	8.858877	500.0	5.187998	2.3594513	8.290363	-0.28878576	320000	-3.7252903e-08	5.264297	-0.007914775	-0.64158875	1.3564423	0.007966538	0.0898125	127.0	415.7877445220947	0.0	0.1875	0.0	0.0	0.0
20	25.07977	5.3429384	37.31502	17.760557	500.0	5.862749	2.5323384	8.929677	-0.22063039	336000	-1.21071935e-08	2.4657986	-0.008979488	-0.35105956	1.3564423	0.0067623467	0.067875	127.0	436.36325550079346	0.0	0.0	0.0	0.0	0.0
21	24.976894	4.6515946	34.827545	16.855715	500.0	6.354349	2.431788	9.180545	0.06849863	352000	9.313226e-09	1.8043823	-0.009949477	-0.11171043	1.3564423	0.0055368226	0.081062496	127.0	457.05159163475037	0.0	0.09375	0.0	0.0	0.0
22	29.137344	5.975928	41.750507	12.755201	500.0	6.544078	2.3812683	9.20976	-0.09371349	368000	1.8626451e-09	2.9704309	-0.010920347	-0.68232197	1.3564423	0.009123066	0.083875	127.0	476.25157260894775	0.0	0.03125	0.0	0.0	0.0
23	31.797771	13.021998	78.152954	13.03374	500.0	7.225706	2.5852985	10.295371	0.087392285	384000	-7.450581e-09	9.243112	-0.0088755395	-1.3225589	1.3564423	0.010091521	0.089625	127.0	498.3824326992035	0.0	0.28125	0.0	0.0	0.0
24	31.503462	8.028433	68.23914	19.94324	500.0	7.506091	2.9823167	11.630672	0.23029019	400000	3.7252903e-09	4.4675827	-0.008347658	-0.3479854	1.3564423	0.008708429	0.076124996	127.0	519.8223278522491	0.0	0.125	0.0	0.0	0.0
25	32.609474	7.6091247	63.50433	21.85907	500.0	8.124877	2.7208633	11.762689	0.35494018	416000	1.3038516e-08	3.9284437	-0.010014791	-0.39158553	1.3564423	0.007680678	0.0871875	127.0	540.3315303325653	0.0	0.21875	0.0	0.0	0.0
26	31.940178	7.1061964	48.857174	19.646248	500.0	7.8335247	2.5110438	11.061666	0.9296377	432000	-1.8626451e-09	2.5232782	-0.010352947	-0.44708008	1.3564423	0.0083167115	0.077625	127.0	559.7693803310394	0.0	0.125	0.0	0.0	0.0
