Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.21853974	0.14910549	0.6360145	0.031514306	500.0	0.052048415	0.021566633	0.115404494	-0.022495694	16000	1.1175871e-08	0.0014674532	-0.0059645623	-0.00090553897	1.3564423	0.0066287844	0.0528125	127.0	22.69016742706299	0.0	0.0	0.0	0.0	0.0
1	0.38074356	0.25822476	1.0235354	0.058122776	500.0	0.059754968	0.016869484	0.11032438	0.014346102	32000	-1.4901161e-08	0.003373607	-0.008340125	-0.0015393633	1.3564423	0.0066763526	0.079875	127.0	42.62711453437805	0.0	0.0	0.0	0.0	0.0
2	0.68828535	0.47443286	2.2257512	0.11535287	500.0	0.09867316	0.03972999	0.20795077	-0.010141486	48000	7.450581e-09	0.015288818	-0.0072894413	-0.0070558623	1.3564423	0.0071690446	0.090749994	127.0	62.621753215789795	0.0	0.0	0.0	0.0	0.0
3	1.112814	0.7043474	2.9881647	0.27341273	500.0	0.18542437	0.08758179	0.46296793	-0.039458506	64000	-3.5390258e-08	0.03322183	-0.008636393	-0.015515909	1.3564423	0.007967473	0.1128125	127.0	84.11468172073364	0.0	0.0	0.0	0.0	0.0
4	3.2511816	2.6628652	9.976574	0.44709018	500.0	0.38808098	0.21236102	0.993019	-0.07240972	80000	-2.2351742e-08	0.54663557	-0.006417212	-0.21784982	1.3564423	0.006691923	0.0599375	127.0	105.14338707923889	0.0	0.0	0.0	0.0	0.0
5	4.527811	6.0549693	23.989805	0.29422352	500.0	0.71578795	0.44787648	2.0199947	-0.07898162	96000	-3.7252903e-09	1.8223205	-0.0065629273	-0.8574521	1.3564423	0.006278272	0.0645	127.0	126.25339388847351	0.0	0.0	0.0	0.0	0.0
6	10.951296	7.434014	25.061125	0.40023544	500.0	1.9004858	1.3350414	4.9970126	-0.65092355	112000	0.0	3.3271818	-0.007833772	-1.5819857	1.3564423	0.0067977845	0.0898125	127.0	148.0967400074005	0.0	0.0	0.0	0.0	0.0
7	17.486572	9.193419	52.938198	0.7107198	500.0	3.6320028	2.1604338	6.9805512	-1.2667593	128000	3.7252903e-08	4.795571	-0.0077645024	-1.3481151	1.3564423	0.007087116	0.08875	127.0	170.60236310958862	0.0	0.0625	0.0	0.0	0.0
8	15.784842	8.17675	30.038958	1.4356015	500.0	5.0243244	2.6795676	8.778452	-1.5767225	144000	7.450581e-09	3.4343152	-0.008095516	-0.8726902	1.3564423	0.0054916744	0.0650625	127.0	193.04812383651733	0.0	0.0625	0.0	0.0	0.0
9	21.78873	6.535994	32.97102	6.4634113	500.0	4.8604717	2.4219017	8.125229	-1.0172927	160000	-1.8626451e-08	3.522399	-0.008765187	-0.6168239	1.3564423	0.007767238	0.0811875	127.0	215.01667261123657	0.0	0.03125	0.0	0.0	0.0
10	22.884014	9.100095	38.513973	0.65720296	500.0	5.712894	2.6159241	8.777714	-0.9850922	176000	7.450581e-09	3.3651264	-0.0074617113	-0.30222195	1.3564423	0.0070551867	0.070375	127.0	237.3360629081726	0.0	0.0625	0.0	0.0	0.0
11	24.415215	6.918382	39.345352	8.640575	500.0	6.2192307	2.2500134	8.621755	-0.43234104	192000	-1.8626451e-08	2.84879	-0.008606195	-0.2774433	1.3564423	0.0063255923	0.084875	127.0	259.71569204330444	0.0	0.0	0.0	0.0	0.0
12	24.081793	9.318656	41.93188	1.1636461	500.0	6.1931453	2.3421216	8.740107	-0.24381682	208000	0.0	3.4915638	-0.009045949	-0.58361894	1.3564423	0.0059771235	0.0750625	127.0	283.75297498703003	0.0	0.03125	0.0	0.0	0.0
13	29.919613	17.3536	91.24384	5.4120107	500.0	6.4230423	2.2701952	8.743069	-2.0586941	224000	7.450581e-09	16.61611	-0.0072246986	-1.1729321	1.3564423	0.006463919	0.06775	127.0	310.0680434703827	0.0	0.125	0.0	0.0	0.0
14	28.46254	6.333899	41.748714	16.77825	500.0	7.496372	2.1236558	9.246759	-1.5496658	240000	2.6077032e-08	3.6735578	-0.009287409	-0.6627574	1.3564423	0.006935936	0.068625	127.0	332.3674042224884	0.0	0.125	0.0	0.0	0.0
15	30.645218	13.555776	86.39715	2.6802788	500.0	6.9557996	1.8362278	8.699793	0.09515479	256000	-3.7252903e-09	9.754084	-0.0077841673	-0.5032641	1.3564423	0.008426884	0.0648125	127.0	354.2152166366577	0.0	0.125	0.0	0.0	0.0
16	30.700758	11.5315695	63.472977	8.462595	500.0	7.4887958	1.981562	9.325282	-1.027651	272000	0.0	7.975244	-0.008142337	-1.2448364	1.3564423	0.0063210716	0.0541875	127.0	374.97510290145874	0.0	0.1875	0.0	0.0	0.0
17	30.963573	16.858383	110.41143	13.939292	500.0	7.4564266	1.9471316	9.337648	0.8937461	288000	7.450581e-09	14.96518	-0.007841052	-1.0545287	1.3564423	0.006984977	0.068124995	127.0	396.0380849838257	0.0	0.09375	0.0	0.0	0.0
18	25.444437	10.09269	57.165222	9.166844	500.0	7.5464044	1.7173331	9.495476	1.1517452	304000	7.450581e-09	7.627875	-0.0072341138	-2.554246	1.3564423	0.004380744	0.053	127.0	417.73622941970825	0.0	0.03125	0.0	0.0	0.0
19	27.3903	7.8439407	39.91457	12.783921	500.0	6.2322493	1.3615919	8.511755	1.4473958	320000	1.8626451e-08	4.003626	-0.008875169	-0.49332744	1.3564423	0.0065475535	0.066874996	127.0	438.4381351470947	0.0	0.0	0.0	0.0	0.0
20	31.775864	18.764902	120.828255	17.393496	500.0	6.6377926	1.7498896	9.300621	-1.3381392	336000	2.2351742e-08	16.405907	-0.0067739817	-0.7392234	1.3564423	0.0055631394	0.0623125	127.0	459.88990545272827	0.0	0.09375	0.0	0.0	0.0
21	28.59694	9.342373	47.208595	11.770613	500.0	7.3026514	1.5579063	9.37055	1.5211351	352000	5.5879354e-09	4.8634753	-0.009069779	-0.6545205	1.3564423	0.005399449	0.066874996	127.0	482.24650740623474	0.0	0.03125	0.0	0.0	0.0
22	30.173885	9.014512	49.15687	14.136891	500.0	6.6635704	1.6488745	8.881718	-1.3600761	368000	0.0	4.0091105	-0.009139343	-0.36568195	1.3564423	0.005617538	0.0641875	127.0	502.2683570384979	0.0	0.0	0.0	0.0	0.0
23	30.58176	9.897207	48.853416	9.861891	500.0	7.188101	1.5465127	9.240837	0.75711596	384000	2.9802322e-08	5.288211	-0.009684321	-0.36211056	1.3564423	0.0077221375	0.07125	127.0	521.8603250980377	0.0	0.15625	0.0	0.0	0.0
24	31.395844	7.8630557	45.469	14.728561	500.0	6.917134	1.5794411	9.491421	-1.4383318	400000	3.7252903e-09	3.8342934	-0.008348709	-0.21023308	1.3564423	0.0059169596	0.061375	127.0	545.5283918380737	0.0	0.03125	0.0	0.0	0.0
25	32.27852	8.238066	48.82807	17.89876	500.0	7.3787785	1.4205264	9.7245655	1.5885818	416000	0.0	3.544204	-0.009382344	-0.4612261	1.3564423	0.006705095	0.074750006	127.0	567.9996447563171	0.0	0.125	0.0	0.0	0.0
26	32.1279	7.2319436	45.823547	18.057158	500.0	7.5489726	1.5915006	9.952095	1.2156783	432000	3.7252903e-09	2.964099	-0.008864246	-0.16838002	1.3564423	0.007997123	0.0705	127.0	590.8281304836273	0.0	0.0	0.0	0.0	0.0
