Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.39043713	0.16781706	0.81847405	0.10899574	500.0	0.038959548	0.025014991	0.10838881	-0.060045138	16000	7.450581e-09	0.0039619375	-0.005386303	-0.0027297556	1.3564423	0.0073973015	0.0513125	127.0	38.33421015739441	0.0	0.0	0.0	0.0	0.0
1	0.512327	0.2299345	0.9821715	0.18831101	500.0	0.06396978	0.031637996	0.1576296	-0.027788136	32000	2.6077032e-08	0.0024144603	-0.010741652	-0.0008832505	1.3564423	0.007561733	0.097625	127.0	67.76525354385376	0.0	0.0	0.0	0.0	0.0
2	0.9360242	0.3713815	1.7165365	0.33904213	500.0	0.1119883	0.031395283	0.17956868	0.006055843	48000	2.6077032e-08	0.008297596	-0.012668721	-0.0038631218	1.3564423	0.007582153	0.1138125	127.0	98.2733428478241	0.0	0.0	0.0	0.0	0.0
3	1.4308581	0.5959708	2.8237185	0.47174913	500.0	0.20333219	0.035284333	0.29856497	0.05964706	64000	2.2351742e-08	0.022603702	-0.009308862	-0.01152792	1.3564423	0.0066213743	0.08125	127.0	122.78777599334717	0.0	0.0	0.0	0.0	0.0
4	1.9378736	0.7911692	4.141185	0.58741444	500.0	0.30956835	0.056190684	0.53405577	0.1529978	80000	-1.6763806e-08	0.046972893	-0.009323316	-0.022200402	1.3564423	0.007753603	0.1005	127.0	150.23151659965515	0.0	0.0	0.0	0.0	0.0
5	4.37438	2.802546	14.925446	1.252056	500.0	0.5036016	0.14488558	0.9576175	0.15666899	96000	-1.4901161e-08	0.68403685	-0.0067188405	-0.34863865	1.3564423	0.0044140103	0.062375	127.0	173.60084295272827	0.0	0.0	0.0	0.0	0.0
6	7.568819	3.920169	14.340828	1.3465916	500.0	1.1242559	0.5817969	2.4856558	-0.16315559	112000	4.0978193e-08	1.2702808	-0.007059199	-0.64874756	1.3564423	0.0062598893	0.0735	127.0	196.0538375377655	0.0	0.0	0.0	0.0	0.0
7	11.423039	2.947044	17.444807	4.711458	500.0	2.1964245	1.0490788	4.1922946	-0.20332007	128000	3.9115548e-08	1.3154018	-0.007742612	-0.6839781	1.3564423	0.007278	0.0863125	127.0	220.5524513721466	0.0	0.0	0.0	0.0	0.0
8	15.635802	5.4004784	27.266401	7.912919	500.0	3.2803266	1.5692095	5.7544146	-0.119417116	144000	-4.5634806e-08	2.3231943	-0.007605307	-0.63905346	1.3564423	0.0047432287	0.080937505	127.0	246.69736790657043	0.0	0.0	0.0	0.0	0.0
9	16.973288	5.5378485	30.772013	1.9448509	500.0	4.19353	1.7407398	6.642896	0.22892138	160000	2.6077032e-08	1.7764673	-0.007879635	-0.20551795	1.3564423	0.0085285595	0.0693125	127.0	271.07783007621765	0.0	0.0	0.0	0.0	0.0
10	21.037548	6.330581	35.04733	11.843366	500.0	4.8946643	1.8579512	7.1774344	0.6362025	176000	7.450581e-09	2.5209365	-0.0072596525	-0.3539688	1.3564423	0.0061713075	0.0743125	127.0	295.91376209259033	0.0	0.0	0.0	0.0	0.0
11	22.017824	8.437521	43.060772	9.03657	500.0	5.4220295	1.5854033	7.233876	1.0594122	192000	1.8626451e-09	3.855947	-0.0064124316	-0.17127918	1.3564423	0.005877877	0.073875	127.0	321.1201136112213	0.0	0.0	0.0	0.0	0.0
12	27.456573	9.786412	48.48188	14.099002	500.0	5.589069	1.4084349	6.8877172	0.9351311	208000	9.313226e-09	6.1644278	-0.006874821	-0.7882801	1.3564423	0.006594876	0.0615625	127.0	348.91306018829346	0.0	0.0	0.0	0.0	0.0
13	24.869722	9.02096	45.336727	15.335761	500.0	6.403289	1.5460719	7.53659	0.90016115	224000	-1.4901161e-08	4.4470167	-0.0069667883	-0.21507269	1.3564423	0.008154368	0.063	127.0	374.545969247818	0.0	0.0	0.0	0.0	0.0
14	24.557243	11.5131645	56.399635	3.6326334	500.0	6.1121283	1.3827311	7.0189896	1.1574627	240000	-3.7252903e-09	6.412372	-0.007016319	-0.18485533	1.3564423	0.0074431337	0.057125002	127.0	398.85667395591736	0.0	0.03125	0.0	0.0	0.0
15	27.253681	11.329703	67.04595	13.3930435	500.0	5.9162245	1.1403642	6.6509995	1.5415416	256000	2.2351742e-08	6.6405897	-0.009055971	-0.2679993	1.3564423	0.0086923335	0.0798125	127.0	424.3878149986267	0.0	0.03125	0.0	0.0	0.0
16	31.130226	13.775292	75.20022	15.726338	500.0	6.280634	0.9807077	6.8923635	1.8760083	272000	5.2154064e-08	10.792047	-0.006649275	-0.68253964	1.3564423	0.00574797	0.0555625	127.0	450.1358518600464	0.0	0.03125	0.0	0.0	0.0
17	35.498623	10.749959	51.665833	19.304379	500.0	6.9828973	1.1116222	7.712501	2.3183455	288000	1.8626451e-08	6.831878	-0.00740329	-1.0331489	1.3564423	0.0065134484	0.056625	127.0	477.3001048564911	0.0	0.0	0.0	0.0	0.0
18	31.046001	10.569878	47.58123	17.233847	500.0	7.790837	1.3916184	8.703706	2.4086041	304000	3.7252903e-09	5.430528	-0.0073968275	-0.595627	1.3564423	0.0069780014	0.054250002	127.0	505.82076478004456	0.0	0.0	0.0	0.0	0.0
19	35.01142	12.126768	57.336792	20.260605	500.0	7.2420354	1.1605445	8.052644	2.3511717	320000	-1.4901161e-08	7.660418	-0.008070056	-0.4899904	1.3564423	0.0068877023	0.0583125	127.0	534.516610622406	0.0	0.09375	0.0	0.0	0.0
20	33.303642	12.704824	57.06745	16.264181	500.0	7.7332644	1.231603	8.69209	3.1132872	336000	1.4901161e-08	6.821643	-0.0068980646	-0.40818775	1.3564423	0.0069323173	0.050875	127.0	561.8726344108582	0.0	0.0	0.0	0.0	0.0
21	34.968834	12.598248	66.21677	18.666046	500.0	7.53572	1.2139663	8.649869	2.838561	352000	0.0	6.714974	-0.009017352	-0.4618973	1.3564423	0.008632007	0.071624994	127.0	587.2224979400635	0.0	0.03125	0.03125	0.0	0.0
22	38.161873	15.571155	82.31308	4.400014	500.0	7.870905	1.2914939	8.999829	3.0764906	368000	2.9802322e-08	10.177115	-0.007208218	-2.1525443	1.3564423	0.008022539	0.0585	127.0	612.4821875095367	0.0	0.03125	0.0	0.0	0.0
23	41.353325	16.126213	107.0294	18.983412	500.0	8.558032	1.7372435	10.238583	3.371319	384000	0.0	11.293116	-0.008941561	-0.93908596	1.3564423	0.008332042	0.0695	127.0	642.2445986270905	0.0	0.09375	0.0625	0.0	0.0
24	43.911915	9.858743	54.331463	21.63474	500.0	9.285067	1.6952379	10.834823	3.8859253	400000	3.7252903e-09	3.975381	-0.008677181	-0.30136818	1.3564423	0.00716729	0.055	127.0	672.4932725429535	0.0	0.03125	0.0	0.0	0.0
25	47.61791	16.20579	94.36596	15.856684	500.0	9.591017	1.6561631	11.105836	4.1035175	416000	-1.1175871e-08	12.060463	-0.0081777265	-2.451908	1.3564423	0.0073881596	0.0540625	127.0	697.9784178733826	0.0	0.125	0.0	0.0	0.0
26	47.197746	9.091578	57.264866	22.525143	500.0	10.398135	2.0071547	12.264154	3.306291	432000	-5.5879354e-09	3.0972304	-0.009743197	-0.38892296	1.3564423	0.008319713	0.0703125	127.0	726.8112978935242	0.0	0.03125	0.0	0.0	0.0
27	49.662712	18.477104	122.87283	19.21634	500.0	10.571444	2.0402367	12.595649	3.504599	448000	-3.7252903e-09	13.306329	-0.0069266213	-1.580479	1.3564423	0.007842093	0.0705	127.0	754.4990274906158	0.0	0.09375	0.09375	0.0	0.0
28	51.21781	15.258027	109.85101	23.185774	500.0	11.534234	2.40547	13.798152	0.73418343	464000	1.4901161e-08	10.781279	-0.008534577	-0.55192375	1.3564423	0.007821907	0.068375	127.0	782.7724468708038	0.0	0.1875	0.0	0.0	0.0
29	44.33413	14.84192	95.841156	19.613937	500.0	10.981129	2.4132571	13.476742	3.1333516	480000	2.9802322e-08	8.277995	-0.0075590042	-2.0440016	1.3564423	0.0060574864	0.0599375	127.0	809.0377037525177	0.0	0.03125	0.0	0.0	0.0
30	46.785454	16.869173	107.2433	20.134882	500.0	10.534416	2.4206865	13.435807	3.055438	496000	-2.7939677e-09	10.253363	-0.008137396	-0.6358237	1.3564423	0.007733953	0.081750005	127.0	835.2376933097839	0.0	0.09375	0.0	0.0	0.0
31	46.48227	21.96581	134.82768	22.328186	500.0	9.619637	2.8522232	13.709481	-6.816488	512000	0.0	14.779453	-0.008441281	-2.9816766	1.3564423	0.009218162	0.09575	127.0	861.3573415279388	0.0	0.21875	0.03125	0.0	0.0
32	42.605865	13.450109	58.471127	21.161837	500.0	10.078533	4.3210287	15.365546	-12.384307	528000	1.8626451e-08	6.998556	-0.010365533	-2.4165766	1.3564423	0.00770534	0.078	127.0	886.5943074226379	0.0	0.0	0.0	0.0	0.0
33	46.015366	12.285003	63.36787	20.356005	500.0	10.462074	2.857738	14.425842	3.5006409	544000	5.5879354e-09	3.295833	-0.00862317	-0.412756	1.3564423	0.007847361	0.0651875	127.0	912.2643094062805	0.0	0.09375	0.0	0.0	0.0
34	54.636005	21.31771	116.70078	24.931175	500.0	11.021346	2.395667	14.006574	3.9333866	560000	-2.2351742e-08	18.158117	-0.0077586984	-2.8311212	1.3564423	0.0073001124	0.070374995	127.0	939.0801661014557	0.0	0.28125	0.0	0.0	0.0
35	57.10681	24.148241	125.91323	26.961079	500.0	11.9521055	2.9300365	15.503454	2.3475275	576000	-2.6077032e-08	21.917078	-0.008105296	-1.8010138	1.3564423	0.006759107	0.074562505	127.0	966.9182021617889	0.0	0.25	0.125	0.0	0.0
36	56.187706	28.184368	144.63434	25.150312	500.0	11.729285	3.800343	16.837046	-5.488427	592000	1.8626451e-08	25.777924	-0.008136506	-2.2195132	1.3564423	0.0071204253	0.0738125	127.0	995.8343369960785	0.0	0.21875	0.09375	0.0	0.0
37	66.61714	29.591347	129.99237	23.535688	500.0	13.212941	3.5843482	18.10003	1.5369481	608000	2.4214387e-08	37.04516	-0.008181751	-6.0584435	1.3564423	0.008189245	0.07025	127.0	1027.624163866043	0.0	0.4375	0.1875	0.0	0.0
38	61.393005	34.756435	135.82748	5.0442157	500.0	13.689798	6.1407495	19.716175	-17.162909	624000	0.0	44.829784	-0.00931447	-5.874364	1.3564423	0.006412861	0.066125	127.0	1053.6227180957794	0.0	0.5	0.21875	0.0	0.0
39	71.85316	35.80626	136.1833	17.967342	500.0	14.294582	5.49481	20.608624	-17.658869	640000	-1.8626451e-09	48.98649	-0.00910045	-4.683952	1.3564423	0.009124318	0.073312506	127.0	1079.7544004917145	0.0	0.5	0.3125	0.0	0.0
40	64.301285	33.48435	144.79597	23.160248	500.0	16.032558	5.7068195	22.131117	1.4294059	656000	2.0489097e-08	48.794968	-0.008475507	-10.031876	1.3564423	0.0069793826	0.0628125	127.0	1104.2980906963348	0.0	0.375	0.28125	0.0	0.0
41	70.67359	35.17933	146.00803	27.18442	500.0	14.432811	4.394478	22.218573	-5.725969	672000	-1.8626451e-09	45.353344	-0.0087103415	-4.313774	1.3564423	0.009563126	0.076375	127.0	1136.0816559791565	0.0	0.34375	0.21875	0.0	0.0
42	62.71704	37.94762	145.30605	22.66684	500.0	14.085486	6.3449388	23.192228	2.7764454	688000	-1.4901161e-08	38.627594	-0.008953573	-3.591741	1.3564423	0.006666876	0.07425	127.0	1165.8751018047333	0.0	0.4375	0.28125	0.0	0.0
43	63.46355	31.641165	160.29007	25.008974	500.0	14.538721	5.969346	24.156687	-2.842703	704000	-7.450581e-09	41.211037	-0.010021141	-4.4611216	1.3564423	0.008127431	0.07956249	127.0	1198.0030145645142	0.0	0.5	0.28125	0.0	0.0
44	62.764004	38.66317	139.92099	6.2040296	500.0	14.433872	6.25979	23.810865	-17.584826	720000	1.1175871e-08	52.242275	-0.009179255	-4.6061954	1.3564423	0.0077507216	0.0663125	127.0	1226.4565105438232	0.0	0.5625	0.375	0.0	0.0
45	77.7077	40.389996	149.90225	25.153849	500.0	15.518546	5.8988123	23.92591	-6.66775	736000	-2.9802322e-08	64.98653	-0.008123367	-9.730573	1.3564423	0.007693175	0.065	127.0	1258.0797927379608	0.0	0.65625	0.40625	0.0	0.0
