Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.14520754	0.12017211	0.42043722	0.020073928	500.0	0.12644482	0.026338562	0.20984149	0.033959568	16000	-1.4994293e-07	0.006988757	-0.009081596	-0.0061998446	1.3564423	0.0073359264	0.074875	127.0	18.83600115776062	0.0	0.0	0.0	0.0	0.0
1	0.37096438	0.39481586	1.720978	0.03831672	500.0	0.06470775	0.023167005	0.14836998	-0.03900501	32000	-2.2351742e-08	0.0067985766	-0.006840737	-0.0025676223	1.3564423	0.0065404973	0.073312506	127.0	35.68563628196716	0.0	0.0	0.0	0.0	0.0
2	1.0271766	0.8126324	3.656765	0.12863585	500.0	0.12105676	0.045295965	0.26041028	-0.011463655	48000	3.7252903e-09	0.03966609	-0.0074551683	-0.017295701	1.3564423	0.007879331	0.089375004	127.0	52.701006174087524	0.0	0.0	0.0	0.0	0.0
3	2.3285227	1.948255	8.418512	0.71426153	500.0	0.35280097	0.12671642	0.6725789	0.012369882	64000	-2.9802322e-08	0.21638185	-0.0067248186	-0.066889614	1.3564423	0.0059690997	0.0699375	127.0	70.16047978401184	0.0	0.0	0.0	0.0	0.0
4	4.8339615	3.2415469	14.378734	0.613789	500.0	0.65239716	0.21515724	1.1263683	-0.25711107	80000	1.4901161e-08	0.7369041	-0.006960689	-0.28402126	1.3564423	0.007141098	0.0660625	127.0	88.18185496330261	0.0	0.0	0.0	0.0	0.0
5	6.7843304	5.1919355	18.104294	1.237813	500.0	1.1622365	0.37255633	2.1753085	-0.2322048	96000	0.0	1.4494175	-0.006774825	-0.53778887	1.3564423	0.007143883	0.07431249	127.0	107.1695544719696	0.0	0.0	0.0	0.0	0.0
6	12.514651	4.794638	23.078074	5.581872	500.0	2.0770507	0.7857259	4.087144	-0.23752712	112000	1.4901161e-08	2.3185973	-0.00894084	-0.98704517	1.3564423	0.008075709	0.0815	127.0	125.50264763832092	0.0	0.0	0.0	0.0	0.0
7	16.083862	4.5795317	24.902205	5.4937205	500.0	3.3264134	1.1818347	5.55094	-0.37431479	128000	-5.5879354e-09	2.0072355	-0.008360024	-0.7448175	1.3564423	0.0061719026	0.075624995	127.0	143.5770125389099	0.0	0.0	0.0	0.0	0.0
8	17.964993	3.0959544	23.104576	10.077186	500.0	4.4168973	1.6552768	6.853302	-0.32124823	144000	-1.4901161e-08	0.99001086	-0.0096329395	-0.11495097	1.3564423	0.0058474187	0.0789375	127.0	161.7461760044098	0.0	0.0	0.0	0.0	0.0
9	19.96963	4.9551554	29.313011	8.46437	500.0	4.775089	1.5286058	6.685198	0.11723519	160000	-3.7252903e-09	1.9496884	-0.00938824	-0.19620657	1.3564423	0.008249423	0.084375	127.0	180.45260500907898	0.0	0.0	0.0	0.0	0.0
10	22.251507	4.4799633	34.337383	13.826204	500.0	5.161538	1.4354306	6.8238134	0.3687145	176000	7.450581e-09	1.8000836	-0.0071089324	-0.18717271	1.3564423	0.0052227764	0.055437498	127.0	198.43606209754944	0.0	0.0	0.0	0.0	0.0
11	22.570263	4.0320816	30.398073	15.204517	500.0	5.3722677	1.1937926	6.6312675	1.3031274	192000	3.9115548e-08	1.4819881	-0.0074817305	-0.044938203	1.3564423	0.005863621	0.061187502	127.0	217.7504551410675	0.0	0.0	0.0	0.0	0.0
12	24.065418	4.727647	34.219055	15.981808	500.0	5.523164	1.0694472	6.4535275	1.3792385	208000	7.450581e-09	1.7157427	-0.007642991	-0.081203945	1.3564423	0.005956241	0.05375	127.0	236.14835953712463	0.0	0.0	0.0	0.0	0.0
13	25.594826	4.1589236	33.050816	14.867023	500.0	5.6223984	1.0394219	6.4893146	1.3833334	224000	-2.9802322e-08	1.4374069	-0.008195695	-0.115948886	1.3564423	0.006064208	0.0605	127.0	253.8329882621765	0.0	0.0	0.0	0.0	0.0
14	26.929497	4.9007907	37.512466	17.195004	500.0	5.988801	1.0924797	6.7862573	1.228634	240000	-1.1175871e-08	1.5575715	-0.0074811243	-0.06796337	1.3564423	0.0037374375	0.0499375	127.0	271.75136399269104	0.0	0.0	0.0	0.0	0.0
15	28.32938	4.464308	38.697506	21.823158	500.0	6.1736994	0.96619725	6.9026446	1.896025	256000	-1.8626451e-09	1.660678	-0.0075721894	-0.09005419	1.3564423	0.005046156	0.055	127.0	290.9060642719269	0.0	0.0	0.0	0.0	0.0
16	31.372122	5.5978007	45.054974	21.298422	500.0	6.4679503	1.0042827	7.213826	1.9522368	272000	5.2154064e-08	2.1443696	-0.007013092	-0.34936285	1.3564423	0.004388581	0.04875	127.0	309.3402774333954	0.0	0.0	0.0	0.0	0.0
17	30.42301	5.106524	43.184746	20.945131	500.0	7.0266576	1.0835305	7.854727	2.0122921	288000	7.450581e-09	1.5347297	-0.0073407684	-0.06242081	1.3564423	0.0037297248	0.04625	127.0	328.13780665397644	0.0	0.0	0.0	0.0	0.0
18	32.21041	4.8047433	43.96648	25.055399	500.0	7.008221	1.0752671	8.02628	2.1544185	304000	-1.1175871e-08	1.483706	-0.0082142465	-0.1541168	1.3564423	0.006314826	0.058437496	127.0	346.82862544059753	0.0	0.0	0.0	0.0	0.0
19	34.14373	5.5346994	43.372448	25.69122	500.0	7.300636	1.1280268	8.560872	2.218801	320000	5.5879354e-09	2.0111065	-0.008435294	-0.25771153	1.3564423	0.00591023	0.0665625	127.0	367.0545630455017	0.0	0.0	0.0	0.0	0.0
20	34.51257	6.6656833	48.260914	24.430836	500.0	7.7383122	1.235476	9.209377	2.3122187	336000	2.2351742e-08	2.1373286	-0.008408025	-0.21549678	1.3564423	0.0071629	0.0671875	127.0	385.7240309715271	0.0	0.0	0.0	0.0	0.0
21	35.38953	6.2416425	47.57403	23.263376	500.0	7.87127	1.2697504	9.890004	2.7156696	352000	0.0	1.9473656	-0.009155694	-0.15513784	1.3564423	0.008541264	0.0715	127.0	403.9073600769043	0.0	0.0625	0.0	0.0	0.0
22	35.25434	5.0355644	47.773975	25.620028	500.0	8.007797	1.2420913	10.145654	2.6612442	368000	-1.8626451e-09	1.7936991	-0.009604301	-0.18806407	1.3564423	0.00837001	0.069562495	127.0	422.7825393676758	0.0	0.0	0.0	0.0	0.0
23	37.020393	5.0156245	47.18827	28.342154	500.0	8.034646	1.3711381	9.667063	0.8241169	384000	-7.450581e-09	1.9307754	-0.010642277	-0.27658632	1.3564423	0.00905892	0.077625	127.0	441.1745274066925	0.0	0.0	0.0	0.0	0.0
24	37.527424	5.9096985	46.8252	21.827244	500.0	8.324335	1.2232496	9.644601	3.0170386	400000	7.450581e-09	2.3771255	-0.009481834	-0.42058706	1.3564423	0.00711856	0.06825	127.0	459.7357840538025	0.0	0.0625	0.0	0.0	0.0
25	40.493767	5.7120733	49.889267	26.731405	500.0	8.524834	1.3325499	9.73669	3.2340865	416000	-3.7252903e-09	2.2703269	-0.010199079	-0.61904496	1.3564423	0.008586047	0.075	127.0	478.7545368671417	0.0	0.03125	0.0	0.0	0.0
26	41.84546	7.2366595	65.12246	26.726915	500.0	8.965872	1.4368871	10.305803	3.5376744	432000	-3.7252903e-09	3.0030055	-0.009737056	-0.7089167	1.3564423	0.0061718663	0.059000004	127.0	497.00844383239746	0.0	0.03125	0.0	0.0	0.0
27	40.99974	8.765973	54.655876	19.042654	500.0	9.234125	1.5869648	10.792669	3.269274	448000	-1.4901161e-08	2.5756764	-0.01000788	-0.84400713	1.3564423	0.007334727	0.0719375	127.0	515.4934749603271	0.0	0.0	0.0	0.0	0.0
28	45.14119	6.831015	54.708252	28.138796	500.0	9.452329	1.6148567	11.080721	3.52851	464000	2.2351742e-08	2.033111	-0.01037758	-0.76652014	1.3564423	0.0086910445	0.0769375	127.0	534.7302732467651	0.0	0.0	0.0	0.0	0.0
29	44.094463	7.754247	53.039265	25.81341	500.0	9.546901	2.684136	11.830914	-5.713469	480000	-1.3969839e-08	1.7203714	-0.010048662	-0.4393223	1.3564423	0.0068138978	0.06875	127.0	552.8308997154236	0.0	0.03125	0.0	0.0	0.0
30	45.971436	6.922549	55.056915	31.965622	500.0	10.2832	1.798845	12.117167	4.2699604	496000	-2.2351742e-08	1.3642528	-0.011306713	-0.29477626	1.3564423	0.0079761	0.0878125	127.0	571.6182832717896	0.0	0.09375	0.0	0.0	0.0
