Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25532568	0.14469321	0.645813	0.060543627	500.0	0.056218788	0.022652477	0.1452114	-0.042703234	16000	3.7252903e-09	0.0014412319	-0.0067483867	-0.00082697906	1.3564423	0.006227198	0.055375	127.0	33.9098904132843	0.0	0.0	0.0	0.0	0.0
1	0.4566099	0.29908863	1.4573541	0.08489095	500.0	0.072146595	0.021411145	0.13373113	0.016530327	32000	-1.4901161e-08	0.0056978404	-0.007694052	-0.0022200434	1.3564423	0.007830905	0.0956875	127.0	57.62355709075928	0.0	0.0	0.0	0.0	0.0
2	0.99522865	0.7120079	3.5492735	0.20390376	500.0	0.1350838	0.051465247	0.27319258	0.0006297473	48000	-3.7252903e-09	0.036728375	-0.006854909	-0.017019842	1.3564423	0.0065062083	0.0913125	127.0	81.40623664855957	0.0	0.0	0.0	0.0	0.0
3	1.4272288	0.991364	5.061114	0.42333743	500.0	0.2603213	0.1190527	0.5794841	-0.016660847	64000	0.0	0.056458067	-0.008068853	-0.017137883	1.3564423	0.008010326	0.11031251	127.0	104.6695511341095	0.0	0.0	0.0	0.0	0.0
4	3.5308957	2.6015582	10.933178	0.757777	500.0	0.4661968	0.22792694	1.1402155	-0.048974127	80000	1.1175871e-08	0.5065312	-0.0070252037	-0.20560333	1.3564423	0.0072152223	0.069749996	127.0	128.4477777481079	0.0	0.0	0.0	0.0	0.0
5	5.3999643	5.0268536	17.185062	0.38054192	500.0	0.8500357	0.47346964	2.1191638	-0.043344885	96000	2.4214387e-08	1.3006377	-0.0064601284	-0.6535597	1.3564423	0.0070176413	0.067312494	127.0	153.51125597953796	0.0	0.0	0.0	0.0	0.0
6	11.760097	5.262591	21.291874	0.9283566	500.0	2.1909447	1.0874165	4.5659266	-0.069856144	112000	-2.6077032e-08	2.246791	-0.007980198	-1.0493656	1.3564423	0.007378862	0.0818125	127.0	180.03025555610657	0.0	0.0	0.0	0.0	0.0
7	14.439918	4.5159883	21.862392	1.183569	500.0	3.4402213	1.7427404	6.2015457	-0.79760617	128000	-7.450581e-09	1.3034948	-0.008231968	-0.3160311	1.3564423	0.005383644	0.063875005	127.0	219.2655963897705	0.0	0.0	0.0	0.0	0.0
8	15.174473	5.293759	27.684093	5.4042425	500.0	4.1957293	1.9344382	6.7586956	-0.6533231	144000	5.5879354e-09	1.6463944	-0.008047073	-0.24284163	1.3564423	0.0049718926	0.063999996	127.0	250.67867732048035	0.0	0.0	0.0	0.0	0.0
9	18.39603	3.8055925	28.245825	11.442425	500.0	4.37671	1.6901377	6.392146	-0.33952168	160000	-7.450581e-09	1.4470003	-0.008928519	-0.17813928	1.3564423	0.007791883	0.08375	127.0	275.62049674987793	0.0	0.0	0.0	0.0	0.0
10	20.507854	4.60118	32.4678	11.049353	500.0	4.8077545	1.4978756	6.4455423	0.059186507	176000	1.4901161e-08	1.8207326	-0.0071479874	-0.16632715	1.3564423	0.005012366	0.066750005	127.0	301.54821610450745	0.0	0.0	0.0	0.0	0.0
11	19.741531	5.230982	34.09238	4.1698284	500.0	5.0300145	1.3830198	6.4047394	-0.09977711	192000	1.4901161e-08	2.0342293	-0.007548712	-0.13341403	1.3564423	0.00663073	0.068124995	127.0	325.4705460071564	0.0	0.0	0.0	0.0	0.0
12	22.445145	5.2602615	32.406563	10.045976	500.0	4.94354	1.3623897	6.4118905	-0.96147984	208000	-7.450581e-09	2.2010884	-0.0069860923	-0.24089631	1.3564423	0.0048972806	0.05725	127.0	350.89550137519836	0.0	0.0	0.0	0.0	0.0
13	22.188686	5.5078344	31.147526	9.060005	500.0	5.406006	1.3116994	6.4780803	-0.30464467	224000	-7.450581e-09	2.1058762	-0.0068280855	-0.067926675	1.3564423	0.006012704	0.0545	127.0	375.8093457221985	0.0	0.0	0.0	0.0	0.0
14	23.585184	4.930843	35.68962	15.749726	500.0	5.3824425	1.2043079	6.3652945	-0.504173	240000	-9.313226e-09	2.0554578	-0.0059942235	-0.08545566	1.3564423	0.005326625	0.045625	127.0	404.92846035957336	0.0	0.0	0.0	0.0	0.0
15	26.759762	6.820468	40.353493	15.979948	500.0	5.510649	1.0661703	6.226092	0.044636287	256000	-2.2351742e-08	3.1698534	-0.008206816	-0.493086	1.3564423	0.00584664	0.060375	127.0	434.0421588420868	0.0	0.0	0.0	0.0	0.0
16	25.320742	4.8321033	40.818363	17.102716	500.0	6.104202	1.3676811	7.015146	0.18056673	272000	1.4901161e-08	1.6903183	-0.008443929	-0.06380542	1.3564423	0.0058945296	0.0675	127.0	459.7690517902374	0.0	0.0	0.0	0.0	0.0
17	28.008907	6.202168	39.27131	17.499214	500.0	5.9727163	1.3492551	6.7680197	0.31239963	288000	-1.8626451e-08	2.5072412	-0.00762257	-0.36596155	1.3564423	0.006465421	0.062875	127.0	485.84997153282166	0.0	0.0625	0.0	0.0	0.0
18	27.161524	7.682796	41.590744	15.045835	500.0	6.5777125	1.491	7.4579787	0.7820692	304000	6.519258e-09	3.2619343	-0.007904522	-0.16546315	1.3564423	0.0071629947	0.0603125	127.0	510.943443775177	0.0	0.0	0.0	0.0	0.0
19	27.01318	5.3836083	39.44854	17.716892	500.0	6.4037514	1.2743995	7.193575	1.2309104	320000	-4.4703484e-08	1.7483265	-0.008314697	-0.07484342	1.3564423	0.006568457	0.0633125	127.0	535.0317070484161	0.0	0.0	0.0	0.0	0.0
20	29.87061	5.340358	44.96889	19.77187	500.0	6.3299875	1.2034867	7.1198287	1.6274143	336000	0.0	1.9653274	-0.0074828546	-0.26698557	1.3564423	0.0066890577	0.06825	127.0	559.1523807048798	0.0	0.0	0.0	0.0	0.0
21	30.337845	8.7523575	45.60261	6.7918096	500.0	6.7684784	1.3513511	7.7167997	1.5857383	352000	-2.2351742e-08	3.1878543	-0.008685702	-0.407372	1.3564423	0.0072754715	0.069625005	127.0	584.5973653793335	0.0	0.0	0.0	0.0	0.0
22	30.371521	6.438876	45.59974	22.350164	500.0	7.02999	1.4372957	8.108211	-0.6306042	368000	-1.4901161e-08	1.9154527	-0.009590009	-0.24548542	1.3564423	0.007907455	0.0741875	127.0	609.6158621311188	0.0	0.0	0.0	0.0	0.0
23	33.620033	7.577397	48.294323	20.50565	500.0	7.179963	1.510703	8.7913475	0.4777431	384000	1.1175871e-08	2.6085188	-0.009410771	-0.64930654	1.3564423	0.0083875	0.08050001	127.0	635.7737102508545	0.0	0.0	0.0	0.0	0.0
24	35.59572	7.6243157	47.463882	20.314035	500.0	7.689361	1.5403936	9.486746	1.7650713	400000	1.8626451e-09	2.4151056	-0.0074587455	-0.52531403	1.3564423	0.005648616	0.0563125	127.0	661.178112745285	0.0	0.0	0.0	0.0	0.0
25	34.444397	7.0599656	47.086197	22.272278	500.0	8.417625	1.6716634	11.196249	1.1568905	416000	-1.4901161e-08	2.5187442	-0.009522358	-0.53697455	1.3564423	0.005284282	0.07	127.0	687.358728647232	0.0	0.0	0.0	0.0	0.0
26	34.0188	7.055838	48.544353	20.198795	500.0	7.8946095	1.5585595	10.397388	1.9504168	432000	0.0	1.7617242	-0.009170752	-0.26411858	1.3564423	0.0077387337	0.0735625	127.0	712.1464908123016	0.0	0.0	0.0	0.0	0.0
27	36.97027	7.263816	51.336174	24.953136	496.625	8.183988	1.7524608	11.244925	1.912769	448000	7.450581e-09	2.874641	-0.010196524	-0.80619085	1.3564423	0.007273637	0.075	127.0	737.9783692359924	0.0	0.0	0.0	0.0	0.0
28	36.86445	11.772963	87.94978	21.057972	500.0	8.389074	1.6768949	10.663964	2.514596	464000	0.0	5.940999	-0.009936523	-1.0531986	1.3564423	0.0075936895	0.076625	127.0	763.0334403514862	0.0	0.03125	0.0	0.0	0.0
29	38.003498	6.9082665	49.186096	24.959473	500.0	8.757639	2.476461	11.976593	-7.3260236	480000	7.450581e-09	2.0396943	-0.009988565	-0.71220785	1.3564423	0.005599441	0.0715625	127.0	788.3846266269684	0.0	0.0	0.0	0.0	0.0
30	38.020683	8.349949	60.059498	24.253819	496.875	8.463036	1.7866814	11.18173	2.5043607	496000	3.7252903e-09	2.9277868	-0.009158566	-0.45630097	1.3564423	0.0076870117	0.072375	127.0	814.3906135559082	0.0	0.0625	0.0	0.0	0.0
31	38.927017	7.252975	52.06562	26.521055	500.0	8.6775	1.9795424	11.689924	0.69162357	512000	-7.450581e-09	1.8779566	-0.007678706	-0.411366	1.3564423	0.00651587	0.0599375	127.0	839.5978474617004	0.0	0.0	0.0	0.0	0.0
32	39.460754	8.3217945	51.32353	24.65088	500.0	8.653643	2.5627027	11.65405	-7.0356383	528000	-7.450581e-09	2.4202247	-0.010953472	-0.82019997	1.3564423	0.007895004	0.079	127.0	864.3149235248566	0.0	0.0	0.0	0.0	0.0
33	43.69153	7.118704	63.733845	26.033875	500.0	9.302485	1.8935539	11.827972	2.0239737	544000	2.6077032e-08	2.2521377	-0.008578233	-0.43097708	1.3564423	0.0062441034	0.0721875	127.0	889.3522913455963	0.0	0.0	0.0	0.0	0.0
34	44.316734	11.155346	80.31406	29.461037	499.5	9.57983	1.9148287	12.429877	3.156052	560000	0.0	4.839777	-0.010826323	-0.812732	1.3564423	0.007857628	0.07875	127.0	916.7050333023071	0.0	0.09375	0.0	0.0	0.0
35	42.129272	8.728143	56.200256	24.370945	500.0	10.091813	2.3438497	13.523824	2.7928967	576000	-1.6763806e-08	2.6480145	-0.01063215	-0.7842207	1.3564423	0.008458145	0.0760625	127.0	944.2786636352539	0.0	0.0	0.0	0.0	0.0
36	43.616505	9.662145	73.34357	25.580004	500.0	9.510276	2.5431638	12.999804	-4.388642	592000	-2.2351742e-08	3.1097243	-0.009186801	-0.6288187	1.3564423	0.007263128	0.065	127.0	969.299605846405	0.0	0.03125	0.0	0.0	0.0
37	45.11066	11.892102	95.04725	28.932665	500.0	9.922084	2.3372614	13.754551	3.7978823	608000	-7.450581e-09	4.959669	-0.009079855	-0.90379095	1.3564423	0.0064301365	0.075625	127.0	993.1694524288177	0.0	0.09375	0.0	0.0	0.0
38	45.32206	7.613867	53.271122	28.016693	500.0	10.607863	2.3701115	14.533938	2.0102477	624000	1.4901161e-08	1.6567001	-0.010451566	-0.65953755	1.3564423	0.006473823	0.075	127.0	1018.310868024826	0.0	0.0	0.0	0.0	0.0
39	48.88148	11.580733	96.734146	25.557188	497.3125	10.544657	2.3329294	13.943022	3.270375	640000	-1.8626451e-08	6.001768	-0.0087411795	-1.3174114	1.3564423	0.0067492025	0.0709375	127.0	1045.1171548366547	0.0	0.125	0.0	0.0	0.0
40	47.98495	8.561898	72.314835	30.61482	500.0	10.953326	2.4016864	14.914646	1.7935214	656000	7.450581e-09	2.6930969	-0.009528828	-0.401526	1.3564423	0.0055057677	0.07924999	127.0	1071.4421699047089	0.0	0.15625	0.0	0.0	0.0
41	47.753036	11.431611	98.687515	28.912743	500.0	11.166981	2.3986664	15.89394	4.0919094	672000	1.4901161e-08	6.5226746	-0.008681139	-1.5224028	1.3564423	0.008138219	0.066937506	127.0	1097.7379755973816	0.0	0.0625	0.0	0.0	0.0
42	45.57397	8.861999	55.424843	23.66363	500.0	10.749929	2.562572	15.135155	3.9259467	688000	-2.6077032e-08	2.5115604	-0.009415773	-0.92396426	1.3564423	0.0072374176	0.0739375	127.0	1124.9235289096832	0.0	0.0	0.0	0.0	0.0
43	48.633797	11.728484	98.04123	27.015919	500.0	10.732612	2.3572474	14.444744	-0.70758176	704000	7.450581e-09	5.4609613	-0.010980243	-0.7333319	1.3564423	0.008293167	0.0804375	127.0	1150.9223942756653	0.0	0.09375	0.0	0.0	0.0
44	49.85166	12.161015	89.428894	27.14021	500.0	11.10594	2.479981	15.405359	4.132577	720000	5.5879354e-09	5.863867	-0.009691767	-1.2072376	1.3564423	0.0066566737	0.087812506	127.0	1179.1049914360046	0.0	0.1875	0.0	0.0	0.0
45	55.071014	15.655286	98.411766	24.418182	493.5625	11.795723	2.6531668	16.842062	4.143832	736000	-3.7252903e-08	9.868415	-0.0074967453	-2.2548993	1.3564423	0.00597118	0.074625	127.0	1208.2316977977753	0.0	0.21875	0.0	0.0	0.0
46	55.971035	13.283471	95.21697	29.287931	500.0	12.473826	2.7317367	18.20279	4.2429776	752000	1.4901161e-08	6.956309	-0.009328544	-0.9654066	1.3564423	0.0078103924	0.090875	127.0	1236.2450556755066	0.0	0.15625	0.0	0.0	0.0
47	54.202736	15.72044	98.9723	30.759743	500.0	12.888234	3.318273	19.748215	4.209911	768000	-3.7252903e-09	10.582885	-0.010001	-3.2744846	1.3564423	0.0060365223	0.080874994	127.0	1261.3727962970734	0.0	0.21875	0.0	0.0	0.0
48	56.651993	14.136098	91.97132	29.50781	500.0	12.684131	3.1638055	19.942928	4.786916	784000	1.1175871e-08	6.8161373	-0.008193549	-1.8990316	1.3564423	0.007403495	0.078062505	127.0	1288.930906534195	0.0	0.34375	0.0	0.0	0.0
49	53.689114	12.545706	82.753265	22.365068	500.0	12.90725	3.235957	20.499706	4.5489182	800000	-5.5879354e-09	6.5222244	-0.0101677645	-1.2320962	1.3564423	0.00794019	0.089562505	127.0	1317.6069433689117	0.0	0.1875	0.0	0.0	0.0
50	58.580853	14.077868	93.774414	23.162683	500.0	13.09654	3.8383462	21.311785	-16.943476	816000	-7.450581e-09	8.918961	-0.008951545	-1.3626989	1.3564423	0.0077968366	0.074687496	127.0	1344.1262390613556	0.0	0.34375	0.0	0.0	0.0
51	61.648167	20.161247	97.59516	31.089834	500.0	13.656515	4.2666054	21.94099	-8.125491	832000	-2.0489097e-08	16.581732	-0.0096794125	-3.0258784	1.3564423	0.007521877	0.080875	127.0	1372.3367190361023	0.0	0.53125	0.0	0.0	0.0
52	58.263237	19.260153	100.93791	28.599224	500.0	13.924874	4.4038057	24.037384	5.125596	848000	-1.8626451e-08	14.518468	-0.009842275	-2.8586106	1.3564423	0.008445067	0.082375005	127.0	1401.96914935112	0.0	0.375	0.0	0.0	0.0
53	59.351173	20.698635	95.45199	22.787468	500.0	13.176388	4.8302703	24.526321	3.6641357	864000	-1.4901161e-08	9.036166	-0.009160128	-2.6492114	1.3564423	0.009976674	0.0836875	127.0	1432.5612285137177	0.0	0.5	0.0	0.0	0.0
54	65.57964	20.834106	97.71816	27.949259	500.0	15.401474	6.159977	25.992184	-7.170066	880000	3.7252903e-09	19.122093	-0.010934247	-3.4011507	1.3564423	0.009233458	0.085375	127.0	1461.6496601104736	0.0	0.65625	0.0	0.0	0.0
55	68.11957	27.807175	105.356705	28.746353	500.0	15.368627	6.1292086	26.058521	3.4515831	896000	0.0	18.610561	-0.008517748	-4.790167	1.3564423	0.006534468	0.070062496	127.0	1489.4740147590637	0.0	0.59375	0.0	0.0	0.0
56	62.869064	23.75267	116.247	27.957335	500.0	16.18242	6.224323	28.012661	4.7051177	912000	7.450581e-09	21.309994	-0.00866493	-7.3431177	1.3564423	0.0063836514	0.08337501	127.0	1516.9141592979431	0.0	0.46875	0.0	0.0	0.0
57	61.72316	22.807003	100.20494	32.22522	498.375	14.93932	5.518153	28.100985	-7.5877953	928000	-1.1175871e-08	24.710567	-0.009742718	-7.432655	1.3564423	0.007983775	0.0734375	127.0	1544.2287192344666	0.0	0.5	0.0	0.0	0.0
58	58.051125	24.349087	99.756226	17.702946	496.0	13.571892	6.476942	28.291723	-10.662731	944000	7.450581e-09	14.177117	-0.008683572	-2.0788755	1.3564423	0.005639769	0.0724375	127.0	1574.7680411338806	0.0	0.53125	0.0	0.0	0.0
59	55.13283	19.541313	98.76531	26.752832	500.0	13.040618	5.5531206	28.890917	1.0916768	960000	-3.7252903e-09	20.288277	-0.00946704	-5.1383095	1.3564423	0.006431209	0.0831875	127.0	1602.8923571109772	0.0	0.46875	0.0	0.0	0.0
60	57.78955	22.645617	102.877655	27.756262	500.0	14.702869	6.0686855	29.125109	2.6379302	976000	-1.4901161e-08	13.967835	-0.009181095	-3.4418304	1.3564423	0.008247373	0.0815625	127.0	1629.912469625473	0.0	0.40625	0.0	0.0	0.0
61	54.449448	23.481295	96.92346	14.426302	497.8125	13.22837	5.5124373	28.740944	2.6446123	992000	1.1175871e-08	14.732185	-0.009236693	-2.9369473	1.3564423	0.0070763356	0.0791875	127.0	1656.4828021526337	0.0	0.46875	0.0	0.0	0.0
62	62.438507	25.242395	100.02682	30.753416	500.0	14.665452	6.83051	29.277239	-3.1870677	1008000	3.7252903e-09	26.025608	-0.008983524	-6.7421207	1.3564423	0.008592412	0.075375006	127.0	1684.6573977470398	0.0	0.625	0.0	0.0	0.0
63	64.673004	26.702545	102.34676	30.08909	500.0	15.018073	6.7911224	30.04163	-4.529381	1024000	1.4901161e-08	14.337497	-0.009395968	-3.6425152	1.3564423	0.0063754916	0.0770625	127.0	1711.6536464691162	0.0	0.5	0.0	0.0	0.0
64	54.9124	25.806623	98.356476	28.626945	500.0	14.090089	7.3869042	30.43303	-15.660519	1040000	1.8626451e-09	19.513527	-0.010660512	-4.2938147	1.3564423	0.007419187	0.080625	127.0	1738.7263762950897	0.0	0.46875	0.0	0.0	0.0
65	63.7359	25.208687	107.52942	26.893362	495.65625	14.41147	6.8719163	30.15131	-8.884628	1056000	4.8894435e-09	16.78359	-0.010414394	-5.2620316	1.3564423	0.009180089	0.089125	127.0	1763.3971626758575	0.0	0.65625	0.0	0.0	0.0
66	59.08727	27.495691	106.93011	15.040837	496.125	15.259862	7.3536534	29.54665	1.2711596	1072000	-1.4901161e-08	18.277239	-0.010680264	-3.8297973	1.3564423	0.008191902	0.076375	127.0	1788.2967202663422	0.0	0.59375	0.0	0.0	0.0
67	53.962666	27.996405	104.34317	28.516407	500.0	13.865763	6.9943843	29.92459	-3.2610116	1088000	-1.8626451e-09	15.252012	-0.007924177	-3.5928707	1.3564423	0.0057402216	0.066437505	127.0	1816.0363082885742	0.0	0.5	0.0	0.0	0.0
68	54.293472	29.308224	104.77952	28.944891	500.0	13.103273	7.463448	30.372993	1.8939692	1104000	7.450581e-09	7.7933855	-0.00897382	-1.7613503	1.3564423	0.0058276043	0.0674375	127.0	1842.9276611804962	0.0	0.46875	0.0	0.0	0.0
69	50.398804	28.185534	103.60603	19.45617	500.0	13.399778	7.6175795	30.971918	1.6726162	1120000	7.450581e-09	14.293455	-0.010583148	-4.9769697	1.3564423	0.008619729	0.078687504	127.0	1869.7151205539703	0.0	0.5	0.0	0.0	0.0
70	58.799294	29.088593	103.19133	24.13041	500.0	13.89758	8.043326	31.252213	0.4907459	1136000	-7.450581e-09	11.926922	-0.010330283	-2.0551972	1.3564423	0.007704326	0.084125	127.0	1895.7853751182556	0.0	0.59375	0.0	0.0	0.0
71	66.45987	27.704668	105.08816	27.726925	500.0	15.658998	8.63889	29.802084	-15.737172	1152000	-7.450581e-09	12.36676	-0.00892384	-2.0643778	1.3564423	0.0055086664	0.06475	127.0	1922.4317569732666	0.0	0.8125	0.0	0.0	0.0
72	56.667904	27.935377	106.673164	20.72623	500.0	15.088642	7.746584	30.544924	-5.5154414	1168000	-7.450581e-09	16.285198	-0.008913299	-5.2924633	1.3564423	0.006018354	0.068312496	127.0	1950.015875339508	0.0	0.46875	0.0	0.0	0.0
73	69.96295	27.949911	107.504456	28.230246	500.0	15.501223	7.9197164	29.607544	-0.7429031	1184000	-1.1175871e-08	13.392761	-0.009509326	-4.5856285	1.3564423	0.00722459	0.0796875	127.0	1978.7414050102234	0.0	0.71875	0.0	0.0	0.0
74	63.97265	27.373047	100.174286	22.092665	500.0	15.861722	7.740551	30.89026	-2.8080187	1200000	1.4901161e-08	8.928341	-0.010025504	-1.1680622	1.3564423	0.005913056	0.0764375	127.0	2004.537724018097	0.0	0.6875	0.0	0.0	0.0
75	71.971756	28.048101	101.798386	25.393799	500.0	16.420015	8.681711	30.464874	-4.7081537	1216000	-6.519258e-09	11.390892	-0.009772542	-3.1490664	1.3564423	0.008238899	0.087375	127.0	2030.9333522319794	0.0	0.75	0.0	0.0	0.0
76	65.84271	29.027988	106.85514	21.951681	500.0	16.032784	8.353136	30.94865	-17.845655	1232000	-1.4901161e-08	12.644562	-0.009990327	-3.181807	1.3564423	0.006455248	0.079625	127.0	2055.8770456314087	0.0	0.6875	0.0	0.0	0.0
77	76.054245	23.068657	110.58367	31.269173	500.0	17.814383	8.043647	30.720045	4.828369	1248000	-7.450581e-09	8.225903	-0.009193699	-2.2143831	1.3564423	0.007738621	0.074875	127.0	2082.8506944179535	0.0	0.9375	0.0	0.0	0.0
78	64.61424	27.487963	104.919754	19.239315	500.0	16.52443	8.039477	30.581133	-0.379971	1264000	-3.7252903e-09	9.007799	-0.010857348	-2.233717	1.3564423	0.0083116	0.081875	127.0	2108.193015575409	0.0	0.625	0.0	0.0	0.0
79	63.99042	25.101667	103.90456	27.77599	499.46875	16.354181	7.742587	30.736954	-6.15235	1280000	1.7695129e-08	12.846342	-0.010584441	-3.3554258	1.3564423	0.008597131	0.086125	127.0	2133.601711034775	0.0	0.71875	0.0	0.0	0.0
