Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.37968954	0.29435366	1.2228191	0.038501304	500.0	0.055129796	0.020833176	0.1452114	-0.042703234	16000	1.4901161e-08	0.004922404	-0.0063649956	-0.002136062	1.3564423	0.0067771743	0.0540625	127.0	27.110738515853882	0.0	0.0	0.0	0.0	0.0
1	0.56349957	0.49232578	1.7702425	0.030482024	500.0	0.10034934	0.02987681	0.1793596	0.011893192	32000	-5.5879354e-09	0.010521263	-0.006900615	-0.004746984	1.3564423	0.006756698	0.0738125	127.0	51.04173755645752	0.0	0.0	0.0	0.0	0.0
2	1.3265023	1.1464119	6.2864885	0.19892593	500.0	0.16758122	0.06231629	0.35632926	-0.013587028	48000	1.4901161e-08	0.0792719	-0.0068156454	-0.033158712	1.3564423	0.0068809297	0.083625	127.0	74.48738551139832	0.0	0.0	0.0	0.0	0.0
3	2.2881706	1.9593055	8.452855	0.4639572	500.0	0.35815248	0.16618708	0.8734805	-0.07491938	64000	-2.6077032e-08	0.212823	-0.007692647	-0.098043926	1.3564423	0.0070600566	0.086624995	127.0	98.73689150810242	0.0	0.0	0.0	0.0	0.0
4	6.597679	3.5843885	13.443761	0.8270839	500.0	0.8359767	0.4044693	1.8162035	-0.28072125	80000	1.8626451e-08	1.2093048	-0.0077445805	-0.5854622	1.3564423	0.006943183	0.0765625	127.0	136.08903646469116	0.0	0.0	0.0	0.0	0.0
5	10.9382925	4.7945185	20.163387	1.0406199	500.0	1.7884107	0.77535415	3.3571985	-0.32873783	96000	6.7055225e-08	2.1432264	-0.0074630775	-1.0254409	1.3564423	0.006850953	0.06981251	127.0	172.1787486076355	0.0	0.0	0.0	0.0	0.0
6	15.492509	3.880224	24.346489	6.758916	500.0	3.184512	1.3521241	5.4505754	-0.86897194	112000	1.1175871e-08	1.9033381	-0.007267932	-0.6872867	1.3564423	0.0064971563	0.0693125	127.0	197.16309118270874	0.0	0.0	0.0	0.0	0.0
7	15.284038	3.6656764	24.556664	8.24113	500.0	4.185738	1.6162384	6.1945696	-0.56464684	128000	7.450581e-09	1.3090166	-0.00781464	-0.117056794	1.3564423	0.005849212	0.0661875	127.0	223.61576628684998	0.0	0.0	0.0	0.0	0.0
8	17.770493	4.6198163	31.324263	8.041897	500.0	4.2718487	1.462191	5.937361	-0.35956946	144000	0.0	2.241119	-0.0069864453	-0.24600272	1.3564423	0.007350426	0.069375	127.0	249.63699793815613	0.0	0.0	0.0	0.0	0.0
9	18.883091	5.0634623	29.880428	11.259877	500.0	4.5063896	1.0720671	5.869027	0.3979653	160000	1.8626451e-09	2.1942346	-0.0078003774	-0.10754144	1.3564423	0.007604024	0.0728125	127.0	273.7623336315155	0.0	0.0	0.0	0.0	0.0
10	20.103474	4.5049872	31.709438	12.815556	500.0	4.720417	1.0370778	6.1059427	-0.18285851	176000	-1.1175871e-08	2.0740423	-0.007558841	-0.12278406	1.3564423	0.005010238	0.06281251	127.0	298.19150590896606	0.0	0.0	0.0	0.0	0.0
