Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.26810366	0.14893498	0.682768	0.05821568	500.0	0.051161088	0.022013856	0.13968804	-0.052384607	16000	0.0	0.001631716	-0.0062285117	-0.0008902614	1.3564423	0.006477653	0.0530625	127.0	24.655027627944946	0.0	0.0	0.0	0.0	0.0
1	0.47857022	0.30562636	1.4038303	0.08798944	500.0	0.07155612	0.019665357	0.12691435	0.026123144	32000	-3.7252903e-09	0.006346576	-0.0071257865	-0.0026758949	1.3564423	0.007022833	0.082125	127.0	44.40846228599548	0.0	0.0	0.0	0.0	0.0
2	0.92692137	0.69600534	3.7253537	0.24228092	500.0	0.13081332	0.048298653	0.26001945	5.2979216e-05	48000	-2.6077032e-08	0.034136645	-0.0064015714	-0.014942792	1.3564423	0.006895693	0.0935625	127.0	64.22186183929443	0.0	0.0	0.0	0.0	0.0
3	1.452668	0.9859204	5.2340593	0.437478	500.0	0.2644675	0.12506652	0.61003244	-0.0144649185	64000	7.450581e-09	0.061492898	-0.00865566	-0.021601066	1.3564423	0.008232869	0.1089375	127.0	86.24546694755554	0.0	0.0	0.0	0.0	0.0
4	3.3861918	2.4443192	10.702206	0.81070054	500.0	0.4885837	0.2480466	1.1964321	-0.019736912	80000	-7.450581e-09	0.43144608	-0.007122582	-0.15598993	1.3564423	0.007405974	0.073312506	127.0	109.07806539535522	0.0	0.0	0.0	0.0	0.0
5	5.477683	5.2186537	19.22808	0.97026914	500.0	0.83017695	0.447627	2.0779874	0.059936583	96000	-1.1175871e-08	1.5188046	-0.007011001	-0.6402849	1.3564423	0.0069274288	0.0728125	127.0	130.90719890594482	0.0	0.0	0.0	0.0	0.0
6	12.120094	4.9635105	20.98694	0.86791736	500.0	2.0605087	1.0005718	4.3940496	-0.15616593	112000	3.3527613e-08	2.4643335	-0.007499097	-1.2564723	1.3564423	0.006538165	0.0678125	127.0	153.35853934288025	0.0	0.0	0.0	0.0	0.0
7	14.602526	5.8445873	22.521658	1.1526594	500.0	3.1989877	1.722881	6.1199865	-0.8915737	128000	1.8626451e-09	1.672374	-0.008516988	-0.5079892	1.3564423	0.0062277606	0.074750006	127.0	174.16610670089722	0.0	0.0	0.0	0.0	0.0
8	15.817188	5.5975904	28.139002	5.946836	500.0	4.3983636	1.9604208	6.8662057	-0.95989543	144000	-2.6077032e-08	2.0157745	-0.007181866	-0.27206218	1.3564423	0.0045264084	0.057625	127.0	196.20695757865906	0.0	0.0	0.0	0.0	0.0
9	17.697622	4.0772977	30.195194	10.142392	500.0	4.553456	1.6781505	6.505432	-0.3657492	160000	-7.450581e-09	1.4984853	-0.007986533	-0.11278631	1.3564423	0.0065282905	0.067875005	127.0	218.40878224372864	0.0	0.0	0.0	0.0	0.0
