Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.14432147	0.119868405	0.43587238	0.019985337	500.0	0.12457171	0.02615622	0.20449789	0.030313583	16000	-4.8428774e-08	0.0067490777	-0.009202128	-0.0059939413	1.3564423	0.007813817	0.0810625	127.0	22.923821449279785	0.0	0.0	0.0	0.0	0.0
1	0.42787793	0.46820855	2.1545362	0.03720805	500.0	0.064682774	0.023878476	0.1490441	-0.037732314	32000	-3.7252903e-08	0.010090619	-0.0061432063	-0.00396348	1.3564423	0.006122105	0.066375	127.0	41.38835787773132	0.0	0.0	0.0	0.0	0.0
2	1.1481001	0.9040138	4.0744495	0.1399354	500.0	0.13513188	0.050160352	0.29133198	-0.0046992768	48000	3.3527613e-08	0.0497221	-0.0074541867	-0.020570852	1.3564423	0.007835029	0.086500004	127.0	61.71326208114624	0.0	0.0	0.0	0.0	0.0
3	2.4890313	2.0677156	9.010985	0.7411258	500.0	0.39209563	0.14390151	0.7456628	0.03182456	64000	5.9604645e-08	0.2395628	-0.0068036267	-0.07311828	1.3564423	0.006223008	0.075312495	127.0	80.3131411075592	0.0	0.0	0.0	0.0	0.0
4	5.0966854	3.4447687	14.739223	0.6233846	500.0	0.70839745	0.23558505	1.1987984	-0.21299136	80000	1.4901161e-08	0.819959	-0.0064851698	-0.30529135	1.3564423	0.0071268193	0.066937506	127.0	99.59484243392944	0.0	0.0	0.0	0.0	0.0
5	6.569468	4.872832	17.853771	1.2963728	500.0	1.2397969	0.39623556	2.2185822	-0.1722473	96000	0.0	1.1943035	-0.00713042	-0.41387597	1.3564423	0.0071985675	0.077125	127.0	120.95310807228088	0.0	0.0	0.0	0.0	0.0
6	12.610147	4.6442113	22.34402	5.7622814	500.0	2.0524898	0.7522275	3.996433	-0.07302263	112000	-3.7252903e-08	2.3111842	-0.00873487	-1.0262702	1.3564423	0.008112506	0.0810625	127.0	140.630065202713	0.0	0.0	0.0	0.0	0.0
7	16.454668	4.9182377	25.767223	4.176308	500.0	3.2761686	1.1286498	5.476203	-0.24749142	128000	2.6077032e-08	2.283602	-0.007893406	-0.89192444	1.3564423	0.0067249346	0.070625	127.0	160.61295008659363	0.0	0.0	0.0	0.0	0.0
8	17.806168	3.1012368	23.504223	10.905054	500.0	4.5358534	1.7037909	7.0728393	-0.38063988	144000	-9.313226e-10	1.1166663	-0.009070758	-0.13591188	1.3564423	0.005786998	0.0715	127.0	179.9863784313202	0.0	0.0	0.0	0.0	0.0
9	20.106598	4.934337	29.465597	9.541989	500.0	4.7275977	1.427836	6.573765	0.38426518	160000	1.6763806e-08	2.1687346	-0.009037422	-0.21011643	1.3564423	0.008097129	0.0858125	127.0	199.4516110420227	0.0	0.0	0.0	0.0	0.0
10	22.459652	4.997662	36.636074	13.772028	500.0	5.1615887	1.3416243	6.695082	0.60450214	176000	3.7252903e-09	2.0231583	-0.007355253	-0.15130508	1.3564423	0.005100282	0.056812502	127.0	219.9671185016632	0.0	0.0	0.0	0.0	0.0
11	23.336956	4.839187	33.841835	14.562798	500.0	5.3547053	1.143333	6.565024	1.3940558	192000	3.7252903e-09	1.9774973	-0.0077526374	-0.08378114	1.3564423	0.005826609	0.060062498	127.0	242.57252550125122	0.0	0.0	0.0	0.0	0.0
12	23.459658	4.670542	35.467834	16.289001	500.0	5.6436486	1.082814	6.544375	1.2947861	208000	1.8626451e-09	1.6922281	-0.007512519	-0.07569921	1.3564423	0.005930755	0.057187498	127.0	262.521995306015	0.0	0.0	0.0	0.0	0.0
13	25.51465	4.1367674	33.338573	16.55621	500.0	5.527155	0.97329515	6.2834206	1.5234576	224000	1.6763806e-08	1.5513275	-0.007930824	-0.14652167	1.3564423	0.0058265044	0.05325	127.0	283.19531059265137	0.0	0.0	0.0	0.0	0.0
14	28.342402	6.294098	41.695953	18.071377	500.0	5.948251	1.0546927	6.7297425	1.3337762	240000	1.8626451e-09	2.475809	-0.0062008128	-0.25898856	1.3564423	0.00375586	0.040937502	127.0	305.8209447860718	0.0	0.0	0.0	0.0	0.0
15	29.406918	5.8403325	40.519444	20.871552	500.0	6.3838634	1.0180268	7.1231594	1.8029811	256000	0.0	2.3739429	-0.007760209	-0.16285852	1.3564423	0.006932897	0.055687502	127.0	326.01688170433044	0.0	0.0625	0.0	0.0	0.0
16	32.22443	7.4489927	45.23898	18.904758	500.0	6.7536497	1.0968486	7.7618546	1.9586322	272000	-1.4901161e-08	3.232701	-0.007123553	-0.3761201	1.3564423	0.005658568	0.0518125	127.0	346.1271483898163	0.0	0.0	0.0	0.0	0.0
17	31.476345	6.740806	45.214382	20.40657	500.0	7.2356033	1.1952178	8.2474	2.066846	288000	-7.450581e-09	2.359673	-0.0076087117	-0.14089295	1.3564423	0.0042887456	0.051562503	127.0	366.7012605667114	0.0	0.0	0.0	0.0	0.0
18	32.450314	5.685452	44.466587	23.348612	500.0	7.2978406	1.221596	8.740567	2.2614236	304000	-1.1175871e-08	1.9543942	-0.00839262	-0.112790376	1.3564423	0.0059218393	0.0578125	127.0	386.2645642757416	0.0	0.0	0.0	0.0	0.0
19	33.951477	6.462535	47.016956	26.968376	500.0	7.4092736	1.3215512	9.12416	1.904209	320000	-4.656613e-09	2.6164804	-0.007917382	-0.1811269	1.3564423	0.0052321227	0.0566875	127.0	406.352322101593	0.0	0.0	0.0	0.0	0.0
20	34.898994	6.5644197	47.75738	26.635754	500.0	7.8167596	1.3952215	9.674091	2.1939766	336000	0.0	2.7605634	-0.0092272535	-0.25902316	1.3564423	0.007480254	0.06825	127.0	426.5522737503052	0.0	0.0	0.0	0.0	0.0
