Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.12291841	0.08620443	0.3306053	0.022723705	500.0	0.06247216	0.027068479	0.1487496	-0.016927771	16000	6.3329935e-08	0.0018612618	-0.007179602	-0.0015651595	1.3564423	0.0066473424	0.056187496	127.0	21.478862285614014	0.0	0.0	0.0	0.0	0.0
1	0.18575406	0.13561857	0.6017156	0.039175387	500.0	0.038804967	0.014346969	0.09565155	-0.010731552	32000	1.1175871e-08	0.00065419776	-0.0067850365	-0.0003012673	1.3564423	0.0041031945	0.0469375	127.0	40.36642003059387	0.0	0.0	0.0	0.0	0.0
2	0.21880503	0.16122155	0.6241462	0.026415946	500.0	0.04381125	0.011023367	0.07982987	0.013616419	48000	1.4901161e-08	0.00067432947	-0.009246206	-0.00036622875	1.3564423	0.0067131347	0.082875	127.0	60.49141216278076	0.0	0.0	0.0	0.0	0.0
3	0.33263752	0.33351	1.7181102	0.062259383	500.0	0.05666261	0.020516569	0.14261365	0.0026332662	64000	-1.1175871e-08	0.0055091856	-0.006744847	-0.0029448702	1.3564423	0.008665227	0.09775001	127.0	80.49559044837952	0.0	0.0	0.0	0.0	0.0
4	0.2833332	0.24713887	0.856939	0.038934547	500.0	0.054204557	0.0481085	0.30389535	-0.035375386	80000	-1.4901161e-08	0.0010470526	-0.008581046	-0.00046524793	1.3564423	0.006346125	0.087437496	127.0	101.36065101623535	0.0	0.0	0.0	0.0	0.0
5	0.81139934	1.0269735	4.1018047	0.039685927	500.0	0.10556405	0.11084067	0.5142552	-0.048282325	96000	-2.2351742e-08	0.05848385	-0.0048210453	-0.030516101	1.3564423	0.0048780944	0.0443125	127.0	122.41872525215149	0.0	0.0	0.0	0.0	0.0
6	1.0217623	1.3121865	6.518192	0.10001944	500.0	0.24891867	0.25718015	1.1133106	-0.08336111	112000	-1.3969839e-08	0.087222606	-0.006260897	-0.038404454	1.3564423	0.008071873	0.0808125	127.0	143.82782745361328	0.0	0.0	0.0	0.0	0.0
7	2.9673097	2.269287	8.7063465	0.17117922	500.0	0.5922666	0.5043689	1.9038079	-0.1703848	128000	7.450581e-09	0.42188698	-0.0059863143	-0.15944315	1.3564423	0.006909151	0.083749995	127.0	165.48742580413818	0.0	0.0	0.0	0.0	0.0
8	4.3764963	2.9472992	14.139328	0.90637416	500.0	0.9184393	0.6903404	2.5641668	-0.2410216	144000	2.2351742e-08	0.7593329	-0.0068293507	-0.28708208	1.3564423	0.007060646	0.093937494	127.0	185.9222137928009	0.0	0.0	0.0	0.0	0.0
9	7.3282027	3.328436	14.302115	1.7789012	500.0	1.4625508	1.0048387	3.7348628	-0.21335828	160000	1.4901161e-08	1.2349532	-0.0077632214	-0.4450876	1.3564423	0.007057111	0.0779375	127.0	206.85967922210693	0.0	0.0	0.0	0.0	0.0
10	10.212542	3.2069354	16.788862	4.4815135	500.0	2.2747679	1.2161958	4.4349966	-0.19656774	176000	2.2351742e-08	1.2148781	-0.0065488685	-0.330782	1.3564423	0.006537864	0.0705625	127.0	226.71349096298218	0.0	0.0	0.0	0.0	0.0
11	12.58519	3.4040637	22.159655	7.11033	500.0	3.1398623	1.561662	5.5474377	-0.21272545	192000	-6.519258e-09	1.0764182	-0.008213911	-0.221314	1.3564423	0.0060341903	0.0671875	127.0	247.24631261825562	0.0	0.0	0.0	0.0	0.0
12	13.062997	3.5242815	18.920063	5.86666	500.0	3.4969695	1.8296783	5.907928	-0.22903664	208000	3.7252903e-09	0.99454325	-0.0060995426	-0.08793533	1.3564423	0.0062763095	0.0615625	127.0	266.88805890083313	0.0	0.0	0.0	0.0	0.0
13	13.339268	4.6505404	22.556717	0.13325039	500.0	3.7612064	1.8503569	6.164116	-0.08526351	224000	1.8626451e-09	1.3682947	-0.0067094453	-0.15202397	1.3564423	0.0059730834	0.052249998	127.0	288.2822663784027	0.0	0.0	0.0	0.0	0.0
14	12.648448	3.538943	20.654814	4.348081	500.0	3.82456	1.939237	6.3904023	-0.21948987	240000	-3.7252903e-09	0.90585035	-0.00758347	-0.103099085	1.3564423	0.0058596926	0.066625	127.0	307.7708172798157	0.0	0.0	0.0	0.0	0.0
15	13.787342	4.166445	21.584791	6.203834	500.0	3.7625852	1.886005	5.935564	-0.14375722	256000	1.3038516e-08	1.1151516	-0.00771403	-0.08810209	1.3564423	0.0075638974	0.07062499	127.0	329.2850420475006	0.0	0.0	0.0	0.0	0.0
16	15.929271	3.8739438	25.537552	7.4245625	500.0	3.8759727	1.6958773	5.5324593	-0.113914184	272000	7.450581e-09	1.2036561	-0.007334989	-0.17095327	1.3564423	0.0072806203	0.0704375	127.0	348.868403673172	0.0	0.0	0.0	0.0	0.0
17	18.240456	4.8500214	25.864618	7.7263427	500.0	4.1325655	1.5924398	5.7429843	0.05282306	288000	1.6763806e-08	1.5405571	-0.006632118	-0.32632828	1.3564423	0.005454628	0.061625004	127.0	369.57143115997314	0.0	0.0	0.0	0.0	0.0
18	17.280025	3.967683	24.033497	9.637951	500.0	4.520484	1.8162951	6.7977395	-0.28425026	304000	2.7939677e-09	0.87343216	-0.0067017414	-0.11897905	1.3564423	0.005731129	0.0531875	127.0	391.14740085601807	0.0	0.0	0.0	0.0	0.0
19	18.223059	4.595636	26.207085	7.5001698	500.0	4.478862	1.638643	6.7271376	-0.0054875705	320000	7.450581e-09	1.014201	-0.008068167	-0.22999623	1.3564423	0.0062582996	0.0601875	127.0	410.64422369003296	0.0	0.0	0.0	0.0	0.0
20	18.739481	3.3138342	25.661495	12.540276	500.0	4.697163	1.7522427	7.308594	0.08203524	336000	0.0	0.7061099	-0.009492765	-0.1140427	1.3564423	0.006077572	0.072625	127.0	433.08454728126526	0.0	0.0	0.0	0.0	0.0
21	21.750095	5.3355217	37.566494	11.30856	500.0	5.020411	1.7657678	7.7617445	0.28111255	352000	-1.1175871e-08	1.3671404	-0.006970502	-0.32698002	1.3564423	0.004941332	0.057875	127.0	453.23561239242554	0.0	0.0	0.0	0.0	0.0
