Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.8602929	0.47116637	2.2294385	0.26284418	500.0	0.09646433	0.016421096	0.1646528	0.014112645	16000	-6.519258e-08	0.013663442	-0.006533879	-0.0059901127	1.3564423	0.008018072	0.0526875	127.0	20.81578826904297	0.0	0.0	0.0	0.0	0.0
1	1.494989	0.87628746	3.749808	0.47146153	500.0	0.16067225	0.04307404	0.2605726	-0.003263522	32000	-2.6077032e-08	0.04276129	-0.005456007	-0.014716842	1.3564423	0.006094078	0.057375	127.0	38.30679702758789	0.0	0.0	0.0	0.0	0.0
2	2.237761	0.9720178	4.8807716	0.85105354	500.0	0.25828174	0.07769479	0.42347592	-0.037021518	48000	-2.0489097e-08	0.059063632	-0.008868193	-0.028125316	1.3564423	0.0058847163	0.0800625	127.0	55.58185172080994	0.0	0.0	0.0	0.0	0.0
3	5.384942	3.9722443	19.79774	0.77223814	500.0	0.4581562	0.09713608	0.7031661	0.15043324	64000	-7.450581e-09	0.9432928	-0.006869982	-0.38067138	1.3564423	0.006322748	0.067375004	127.0	73.58931708335876	0.0	0.0	0.0	0.0	0.0
4	10.083516	5.6842375	20.209877	0.93857926	500.0	1.1702262	0.13772255	1.6062272	0.48495096	80000	-1.4901161e-08	2.4937031	-0.0077964608	-1.1071275	1.3564423	0.008049885	0.0695625	127.0	90.97048783302307	0.0	0.0	0.0	0.0	0.0
5	16.036818	6.2331634	27.952385	4.7275023	500.0	2.2272735	0.39224193	3.1995084	0.41748658	96000	-2.9802322e-08	3.9077697	-0.0076863794	-2.1510413	1.3564423	0.0041024047	0.0520625	127.0	109.67248725891113	0.0	0.0	0.0	0.0	0.0
6	22.133709	5.904086	36.95676	6.814871	500.0	3.6761098	0.8293147	5.464748	0.36016533	112000	1.4901161e-08	4.0432367	-0.00796923	-1.9394429	1.3564423	0.0036069965	0.0560625	127.0	127.50713872909546	0.0	0.0	0.0	0.0	0.0
7	20.560085	4.355353	29.59127	12.512563	500.0	5.109786	1.2407458	7.0371833	0.24020661	128000	3.7252903e-09	1.5017416	-0.010886021	-0.12726027	1.3564423	0.007096378	0.0856875	127.0	146.39473366737366	0.0	0.0	0.0	0.0	0.0
8	23.080746	4.3244696	35.69594	15.511432	500.0	5.5963593	1.434717	7.3596106	0.21288215	144000	-5.5879354e-09	2.0532455	-0.008132572	-0.3216932	1.3564423	0.0052502034	0.0623125	127.0	165.02754878997803	0.0	0.0	0.0	0.0	0.0
9	23.231907	4.35108	32.2843	15.702634	500.0	5.6145754	0.95915556	6.6761146	1.6638697	160000	-7.450581e-09	1.6949313	-0.008005671	-0.08706189	1.3564423	0.0076759644	0.07125001	127.0	184.12826895713806	0.0	0.0	0.0	0.0	0.0
10	26.592133	7.9535613	48.702713	13.660107	500.0	5.554997	0.79151076	6.3923807	2.0125668	176000	-7.450581e-09	4.037545	-0.007066464	-0.33767968	1.3564423	0.0065538236	0.060625	127.0	202.15041136741638	0.0	0.0	0.0	0.0	0.0
11	27.227886	7.5326004	46.726395	17.121256	500.0	5.926066	0.47393718	6.371415	3.0891263	192000	-3.7252903e-08	3.414784	-0.0069979257	-0.03524845	1.3564423	0.007507302	0.062124997	127.0	222.09841203689575	0.0	0.0	0.0	0.0	0.0
12	26.261116	6.111382	42.33233	19.56501	500.0	6.0495543	0.460207	6.496336	2.996014	208000	-4.0978193e-08	2.5755305	-0.0070768488	-0.1504904	1.3564423	0.0069599794	0.0503125	127.0	240.62121391296387	0.0	0.0	0.0	0.0	0.0
13	31.187115	7.495962	46.40796	20.934153	500.0	5.775152	0.29160506	6.0491595	3.2117755	224000	-2.0489097e-08	4.467215	-0.007513549	-0.8578992	1.3564423	0.0063213888	0.06175	127.0	260.11340975761414	0.0	0.0	0.0	0.0	0.0
14	31.958103	8.79983	58.5654	19.798225	500.0	6.638052	0.42739692	7.014961	2.9092166	240000	-1.4901161e-08	4.235623	-0.0073801726	-0.13000613	1.3564423	0.006453186	0.051374998	127.0	279.0366168022156	0.0	0.03125	0.0	0.0	0.0
15	30.959665	8.538432	50.93059	18.40973	500.0	6.9157043	0.5217189	7.3629227	2.6420066	256000	-7.450581e-09	3.7009778	-0.008141797	-0.03372863	1.3564423	0.007473433	0.0645625	127.0	297.6168713569641	0.0	0.0	0.0	0.0	0.0
16	35.08564	9.999694	54.36945	19.906513	500.0	6.8337793	0.51596415	7.2301598	2.8591652	272000	7.450581e-09	5.2047243	-0.0066794367	-0.52345216	1.3564423	0.006238886	0.055062503	127.0	317.0467200279236	0.0	0.0	0.0	0.0	0.0
17	40.50993	10.770604	67.7032	23.33021	500.0	7.531747	0.6386943	7.992089	2.5184226	288000	-1.4901161e-08	7.410053	-0.008635022	-1.727961	1.3564423	0.006258445	0.0535	127.0	335.78952193260193	0.0	0.125	0.0	0.0	0.0
18	34.90483	8.998339	58.656616	24.38242	500.0	8.565885	1.066952	9.441972	2.2454035	304000	1.3969839e-08	4.6124387	-0.008406337	-0.7906903	1.3564423	0.0057070097	0.064875	127.0	355.9003155231476	0.0	0.03125	0.0	0.0	0.0
19	35.487698	11.461629	62.664795	22.075504	500.0	7.932342	0.9303542	9.125634	2.9940317	320000	1.8626451e-08	5.8346453	-0.0072096363	-0.83074844	1.3564423	0.006744665	0.058375	127.0	374.0504221916199	0.0	0.03125	0.0	0.0	0.0
20	35.494816	9.779576	54.962955	21.920923	500.0	7.8339124	0.9420154	9.614915	3.8059804	336000	-1.4901161e-08	3.652066	-0.009896744	-0.54689866	1.3564423	0.00765829	0.08625	127.0	392.7681438922882	0.0	0.0	0.0	0.0	0.0
21	42.123013	15.8189	81.822495	22.113255	500.0	8.265449	1.1636481	10.228938	4.4077873	352000	5.5879354e-09	9.61993	-0.008839877	-3.0682073	1.3564423	0.007707632	0.080125004	127.0	410.23274183273315	0.0	0.15625	0.0	0.0	0.0
22	41.52852	14.078463	75.300446	22.040337	500.0	9.550185	1.6780888	12.020656	2.5588377	368000	3.7252903e-09	6.5257463	-0.009452554	-1.3125026	1.3564423	0.00664551	0.0706875	127.0	430.3381974697113	0.0	0.125	0.0	0.0	0.0
23	39.726982	9.845063	62.285305	26.679974	500.0	9.560582	1.9583381	12.800746	-0.87422055	384000	-2.9802322e-08	4.356044	-0.011173821	-0.64567834	1.3564423	0.009344466	0.0924375	127.0	448.2612512111664	0.0	0.0625	0.0	0.0	0.0
24	44.813774	14.669612	82.84545	27.279135	500.0	10.012317	1.8821207	12.351349	3.8594904	400000	0.0	7.158154	-0.008422561	-0.6245027	1.3564423	0.006852282	0.078125	127.0	467.0396819114685	0.0	0.25	0.0	0.0	0.0
25	46.830257	16.911098	91.49301	19.601215	500.0	10.156021	2.27392	12.946055	-4.275693	416000	-1.4901161e-08	10.572232	-0.009262029	-1.3321654	1.3564423	0.00763828	0.0773125	127.0	485.9650356769562	0.0	0.21875	0.0	0.0	0.0
26	49.05416	18.486708	91.13234	25.757097	500.0	10.254598	2.9429016	13.947097	-12.528562	432000	1.8626451e-09	11.462612	-0.010090901	-2.203473	1.3564423	0.005996173	0.0745	127.0	507.0949184894562	0.0	0.375	0.0	0.0	0.0
