Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.085359946	0.05012941	0.2014957	0.022216514	500.0	0.06499646	0.02645716	0.13343492	0.018865176	16000	1.4901161e-08	0.0021921126	-0.00808332	-0.0020018634	1.3564423	0.007329805	0.067625	127.0	25.939143896102905	0.0	0.0	0.0	0.0	0.0
1	0.11623589	0.06797046	0.31551808	0.034288198	500.0	0.032904338	0.015626932	0.09243879	0.0023674816	32000	1.4901161e-08	0.00028214007	-0.00751637	-0.00016037773	1.3564423	0.0059939055	0.0624375	127.0	49.166728258132935	0.0	0.0	0.0	0.0	0.0
2	0.11229927	0.07437071	0.2533847	0.024180496	500.0	0.033521727	0.010414169	0.06637181	0.008408392	48000	-2.9802322e-08	0.00022974168	-0.009628549	-0.0001266333	1.3564423	0.0065628635	0.0833125	127.0	72.68869709968567	0.0	0.0	0.0	0.0	0.0
3	0.17386371	0.099736124	0.4483194	0.045236487	500.0	0.033903703	0.010154342	0.07098062	0.0110805	64000	4.0978193e-08	0.00044440015	-0.011217433	-0.00018487149	1.3564423	0.010236995	0.127375	127.0	95.7776882648468	0.0	0.0	0.0	0.0	0.0
4	0.19367866	0.12662064	0.45948896	0.042157684	500.0	0.04350625	0.01648921	0.12133053	0.0017579403	80000	3.7252903e-09	0.00045170545	-0.008096492	-0.00026862952	1.3564423	0.0055987793	0.0766875	127.0	117.58421683311462	0.0	0.0	0.0	0.0	0.0
5	0.374969	0.43467113	1.901369	0.040824603	500.0	0.05333032	0.036283348	0.21907434	-0.0040513184	96000	-3.7252903e-09	0.011343433	-0.0033752224	-0.007772934	1.3564423	0.0045275697	0.037562497	127.0	141.67300820350647	0.0	0.0	0.0	0.0	0.0
6	0.4252541	0.47636786	1.9781945	0.08023261	500.0	0.120697685	0.11333118	0.6145054	-0.0568506	112000	-1.6763806e-08	0.014243963	-0.0077665793	-0.004882486	1.3564423	0.009375341	0.1079375	127.0	164.4662103652954	0.0	0.0	0.0	0.0	0.0
7	1.2860214	1.3104503	6.658957	0.10244498	500.0	0.2855605	0.25581288	1.1469352	-0.071675934	128000	3.7252903e-09	0.11900772	-0.0049703214	-0.035050195	1.3564423	0.0055894414	0.0700625	127.0	187.97769117355347	0.0	0.0	0.0	0.0	0.0
8	2.4438348	2.0093565	9.456685	0.39534572	500.0	0.39212793	0.3340183	1.3094357	-0.11542991	144000	-2.3283064e-08	0.4149323	-0.0070633735	-0.15266599	1.3564423	0.007121278	0.084625	127.0	208.2775321006775	0.0	0.0	0.0	0.0	0.0
9	5.257233	3.2595417	15.55623	0.9630041	500.0	0.8302329	0.5769197	2.0916066	-0.052392088	160000	3.7252903e-09	1.1485686	-0.0076521477	-0.53555954	1.3564423	0.0059551084	0.070562504	127.0	228.29321098327637	0.0	0.0	0.0	0.0	0.0
10	6.996811	3.4380527	14.532992	2.0065773	500.0	1.3535783	0.9547788	3.967008	-0.25373334	176000	-7.450581e-09	1.374803	-0.0055070072	-0.52222466	1.3564423	0.0058603077	0.056625	127.0	250.83386158943176	0.0	0.0625	0.0	0.0	0.0
11	7.564644	3.5841641	16.506065	0.3025481	500.0	2.2429197	1.3074925	4.569023	-0.40479746	192000	2.9802322e-08	0.96543366	-0.007997343	-0.24735077	1.3564423	0.005831531	0.0685625	127.0	272.40872144699097	0.0	0.0	0.0	0.0	0.0
12	7.895576	4.1359286	21.944471	1.3462236	500.0	2.2815123	1.6365491	5.0373855	-0.6621647	208000	-1.4901161e-08	0.8257476	-0.007247545	-0.21526542	1.3564423	0.0064379578	0.0599375	127.0	294.1850085258484	0.0	0.0	0.0	0.0	0.0
