Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.085204475	0.049361017	0.19910485	0.022422563	500.0	0.06613822	0.026322166	0.13040169	0.021778654	16000	2.4214387e-08	0.0022235853	-0.0082178805	-0.002014012	1.3564423	0.007474627	0.06825	127.0	25.04451036453247	0.0	0.0	0.0	0.0	0.0
1	0.11696054	0.06812521	0.31364366	0.033559494	500.0	0.033889458	0.015938463	0.09236382	0.0003571529	32000	1.4901161e-08	0.00028333324	-0.008096412	-0.00015437555	1.3564423	0.0062296917	0.068312496	127.0	45.04120659828186	0.0	0.0	0.0	0.0	0.0
2	0.11336537	0.076369695	0.27080092	0.023448696	500.0	0.033913568	0.010382805	0.06765086	0.0096493205	48000	-1.4901161e-08	0.00023349642	-0.009973666	-0.00012347217	1.3564423	0.0067866584	0.0885	127.0	68.05940580368042	0.0	0.0	0.0	0.0	0.0
3	0.18122458	0.10911918	0.57491213	0.046808	500.0	0.03438408	0.01061149	0.07029496	0.011075692	64000	-1.4901161e-08	0.0005647668	-0.009806821	-0.00023302066	1.3564423	0.009877732	0.118687496	127.0	88.68657493591309	0.0	0.0	0.0	0.0	0.0
4	0.18868768	0.13551451	0.53919876	0.042205222	500.0	0.04132009	0.015786218	0.12096659	0.0073270686	80000	-1.4901161e-08	0.0005059443	-0.007793382	-0.00031472222	1.3564423	0.0059922254	0.0836875	127.0	111.3259973526001	0.0	0.0	0.0	0.0	0.0
5	0.30758494	0.3562045	1.3965716	0.038762424	500.0	0.05075979	0.038335223	0.2423345	-0.003965959	96000	-1.1175871e-08	0.0061765686	-0.004159691	-0.0037749484	1.3564423	0.0045447876	0.0529375	127.0	132.45432925224304	0.0	0.0	0.0	0.0	0.0
6	0.40341443	0.44557822	2.408221	0.06621828	500.0	0.10801265	0.10258228	0.47272322	-0.03511163	112000	1.8626451e-09	0.009740539	-0.007282324	-0.0041253464	1.3564423	0.009379786	0.10325	127.0	154.64048075675964	0.0	0.0	0.0	0.0	0.0
7	1.3510509	1.053846	3.8066013	0.10561365	500.0	0.24398825	0.20433351	0.8522222	-0.07342248	128000	1.8626451e-08	0.09492719	-0.005669415	-0.03323923	1.3564423	0.006852219	0.0775	127.0	176.80133509635925	0.0	0.0	0.0	0.0	0.0
8	2.8956385	2.6498036	11.417343	0.2593907	500.0	0.39208093	0.29349345	1.1298009	-0.09449368	144000	-5.2154064e-08	0.6499327	-0.0060447557	-0.26912567	1.3564423	0.0071880817	0.0716875	127.0	198.5618381500244	0.0	0.0	0.0	0.0	0.0
9	4.1430187	3.4352307	12.728371	0.10597309	500.0	0.752799	0.57370704	2.2829568	-0.13237011	160000	-1.8626451e-08	0.81906533	-0.0074529564	-0.33384275	1.3564423	0.007496088	0.08050001	127.0	220.15894627571106	0.0	0.0	0.0	0.0	0.0
