Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.29415888	0.23991302	1.0290642	0.04585939	500.0	0.08350792	0.022703098	0.12806377	0.022382675	16000	-2.2351742e-08	0.003333856	-0.0055038063	-0.0015722326	1.3564423	0.005893872	0.049312502	127.0	21.99825167655945	0.0	0.0	0.0	0.0	0.0
1	0.88497317	0.94986546	4.292628	0.022998704	500.0	0.08951296	0.029172644	0.17435898	0.01962061	32000	1.8626451e-08	0.054286458	-0.0051926016	-0.022048648	1.3564423	0.006363625	0.0596875	127.0	43.73690438270569	0.0	0.0	0.0	0.0	0.0
2	1.8269802	1.3742535	6.0497127	0.24447034	500.0	0.2633465	0.12839314	0.595505	-0.011027284	48000	2.9802322e-08	0.13635468	-0.0076078805	-0.04933322	1.3564423	0.0073815593	0.101	127.0	62.39119577407837	0.0	0.0	0.0	0.0	0.0
3	2.3981137	1.6486326	6.753339	0.40628144	500.0	0.55130124	0.23528512	1.0691632	-0.053600997	64000	1.4901161e-08	0.1193019	-0.008543117	-0.040561	1.3564423	0.007078459	0.0960625	127.0	83.81516170501709	0.0	0.0	0.0	0.0	0.0
4	5.9491076	4.2765102	16.662277	1.0826111	500.0	0.7624479	0.33713567	1.6416026	-0.17084247	80000	-7.450581e-09	1.3057423	-0.0072594555	-0.5627222	1.3564423	0.006509295	0.0713125	127.0	103.23206496238708	0.0	0.0	0.0	0.0	0.0
5	12.3864	11.733114	64.091805	2.4737816	500.0	1.5799936	0.6617413	3.262997	-0.26266253	96000	-3.7252903e-09	8.247062	-0.0069925124	-3.0532503	1.3564423	0.0066631986	0.0664375	127.0	124.25564289093018	0.0	0.125	0.0	0.0	0.0
6	17.29805	9.527308	63.4974	6.1480837	500.0	3.501013	1.3373623	6.5504837	-0.39549187	112000	3.5390258e-08	6.2518907	-0.00826272	-1.4849747	1.3564423	0.007981218	0.085125	127.0	146.73248600959778	0.0	0.0625	0.0	0.0	0.0
7	14.645193	3.2815163	21.71802	8.730411	500.0	4.8186154	2.0580907	7.7590303	-1.3126371	128000	2.7939677e-09	1.5286252	-0.008546253	-0.6196197	1.3564423	0.0059913024	0.0598125	127.0	166.5007610321045	0.0	0.0	0.0	0.0	0.0
8	19.190107	15.072014	65.93802	2.939599	500.0	4.5513954	1.9190753	7.137743	-0.8911975	144000	3.7252903e-08	12.228219	-0.0065258257	-1.1260523	1.3564423	0.0067720897	0.07224999	127.0	185.03601574897766	0.0	0.15625	0.0	0.0	0.0
9	16.869114	6.4574375	44.41578	9.511709	500.0	4.9830236	1.9923644	7.4442596	-1.3283985	160000	3.7252903e-09	3.56947	-0.0071122237	-0.50742215	1.3564423	0.005868653	0.05625	127.0	207.25689506530762	0.0	0.03125	0.0	0.0	0.0
10	20.63485	13.648037	92.44095	11.919964	500.0	4.786872	1.504769	6.4588313	0.18174428	176000	4.0978193e-08	8.467781	-0.0059219697	-0.23682955	1.3564423	0.006200607	0.0694375	127.0	227.25200414657593	0.0	0.0625	0.0	0.0	0.0
11	21.518566	11.393979	79.69149	10.751702	500.0	5.1196327	1.3376756	6.5569344	0.7704682	192000	2.2351742e-08	6.767809	-0.005624542	-0.1515188	1.3564423	0.006994242	0.070374995	127.0	248.8804817199707	0.0	0.0625	0.0	0.0	0.0
12	26.119656	16.827332	77.73293	13.289028	500.0	5.3723707	1.2083006	6.559445	0.9970225	208000	-2.2351742e-08	13.8917885	-0.00661043	-0.6737081	1.3564423	0.007501343	0.0760625	127.0	269.62891721725464	0.0	0.15625	0.0	0.0	0.0
13	22.796955	10.428807	75.89428	13.047751	500.0	6.053181	1.3912331	7.311004	0.899561	224000	-7.450581e-09	5.750914	-0.0071974657	-0.30629513	1.3564423	0.0056604845	0.0539375	127.0	290.6960337162018	0.0	0.03125	0.0	0.0	0.0
14	27.373894	17.631887	95.90708	15.592462	500.0	5.692742	1.1319964	6.6965485	1.2039421	240000	0.0	13.062427	-0.005799153	-0.3683073	1.3564423	0.0070071705	0.0686875	127.0	310.6886713504791	0.0	0.125	0.0	0.0	0.0
15	27.552956	15.444348	80.44766	13.148211	500.0	6.2183585	1.2446667	7.350254	1.3331386	256000	1.8626451e-08	12.47821	-0.0066200118	-0.14407675	1.3564423	0.008114826	0.074999996	127.0	331.37419176101685	0.0	0.125	0.0	0.0	0.0
16	37.03222	23.985874	97.14616	19.210913	500.0	6.5225916	1.3635842	7.642561	0.8029163	272000	9.313226e-09	28.623043	-0.0057401573	-3.2128954	1.3564423	0.0062052705	0.054625005	127.0	353.2747440338135	0.0	0.28125	0.0	0.0	0.0
17	31.07313	17.764484	102.87057	20.55659	500.0	8.21463	1.731325	9.418959	0.84783125	288000	-1.4901161e-08	13.661449	-0.006004744	-0.6565715	1.3564423	0.006216936	0.0635	127.0	373.97477197647095	0.0	0.1875	0.0	0.0	0.0
18	35.25604	22.06316	96.14463	19.706818	500.0	7.5383797	1.4553676	8.645581	1.741413	304000	0.0	20.545452	-0.0059853746	-0.37545025	1.3564423	0.0062860213	0.056562502	127.0	397.2159798145294	0.0	0.1875	0.0	0.0	0.0
19	36.963497	23.669247	103.991844	19.575104	500.0	8.035585	1.5889132	9.263409	1.6505098	320000	0.0	22.462646	-0.007945448	-0.22641319	1.3564423	0.008367833	0.0695625	127.0	420.1262197494507	0.0	0.21875	0.0	0.0	0.0
20	36.97638	22.282864	102.24576	22.02272	500.0	8.427508	1.5634187	9.598114	2.3439012	336000	0.0	21.401836	-0.008101217	-0.31575343	1.3564423	0.009049347	0.0748125	127.0	441.29801535606384	0.0	0.1875	0.0	0.0	0.0
21	35.790535	19.46267	114.07494	18.703539	500.0	8.656707	1.7446027	10.014409	1.7828143	352000	1.4901161e-08	16.124975	-0.008548256	-0.14376658	1.3564423	0.008088406	0.083125	127.0	461.75276136398315	0.0	0.15625	0.0	0.0	0.0
22	41.039772	26.349092	108.48943	19.95656	500.0	8.481499	1.8000427	9.884848	1.6978803	368000	-1.1175871e-08	29.055243	-0.007580906	-0.87688535	1.3564423	0.008387532	0.0706875	127.0	483.6192283630371	0.0	0.21875	0.0	0.0	0.0
23	31.202307	12.747645	86.17788	19.501245	500.0	9.331986	1.917269	10.696469	1.9943624	384000	0.0	11.057362	-0.0083205905	-2.867815	1.3564423	0.007759178	0.0775	127.0	504.66044306755066	0.0	0.0625	0.0	0.0	0.0
24	38.32498	24.650894	104.80519	23.07661	500.0	7.8394723	1.6969815	9.288671	1.4542531	400000	1.4901161e-08	24.982058	-0.006522963	-0.8974327	1.3564423	0.008921183	0.0668125	127.0	525.1601870059967	0.0	0.1875	0.0	0.0	0.0
25	28.822515	3.8280945	35.42307	21.23156	500.0	8.672807	1.7692088	9.997738	1.6577238	416000	2.9802322e-08	3.6754506	-0.009868581	-2.5356588	1.3564423	0.007347176	0.08	127.0	546.0682866573334	0.0	0.0	0.0	0.0	0.0
26	29.923931	3.5797136	40.394127	23.144407	500.0	7.229454	1.5490271	8.832301	1.3819683	432000	-1.8626451e-09	0.6630733	-0.010777588	-0.06921967	1.3564423	0.007902044	0.084437504	127.0	566.960928440094	0.0	0.0	0.0	0.0	0.0
27	36.043594	17.042267	106.59564	24.240692	500.0	7.0964975	1.4891931	8.763688	1.3492914	448000	-7.450581e-09	14.472693	-0.006579972	-1.5453746	1.3564423	0.007841349	0.062187497	127.0	588.3629405498505	0.0	0.1875	0.0	0.0	0.0
28	32.186478	6.946106	65.204544	22.447998	500.0	8.246347	1.7648327	9.546936	1.6500508	464000	0.0	3.4475627	-0.008770613	-0.46478876	1.3564423	0.007580386	0.0915625	127.0	609.4695160388947	0.0	0.03125	0.0	0.0	0.0
