Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.1491386	0.08673943	0.39168754	0.034579743	500.0	0.057849884	0.02213113	0.12405505	-0.016078297	16000	-1.8626451e-08	0.0011266588	-0.0065817973	-0.0008470618	1.3564423	0.0066424375	0.057812497	127.0	20.84620761871338	0.0	0.0	0.0	0.0	0.0
1	0.22677775	0.14133112	0.6027701	0.049914744	500.0	0.046073083	0.013378475	0.0864871	0.011389941	32000	2.6077032e-08	0.000972453	-0.008225292	-0.00033747125	1.3564423	0.0076293563	0.0900625	127.0	41.54405379295349	0.0	0.0	0.0	0.0	0.0
2	0.46678635	0.29401174	1.2328941	0.08568621	500.0	0.0681935	0.02515615	0.13958305	0.0051771402	48000	-2.2351742e-08	0.0060541118	-0.0074744914	-0.0026896037	1.3564423	0.0075502964	0.099	127.0	62.11820340156555	0.0	0.0	0.0	0.0	0.0
3	0.83834195	0.55555844	2.6729834	0.24916327	500.0	0.1332202	0.057371784	0.2933106	-0.00797398	64000	-4.0978193e-08	0.021465894	-0.007325246	-0.009471001	1.3564423	0.0075903307	0.103750005	127.0	80.95556211471558	0.0	0.0	0.0	0.0	0.0
4	2.2698548	1.8675499	7.5428214	0.47461152	500.0	0.2679569	0.13759543	0.64771724	-0.037502777	80000	1.4901161e-08	0.26016778	-0.006366823	-0.11337623	1.3564423	0.0064974246	0.062875	127.0	103.29672193527222	0.0	0.0	0.0	0.0	0.0
5	3.2892656	3.8894186	15.302514	0.543368	500.0	0.51066136	0.32082158	1.4374183	-0.036732733	96000	3.3527613e-08	0.7576963	-0.0063400744	-0.3702966	1.3564423	0.0075467443	0.0719375	127.0	126.25794529914856	0.0	0.0	0.0	0.0	0.0
6	9.126688	6.199478	32.86764	0.36934808	500.0	1.4663663	0.86250305	3.2787821	-0.43764925	112000	3.7252903e-08	2.8222141	-0.008038526	-1.1869321	1.3564423	0.007241652	0.0804375	127.0	146.01094675064087	0.0	0.0625	0.0	0.0	0.0
7	11.922632	6.8672996	40.20746	0.5861963	500.0	2.7013032	1.6991333	5.453924	-0.95626795	128000	3.7252903e-09	2.3404126	-0.0073387213	-0.5165147	1.3564423	0.00663517	0.0895	127.0	166.32791256904602	0.0	0.0625	0.0	0.0	0.0
8	12.296356	7.198769	42.666924	2.2278328	500.0	3.6067724	2.0065439	6.536729	-0.9136585	144000	-7.450581e-09	2.6484323	-0.0073497677	-0.41654226	1.3564423	0.005505525	0.0734375	127.0	186.76526188850403	0.0	0.125	0.0	0.0	0.0
9	15.447574	4.119925	25.143385	8.31072	500.0	3.7953982	1.7955216	6.4720216	-0.6741489	160000	0.0	1.158261	-0.010032695	-0.1876033	1.3564423	0.008310057	0.099437505	127.0	207.06987857818604	0.0	0.0	0.0	0.0	0.0
10	20.421734	11.417595	57.661747	3.5191138	500.0	4.235827	1.7154869	6.792083	-0.29737863	176000	1.1175871e-08	7.5019236	-0.006266488	-1.084409	1.3564423	0.004948426	0.0755625	127.0	227.06693053245544	0.0	0.1875	0.0	0.0	0.0
11	20.60907	10.183425	71.518005	10.72797	500.0	5.1494884	2.0907304	8.029945	-0.76599413	192000	0.0	5.1771035	-0.0067708413	-0.24540277	1.3564423	0.0071090246	0.0795	127.0	248.399667263031	0.0	0.0625	0.0	0.0	0.0
12	19.352306	10.527878	61.89804	0.70272756	500.0	5.1275992	2.008711	7.756005	-0.45447356	208000	7.450581e-09	4.5812054	-0.0074758353	-0.6846689	1.3564423	0.0044621127	0.0636875	127.0	271.2473974227905	0.0	0.03125	0.0	0.0	0.0
13	21.86295	11.004013	64.24085	2.3509107	500.0	5.2586637	2.136121	7.66638	-1.11919	224000	-1.3038516e-08	7.218971	-0.0075331787	-0.4242043	1.3564423	0.007850344	0.0811875	127.0	291.30076241493225	0.0	0.125	0.0	0.0	0.0
14	23.681477	5.5383635	34.1098	12.686731	500.0	5.7353168	1.8999842	7.780376	-0.85988474	240000	1.8626451e-08	2.2735088	-0.00815516	-0.3184753	1.3564423	0.0063201734	0.060937498	127.0	311.55839371681213	0.0	0.125	0.0	0.0	0.0
