Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.16812229	0.121947154	0.47586605	0.028820314	500.0	0.057423577	0.020781726	0.1176573	-0.016078297	16000	-2.2351742e-08	0.0013982193	-0.006668453	-0.00095596333	1.3564423	0.0063159885	0.059312504	127.0	19.52533793449402	0.0	0.0	0.0	0.0	0.0
1	0.29102203	0.23463833	0.8727461	0.023900287	500.0	0.051724706	0.018430013	0.09981734	0.009529021	32000	7.450581e-09	0.002265234	-0.008190846	-0.0011082123	1.3564423	0.007168024	0.0836875	127.0	37.382203340530396	0.0	0.0	0.0	0.0	0.0
2	0.8881779	0.68272513	3.5752394	0.11007091	500.0	0.09104295	0.03748023	0.19451167	-0.019849533	48000	4.4703484e-08	0.032451726	-0.0061774547	-0.015813608	1.3564423	0.006173131	0.0734375	127.0	55.334508419036865	0.0	0.0	0.0	0.0	0.0
3	1.543035	1.3353844	5.9476175	0.306413	500.0	0.21495737	0.09718451	0.5288776	-0.04085293	64000	3.7252903e-09	0.10696162	-0.0077451295	-0.052263916	1.3564423	0.008002199	0.0980625	127.0	74.51404547691345	0.0	0.0	0.0	0.0	0.0
4	5.3328695	2.8811514	11.3686	0.6430224	500.0	0.57161903	0.27715436	1.2386891	-0.27012864	80000	2.9802322e-08	0.9290738	-0.006952904	-0.5183389	1.3564423	0.0068048527	0.068375	127.0	92.83111453056335	0.0	0.0	0.0	0.0	0.0
5	8.817495	5.2606764	22.061441	0.6001376	500.0	1.3026853	0.62454945	2.5918396	-0.37311417	96000	1.3038516e-08	2.2172747	-0.0064534824	-1.0711262	1.3564423	0.006251093	0.0651875	127.0	110.4541003704071	0.0	0.0625	0.0	0.0	0.0
6	12.439268	4.158117	23.9996	4.2648654	500.0	2.5413594	1.2759874	4.6739154	-1.1845436	112000	-9.313226e-09	1.6408935	-0.008586112	-0.6434781	1.3564423	0.0070146243	0.081875004	127.0	128.91128516197205	0.0	0.0	0.0	0.0	0.0
7	13.834189	3.3707874	24.850819	8.957289	500.0	3.5205266	1.6846389	5.786717	-1.1094775	128000	-4.0978193e-08	0.98838043	-0.008271463	-0.102161035	1.3564423	0.0057711643	0.068625	127.0	148.2893259525299	0.0	0.0	0.0	0.0	0.0
8	18.643257	10.675436	59.625423	7.343902	500.0	3.904103	1.6533735	5.9930787	-0.5868458	144000	0.0	6.9773426	-0.006073408	-0.75677586	1.3564423	0.007592761	0.081	127.0	166.3161952495575	0.0	0.0625	0.0	0.0	0.0
9	16.81388	4.1560655	25.75259	7.8389115	500.0	4.826468	1.6321734	6.835197	-0.35112727	160000	2.9802322e-08	1.8489988	-0.008775616	-0.41028833	1.3564423	0.0069382917	0.0710625	127.0	185.57436442375183	0.0	0.0	0.0	0.0	0.0
10	21.595661	4.7602286	32.776943	12.829373	500.0	4.4044127	1.1521816	5.8285565	0.39763403	176000	2.2351742e-08	2.1808503	-0.007136582	-0.4794464	1.3564423	0.006939232	0.0700625	127.0	204.01235342025757	0.0	0.0	0.0	0.0	0.0
11	22.517696	12.916601	69.59913	7.8137593	500.0	5.108213	1.1711671	6.4612317	0.605932	192000	7.450581e-09	9.290131	-0.006971839	-0.60015565	1.3564423	0.006675262	0.063625	127.0	222.92060494422913	0.0	0.0625	0.0	0.0	0.0
12	29.112236	19.772177	78.91499	11.397134	500.0	5.6378193	1.3238965	7.2510386	-0.0014606863	208000	-1.1175871e-08	21.266907	-0.0062227314	-1.5848547	1.3564423	0.006861973	0.06725	127.0	241.3556306362152	0.0	0.25	0.0	0.0	0.0
13	27.26089	16.728624	86.635345	12.716729	500.0	6.7083364	1.6032624	8.154244	0.48106515	224000	2.6077032e-08	14.182402	-0.0050813546	-0.1696324	1.3564423	0.0063501066	0.04825	127.0	260.21095848083496	0.0	0.125	0.0	0.0	0.0
14	34.167755	23.56675	94.86226	11.522173	500.0	6.586573	1.4771363	7.910978	0.9698537	240000	-1.4901161e-08	28.63217	-0.005901479	-1.9667938	1.3564423	0.0067036534	0.048375	127.0	279.56218457221985	0.0	0.3125	0.0	0.0	0.0
15	25.799059	11.370663	83.05643	14.941876	500.0	7.623709	1.7421526	9.40692	0.58134216	256000	7.450581e-09	8.0101185	-0.007820648	-1.7046628	1.3564423	0.007541276	0.0735	127.0	298.59853506088257	0.0	0.0625	0.0	0.0	0.0
16	28.712952	15.521847	92.52098	15.234718	500.0	6.649599	1.626863	8.667334	0.9812803	272000	7.450581e-09	10.698346	-0.0064919163	-0.28435227	1.3564423	0.0068159243	0.06075	127.0	317.9241282939911	0.0	0.09375	0.0	0.0	0.0
17	26.345085	6.6471972	37.115814	13.892318	500.0	6.951544	1.5604054	8.8397455	1.3965992	288000	-7.450581e-09	2.9718118	-0.007825236	-0.86937225	1.3564423	0.0054247137	0.0585625	127.0	336.8351650238037	0.0	0.0	0.0	0.0	0.0
18	28.981125	15.345832	108.539055	13.1182165	500.0	6.4554167	1.2468694	8.113521	2.1873155	304000	0.0	10.152386	-0.0064426335	-0.24111111	1.3564423	0.0070763747	0.062124997	127.0	356.0690369606018	0.0	0.03125	0.0	0.0	0.0
19	31.038818	17.34794	113.09205	15.810455	500.0	6.7166615	1.331982	8.446995	2.3767214	320000	-1.3038516e-08	13.400167	-0.007209147	-0.53038317	1.3564423	0.0059487065	0.0710625	127.0	375.35149025917053	0.0	0.09375	0.0	0.0	0.0
20	27.748173	14.303628	100.17981	12.993442	500.0	7.146083	1.4086988	8.8470335	0.8173184	336000	3.7252903e-09	8.712561	-0.0077882153	-0.62727994	1.3564423	0.0077139093	0.081125	127.0	394.80924463272095	0.0	0.0625	0.0	0.0	0.0
21	25.431705	5.0717106	36.56139	14.011155	500.0	6.6774044	1.5192449	8.642045	1.5268612	352000	-1.4901161e-08	2.2553473	-0.009765887	-0.79316187	1.3564423	0.00790117	0.080937505	127.0	414.77136754989624	0.0	0.0625	0.0	0.0	0.0
22	34.677437	23.317476	114.25844	17.146381	500.0	6.201415	1.2090472	7.84252	1.3243991	368000	1.4901161e-08	26.783873	-0.006463375	-3.1055424	1.3564423	0.010021243	0.075875	127.0	435.98692536354065	0.0	0.1875	0.0	0.0	0.0
23	24.664255	5.9845386	35.992138	15.514628	500.0	7.6955695	1.5527645	9.520686	0.7577508	384000	3.9115548e-08	4.6126738	-0.009907074	-2.884433	1.3564423	0.008520205	0.0814375	127.0	454.36011481285095	0.0	0.0	0.0	0.0	0.0
24	26.096481	5.140199	35.774914	16.134594	500.0	6.4584355	1.4334985	8.358061	0.27989474	400000	-4.656613e-09	1.5802863	-0.009226156	-0.27212447	1.3564423	0.0072864587	0.069125	127.0	474.0503399372101	0.0	0.0	0.0	0.0	0.0
25	27.36985	4.587274	35.02937	19.476627	500.0	6.2288017	1.3400992	7.858201	0.9942898	416000	0.0	1.3520095	-0.0069110785	-0.09914845	1.3564423	0.004812476	0.052187502	127.0	493.890127658844	0.0	0.0	0.0	0.0	0.0
26	29.451607	5.0736327	39.00745	19.420004	500.0	6.386296	1.1652164	7.940013	1.8339057	432000	-2.9802322e-08	1.4171485	-0.0075048455	-0.23274048	1.3564423	0.0056763883	0.0526875	127.0	514.3198068141937	0.0	0.0	0.0	0.0	0.0
27	30.613659	12.143499	90.51189	19.964603	500.0	6.6536694	1.4732205	8.292731	1.4956515	448000	-7.450581e-09	7.2580967	-0.0073391497	-0.3274574	1.3564423	0.005596022	0.0661875	127.0	533.427571773529	0.0	0.0625	0.0	0.0	0.0
28	29.909998	6.019559	39.041733	19.92827	500.0	7.0446887	1.4212682	8.903553	1.6060443	464000	1.1175871e-08	1.5063839	-0.008111252	-0.11472674	1.3564423	0.0074469745	0.0610625	127.0	551.9454638957977	0.0	0.0	0.0	0.0	0.0
29	32.235596	4.438513	37.731167	20.890793	500.0	7.113641	1.5522773	9.010237	1.297822	480000	-7.450581e-09	1.2650921	-0.008408569	-0.17618644	1.3564423	0.0069322293	0.0714375	127.0	571.6067137718201	0.0	0.0	0.0	0.0	0.0
30	31.040628	5.3209395	38.990738	20.389534	500.0	7.452388	1.4522233	9.125025	1.6381027	496000	1.1175871e-08	1.4806213	-0.0063613923	-0.09243174	1.3564423	0.0056163976	0.050875	127.0	590.3137083053589	0.0	0.0	0.0	0.0	0.0
