Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.30612916	0.24455419	1.1081623	0.038334392	500.0	0.07814963	0.022175785	0.12382283	0.015892584	16000	0.0	0.0033823238	-0.0053238478	-0.0017026372	1.3564423	0.0061101695	0.04775	127.0	25.117577075958252	0.0	0.0	0.0	0.0	0.0
1	0.9301549	0.97880006	4.3369317	0.026037224	500.0	0.09348416	0.033299245	0.19396326	0.01350473	32000	7.450581e-09	0.0586331	-0.0058243386	-0.024709035	1.3564423	0.006652352	0.0654375	127.0	47.801398277282715	0.0	0.0	0.0	0.0	0.0
2	2.177652	1.7481172	7.7449985	0.27639973	500.0	0.2924539	0.14365491	0.6804198	-0.023607595	48000	7.450581e-09	0.21777524	-0.0070997155	-0.08521103	1.3564423	0.007039207	0.089499995	127.0	71.48473644256592	0.0	0.0	0.0	0.0	0.0
3	2.9886265	2.0763292	9.190455	0.50437623	500.0	0.6665223	0.3022218	1.3318793	-0.09169813	64000	1.4901161e-08	0.21093535	-0.008537185	-0.07106121	1.3564423	0.007089117	0.1023125	127.0	92.72805547714233	0.0	0.0	0.0	0.0	0.0
4	6.517231	4.63953	17.64727	1.1662171	500.0	0.9231778	0.43888515	2.0469966	-0.27481574	80000	7.450581e-09	1.4225247	-0.007492184	-0.608516	1.3564423	0.006698548	0.076375	127.0	114.80330157279968	0.0	0.0	0.0	0.0	0.0
5	13.075094	12.316252	72.54286	2.7328691	500.0	1.834585	0.7934356	3.8143423	-0.3396261	96000	4.284084e-08	8.427432	-0.006220039	-2.8179924	1.3564423	0.0066881436	0.0664375	127.0	138.1389865875244	0.0	0.0625	0.0	0.0	0.0
6	15.754131	4.377228	26.675087	7.6994195	500.0	3.8041224	1.4667807	7.4892373	-0.8221839	112000	7.450581e-09	1.6826267	-0.010123126	-0.49203563	1.3564423	0.007950705	0.08706249	127.0	163.09445524215698	0.0	0.0	0.0	0.0	0.0
7	17.787615	10.631582	64.17281	5.9523573	500.0	4.5339894	1.9204992	7.3252625	-1.7238537	128000	-1.8626451e-08	7.16729	-0.0050235773	-0.61467725	1.3564423	0.0054275175	0.0503125	127.0	187.48812055587769	0.0	0.1875	0.0	0.0	0.0
8	15.835438	11.902432	67.354706	3.4383156	500.0	5.0563817	2.065415	7.5733194	-1.8254192	144000	-7.450581e-09	8.081699	-0.005123006	-1.0847573	1.3564423	0.00537539	0.0491875	127.0	212.72749996185303	0.0	0.125	0.0	0.0	0.0
9	17.35014	12.162959	81.06732	7.8466587	500.0	4.4288206	1.678283	6.547418	-1.0633996	160000	-1.4901161e-08	7.1140347	-0.006377432	-0.29058307	1.3564423	0.0069855982	0.0719375	127.0	235.30457735061646	0.0	0.03125	0.0	0.0	0.0
