Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.086016834	0.069196984	0.24236639	0.011993259	500.0	0.12652533	0.025877403	0.18153405	0.070398845	16000	1.2852252e-07	0.008427907	-0.008913955	-0.007877985	1.3564423	0.007852991	0.0829375	127.0	25.789982318878174	0.0	0.0	0.0	0.0	0.0
1	0.22734492	0.2607528	1.2070282	0.017579228	500.0	0.05114286	0.025153248	0.14465751	-0.002435999	32000	-1.8626451e-08	0.0030761794	-0.0062253596	-0.0012096415	1.3564423	0.006065281	0.0633125	127.0	50.04936099052429	0.0	0.0	0.0	0.0	0.0
2	0.38640314	0.34536666	1.424536	0.03141316	500.0	0.069455564	0.025832387	0.149199	0.018495351	48000	-5.5879354e-09	0.0044052675	-0.009339925	-0.001821558	1.3564423	0.008526197	0.10925	127.0	72.49198079109192	0.0	0.0	0.0	0.0	0.0
3	1.4231377	1.3821654	6.677082	0.2770577	500.0	0.17250256	0.06698062	0.35831216	0.012581335	64000	7.450581e-09	0.110320196	-0.0058921054	-0.039157916	1.3564423	0.005989586	0.0640625	127.0	92.61826157569885	0.0	0.0	0.0	0.0	0.0
4	3.4442267	2.4918973	10.646763	0.37861466	500.0	0.43464556	0.1671209	0.8265332	-0.14898922	80000	4.4703484e-08	0.444696	-0.00659918	-0.18761578	1.3564423	0.0073916707	0.071	127.0	113.59506916999817	0.0	0.0	0.0	0.0	0.0
5	4.3563147	3.7297616	13.326423	0.56048244	500.0	0.81810236	0.30430633	1.5889525	-0.15461671	96000	1.8626451e-09	0.7184386	-0.0073367255	-0.30658168	1.3564423	0.006796946	0.0800625	127.0	138.83747100830078	0.0	0.0	0.0	0.0	0.0
6	9.447493	5.395693	25.76467	2.638646	500.0	1.5551118	0.6833013	3.403371	-0.0061482154	112000	-2.9802322e-08	2.2512126	-0.009052061	-0.7925794	1.3564423	0.008898197	0.10625	127.0	161.42694640159607	0.0	0.03125	0.0	0.0	0.0
7	12.602703	4.6528835	22.644611	5.438944	500.0	2.7963903	1.2606083	5.2041473	-0.7193185	128000	-7.450581e-09	1.5186845	-0.009266553	-0.5355138	1.3564423	0.007329861	0.092562504	127.0	184.66038751602173	0.0	0.0625	0.0	0.0	0.0
8	13.144999	4.238305	20.853483	3.6157131	500.0	3.8719919	1.7820262	6.529095	-0.77307326	144000	1.0244548e-08	1.1690408	-0.008606499	-0.3000706	1.3564423	0.0048444765	0.066062495	127.0	208.63144731521606	0.0	0.0	0.0	0.0	0.0
9	17.658875	6.44099	43.710644	3.6075952	500.0	3.7923443	1.6943585	6.1638136	-0.91674125	160000	2.2351742e-08	3.548165	-0.008781446	-0.62400687	1.3564423	0.008372486	0.094625	127.0	234.05276727676392	0.0	0.125	0.0	0.0	0.0
10	21.548836	9.180187	62.17197	13.034584	500.0	4.7543464	1.6999583	7.0360427	-0.4246704	176000	0.0	5.719647	-0.0057560755	-0.4224734	1.3564423	0.00536973	0.0634375	127.0	257.83789920806885	0.0	0.09375	0.0	0.0	0.0
11	26.077496	14.349872	72.329765	10.754609	500.0	5.2603908	1.5698085	6.9712725	0.27148563	192000	-3.7252903e-09	12.897921	-0.006194851	-1.4783788	1.3564423	0.007368424	0.0679375	127.0	282.5644865036011	0.0	0.3125	0.0	0.0	0.0
12	24.919767	11.614379	71.15702	10.88767	500.0	6.2474775	1.8144475	8.149712	0.14855531	208000	-7.450581e-09	6.9251404	-0.0073427586	-0.12142345	1.3564423	0.007536172	0.06475	127.0	305.83262276649475	0.0	0.125	0.0	0.0	0.0
13	30.48906	16.784622	74.96185	11.771251	500.0	6.2224097	1.7674886	7.9811254	0.40962952	224000	-2.9802322e-08	15.297684	-0.0060826777	-1.1359425	1.3564423	0.0065970616	0.0500625	127.0	328.9694755077362	0.0	0.3125	0.0	0.0	0.0
14	26.816685	15.993637	85.47501	14.341784	500.0	7.3353076	1.937044	8.961485	0.3490548	240000	7.450581e-09	12.661223	-0.0064481767	-0.82326263	1.3564423	0.0034629018	0.0460625	127.0	350.979772567749	0.0	0.125	0.0	0.0	0.0
15	29.839542	19.157661	97.542305	10.60758	500.0	6.6085496	1.5237056	8.282665	1.5605533	256000	2.9802322e-08	17.452166	-0.006384521	-0.6137086	1.3564423	0.0102196345	0.071125	127.0	373.9780099391937	0.0	0.21875	0.0	0.0	0.0
16	37.094955	26.757053	103.46734	13.650792	500.0	7.1349373	1.5510446	8.701977	1.4837552	272000	-1.4901161e-08	34.404602	-0.006422869	-3.369933	1.3564423	0.0066108247	0.057875	127.0	399.6344153881073	0.0	0.40625	0.0	0.0	0.0
17	31.817915	21.580126	97.9779	10.686305	500.0	8.209665	1.891522	10.526432	1.8277624	288000	-1.1175871e-08	20.522263	-0.007348064	-1.3105628	1.3564423	0.0072563225	0.075812496	127.0	423.2086007595062	0.0	0.1875	0.0	0.0	0.0
18	30.930136	15.0328455	98.90276	16.424181	500.0	8.217426	2.012857	10.94629	2.447434	304000	-2.6077032e-08	11.237954	-0.0077911634	-1.0255141	1.3564423	0.0057241875	0.0649375	127.0	444.8986463546753	0.0	0.09375	0.0	0.0	0.0
19	30.300499	11.686408	90.49068	17.90648	500.0	7.665348	1.6990408	9.86913	2.1782162	320000	0.0	6.829747	-0.008387959	-0.56113565	1.3564423	0.0072119534	0.0649375	127.0	467.2113423347473	0.0	0.0625	0.0	0.0	0.0
20	31.32629	18.456194	102.871635	17.307774	500.0	7.401106	1.4937075	9.036363	1.9176942	336000	-2.9802322e-08	13.96817	-0.0073144333	-0.31402886	1.3564423	0.0070616794	0.0710625	127.0	489.6236629486084	0.0	0.125	0.0	0.0	0.0
21	30.548378	13.669012	102.344635	15.62088	500.0	7.6064873	1.4970051	9.1999855	2.2228656	352000	1.1175871e-08	8.475854	-0.006876579	-0.34573144	1.3564423	0.0073640957	0.068812504	127.0	513.2870230674744	0.0	0.03125	0.0	0.0	0.0
22	29.521372	5.3562284	38.753407	21.465748	500.0	7.320077	1.4992511	8.77394	1.4285053	368000	1.8626451e-08	1.5688628	-0.0098266825	-0.20559585	1.3564423	0.007781031	0.067125	127.0	536.9447069168091	0.0	0.0	0.0	0.0	0.0
23	28.257988	4.5985003	37.93485	19.921152	500.0	7.09366	1.5366976	8.706098	1.1328295	384000	3.7252903e-09	1.4045992	-0.008391929	-0.23376966	1.3564423	0.008006178	0.061875	127.0	560.6280179023743	0.0	0.03125	0.0	0.0	0.0
24	28.742058	3.824018	35.042828	21.13863	500.0	6.7546268	1.36541	7.8977013	1.3167628	400000	-3.9115548e-08	0.8219556	-0.008600172	-0.04083761	1.3564423	0.0062667895	0.05925	127.0	583.9485359191895	0.0	0.0	0.0	0.0	0.0
25	31.039894	3.471274	37.049538	23.905046	500.0	6.7876964	1.480371	8.029638	1.0124319	416000	2.0489097e-08	0.9614839	-0.007799822	-0.19357082	1.3564423	0.006381297	0.0496875	127.0	606.686767578125	0.0	0.0	0.0	0.0	0.0
