Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.30008933	0.24414675	1.0424445	0.04638044	500.0	0.08146174	0.022744164	0.12585753	0.020402059	16000	0.0	0.0033826665	-0.0055298125	-0.0016314072	1.3564423	0.005992995	0.0504375	127.0	25.292064428329468	0.0	0.0	0.0	0.0	0.0
1	0.8811263	0.95447063	4.254176	0.022888929	500.0	0.09065526	0.03063599	0.18273759	0.016145706	32000	6.3329935e-08	0.054450028	-0.0052978955	-0.022359584	1.3564423	0.0064274715	0.059625	127.0	47.2545382976532	0.0	0.0	0.0	0.0	0.0
2	1.8414496	1.3918501	6.186838	0.24777314	500.0	0.2690757	0.13528033	0.6209102	-0.014070535	48000	7.450581e-09	0.13820462	-0.0077553485	-0.049884252	1.3564423	0.007413619	0.1026875	127.0	69.91100716590881	0.0	0.0	0.0	0.0	0.0
3	2.444541	1.670539	6.947658	0.40582058	500.0	0.5651409	0.24685907	1.1126835	-0.06255508	64000	0.0	0.12668821	-0.008586521	-0.043201365	1.3564423	0.0069868704	0.097	127.0	92.5864884853363	0.0	0.0	0.0	0.0	0.0
4	5.9528	4.264421	16.770224	1.1179456	500.0	0.77700174	0.34443873	1.6745858	-0.17759354	80000	4.4703484e-08	1.2877612	-0.007326794	-0.5498936	1.3564423	0.0066691022	0.072125	127.0	114.3420512676239	0.0	0.0	0.0	0.0	0.0
5	13.150564	13.540844	69.19493	2.1575117	500.0	1.6027242	0.6692326	3.2820096	-0.2666497	96000	1.1175871e-08	10.601336	-0.00623479	-3.6882854	1.3564423	0.006922215	0.0624375	127.0	138.97606348991394	0.0	0.125	0.0	0.0	0.0
6	15.493493	4.6662974	26.677994	7.5410037	500.0	3.6645818	1.3409313	6.7874017	-0.8993206	112000	7.450581e-09	1.7660122	-0.01074101	-0.57654214	1.3564423	0.0076809567	0.09325	127.0	162.67129611968994	0.0	0.0	0.0	0.0	0.0
7	14.919458	4.065886	29.958261	7.7154326	500.0	4.52483	1.952945	7.3864393	-1.4506261	128000	-9.313226e-09	1.6501281	-0.007383053	-0.3436878	1.3564423	0.0054343757	0.054	127.0	185.4794683456421	0.0	0.0625	0.0	0.0	0.0
8	19.13696	16.70593	71.90226	3.6621962	500.0	4.5858936	1.9483358	7.2976856	-0.7268078	144000	0.0	14.165968	-0.0057175625	-1.110355	1.3564423	0.0062702904	0.0573125	127.0	209.02136898040771	0.0	0.15625	0.0	0.0	0.0
9	15.337364	4.087778	24.603146	5.961696	500.0	4.9508033	1.9588542	7.4028206	-0.8082316	160000	1.8626451e-08	2.308326	-0.007852901	-0.8246589	1.3564423	0.0057389727	0.04975	127.0	231.24767541885376	0.0	0.0625	0.0	0.0	0.0
