Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.15193112	0.088806	0.406257	0.035308547	500.0	0.0559598	0.022146126	0.12222414	-0.018107	16000	-1.8626451e-08	0.0010588922	-0.006557081	-0.0007759278	1.3564423	0.0068587996	0.061875	127.0	24.936969757080078	0.0	0.0	0.0	0.0	0.0
1	0.24021812	0.15187936	0.62901545	0.052202757	500.0	0.04746889	0.014132319	0.091089025	0.011273329	32000	-1.3038516e-08	0.001136503	-0.008276168	-0.00041013618	1.3564423	0.007464205	0.0915	127.0	49.47807788848877	0.0	0.0	0.0	0.0	0.0
2	0.48471853	0.3099551	1.2737976	0.09957124	500.0	0.071933225	0.02705324	0.14990437	0.004009569	48000	1.4901161e-08	0.006653067	-0.0074856356	-0.003133467	1.3564423	0.0074092965	0.1014375	127.0	84.65049052238464	0.0	0.0	0.0	0.0	0.0
3	0.8292695	0.57989806	2.7975461	0.25889188	500.0	0.13659239	0.06437127	0.31793368	-0.014004486	64000	-2.9802322e-08	0.02167746	-0.00760482	-0.00911078	1.3564423	0.007915241	0.114562504	127.0	115.19739317893982	0.0	0.0	0.0	0.0	0.0
4	2.3041646	1.9864378	8.300698	0.50104636	500.0	0.28449005	0.1513468	0.7154734	-0.032933187	80000	2.6077032e-08	0.28334293	-0.00621992	-0.11667588	1.3564423	0.0067136716	0.06575	127.0	139.10986995697021	0.0	0.0	0.0	0.0	0.0
5	3.1455395	3.7355618	14.994398	0.518735	500.0	0.5036743	0.33510172	1.5156733	-0.05752118	96000	-1.4901161e-08	0.67875504	-0.006042785	-0.324513	1.3564423	0.00718939	0.0703125	127.0	161.61527109146118	0.0	0.0	0.0	0.0	0.0
6	8.519555	6.170747	31.01945	0.33806482	500.0	1.4139385	0.91395414	3.6175838	-0.5151683	112000	-2.7939677e-08	2.785128	-0.0076910364	-1.0962543	1.3564423	0.0065856418	0.0816875	127.0	184.70622181892395	0.0	0.09375	0.0	0.0	0.0
7	12.703941	6.922531	42.77855	0.51087356	500.0	2.7135375	1.66432	5.642478	-0.9466185	128000	-3.7252903e-09	2.7614167	-0.007946926	-0.75941324	1.3564423	0.0071558678	0.093312494	127.0	210.31875205039978	0.0	0.0625	0.0	0.0	0.0
8	11.808184	4.8000298	19.534584	2.864684	500.0	3.6835601	2.0451941	6.6975403	-0.9573384	144000	-3.7252903e-09	1.1432352	-0.009574295	-0.3299026	1.3564423	0.0046311067	0.079624996	127.0	235.49200057983398	0.0	0.0	0.0	0.0	0.0
9	16.93429	6.1330023	42.698822	8.5998955	500.0	3.7863243	1.8774568	6.2669287	-0.892405	160000	-2.9802322e-08	3.2724726	-0.0075699976	-0.4805218	1.3564423	0.008770066	0.0933125	127.0	260.5633625984192	0.0	0.0625	0.0	0.0	0.0
10	16.903732	5.0298786	24.807156	3.4476955	500.0	4.4863887	1.9196225	6.9938893	-0.2514796	176000	-2.7939677e-09	1.0156628	-0.008697791	-0.09763416	1.3564423	0.006693432	0.06793749	127.0	285.32276797294617	0.0	0.0	0.0	0.0	0.0
11	20.149117	6.9368443	50.40359	12.05957	500.0	4.6906123	1.7314335	7.0053897	-0.42909035	192000	1.8626451e-09	3.184641	-0.00831373	-0.37727976	1.3564423	0.0072094044	0.0873125	127.0	309.56326270103455	0.0	0.0625	0.0	0.0	0.0
12	21.107227	15.013407	75.368706	0.59300536	500.0	4.837208	2.0195863	7.4068127	-0.11060241	208000	-1.4901161e-08	9.771798	-0.0067320187	-0.96887684	1.3564423	0.0061749406	0.0715625	127.0	335.49602794647217	0.0	0.125	0.0	0.0	0.0
13	23.613209	13.614469	70.358444	3.7631128	500.0	5.848622	2.273966	8.427067	-1.8727152	224000	1.8626451e-09	9.018951	-0.0065018362	-0.35284212	1.3564423	0.00708819	0.06793751	127.0	359.20322251319885	0.0	0.21875	0.0	0.0	0.0
14	23.367756	7.777143	57.06344	13.221975	500.0	6.3521953	2.2832508	8.828129	-0.735961	240000	-4.4703484e-08	3.9796424	-0.006964717	-0.42090243	1.3564423	0.0073790494	0.0535	127.0	382.2980206012726	0.0	0.0625	0.0	0.0	0.0
15	23.894722	12.288039	82.514244	9.063204	500.0	6.013341	1.8236808	8.011766	-0.26405314	256000	0.0	7.132394	-0.0069393385	-0.20208669	1.3564423	0.008374017	0.069625	127.0	409.23454236984253	0.0	0.125	0.0	0.0	0.0
16	24.75623	12.214959	77.76004	15.274502	500.0	6.007714	1.794545	8.030903	0.34967414	272000	1.8626451e-09	8.200474	-0.0063135377	-0.40822065	1.3564423	0.005734744	0.058312498	127.0	433.6487195491791	0.0	0.125	0.0	0.0	0.0
17	23.368359	5.6526237	36.66268	10.770126	500.0	6.1784096	1.7259327	8.759633	0.17838854	288000	-1.6763806e-08	1.7014531	-0.009510464	-0.31086275	1.3564423	0.005497684	0.06575	127.0	460.3836667537689	0.0	0.0	0.0	0.0	0.0
18	27.570484	16.322159	97.57683	13.55675	500.0	5.950545	1.61711	7.9197726	0.5045601	304000	0.0	12.734744	-0.006202163	-0.49113557	1.3564423	0.0067334445	0.062874995	127.0	488.17928981781006	0.0	0.09375	0.0	0.0	0.0
19	24.88099	9.934133	72.65477	8.725475	500.0	6.380195	1.5876191	8.358288	0.79141694	320000	0.0	5.8112273	-0.008338578	-0.41327316	1.3564423	0.008331804	0.0649375	127.0	511.35689878463745	0.0	0.0625	0.0	0.0	0.0
20	24.642372	3.591107	31.905016	18.103813	500.0	6.1040053	1.4473444	7.730178	0.83538055	336000	-7.450581e-09	1.3929378	-0.009068047	-0.14095345	1.3564423	0.0067926813	0.0626875	127.0	535.6041462421417	0.0	0.0	0.0	0.0	0.0
21	24.275276	6.008875	35.244843	10.950037	500.0	5.971499	1.3509262	7.314356	0.5523581	352000	0.0	2.1721065	-0.0065875677	-0.14450207	1.3564423	0.0043264795	0.044875	127.0	561.5042495727539	0.0	0.03125	0.0	0.0	0.0
22	28.84167	14.456822	83.4999	15.078035	500.0	5.733251	1.239752	6.925628	1.0707488	368000	-1.4901161e-08	11.313726	-0.008504643	-0.9888729	1.3564423	0.00979764	0.0896875	127.0	589.5486755371094	0.0	0.1875	0.0	0.0	0.0
23	24.710073	6.259121	39.818092	9.3409195	500.0	6.6821494	1.5438204	8.025258	0.45633376	384000	0.0	2.6523066	-0.010466737	-0.6591351	1.3564423	0.0074793547	0.0736875	127.0	615.4425580501556	0.0	0.0625	0.0	0.0	0.0
24	28.370056	13.324771	96.8067	15.249906	500.0	6.060486	1.2607489	7.4759784	1.2396601	400000	2.2351742e-08	8.099438	-0.0070898444	-0.3254689	1.3564423	0.00764542	0.08325	127.0	640.8940222263336	0.0	0.09375	0.0	0.0	0.0
25	26.874794	12.508961	90.28077	13.181817	500.0	6.5023913	1.2816901	8.158619	1.1215032	416000	-2.2351742e-08	7.43395	-0.007421323	-0.12607892	1.3564423	0.0071427315	0.07081249	127.0	666.9326364994049	0.0	0.03125	0.0	0.0	0.0
26	31.212091	17.875233	110.39279	13.2738695	500.0	6.381843	1.3197572	7.9725485	1.4094025	432000	7.450581e-09	14.398154	-0.008068318	-0.95961964	1.3564423	0.008017261	0.0925	127.0	693.2125754356384	0.0	0.21875	0.0	0.0	0.0
27	28.240238	14.30177	79.90195	15.355728	500.0	7.1030664	1.4710681	8.712392	0.8009003	448000	7.450581e-09	11.498415	-0.008224393	-0.99335665	1.3564423	0.007322287	0.0588125	127.0	717.7428545951843	0.0	0.1875	0.0	0.0	0.0
28	33.72441	21.316607	100.91257	16.234045	500.0	6.7819786	1.4257481	8.348606	1.4935579	464000	-7.450581e-09	19.530525	-0.0075170593	-1.2301741	1.3564423	0.008951047	0.08675	127.0	744.0398571491241	0.0	0.25	0.0	0.0	0.0
29	34.5633	21.934172	102.209175	13.108533	500.0	7.7119784	1.6636528	9.157371	0.33819288	480000	4.4703484e-08	21.755932	-0.009243049	-1.0009193	1.3564423	0.008697701	0.0935	127.0	770.5323610305786	0.0	0.25	0.0	0.0	0.0
30	29.329657	16.715628	101.984055	6.841065	500.0	7.7773447	1.9469376	10.292213	1.1170933	496000	-2.2351742e-08	12.514617	-0.007992478	-1.147846	1.3564423	0.008559578	0.0715	127.0	796.4070935249329	0.0	0.09375	0.0	0.0	0.0
31	28.953562	16.8555	105.93819	7.176054	500.0	7.525626	1.9112948	10.230032	1.5284588	512000	7.450581e-09	13.084791	-0.007536777	-0.9585376	1.3564423	0.007164268	0.057937503	127.0	821.9382174015045	0.0	0.21875	0.0	0.0	0.0
32	32.176956	20.081102	107.12727	4.9234757	500.0	7.1524367	1.7489715	9.7579975	1.0362506	528000	1.4901161e-08	17.354137	-0.008041759	-0.81957483	1.3564423	0.008198377	0.0835625	127.0	845.5235016345978	0.0	0.15625	0.0	0.0	0.0
33	30.35531	19.095469	107.11554	7.5751176	500.0	7.7196436	1.7380358	9.752453	0.10353051	544000	3.7252903e-09	15.6515045	-0.007457232	-0.7740015	1.3564423	0.0080825	0.0706875	127.0	880.7268559932709	0.0	0.125	0.0	0.0	0.0
34	32.678432	14.462529	94.437996	23.22797	500.0	7.505999	1.8009673	9.987039	0.80157804	560000	2.9802322e-08	10.048521	-0.008235391	-0.75472635	1.3564423	0.007061031	0.068	127.0	913.7029163837433	0.0	0.125	0.0	0.0	0.0
35	37.323463	25.608644	111.553566	12.091113	500.0	7.7522583	1.8076944	10.400164	0.6265509	576000	-1.4901161e-08	27.984547	-0.008250644	-2.22894	1.3564423	0.0064870827	0.078875	127.0	937.0423324108124	0.0	0.28125	0.0	0.0	0.0
36	37.39027	23.537098	103.57364	18.74763	500.0	8.493865	1.9740231	11.232468	1.6479266	592000	7.450581e-09	24.242207	-0.007035375	-2.1645408	1.3564423	0.005798324	0.059625	127.0	960.4799225330353	0.0	0.21875	0.0	0.0	0.0
37	37.49265	25.066977	114.29788	21.663055	500.0	8.739115	2.3273878	12.749174	2.1282558	608000	7.450581e-09	25.014935	-0.009101588	-1.9717295	1.3564423	0.008490866	0.0776875	127.0	985.3582623004913	0.0	0.15625	0.0	0.0	0.0
38	43.052837	29.50904	112.06474	18.761057	500.0	8.369697	2.8520887	13.232329	-4.4176865	624000	7.450581e-09	34.37523	-0.008632417	-4.0349813	1.3564423	0.006979989	0.0721875	127.0	1011.2670283317566	0.0	0.375	0.0	0.0	0.0
39	39.42031	26.715572	116.68955	20.072535	500.0	10.221224	2.750461	15.350877	2.3297415	640000	-2.9802322e-08	25.940063	-0.008396199	-3.1546373	1.3564423	0.00763487	0.072875	127.0	1036.1027059555054	0.0	0.25	0.0	0.0	0.0
40	38.838913	26.56852	109.01668	19.830729	500.0	9.564693	3.3500326	15.520444	0.12094486	656000	-1.4901161e-08	25.249989	-0.009003125	-1.383024	1.3564423	0.009348687	0.08687501	127.0	1061.1206481456757	0.0	0.21875	0.0	0.0	0.0
41	44.969566	29.464434	110.95069	11.602078	500.0	10.160638	3.457214	16.585299	-1.1891766	672000	1.4901161e-08	31.30336	-0.009069724	-2.5358608	1.3564423	0.008221345	0.084125	127.0	1085.1940248012543	0.0	0.34375	0.0	0.0	0.0
42	43.036804	30.605192	111.66827	20.674313	500.0	12.066346	3.8207407	17.901373	1.9735963	688000	7.450581e-09	38.03528	-0.00806566	-4.532816	1.3564423	0.0075451247	0.06575	127.0	1110.3430533409119	0.0	0.3125	0.0	0.0	0.0
