Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.17174551	0.12458072	0.48539227	0.029148974	500.0	0.055520073	0.020849666	0.11546303	-0.018107	16000	-2.6077032e-08	0.0013707235	-0.0068960153	-0.00092383276	1.3564423	0.0066457493	0.06225	127.0	25.624881744384766	0.0	0.0	0.0	0.0	0.0
1	0.31364915	0.2507077	0.9369103	0.026400266	500.0	0.053556543	0.019286755	0.10385985	0.009560412	32000	5.2154064e-08	0.0027150419	-0.007973136	-0.0013590896	1.3564423	0.006994253	0.0821875	127.0	47.50705528259277	0.0	0.0	0.0	0.0	0.0
2	0.9343888	0.7193722	3.76973	0.1211692	500.0	0.09613315	0.03983298	0.2038756	-0.020983757	48000	-1.3038516e-08	0.03628297	-0.006143316	-0.017667947	1.3564423	0.005911889	0.070250005	127.0	78.92805743217468	0.0	0.0	0.0	0.0	0.0
3	1.613164	1.3789707	5.950527	0.31810996	500.0	0.22890888	0.10309559	0.5561424	-0.050031617	64000	-1.4901161e-08	0.115113184	-0.00782355	-0.056014515	1.3564423	0.008088459	0.0981875	127.0	114.93654894828796	0.0	0.0	0.0	0.0	0.0
4	5.529611	2.8816104	12.043092	0.63611096	500.0	0.5983739	0.29460615	1.3015897	-0.3026146	80000	-1.4901161e-08	0.98050714	-0.0071833674	-0.552972	1.3564423	0.0068836557	0.0675625	127.0	139.5543510913849	0.0	0.0	0.0	0.0	0.0
5	8.82296	4.7766957	19.83788	0.60637915	500.0	1.3602657	0.6432747	2.6516387	-0.3335391	96000	2.6077032e-08	1.8967308	-0.0064724954	-0.98295414	1.3564423	0.0063732206	0.062124997	127.0	161.78523015975952	0.0	0.0	0.0	0.0	0.0
6	12.060213	4.0401382	24.466412	4.0358276	500.0	2.5503	1.2792865	4.7843437	-0.9305986	112000	4.4237822e-08	1.4620059	-0.008587489	-0.56002396	1.3564423	0.007051251	0.081999995	127.0	183.75901412963867	0.0	0.0	0.0	0.0	0.0
7	14.757233	5.211351	35.289864	8.903744	500.0	3.4484363	1.6596471	5.7334657	-0.9649961	128000	7.450581e-09	2.283683	-0.0076274974	-0.3451295	1.3564423	0.0059599136	0.0770625	127.0	208.85055303573608	0.0	0.0625	0.0	0.0	0.0
8	16.484217	4.067366	26.417458	7.9703407	500.0	4.0981617	1.7438197	6.431059	-0.4521291	144000	2.7939677e-08	1.3997405	-0.007586028	-0.123977624	1.3564423	0.0071982928	0.0615625	127.0	230.89638471603394	0.0	0.0	0.0	0.0	0.0
9	18.056488	4.946082	27.06131	8.283211	500.0	4.5726666	1.5350949	6.4100423	0.36008668	160000	7.450581e-09	1.9286466	-0.009386922	-0.09361238	1.3564423	0.0070969774	0.0910625	127.0	254.62389707565308	0.0	0.0	0.0	0.0	0.0
10	21.015396	3.9158916	30.232445	15.82884	500.0	4.6178293	1.2718273	6.450738	0.6636584	176000	7.450581e-09	1.5928712	-0.007667417	-0.2570697	1.3564423	0.0070728245	0.0736875	127.0	277.7579092979431	0.0	0.0	0.0	0.0	0.0
11	22.319138	7.4448915	54.446243	7.566496	500.0	5.1987023	1.2825098	6.7546234	0.48894334	192000	-7.450581e-09	3.935901	-0.0077182357	-0.18308973	1.3564423	0.0052750176	0.06981251	127.0	300.65978026390076	0.0	0.03125	0.0	0.0	0.0
12	24.901642	7.2462764	55.93479	13.664744	500.0	5.361504	1.318864	6.8129406	0.77844125	208000	1.1175871e-08	3.3828208	-0.0068085175	-0.36283234	1.3564423	0.0059930817	0.061625004	127.0	325.53636837005615	0.0	0.0625	0.0	0.0	0.0
13	26.579985	3.540281	32.589645	18.277905	500.0	5.991851	1.536309	7.5053024	0.30102807	224000	7.450581e-09	1.1518979	-0.008621024	-0.1250366	1.3564423	0.0075990837	0.073874995	127.0	349.6119067668915	0.0	0.0	0.0	0.0	0.0
14	27.673565	4.2826605	34.83586	20.128523	500.0	6.31842	1.4281273	7.652165	0.9907719	240000	-7.450581e-09	1.068397	-0.008476879	-0.16082194	1.3564423	0.0072098677	0.0693125	127.0	373.5961709022522	0.0	0.0	0.0	0.0	0.0
15	26.907555	4.1683536	32.967613	16.133558	500.0	6.488254	1.6369225	8.268871	-0.1391407	256000	2.4214387e-08	1.1706228	-0.007341646	-0.15762508	1.3564423	0.0071354755	0.058437496	127.0	396.7002818584442	0.0	0.0	0.0	0.0	0.0
16	29.028925	4.248679	34.994164	16.49435	500.0	6.5822644	1.7823081	8.502212	-0.32985377	272000	-7.450581e-09	1.359096	-0.00915383	-0.19229992	1.3564423	0.008028867	0.071187496	127.0	419.53218245506287	0.0	0.03125	0.0	0.0	0.0
17	28.352097	5.401473	41.461216	15.572802	500.0	6.8273587	1.6592637	8.900472	0.7998458	288000	-7.450581e-09	1.7130854	-0.007908196	-0.30680037	1.3564423	0.00562869	0.0575	127.0	443.1627924442291	0.0	0.0	0.0	0.0	0.0
18	32.579712	13.492819	80.565865	9.678714	500.0	6.802187	1.4709451	8.667103	1.1091161	304000	-6.519258e-09	9.675075	-0.0071407994	-1.0141511	1.3564423	0.0065675806	0.07575	127.0	469.88492941856384	0.0	0.09375	0.0	0.0	0.0
19	30.515366	5.6654344	37.753883	11.385507	500.0	7.5231876	1.7812738	9.91505	0.80962086	320000	2.9802322e-08	2.2619147	-0.009062751	-0.6436488	1.3564423	0.00682104	0.0606875	127.0	496.6400320529938	0.0	0.0	0.0	0.0	0.0
20	29.36012	5.7411637	37.866333	9.486939	500.0	6.9926987	1.5787554	9.226166	0.5098206	336000	-4.1909516e-09	1.6104671	-0.008368297	-0.1543897	1.3564423	0.00686839	0.062625	127.0	520.1646869182587	0.0	0.0	0.0	0.0	0.0
21	31.099924	5.332458	38.843727	18.208153	500.0	6.8206916	1.7642654	9.003657	-2.3206022	352000	1.1175871e-08	1.475101	-0.008937675	-0.14462095	1.3564423	0.0064411145	0.064812504	127.0	545.2647905349731	0.0	0.0	0.0	0.0	0.0
22	31.674845	4.4035206	38.97535	20.71416	500.0	7.1640286	1.5790985	9.18625	-1.3311654	368000	1.4901161e-08	1.2625803	-0.010252379	-0.13117044	1.3564423	0.009429152	0.06856251	127.0	571.9418859481812	0.0	0.0	0.0	0.0	0.0
23	31.353527	5.4028993	37.80634	13.4421015	500.0	7.2440987	1.4879285	9.113255	1.6339889	384000	3.7252903e-09	1.4753985	-0.010991248	-0.20943895	1.3564423	0.0071518198	0.070250005	127.0	598.8966000080109	0.0	0.0	0.0	0.0	0.0
24	33.94109	4.482141	43.155956	24.29469	500.0	7.332839	1.4229233	9.1425905	1.819343	400000	0.0	1.2494221	-0.008676276	-0.2373051	1.3564423	0.0070113586	0.0689375	127.0	624.7517161369324	0.0	0.125	0.0	0.0	0.0
25	34.62387	5.146006	41.433098	21.236115	500.0	7.6320853	1.9432734	9.544223	-1.5620849	416000	-2.0489097e-08	1.0226164	-0.0093898345	-0.18827987	1.3564423	0.0075764344	0.066875	127.0	649.6556053161621	0.0	0.0	0.0	0.0	0.0
26	35.691063	4.7890906	41.3712	20.666925	500.0	7.992794	1.553778	9.555341	2.2725778	432000	-1.4901161e-08	0.9556647	-0.008018101	-0.19421268	1.3564423	0.004907162	0.0585	127.0	674.5333890914917	0.0	0.0625	0.0	0.0	0.0
