Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.046919174	0.025886863	0.13128208	0.015119448	500.0	0.03379749	0.08848406	0.17041767	-0.12532046	16000	-2.2351742e-08	0.006653316	-0.008928223	-0.006126873	1.3475134	0.007825885	0.10025	127.0	21.600483417510986	0.0	0.0	0.0	0.0	0.0
1	0.06329459	0.037883908	0.17792873	0.01016489	500.0	0.03522055	0.017442752	0.08559427	-0.006688252	32000	2.6077032e-08	0.0005055456	-0.007778165	-0.00039626032	1.3475134	0.0042691976	0.0681875	127.0	40.54732084274292	0.0	0.0	0.0	0.0	0.0
2	0.03936681	0.022523375	0.12769568	0.008599561	500.0	0.02486028	0.009752548	0.055674955	0.0028330386	48000	-4.0978193e-08	0.00021267778	-0.0081885485	-0.00016985106	1.3475134	0.0056376266	0.0713125	127.0	61.678731203079224	0.0	0.0	0.0	0.0	0.0
3	0.05183319	0.03788487	0.17145714	0.008179331	500.0	0.013824878	0.006595515	0.034720927	-0.002170302	64000	0.0	8.2572034e-05	-0.007898325	-4.6725567e-05	1.3475134	0.0073491847	0.063812494	127.0	82.17341780662537	0.0	0.0	0.0	0.0	0.0
4	0.10418772	0.11303021	0.54797167	0.015579429	500.0	0.01513738	0.0058097406	0.044427924	0.0011025518	80000	7.450581e-09	0.00036001566	-0.0070612417	-0.00020841962	1.3475134	0.00659204	0.063125	127.0	100.93477058410645	0.0	0.0	0.0	0.0	0.0
5	0.23555988	0.17753537	0.58297694	0.021612644	500.0	0.03512871	0.022860207	0.13676438	-0.006622933	96000	0.0	0.0010976436	-0.0077912128	-0.0005568464	1.3475134	0.0069323317	0.0768125	127.0	119.59434461593628	0.0	0.0	0.0	0.0	0.0
6	0.40199792	0.2852425	1.0269635	0.06371811	500.0	0.070782945	0.03374728	0.16396585	-0.0010785237	112000	2.7939677e-08	0.0037028156	-0.009101315	-0.0013459467	1.3475134	0.008952598	0.1105625	127.0	137.84994888305664	0.0	0.0	0.0	0.0	0.0
7	0.7410229	0.44860756	1.9895234	0.19505438	500.0	0.12897561	0.051521283	0.27952647	0.008415967	128000	0.0	0.013137719	-0.00820559	-0.0046674954	1.3475134	0.008039268	0.0985	127.0	158.01858234405518	0.0	0.0	0.0	0.0	0.0
8	1.7650459	1.4655983	5.885256	0.28215054	500.0	0.22865291	0.085538134	0.49234244	0.029037133	144000	-2.6077032e-08	0.13450177	-0.004985107	-0.07583769	1.3475134	0.005532607	0.056500003	127.0	178.31488847732544	0.0	0.0	0.0	0.0	0.0
9	3.7904258	2.3527234	9.332629	0.5349538	500.0	0.5690481	0.2878202	1.46387	-0.08003974	160000	-1.4901161e-08	0.46398354	-0.0064027156	-0.22648442	1.3475134	0.0073496336	0.090375	127.0	199.79015278816223	0.0	0.0	0.0	0.0	0.0
