Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.12478017	0.12947318	0.5889861	0.020281967	500.0	0.06058961	0.10181719	0.16339582	-0.105194956	16000	1.1175871e-08	0.0104058515	-0.009878507	-0.009163225	1.3475134	0.007251505	0.09693751	127.0	23.452413082122803	0.0	0.0	0.0	0.0	0.0
1	0.17848498	0.15037058	0.57525015	0.021033188	500.0	0.047403183	0.013195705	0.08648117	0.013474897	32000	-2.9802322e-08	0.0011354841	-0.004033926	-0.00057055266	1.3475134	0.0030856049	0.0366875	127.0	43.52989101409912	0.0	0.0	0.0	0.0	0.0
2	0.11425497	0.09715381	0.5192098	0.015434916	500.0	0.036105264	0.009945515	0.07911784	0.013612635	48000	-2.9802322e-08	0.000445332	-0.007263873	-0.00025934275	1.3475134	0.0070304032	0.0731875	127.0	62.25204014778137	0.0	0.0	0.0	0.0	0.0
3	0.28541183	0.29990166	1.4759078	0.016358163	500.0	0.030099016	0.01290122	0.075630106	-0.004939407	64000	-7.450581e-09	0.0033375071	-0.005243006	-0.0013697079	1.3475134	0.005838203	0.054375	127.0	83.2950336933136	0.0	0.0	0.0	0.0	0.0
4	0.6710331	0.6924314	2.6330082	0.07427163	500.0	0.06892843	0.033073206	0.16375208	0.0014972687	80000	-1.1175871e-08	0.019451685	-0.0065079085	-0.009736158	1.3475134	0.006777215	0.0699375	127.0	105.629061460495	0.0	0.0	0.0	0.0	0.0
5	1.3965704	1.2776252	6.2542043	0.2595776	500.0	0.23267716	0.09056048	0.47405446	-0.026453562	96000	1.8626451e-08	0.08486783	-0.0058213873	-0.034455523	1.3475134	0.0066975113	0.077999994	127.0	124.5852198600769	0.0	0.0	0.0	0.0	0.0
6	2.6171255	1.9816016	7.2183766	0.35151482	500.0	0.41209024	0.20710568	0.97780913	-0.113590136	112000	4.4703484e-08	0.25490177	-0.0062999823	-0.09013733	1.3475134	0.007541631	0.084125	127.0	145.37229228019714	0.0	0.0	0.0	0.0	0.0
7	4.5235624	4.335262	17.410284	0.52525	500.0	0.7103886	0.3553356	1.5663099	-0.20237634	128000	-3.7252903e-08	1.0182989	-0.0067340657	-0.3657735	1.3475134	0.006798006	0.085374996	127.0	164.66227650642395	0.0	0.0	0.0	0.0	0.0
8	10.863077	6.88065	25.359226	1.3927879	500.0	1.4545854	0.70869094	3.1387203	-0.50376284	144000	1.4901161e-08	3.6089058	-0.0060733887	-1.7384523	1.3475134	0.0058718845	0.06375	127.0	186.89401745796204	0.0	0.0	0.0	0.0	0.0
9	13.083948	9.1457615	44.5989	0.7065622	498.5625	2.757077	1.3460242	5.400207	-0.99802595	160000	1.4901161e-08	4.952445	-0.0069470764	-1.2017223	1.3475134	0.0067371326	0.07675	127.0	207.68742084503174	0.0	0.125	0.0	0.0	0.0
10	10.642529	7.3104606	38.41519	1.0263714	500.0	4.062184	2.027956	7.4202194	-1.9225919	176000	1.3038516e-08	3.631251	-0.008051142	-1.0450983	1.3475134	0.0069419583	0.06775	127.0	227.62903451919556	0.0	0.09375	0.0	0.0	0.0
