Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.12478017	0.12947318	0.5889861	0.020281967	500.0	0.06058961	0.10181719	0.16339582	-0.105194956	16000	1.1175871e-08	0.0104058515	-0.009878507	-0.009163225	1.3475134	0.007251505	0.09693751	127.0	24.938719034194946	0.0	0.0	0.0	0.0	0.0
1	0.17850992	0.15043643	0.5760482	0.021033188	500.0	0.047401886	0.01319501	0.08648117	0.013474897	32000	0.0	0.0011356962	-0.0040344847	-0.0005705941	1.3475134	0.0030918876	0.036812503	127.0	49.91082000732422	0.0	0.0	0.0	0.0	0.0
2	0.11434141	0.09748465	0.51962954	0.015429459	500.0	0.035993073	0.01001052	0.0791189	0.013601609	48000	-7.450581e-09	0.00044518872	-0.0071463566	-0.00025818593	1.3475134	0.006993627	0.07225	127.0	74.64416408538818	0.0	0.0	0.0	0.0	0.0
3	0.28438103	0.295962	1.4668714	0.016906744	500.0	0.030372612	0.012670585	0.07448149	-0.0046117976	64000	7.450581e-09	0.003231003	-0.0050047236	-0.001320053	1.3475134	0.0060111014	0.053875	127.0	97.52887105941772	0.0	0.0	0.0	0.0	0.0
4	0.66387075	0.6635547	2.57968	0.06805315	500.0	0.06945114	0.03191649	0.15990579	-0.0019040108	80000	-3.7252903e-09	0.018010432	-0.006179915	-0.008591206	1.3475134	0.0066855014	0.067375004	127.0	121.02406716346741	0.0	0.0	0.0	0.0	0.0
5	1.4301871	1.177017	5.532003	0.2603323	500.0	0.2079523	0.07620609	0.4341449	-0.02854424	96000	0.0	0.076010674	-0.0054747127	-0.03262093	1.3475134	0.0067248167	0.0711875	127.0	144.86742448806763	0.0	0.0	0.0	0.0	0.0
6	2.9128463	2.1517594	8.040448	0.42320198	500.0	0.40985394	0.19868709	0.97220445	-0.08818312	112000	-1.4901161e-08	0.31262207	-0.0072217956	-0.13370925	1.3475134	0.0074260994	0.089125	127.0	171.11246705055237	0.0	0.0	0.0	0.0	0.0
7	5.322139	5.3285694	19.555191	0.751749	500.0	0.7714122	0.41591236	1.82733	-0.26679975	128000	2.2351742e-08	1.586298	-0.0067559667	-0.602368	1.3475134	0.0074564833	0.0899375	127.0	194.17929816246033	0.0	0.0	0.0	0.0	0.0
8	11.44161	6.7795677	26.804033	1.3629417	500.0	1.6997349	0.83827835	3.584764	-0.6325879	144000	-3.3527613e-08	3.4471674	-0.006301423	-1.5488648	1.3475134	0.0057828045	0.062124997	127.0	219.6423487663269	0.0	0.0	0.0	0.0	0.0
9	13.946438	9.728291	49.410576	2.3454328	498.53125	3.095231	1.520801	6.095232	-1.1400744	160000	-2.2351742e-08	5.539168	-0.0066985157	-1.1701446	1.3475134	0.005699802	0.072125	127.0	244.4521505832672	0.0	0.125	0.0	0.0	0.0
10	10.754109	6.98297	33.53034	1.461239	500.0	4.1429358	2.0974963	7.628071	-1.9844608	176000	5.5879354e-09	3.5047123	-0.008793809	-1.181266	1.3475134	0.006785786	0.0670625	127.0	270.07738995552063	0.0	0.03125	0.0	0.0	0.0
11	16.871075	7.7504096	40.689312	3.1386027	500.0	3.6383686	1.8666811	6.8613944	-1.393159	192000	-7.450581e-09	4.9466515	-0.0067918533	-0.8186137	1.3475134	0.0063220896	0.073750004	127.0	294.766841173172	0.0	0.09375	0.0	0.0	0.0
12	18.715801	11.088017	50.103382	1.7095122	500.0	4.3979897	1.8064888	7.00814	-0.6142022	208000	-5.5879354e-09	7.940902	-0.006367201	-0.9766163	1.3475134	0.007607542	0.066375	127.0	320.8334741592407	0.0	0.125	0.0	0.0	0.0
13	21.89901	14.184	80.39331	7.8192544	500.0	5.14266	1.7623671	7.1195016	-0.47795287	224000	-7.450581e-09	13.138176	-0.0056665093	-0.55879414	1.3475134	0.006667515	0.0635625	127.0	345.15940594673157	0.0	0.15625	0.0	0.0	0.0
14	22.007694	8.683725	44.7726	7.234836	500.0	5.513617	1.7038442	7.113913	-0.41584712	240000	7.450581e-09	4.7911577	-0.0076375497	-0.12742442	1.3475134	0.005215655	0.0623125	127.0	369.3142123222351	0.0	0.09375	0.0	0.0	0.0
15	24.511265	14.817442	96.45352	5.3694625	500.0	5.6957636	1.5311073	6.928302	-0.30121705	256000	-1.8626451e-09	11.417438	-0.005952713	-0.17979461	1.3475134	0.00450568	0.045	127.0	395.6520004272461	0.0	0.03125	0.0	0.0	0.0
16	28.798018	17.278744	84.78624	5.126659	500.0	5.8976955	1.4844255	7.271107	-0.31078586	272000	3.3527613e-08	17.19289	-0.0058719506	-0.93552566	1.3475134	0.005764572	0.047	127.0	420.8304953575134	0.0	0.25	0.0	0.0	0.0
17	26.112038	12.1956	57.54347	12.221294	500.0	6.71833	1.841783	8.181606	-0.3970173	288000	-2.4214387e-08	9.783629	-0.0067066336	-0.3715367	1.3475134	0.0056183315	0.041874997	127.0	447.3980860710144	0.0	0.3125	0.0	0.0	0.0
18	23.95147	9.229843	52.573093	10.567774	500.0	6.388768	1.4012666	7.44278	0.9228658	304000	0.0	6.093031	-0.0062152394	-0.4079877	1.3475134	0.0035109075	0.044749998	127.0	471.7684106826782	0.0	0.09375	0.0	0.0	0.0
