Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.05565851	0.02108163	0.10629234	0.026813382	500.0	0.03384287	0.08843936	0.1716825	-0.12441217	16000	0.0	0.0065316763	-0.009319115	-0.006029774	1.3475134	0.00798426	0.1025625	127.0	21.51271653175354	0.0	0.0	0.0	0.0	0.0
1	0.06438854	0.029740153	0.15315986	0.014895289	500.0	0.036735617	0.01748211	0.08629721	-0.0065645874	32000	0.0	0.0005289309	-0.00805771	-0.00042390375	1.3475134	0.0043496657	0.068875	127.0	40.514312744140625	0.0	0.0	0.0	0.0	0.0
2	0.045524426	0.021235123	0.11146719	0.01360061	500.0	0.025755586	0.010001558	0.05614224	0.0005584061	48000	-9.685755e-08	0.00022570949	-0.007787308	-0.00017644481	1.3475134	0.005194946	0.067187496	127.0	61.414260387420654	0.0	0.0	0.0	0.0	0.0
3	0.061901957	0.044237986	0.21308322	0.016026441	500.0	0.014902887	0.006030168	0.034332506	-0.0030066818	64000	-2.2351742e-08	0.00010984417	-0.007823235	-5.9221184e-05	1.3475134	0.00708546	0.061375	127.0	81.11245107650757	0.0	0.0	0.0	0.0	0.0
4	0.10987646	0.0926115	0.43022007	0.01957759	500.0	0.016608078	0.005734435	0.04847338	0.0013982356	80000	-3.7252903e-08	0.00025230844	-0.007701291	-0.00014245944	1.3475134	0.0066902777	0.068312496	127.0	100.0934567451477	0.0	0.0	0.0	0.0	0.0
5	0.28533188	0.22943789	0.9596966	0.03808149	500.0	0.03644458	0.021823322	0.12976156	-0.0029391572	96000	-1.4901161e-08	0.0022267252	-0.006725846	-0.0011426047	1.3475134	0.0067504477	0.079125	127.0	120.92141938209534	0.0	0.0	0.0	0.0	0.0
6	0.47478262	0.30738273	1.0776831	0.072088435	500.0	0.08150099	0.041463323	0.19732216	-0.005117476	112000	1.3038516e-08	0.004387472	-0.010559023	-0.0021954025	1.3475134	0.009800468	0.1188125	127.0	140.22019457817078	0.0	0.0	0.0	0.0	0.0
7	0.9545876	0.49883172	2.0067718	0.21818098	500.0	0.15959255	0.06414996	0.31607756	0.0155735165	128000	-1.4901161e-08	0.0186564	-0.007983528	-0.008503927	1.3475134	0.008187582	0.094812505	127.0	159.8145043849945	0.0	0.0	0.0	0.0	0.0
8	1.9607675	1.387623	6.013865	0.43876627	500.0	0.28878185	0.11102788	0.70348483	0.018267922	144000	5.5879354e-09	0.11893838	-0.005744857	-0.064116985	1.3475134	0.0062597785	0.0680625	127.0	180.56009888648987	0.0	0.0	0.0	0.0	0.0
9	5.4989686	3.2349384	12.474829	1.197789	500.0	0.6624255	0.32696488	1.6317357	-0.057784487	160000	-1.4901161e-08	1.0688372	-0.006024123	-0.598548	1.3475134	0.0060929297	0.0804375	127.0	201.33456802368164	0.0	0.0	0.0	0.0	0.0
10	8.297239	4.3249307	16.150143	1.681886	500.0	1.6385691	0.85235345	3.5494986	-0.44710577	176000	7.450581e-09	1.4427414	-0.007974754	-0.6003845	1.3475134	0.005437002	0.085062504	127.0	221.0972821712494	0.0	0.0	0.0	0.0	0.0
11	7.77836	6.0429225	20.813223	0.46947998	500.0	2.2485752	1.36248	5.282715	-1.1058474	192000	-1.4901161e-08	1.6825111	-0.006198086	-0.7222406	1.3475134	0.0048129903	0.055062503	127.0	240.76815485954285	0.0	0.0	0.0	0.0	0.0
12	7.380704	7.2552886	26.074976	0.5026968	500.0	2.2778716	1.7224017	6.715129	-1.9208114	208000	3.7252903e-09	1.9671023	-0.007485303	-0.55182815	1.3475134	0.0064781974	0.066125	127.0	261.9818549156189	0.0	0.0	0.0	0.0	0.0
13	8.272205	5.917363	23.349792	0.85720813	500.0	2.9355135	2.2385535	8.298427	-2.1165998	224000	7.450581e-09	1.0931907	-0.008955919	-0.2621956	1.3475134	0.0077782786	0.0735	127.0	283.13541173934937	0.0	0.0	0.0	0.0	0.0
14	13.659649	7.0723987	30.061062	0.94710314	500.0	3.633753	2.483911	8.091089	-1.3648767	240000	7.450581e-09	1.7077334	-0.008814958	-0.2754563	1.3475134	0.00730379	0.068749994	127.0	306.8469748497009	0.0	0.0	0.0	0.0	0.0
15	14.41899	7.265271	31.079712	3.1562493	500.0	4.9328566	2.6414645	8.667468	-0.67090815	256000	1.4901161e-08	3.3870385	-0.006633107	-1.5235605	1.3475134	0.0054647215	0.0480625	127.0	329.27020931243896	0.0	0.0	0.0	0.0	0.0
16	15.917322	9.970505	35.38185	1.9476801	500.0	4.747807	2.093601	8.519495	-0.116647705	272000	2.9802322e-08	5.2012734	-0.00731524	-1.3813701	1.3475134	0.006414135	0.060250003	127.0	350.53474259376526	0.0	0.0	0.0	0.0	0.0
17	20.576782	9.101562	37.016914	3.1588461	500.0	4.7366047	2.043864	8.836878	0.2806719	288000	3.7252903e-09	3.5721369	-0.007462253	-0.49546918	1.3475134	0.007801687	0.0734375	127.0	371.1229176521301	0.0	0.0	0.0	0.0	0.0
18	22.47512	9.330287	40.383972	3.1741295	500.0	5.788884	2.2042692	9.593308	0.102094054	304000	1.4901161e-08	3.6684196	-0.008322474	-0.49499154	1.3475134	0.006561424	0.0818125	127.0	392.3259959220886	0.0	0.0	0.0	0.0	0.0
19	24.653934	8.490876	37.963608	11.151366	500.0	6.062051	2.193184	9.076676	0.43881333	320000	1.4901161e-08	3.830791	-0.0066113775	-0.59402937	1.3475134	0.00614707	0.0510625	127.0	417.9086244106293	0.0	0.0	0.0	0.0	0.0
20	21.99319	9.165449	35.90028	2.896256	500.0	6.349092	2.2577252	9.993383	0.72033477	336000	3.7252903e-09	4.0742464	-0.006742945	-1.1224954	1.3475134	0.006430843	0.0565625	127.0	442.08010244369507	0.0	0.0	0.0	0.0	0.0
21	22.452477	8.896861	42.428402	4.9060426	500.0	6.010006	2.361103	9.74267	0.13553846	352000	0.0	4.42737	-0.006758512	-0.81026536	1.3475134	0.0055843634	0.042937502	127.0	464.54569959640503	0.0	0.0	0.0	0.0	0.0
22	23.962896	9.594628	43.661324	5.1079965	500.0	5.8762875	2.1124806	8.94138	0.6139564	368000	7.450581e-09	4.0931726	-0.0065484326	-0.8199689	1.3475134	0.006108625	0.05325	127.0	485.98025941848755	0.0	0.0	0.0	0.0	0.0
23	28.800903	9.04965	42.586685	11.091585	500.0	6.408371	2.345528	11.463054	1.1046057	384000	0.0	3.6085675	-0.007064428	-0.8002659	1.3475134	0.0062842583	0.0598125	127.0	506.2119872570038	0.0	0.0	0.0	0.0	0.0
24	27.860268	10.464501	42.053467	3.6969893	500.0	7.322298	2.472964	11.833132	1.5811216	400000	-2.2351742e-08	5.922557	-0.006840729	-1.6266563	1.3475134	0.0067292145	0.05325	127.0	528.1333558559418	0.0	0.0	0.0	0.0	0.0
25	28.77422	9.45776	45.37004	4.3011556	500.0	6.9541063	2.1303968	10.442564	1.8896115	416000	-1.1175871e-08	3.8731887	-0.0069615906	-0.59348303	1.3475134	0.0063278954	0.052875	127.0	550.0981993675232	0.0	0.0	0.0	0.0	0.0
26	27.305084	11.617251	42.41235	2.9770281	500.0	6.6096387	2.2742965	10.171318	1.2335846	432000	-2.2351742e-08	4.5098715	-0.005475469	-1.2806277	1.3475134	0.0063311327	0.053625003	127.0	572.4516980648041	0.0	0.0	0.0	0.0	0.0
27	25.976517	10.844043	44.474125	11.821688	500.0	6.0773177	2.5871623	10.13484	-1.1304065	448000	-7.450581e-09	4.0794754	-0.008440737	-1.0117161	1.3475134	0.0071898024	0.072937496	127.0	593.1233041286469	0.0	0.0	0.0	0.0	0.0
28	30.491167	9.9859	45.66166	13.345763	500.0	6.341667	2.394945	10.602355	0.6539367	464000	7.450581e-09	3.2767935	-0.007222865	-1.0798628	1.3475134	0.006220977	0.053375	127.0	616.1176309585571	0.0	0.0	0.0	0.0	0.0
29	32.605045	9.387173	46.21309	16.885826	500.0	7.0392585	2.81251	13.24598	-0.045291767	480000	1.8626451e-08	2.2890806	-0.008445454	-0.49691498	1.3475134	0.006607445	0.0586875	127.0	637.9899587631226	0.0	0.0	0.0	0.0	0.0
30	36.804306	7.4087753	45.670166	16.755713	500.0	8.243547	2.6188421	12.403416	1.502993	496000	-7.450581e-09	1.898376	-0.0070177526	-0.2558793	1.3475134	0.0058160373	0.0555625	127.0	659.6831738948822	0.0	0.0	0.0	0.0	0.0
31	35.18611	10.285766	48.523773	11.866909	500.0	8.343734	2.6770241	12.518969	2.2555876	512000	-7.450581e-09	2.8617237	-0.0065721944	-0.6148582	1.3475134	0.0051781014	0.048875	127.0	683.1976191997528	0.0	0.0	0.0	0.0	0.0
32	30.548409	10.668366	45.61245	5.654532	500.0	7.876487	2.7928078	15.366524	2.1239986	528000	-7.450581e-09	3.4036214	-0.007596507	-0.87515	1.3475134	0.006608893	0.0541875	127.0	703.6000709533691	0.0	0.0	0.0	0.0	0.0
33	32.51245	9.279231	45.210434	9.127938	500.0	7.448808	2.9108007	13.536493	1.4691077	544000	-2.2351742e-08	1.6175315	-0.007845573	-0.34872848	1.3475134	0.005351858	0.054250002	127.0	725.9426474571228	0.0	0.0	0.0	0.0	0.0
34	33.988422	8.868446	47.982006	21.463781	500.0	7.8115973	2.9019713	13.002695	1.2813251	560000	1.6763806e-08	1.648983	-0.006675327	-0.2789743	1.3475134	0.004787306	0.0474375	127.0	747.3654243946075	0.0	0.0	0.0	0.0	0.0
35	28.598572	7.6858783	45.39761	17.348394	500.0	7.198813	2.7951126	12.723165	1.5121665	576000	-2.7939677e-09	1.9213268	-0.0075922874	-0.5017331	1.3475134	0.006202869	0.055250004	127.0	769.860141992569	0.0	0.0	0.0	0.0	0.0
36	33.910706	8.217141	48.46467	22.582245	500.0	7.568422	2.8259578	12.00747	1.2778008	592000	1.8626451e-09	1.7239611	-0.008199513	-0.4596609	1.3475134	0.0066302577	0.058937497	127.0	793.3344082832336	0.0	0.0	0.0	0.0	0.0
37	30.48669	9.41441	45.03033	1.693218	500.0	7.829864	2.7043116	14.134949	1.3883928	608000	-7.450581e-09	2.2696528	-0.009269835	-0.63146204	1.3475134	0.007900873	0.068	127.0	815.8017227649689	0.0	0.0	0.0	0.0	0.0
38	34.772873	9.013812	47.664158	12.972885	500.0	7.966769	2.9273176	12.956181	0.75668424	624000	-3.7252903e-09	2.1970572	-0.008378977	-0.51965463	1.3475134	0.0054144766	0.0479375	127.0	838.1599335670471	0.0	0.0	0.0	0.0	0.0
39	39.02344	6.2609177	47.68838	24.676962	500.0	8.818201	3.2264075	13.719538	-7.0110655	640000	0.0	1.6364782	-0.008297858	-0.4689139	1.3475134	0.006315558	0.062124997	127.0	860.1881878376007	0.0	0.0	0.0	0.0	0.0
40	38.585236	9.315982	49.098225	9.019419	500.0	9.362705	3.0170577	13.103665	1.3962275	656000	1.4901161e-08	2.2966187	-0.007973807	-0.92223144	1.3475134	0.0057406304	0.049625	127.0	883.135265827179	0.0	0.0	0.0	0.0	0.0
41	38.84938	6.9290953	49.154846	22.03835	500.0	9.5215645	3.231042	13.803336	1.2575433	672000	-3.7252903e-09	1.2685454	-0.008232925	-0.21596672	1.3475134	0.0067382264	0.0626875	127.0	905.5623030662537	0.0	0.0	0.0	0.0	0.0
42	37.239185	7.14674	46.537014	21.806282	500.0	9.659216	3.0998352	13.489854	1.3532419	688000	1.4901161e-08	2.1585402	-0.008684498	-0.38428217	1.3475134	0.006717991	0.0610625	127.0	928.0160338878632	0.0	0.0	0.0	0.0	0.0
43	38.61174	6.230497	46.71158	25.922108	500.0	9.305872	3.1631927	13.55484	1.3913244	704000	-1.3969839e-08	1.092536	-0.006991852	-0.18306941	1.3475134	0.00548678	0.049000002	127.0	951.8334074020386	0.0	0.03125	0.0	0.0	0.0
44	35.34453	8.164164	49.57971	19.298473	500.0	9.305545	2.9918854	14.129013	1.9146224	720000	1.4901161e-08	2.0346122	-0.0074494975	-0.72078234	1.3475134	0.0056435047	0.0613125	127.0	973.806747674942	0.0	0.0	0.0	0.0	0.0
45	36.58213	8.346042	48.028683	21.22913	500.0	8.822723	3.0474832	13.282547	1.8498222	736000	-5.5879354e-09	1.655843	-0.0076109897	-0.32424027	1.3475134	0.005958657	0.059562497	127.0	996.9081568717957	0.0	0.0	0.0	0.0	0.0
46	38.173553	7.2722225	49.58497	25.009064	500.0	9.137683	3.2713714	16.053368	1.5316674	752000	-1.6763806e-08	2.063771	-0.0065797316	-0.5327564	1.3475134	0.005680117	0.04225	127.0	1019.1413326263428	0.0	0.0	0.0	0.0	0.0
47	33.981293	7.412202	46.80797	23.939337	500.0	8.510469	2.727848	13.304923	1.4192905	768000	2.2351742e-08	2.0123992	-0.0071555707	-0.45344663	1.3475134	0.006549772	0.064125	127.0	1041.1013112068176	0.0	0.0	0.0	0.0	0.0
48	39.367676	7.893782	48.586727	6.174287	500.0	8.821071	2.8709428	12.357406	1.4681188	784000	1.4901161e-08	1.598047	-0.00809877	-0.53319895	1.3475134	0.006021278	0.0560625	127.0	1061.7481467723846	0.0	0.0	0.0	0.0	0.0
49	40.337543	5.9421563	47.449608	25.887705	500.0	9.759655	2.9924622	13.020828	1.4783266	800000	0.0	1.0932498	-0.007457865	-0.15115573	1.3475134	0.0067197923	0.0558125	127.0	1083.4846091270447	0.0	0.0	0.0	0.0	0.0
