Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.13868353	0.105950005	0.5209584	0.03368169	500.0	0.053445585	0.10126346	0.16143784	-0.10499371	16000	7.450581e-09	0.009530684	-0.010175718	-0.008418347	1.3475134	0.007403139	0.0995	127.0	21.844284534454346	0.0	0.0	0.0	0.0	0.0
1	0.18302304	0.12869516	0.55453736	0.032026768	500.0	0.046893645	0.010390732	0.07555038	0.014150813	32000	0.0	0.00093682844	-0.0047876593	-0.00048765138	1.3475134	0.003793812	0.0435625	127.0	41.43646311759949	0.0	0.0	0.0	0.0	0.0
2	0.15048409	0.09945714	0.53700244	0.03315475	500.0	0.038557146	0.0086540645	0.075888366	0.016796917	48000	-3.7252903e-08	0.000393119	-0.0076524224	-0.00017919338	1.3475134	0.0076340567	0.0819375	127.0	61.44526290893555	0.0	0.0	0.0	0.0	0.0
3	0.44906652	0.3808054	1.762087	0.031961266	500.0	0.040639546	0.010966904	0.078626335	0.0051908493	64000	-7.450581e-09	0.0073986533	-0.006252433	-0.003769718	1.3475134	0.005889332	0.066874996	127.0	79.89239001274109	0.0	0.0	0.0	0.0	0.0
4	1.0129831	0.8061623	3.8882961	0.23914856	500.0	0.12474608	0.03833803	0.2316049	0.036736093	80000	1.1175871e-08	0.03563974	-0.0066853357	-0.01496565	1.3475134	0.0072171506	0.085125	127.0	99.17473530769348	0.0	0.0	0.0	0.0	0.0
5	2.3747087	1.7030469	7.1721625	0.41871402	500.0	0.32166573	0.13704295	0.75371987	-0.0018824339	96000	-2.9802322e-08	0.19726786	-0.006652934	-0.08875415	1.3475134	0.0074651516	0.075875	127.0	118.16328310966492	0.0	0.0	0.0	0.0	0.0
6	3.8232608	2.7773542	10.637271	0.74807924	500.0	0.6548572	0.3235171	1.4276707	-0.061839174	112000	-3.7252903e-08	0.50191116	-0.0069970335	-0.19459164	1.3475134	0.0077101104	0.092999995	127.0	137.4935326576233	0.0	0.0	0.0	0.0	0.0
7	5.065092	3.6952991	14.14715	0.89651287	500.0	1.1360664	0.62269783	2.58549	-0.2878218	128000	0.0	0.65892744	-0.009426856	-0.18292773	1.3475134	0.008351989	0.1130625	127.0	155.89831113815308	0.0	0.0	0.0	0.0	0.0
8	11.546413	6.119066	22.587711	1.0277195	500.0	1.8808159	0.9165142	3.903037	-0.3990119	144000	-5.5879354e-09	2.743655	-0.007885568	-1.2978294	1.3475134	0.006919726	0.08768751	127.0	175.5889527797699	0.0	0.0	0.0	0.0	0.0
9	14.515764	5.9142513	25.713612	2.6069827	500.0	3.3319986	1.4737544	6.090451	-0.513801	160000	3.7252903e-09	2.5750265	-0.0064391317	-0.6742121	1.3475134	0.0056800162	0.066625	127.0	194.53517699241638	0.0	0.0	0.0	0.0	0.0
10	12.213093	6.0373898	28.190872	2.1593783	500.0	4.1548867	1.5883111	6.3162527	-0.4082886	176000	-3.7252903e-09	2.572288	-0.0077463742	-0.8812513	1.3475134	0.0072020832	0.066	127.0	214.2659387588501	0.0	0.0	0.0	0.0	0.0
11	16.22366	6.341007	30.563948	4.393169	500.0	3.700357	1.3320982	5.800086	-0.35579208	192000	7.450581e-09	2.5501566	-0.0073240567	-0.28700483	1.3475134	0.0053580133	0.06425	127.0	234.23984694480896	0.0	0.0	0.0	0.0	0.0
12	17.815985	6.5945454	32.685223	4.5747337	500.0	4.187389	1.2630948	6.1124964	0.39433032	208000	-7.450581e-09	2.9672375	-0.0072820126	-0.24401444	1.3475134	0.007336473	0.06793749	127.0	255.00970697402954	0.0	0.0	0.0	0.0	0.0
13	18.809319	5.437956	30.512114	8.706336	500.0	4.5415673	1.2946067	6.573474	0.44799322	224000	0.0	2.8123636	-0.0068003796	-0.17540097	1.3475134	0.006540018	0.056375	127.0	273.6417999267578	0.0	0.0	0.0	0.0	0.0
14	18.212961	4.500692	32.579174	10.163995	500.0	4.5863194	1.1252276	6.278913	0.34425783	240000	-7.450581e-09	1.9760389	-0.0066194357	-0.1341658	1.3475134	0.0060938327	0.053375	127.0	293.37018609046936	0.0	0.0	0.0	0.0	0.0
15	19.759274	5.9171286	37.337776	9.501119	500.0	4.5140343	0.9422336	5.8891573	1.1357539	256000	7.450581e-09	2.8704007	-0.0069441693	-0.2999047	1.3475134	0.005394945	0.0593125	127.0	312.4577329158783	0.0	0.0	0.0	0.0	0.0
16	20.959202	6.5721483	32.683125	9.252664	500.0	4.5442843	0.83969194	5.7910066	0.97475934	272000	-1.4901161e-08	3.4038448	-0.0076154335	-0.26285478	1.3475134	0.006907435	0.0616875	127.0	332.46657609939575	0.0	0.0	0.0	0.0	0.0
17	20.966885	5.269598	31.429888	14.059588	500.0	4.8018	0.7255073	6.2460995	1.4830691	288000	0.0	2.360107	-0.0070071216	-0.27297717	1.3475134	0.0067223078	0.06343751	127.0	351.6943655014038	0.0	0.0	0.0	0.0	0.0
18	20.778572	4.863576	33.658085	12.041212	500.0	4.7555165	0.81581324	6.92738	1.3665658	304000	1.4901161e-08	2.0364838	-0.0075189373	-0.30569285	1.3475134	0.005445556	0.073875	127.0	370.70529675483704	0.0	0.0	0.0	0.0	0.0
19	24.855995	4.9318333	36.71643	18.854965	500.0	4.9754033	0.96605474	7.1483574	1.291092	320000	0.0	2.2891521	-0.0070734574	-0.5502527	1.3475134	0.004868509	0.0519375	127.0	390.10034108161926	0.0	0.0	0.0	0.0	0.0
