Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.05589617	0.028087415	0.13682076	0.020614153	500.0	0.03516939	0.08736455	0.17133671	-0.12128478	16000	-1.4901161e-08	0.0065521365	-0.009027564	-0.0060609984	1.3475134	0.007834829	0.100625	127.0	25.480278491973877	0.0	0.0	0.0	0.0	0.0
1	0.054214925	0.026579425	0.108423166	0.010199826	500.0	0.038313244	0.018314583	0.09029066	-0.0016754568	32000	5.401671e-08	0.00061352114	-0.007636591	-0.00050691864	1.3475134	0.004148501	0.0685	127.0	48.45187020301819	0.0	0.0	0.0	0.0	0.0
2	0.044829402	0.02531511	0.10851793	0.011306003	500.0	0.024704276	0.010977354	0.05744835	0.00084305555	48000	4.8428774e-08	0.00022010038	-0.0075436393	-0.00017112162	1.3475134	0.0050297854	0.064875	127.0	70.66382050514221	0.0	0.0	0.0	0.0	0.0
3	0.057689637	0.038882498	0.20087266	0.014927597	500.0	0.014953055	0.0062693376	0.034516126	-0.0027436018	64000	-1.8626451e-08	9.182464e-05	-0.007945214	-5.190974e-05	1.3475134	0.0074368836	0.0636875	127.0	93.14470839500427	0.0	0.0	0.0	0.0	0.0
4	0.10289316	0.08283646	0.34117973	0.021487026	500.0	0.015401644	0.0048388415	0.036597252	0.0007296279	80000	-1.4901161e-08	0.00020457362	-0.007318005	-0.00012638909	1.3475134	0.0063880086	0.064125	127.0	114.63896203041077	0.0	0.0	0.0	0.0	0.0
5	0.19084646	0.14292295	0.6584222	0.03373999	500.0	0.027946483	0.015525182	0.09618745	-0.0012623966	96000	5.9604645e-08	0.00071393716	-0.008270578	-0.00031708603	1.3475134	0.007598457	0.1013125	127.0	139.40168070793152	0.0	0.0	0.0	0.0	0.0
6	0.39209515	0.21536033	0.9504287	0.064439476	500.0	0.06598601	0.03114668	0.16898432	0.001070328	112000	-1.4901161e-08	0.0026238468	-0.01046716	-0.0012990478	1.3475134	0.010017635	0.117312506	127.0	163.4529275894165	0.0	0.0	0.0	0.0	0.0
7	0.6547673	0.276782	1.101617	0.1710782	500.0	0.123000845	0.047355216	0.2786227	0.01633209	128000	1.4901161e-08	0.0057671536	-0.010986679	-0.002693698	1.3475134	0.010595154	0.117249995	127.0	186.4891698360443	0.0	0.0	0.0	0.0	0.0
8	1.017555	0.33789736	2.0145712	0.20013855	500.0	0.18751852	0.056086276	0.33298057	0.042637452	144000	-2.9802322e-08	0.008260246	-0.0098974025	-0.0037870423	1.3475134	0.0077358307	0.0934375	127.0	208.5166974067688	0.0	0.0	0.0	0.0	0.0
9	1.4676195	0.3866	2.491244	0.64422286	500.0	0.26705116	0.06541407	0.44292712	0.08027683	160000	-2.6077032e-08	0.01167619	-0.011892571	-0.0056759994	1.3475134	0.008486917	0.110625	127.0	232.20684623718262	0.0	0.0	0.0	0.0	0.0
10	1.963978	0.46597835	2.77642	0.48207754	500.0	0.42137244	0.11323316	0.9019772	0.11062535	176000	0.0	0.015380482	-0.010747811	-0.00504034	1.3475134	0.006481287	0.098187506	127.0	255.5137300491333	0.0	0.0	0.0	0.0	0.0
11	2.282733	0.6780885	3.6633875	0.463587	500.0	0.51081556	0.14835963	0.8964301	0.09552861	192000	1.8626451e-08	0.025621902	-0.010053769	-0.0076739346	1.3475134	0.006365204	0.0905	127.0	278.8926274776459	0.0	0.0	0.0	0.0	0.0
12	2.5225048	0.7395213	4.032509	0.7723692	500.0	0.5806255	0.18129885	0.9730598	0.11037797	208000	-3.7252903e-09	0.026108852	-0.007597503	-0.0065728594	1.3475134	0.007088047	0.0663125	127.0	302.1490366458893	0.0	0.0	0.0	0.0	0.0
13	3.2722	0.6879387	4.520575	1.5698456	500.0	0.7305577	0.23975378	1.3548819	0.09001753	224000	2.6077032e-08	0.025818223	-0.008518023	-0.008438634	1.3475134	0.008214658	0.082875	127.0	330.94411396980286	0.0	0.0	0.0	0.0	0.0
14	3.356204	0.81657165	4.991112	1.3288293	500.0	0.85702735	0.25648034	1.4412556	0.22711527	240000	-3.7252903e-08	0.028453942	-0.008462025	-0.002695501	1.3475134	0.0075718714	0.076375	127.0	355.6423907279968	0.0	0.0	0.0	0.0	0.0
15	4.145976	0.7630416	6.1462593	2.7679534	500.0	0.93529063	0.2725062	1.539134	0.26660007	256000	0.0	0.032169756	-0.0066952994	-0.008695334	1.3475134	0.0069228737	0.070374995	127.0	380.37593054771423	0.0	0.0	0.0	0.0	0.0
16	4.518539	0.7575668	5.670721	2.632891	500.0	1.0809138	0.3030017	1.5757821	0.3177597	272000	4.0978193e-08	0.03246428	-0.008175276	-0.005188809	1.3475134	0.0076395003	0.07287499	127.0	403.55263113975525	0.0	0.0	0.0	0.0	0.0
17	4.8932	0.53571165	5.9338293	3.9059455	500.0	1.182625	0.34389353	1.6973703	0.27779993	288000	1.1175871e-08	0.020407077	-0.008334733	-0.004754636	1.3475134	0.0074691977	0.067625	127.0	429.4075939655304	0.0	0.0	0.0	0.0	0.0
18	5.029796	0.63501537	6.335741	3.808602	500.0	1.2391282	0.3106075	1.6074382	0.36572877	304000	-7.450581e-09	0.024090054	-0.0056272037	-0.0026957237	1.3475134	0.004582245	0.049749997	127.0	465.3425385951996	0.0	0.0	0.0	0.0	0.0
19	5.1505747	0.64138526	6.2408752	3.6962686	500.0	1.2307541	0.2788612	1.5288111	0.39792198	320000	-1.6763806e-08	0.022484368	-0.0055451402	-0.0024588204	1.3475134	0.003930673	0.04375	127.0	499.6335186958313	0.0	0.0	0.0	0.0	0.0
20	5.389556	0.4990137	6.516049	4.14056	500.0	1.2388362	0.2764972	1.5098217	0.3645188	336000	1.8626451e-09	0.015297158	-0.006341128	-0.0026993186	1.3475134	0.006408099	0.053375002	127.0	532.4807832241058	0.0	0.0	0.0	0.0	0.0
21	5.202995	0.75070053	6.722933	3.3712115	500.0	1.2860966	0.26302764	1.5379217	0.3299374	352000	1.5832484e-08	0.028290577	-0.0055876053	-0.0065673618	1.3475134	0.0047784504	0.034562502	127.0	556.1896388530731	0.0	0.0	0.0	0.0	0.0
22	5.288088	0.6631294	6.656615	4.1525526	500.0	1.2248073	0.24904186	1.5406998	0.36797535	368000	1.1175871e-08	0.015509402	-0.004602742	-0.0016048735	1.3475134	0.004164925	0.029312499	127.0	581.6840043067932	0.0	0.0	0.0	0.0	0.0
23	5.341254	0.6890445	6.379639	3.6769211	500.0	1.2309197	0.25940427	1.5272564	0.3374347	384000	3.7252903e-09	0.018859701	-0.005644636	-0.0029767952	1.3475134	0.0057880306	0.0411875	127.0	605.6938710212708	0.0	0.0	0.0	0.0	0.0
24	5.8095922	0.6520707	8.738301	4.9797316	500.0	1.2802244	0.2574939	1.5342411	0.32083058	400000	3.3527613e-08	0.03181511	-0.0051689437	-0.006942949	1.3475134	0.00604945	0.050875	127.0	631.3471574783325	0.0	0.0	0.0	0.0	0.0
25	5.889967	1.315573	12.367677	4.6315255	500.0	1.3619204	0.27183732	1.760878	0.3248419	416000	3.7252903e-09	0.12538894	-0.00468196	-0.021400597	1.3475134	0.004895406	0.0440625	127.0	661.4791071414948	0.0	0.0	0.0	0.0	0.0
26	5.766797	1.5899534	12.7227125	4.038746	500.0	1.395611	0.3243598	2.2610564	0.20976284	432000	1.1175871e-08	0.1505174	-0.0049141655	-0.044081576	1.3475134	0.005400897	0.035187498	127.0	697.7877666950226	0.0	0.0	0.0	0.0	0.0
27	7.328147	5.8584766	25.5301	3.1374884	500.0	1.473653	0.5254313	3.4429536	0.13707942	448000	3.7252903e-09	1.7002807	-0.004035355	-0.9344875	1.3475134	0.0044477107	0.049625	127.0	732.8855304718018	0.0	0.0	0.0	0.0	0.0
28	5.1340175	0.5937325	6.2834063	3.9271626	500.0	1.4845401	0.63639563	3.0187647	-1.0121622	464000	-1.4901161e-08	0.27763456	-0.0050330693	-0.2109662	1.3475134	0.0046394723	0.047375	127.0	757.108969449997	0.0	0.0	0.0	0.0	0.0
29	7.0155935	4.579925	23.629318	2.940166	500.0	1.6883216	1.033001	6.5053253	-0.22959162	480000	0.0	0.7858176	-0.005205075	-0.26245993	1.3475134	0.003624178	0.036937498	127.0	783.7919969558716	0.0	0.0	0.0	0.0	0.0
30	5.616728	2.3572779	15.07858	2.3580525	500.0	1.5913677	1.1433154	7.792457	-0.89743316	496000	-4.656613e-09	0.3194788	-0.0050893123	-0.04457976	1.3475134	0.0047440147	0.0326875	127.0	806.854927778244	0.0	0.0	0.0	0.0	0.0
31	4.7586083	1.2196536	7.271408	2.333892	500.0	1.4451426	1.0251684	8.564727	-0.81698805	512000	9.313226e-10	0.3763801	-0.0046101967	-0.1905163	1.3475134	0.004803955	0.0296875	127.0	831.0956430435181	0.0	0.0	0.0	0.0	0.0
32	6.0109434	3.9368284	14.944577	1.2161001	500.0	1.5718356	1.2341201	7.273981	-0.20245695	528000	-1.8626451e-09	0.69203	-0.004584027	-0.2390362	1.3475134	0.004677583	0.041375004	127.0	856.0663683414459	0.0	0.0	0.0	0.0	0.0
33	6.4672394	4.426563	17.278679	1.3086611	500.0	1.9120723	1.6378399	8.611133	-0.50494057	544000	0.0	0.57558465	-0.005245424	-0.13826604	1.3475134	0.0045605698	0.0406875	127.0	881.1346998214722	0.0	0.0	0.0	0.0	0.0
34	8.74597	5.5930295	18.555954	1.1809801	500.0	2.6252563	2.4316874	9.228408	-0.86414087	560000	-7.450581e-09	0.84805727	-0.005864782	-0.13260497	1.3475134	0.0052630943	0.034250002	127.0	906.3563227653503	0.0	0.0	0.0	0.0	0.0
35	7.6715665	6.778602	24.69295	1.2104008	500.0	2.3644376	2.4307995	9.822318	-0.5439874	576000	7.450581e-09	0.8591787	-0.005128635	-0.20297325	1.3475134	0.0039464906	0.0355625	127.0	930.3907926082611	0.0	0.0	0.0	0.0	0.0
36	7.3529696	7.370981	24.052078	1.4356742	500.0	2.5176606	2.639406	9.911164	-0.9608956	592000	0.0	0.82455873	-0.0062979357	-0.13353822	1.3475134	0.0040817754	0.040375	127.0	953.1625428199768	0.0	0.0	0.0	0.0	0.0
37	9.1196	8.232477	26.122793	1.2301863	500.0	3.0097322	3.2674394	10.331528	-0.5743026	608000	-1.4901161e-08	0.9257059	-0.0058704596	-0.13833278	1.3475134	0.005407761	0.04025	127.0	977.3198909759521	0.0	0.0	0.0	0.0	0.0
38	8.71177	9.230156	31.135988	1.278838	500.0	2.7815855	3.0322216	9.96083	-0.7900145	624000	7.450581e-09	1.0027585	-0.007222516	-0.12538815	1.3475134	0.005504096	0.0585	127.0	999.5647168159485	0.0	0.0	0.0	0.0	0.0
39	10.209258	7.0554457	24.917496	1.1519238	500.0	3.8616238	3.3957915	9.84142	-0.66947544	640000	-3.3527613e-08	1.3463185	-0.004914364	-0.60142803	1.3475134	0.005743565	0.038312502	127.0	1022.5878744125366	0.0	0.0	0.0	0.0	0.0
40	10.150647	8.137783	32.22193	0.9894952	500.0	3.244497	2.7713087	8.342126	-0.2503796	656000	-1.4901161e-08	1.4070058	-0.0063534034	-0.16572505	1.3475134	0.0028808168	0.0553125	127.0	1047.674544095993	0.0	0.0	0.0	0.0	0.0
41	13.961693	7.7585087	36.475586	1.1931982	500.0	4.1963224	2.7414083	8.030091	-0.15154578	672000	1.8626451e-08	1.4533396	-0.007040819	-0.2679256	1.3475134	0.005443277	0.0436875	127.0	1072.0081188678741	0.0	0.0	0.0	0.0	0.0
42	12.152396	7.6825914	32.210873	0.6297902	500.0	3.8769124	2.4802344	7.670859	0.03726192	688000	-9.313226e-09	1.9073513	-0.0061534443	-0.5026357	1.3475134	0.0050837994	0.0605625	127.0	1095.0985262393951	0.0	0.0	0.0	0.0	0.0
43	14.41787	7.0195427	30.865036	4.9615903	500.0	3.7433593	2.0482476	7.458467	0.26083636	704000	2.9802322e-08	1.328651	-0.0078449035	-0.38476706	1.3475134	0.0082014855	0.0843125	127.0	1118.1182944774628	0.0	0.0	0.0	0.0	0.0
