Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09704518	0.055797018	0.28966585	0.029087812	500.0	0.061295513	0.10203524	0.16355753	-0.10671686	16000	1.8626451e-08	0.010120571	-0.009611262	-0.00922253	1.3475134	0.0074670836	0.0975625	127.0	26.992993116378784	0.0	0.0	0.0	0.0	0.0
1	0.11599041	0.068014145	0.31851232	0.02833179	500.0	0.042279616	0.014252242	0.0848355	0.0041650385	32000	1.1175871e-08	0.00064692105	-0.0051688477	-0.00043844257	1.3475134	0.0031510764	0.0446875	127.0	50.45704770088196	0.0	0.0	0.0	0.0	0.0
2	0.08158909	0.04304837	0.24942496	0.025726391	500.0	0.029974883	0.005049668	0.05000055	0.016763285	48000	-2.6077032e-08	0.00027594477	-0.0070654913	-0.00019432843	1.3475134	0.007018924	0.0670625	127.0	78.23261404037476	0.0	0.0	0.0	0.0	0.0
3	0.1648086	0.15891512	0.8092713	0.024874574	500.0	0.020230213	0.0059864633	0.05173908	0.0044816434	64000	-7.450581e-09	0.0010549896	-0.0070467386	-0.00045494543	1.3475134	0.006561826	0.062625006	127.0	111.84117794036865	0.0	0.0	0.0	0.0	0.0
4	0.30648378	0.29179376	1.2926638	0.055114225	500.0	0.039231528	0.019929105	0.10916394	-0.007863097	80000	-7.450581e-09	0.0028331112	-0.008698214	-0.0012089417	1.3475134	0.00832278	0.098875	127.0	144.68196439743042	0.0	0.0	0.0	0.0	0.0
5	0.81415045	0.43670148	1.8384204	0.18084191	500.0	0.12765038	0.043468356	0.25871584	0.024537541	96000	1.8626451e-08	0.011965822	-0.006803882	-0.0050375955	1.3475134	0.006411209	0.0738125	127.0	168.9761402606964	0.0	0.0	0.0	0.0	0.0
6	1.2757114	0.7061795	2.9696283	0.3170238	500.0	0.22660594	0.082770586	0.44019705	0.048801526	112000	-1.4901161e-08	0.034433726	-0.007661788	-0.012099321	1.3475134	0.008793935	0.095625	127.0	192.15662384033203	0.0	0.0	0.0	0.0	0.0
7	2.4071193	1.929645	9.399035	0.4001556	500.0	0.36794144	0.1298546	0.6363885	0.072070755	128000	-3.259629e-08	0.24174228	-0.00694553	-0.09384939	1.3475134	0.0076614516	0.0934375	127.0	214.666175365448	0.0	0.0	0.0	0.0	0.0
8	5.814189	3.9027267	16.961031	0.6243893	500.0	0.7878382	0.335712	1.6810018	-0.059297446	144000	2.4214387e-08	1.0472537	-0.00686159	-0.5165219	1.3475134	0.0060791317	0.0719375	127.0	238.55842638015747	0.0	0.0	0.0	0.0	0.0
9	8.929254	4.665319	20.560436	0.5338603	500.0	1.693438	0.70085156	3.6183236	-0.21396375	160000	0.0	1.587666	-0.0063218656	-0.73896265	1.3475134	0.006193434	0.08125	127.0	261.7031879425049	0.0	0.0	0.0	0.0	0.0
10	10.346423	4.468153	22.541042	2.859702	500.0	2.7330587	1.3494953	5.6241193	-0.6674264	176000	-1.4901161e-08	1.1088516	-0.009737518	-0.22403061	1.3475134	0.0068519516	0.093875006	127.0	286.1546504497528	0.0	0.0	0.0	0.0	0.0
11	13.18918	4.611752	22.62623	2.612629	500.0	3.4189196	1.6230572	6.227372	-0.56674445	192000	-7.450581e-09	1.3553152	-0.0090731755	-0.20281355	1.3475134	0.0068454044	0.0885625	127.0	311.8932886123657	0.0	0.0	0.0	0.0	0.0
