Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.099259354	0.05806172	0.30551443	0.029171417	500.0	0.055367194	0.101829745	0.1607877	-0.105330184	16000	-3.7252903e-09	0.009711331	-0.010154713	-0.008796943	1.3475134	0.007572164	0.101500005	127.0	25.633424520492554	0.0	0.0	0.0	0.0	0.0
1	0.116781846	0.06852789	0.3175888	0.02920199	500.0	0.04108844	0.01223269	0.07336339	0.007273838	32000	0.0	0.00059731025	-0.0053112637	-0.00040957466	1.3475134	0.003568179	0.0500625	127.0	49.16325807571411	0.0	0.0	0.0	0.0	0.0
2	0.09360911	0.047420043	0.2677709	0.02970738	500.0	0.029275825	0.004857538	0.04919263	0.016872726	48000	-1.1175871e-08	0.00021658775	-0.0073856004	-0.00013883214	1.3475134	0.007110957	0.076625004	127.0	68.93148231506348	0.0	0.0	0.0	0.0	0.0
3	0.21604913	0.18760978	0.8963279	0.03035335	500.0	0.024376301	0.006130385	0.05527714	0.005904898	64000	7.450581e-09	0.001537726	-0.007617565	-0.0007185949	1.3475134	0.0068730186	0.076875	127.0	93.06177139282227	0.0	0.0	0.0	0.0	0.0
4	0.48404744	0.35089734	1.4119452	0.11216091	500.0	0.057963394	0.018795084	0.11769579	0.0040985346	80000	6.146729e-08	0.006015593	-0.007447724	-0.0029525156	1.3475134	0.0066912947	0.08212499	127.0	114.2770357131958	0.0	0.0	0.0	0.0	0.0
5	1.2538619	0.9195594	3.976307	0.33135355	500.0	0.15188973	0.052075446	0.33098733	0.026185863	96000	5.029142e-08	0.056703046	-0.0060837516	-0.029777657	1.3475134	0.0067874207	0.066625	127.0	140.13408422470093	0.0	0.0	0.0	0.0	0.0
6	2.5853653	1.8945608	7.2634907	0.67276806	500.0	0.36353797	0.19807318	1.0122669	-0.023551337	112000	2.2351742e-08	0.278153	-0.0073387874	-0.11562277	1.3475134	0.008106948	0.095	127.0	163.95087385177612	0.0	0.0	0.0	0.0	0.0
7	3.9549506	3.148938	12.845317	0.6391056	500.0	0.8303663	0.47589967	1.9365294	-0.10652933	128000	0.0	0.6033082	-0.0071925977	-0.18160233	1.3475134	0.009102751	0.112812504	127.0	184.03665208816528	0.0	0.0	0.0	0.0	0.0
8	7.232669	4.94308	20.042555	0.8372611	500.0	1.3176335	0.6564526	2.5985398	-0.17595893	144000	2.2351742e-08	1.388308	-0.006948037	-0.5723212	1.3475134	0.007242666	0.0835625	127.0	209.16735243797302	0.0	0.0	0.0	0.0	0.0
9	12.497751	5.6016984	27.081947	1.011669	500.0	2.3837235	1.120885	4.7515745	-0.27959526	160000	2.9802322e-08	2.4467788	-0.007686577	-1.0231481	1.3475134	0.0058510243	0.0866875	127.0	234.2799048423767	0.0	0.0	0.0	0.0	0.0
10	12.072916	4.8433547	25.266617	2.9046783	500.0	3.7009597	1.5639231	6.3543134	-0.5906831	176000	-1.4901161e-08	1.5678842	-0.008485539	-0.39974892	1.3475134	0.005763283	0.06225	127.0	256.87705278396606	0.0	0.0	0.0	0.0	0.0
11	13.464734	5.0364795	25.232197	3.0650516	500.0	3.5557241	1.504783	5.832257	-0.48799586	192000	2.2351742e-08	1.7387577	-0.007603507	-0.3359604	1.3475134	0.0053962735	0.065312505	127.0	279.6693422794342	0.0	0.0	0.0	0.0	0.0
12	16.947445	6.1807632	28.525074	3.100859	500.0	3.7478862	1.4214537	5.770415	-0.2743441	208000	-1.4901161e-08	2.7235863	-0.008208785	-0.53985	1.3475134	0.007586141	0.079125	127.0	304.1184561252594	0.0	0.0	0.0	0.0	0.0
13	16.858238	5.699308	25.668499	4.9510555	500.0	4.5022645	1.428892	6.1222367	0.1354695	224000	-1.3969839e-08	2.5538235	-0.006623982	-0.20054702	1.3475134	0.0063283304	0.0488125	127.0	330.80803394317627	0.0	0.0	0.0	0.0	0.0
14	17.450409	3.8953083	26.144096	9.097537	500.0	4.3796988	1.2039856	5.7031074	0.35629624	240000	-5.5879354e-09	1.6375734	-0.0076292325	-0.126665	1.3475134	0.005321851	0.0615625	127.0	355.095139503479	0.0	0.0	0.0	0.0	0.0
15	19.155388	4.996049	30.035395	8.853795	500.0	4.4347363	1.0318204	5.455919	0.82407594	256000	0.0	2.280527	-0.007026696	-0.1518811	1.3475134	0.004910412	0.058312498	127.0	378.77352237701416	0.0	0.03125	0.0	0.0	0.0
16	20.27687	5.6884465	32.290226	6.0765047	500.0	4.5293016	0.7941998	5.212182	1.2649485	272000	3.7252903e-09	2.3825912	-0.0066958168	-0.10599167	1.3475134	0.0064433096	0.05275	127.0	401.55399918556213	0.0	0.0625	0.0	0.0	0.0
17	22.31762	4.8749576	32.392193	11.130783	500.0	4.6934524	0.8730995	5.306226	1.1138946	288000	-1.4901161e-08	2.3071315	-0.007446401	-0.22609234	1.3475134	0.007907383	0.059375003	127.0	425.77604246139526	0.0	0.0	0.0	0.0	0.0
18	23.669197	4.478026	32.10275	15.3887825	500.0	5.144715	0.9270729	5.7002954	1.2000812	304000	1.1175871e-08	1.8886354	-0.0067663146	-0.14676018	1.3475134	0.004807729	0.04925	127.0	449.4006407260895	0.0	0.0	0.0	0.0	0.0
19	25.1414	4.972904	34.79694	15.927116	500.0	5.456033	1.1013358	6.114009	0.8720039	320000	1.4901161e-08	2.1417603	-0.0066364636	-0.19943452	1.3475134	0.004587738	0.0445	127.0	473.2840301990509	0.0	0.0	0.0	0.0	0.0
20	24.849392	4.8303905	35.181164	16.10352	500.0	5.7945266	1.1934395	6.580671	0.8521964	336000	1.8626451e-08	1.6717956	-0.0068884487	-0.1244719	1.3475134	0.0066649336	0.048	127.0	497.9060060977936	0.0	0.0625	0.0	0.0	0.0
21	26.246609	3.8125587	33.568375	20.050718	500.0	5.8190713	1.2201498	6.762056	0.9383061	352000	7.450581e-09	1.2243247	-0.0072304695	-0.11253542	1.3475134	0.0067260144	0.059875	127.0	522.7066707611084	0.0	0.0625	0.0	0.0	0.0
22	28.939754	4.783724	36.65505	17.957722	500.0	6.1520166	1.3157574	7.1150007	1.0916822	368000	0.0	1.8688517	-0.0058121206	-0.501427	1.3475134	0.0039987015	0.041374996	127.0	546.492244720459	0.0	0.0625	0.0	0.0	0.0
23	28.727333	5.7531066	39.46751	19.96583	500.0	6.6041822	1.4776617	7.9335704	1.3318776	384000	1.4901161e-08	1.7010065	-0.006739755	-0.1661742	1.3475134	0.00562222	0.0425	127.0	568.8198235034943	0.0	0.0625	0.0	0.0	0.0
24	29.177765	5.5226727	39.6351	17.044176	500.0	6.840661	1.581598	8.332238	1.292111	400000	-1.1175871e-08	1.4979389	-0.00773051	-0.47136682	1.3475134	0.006068714	0.055999998	127.0	593.9284164905548	0.0	0.0	0.0	0.0	0.0
