Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.091731474	0.07364629	0.35413456	0.022231003	500.0	0.055480525	0.101865105	0.16060802	-0.10611291	16000	-1.1175871e-08	0.009815449	-0.010050701	-0.008865133	1.3475134	0.0075702714	0.100875005	127.0	29.45003032684326	0.0	0.0	0.0	0.0	0.0
1	0.117961854	0.08405119	0.33504784	0.020955527	500.0	0.041080147	0.013105028	0.07612423	0.004717134	32000	-7.450581e-09	0.0006529288	-0.0052549653	-0.00042604853	1.3475134	0.0035948022	0.04825	127.0	52.938196659088135	0.0	0.0	0.0	0.0	0.0
2	0.0836716	0.055143677	0.29788703	0.017440842	500.0	0.029519219	0.0058397357	0.05268643	0.0128007755	48000	0.0	0.0002514918	-0.007636109	-0.00016764447	1.3475134	0.007126169	0.0785625	127.0	78.29896187782288	0.0	0.0	0.0	0.0	0.0
3	0.19083221	0.18117319	0.8330906	0.01593342	500.0	0.022612182	0.00700809	0.059412107	0.000110358	64000	1.1175871e-08	0.0012891493	-0.00752751	-0.0005604704	1.3475134	0.006954748	0.0730625	127.0	103.04198789596558	0.0	0.0	0.0	0.0	0.0
4	0.4124234	0.382745	1.5302541	0.06564289	500.0	0.050226953	0.018811798	0.11007652	0.008768633	80000	0.0	0.0055245003	-0.0074340138	-0.0026231762	1.3475134	0.0064392113	0.0861875	127.0	127.3798758983612	0.0	0.0	0.0	0.0	0.0
5	0.8966293	0.68494195	3.201214	0.17273708	500.0	0.13294654	0.051394194	0.31204417	0.012096815	96000	-3.3527613e-08	0.024760704	-0.0069623506	-0.011979029	1.3475134	0.0074573355	0.085250005	127.0	150.96656584739685	0.0	0.0	0.0	0.0	0.0
6	1.7709949	1.2092206	4.617011	0.39710504	500.0	0.2875403	0.13746397	0.627695	-0.031643018	112000	0.0	0.096333385	-0.007984156	-0.037246075	1.3475134	0.00813221	0.1033125	127.0	176.97315502166748	0.0	0.0	0.0	0.0	0.0
7	2.8918462	2.6034648	11.022318	0.5285781	500.0	0.5170147	0.27002758	1.1875285	-0.109727666	128000	-2.2351742e-08	0.37841076	-0.0072278343	-0.13406196	1.3475134	0.00826917	0.100625	127.0	201.8822124004364	0.0	0.0	0.0	0.0	0.0
8	6.0765266	4.2212176	17.613651	0.63616157	500.0	0.9547291	0.47322822	2.0680315	-0.21239436	144000	-2.2351742e-08	1.0505877	-0.007105682	-0.5252767	1.3475134	0.006539242	0.081	127.0	225.85743594169617	0.0	0.0	0.0	0.0	0.0
9	10.1474285	4.947043	21.277054	0.7208187	500.0	1.9263347	0.92640287	3.9390025	-0.4990992	160000	0.0	1.8059944	-0.007057037	-0.8226651	1.3475134	0.0062570972	0.0875	127.0	251.80629563331604	0.0	0.0625	0.0	0.0	0.0
