Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09040033	0.07298409	0.35281053	0.022065181	500.0	0.06260407	0.10126663	0.16300333	-0.105502754	16000	-1.1175871e-08	0.010168231	-0.009714878	-0.009235231	1.3475134	0.0075227916	0.10062499	127.0	20.104817628860474	0.0	0.0	0.0	0.0	0.0
1	0.11840193	0.08534779	0.3511501	0.02056877	500.0	0.044804294	0.016244566	0.091866925	0.009053186	32000	2.2351742e-08	0.0007743853	-0.0049725715	-0.00050945336	1.3475134	0.0033154138	0.0471875	127.0	38.01206302642822	0.0	0.0	0.0	0.0	0.0
2	0.07295123	0.049468286	0.27249143	0.015724365	500.0	0.030852368	0.0065639038	0.052087203	0.013990417	48000	3.3527613e-08	0.0003218825	-0.006931289	-0.00023667581	1.3475134	0.00639621	0.0665625	127.0	55.394944190979004	0.0	0.0	0.0	0.0	0.0
3	0.16188328	0.18522468	0.8298208	0.014244248	500.0	0.019760229	0.0069272276	0.045350067	0.0012779012	64000	-7.450581e-09	0.0013500215	-0.0062001487	-0.0005095274	1.3475134	0.006576122	0.060625	127.0	73.67301940917969	0.0	0.0	0.0	0.0	0.0
4	0.35812944	0.3966023	1.6983443	0.036079057	500.0	0.040442478	0.022121513	0.11095145	-0.0026496425	80000	1.8626451e-09	0.005722886	-0.007388777	-0.0026862326	1.3475134	0.007850363	0.0789375	127.0	92.31803178787231	0.0	0.0	0.0	0.0	0.0
5	1.0535537	0.6722516	2.8495162	0.110183395	500.0	0.16522628	0.06609797	0.35168356	0.000119663775	96000	-3.7252903e-09	0.026751284	-0.0055905	-0.011266649	1.3475134	0.0064526554	0.0664375	127.0	110.11254048347473	0.0	0.0	0.0	0.0	0.0
6	1.6850258	1.1931518	4.9935412	0.30257294	500.0	0.30871397	0.13508298	0.62538654	0.017045952	112000	-1.4901161e-08	0.09087044	-0.0058573578	-0.035555065	1.3475134	0.008558063	0.0859375	127.0	128.80220293998718	0.0	0.0	0.0	0.0	0.0
7	2.9437757	2.5895064	12.746192	0.36915562	500.0	0.49245417	0.23707917	0.99010867	-0.05746238	128000	-2.4214387e-08	0.37883094	-0.0074199215	-0.1447685	1.3475134	0.008781008	0.1136875	127.0	146.97082471847534	0.0	0.0	0.0	0.0	0.0
8	7.208983	4.8898144	16.740992	0.46849102	500.0	1.0892385	0.509966	2.4222634	-0.29095024	144000	-5.5879354e-09	1.4522543	-0.00617625	-0.7519131	1.3475134	0.0067375144	0.070999995	127.0	166.56225204467773	0.0	0.0	0.0	0.0	0.0
9	8.600232	4.6009703	19.220076	0.44059852	500.0	2.17466	1.0326183	4.909135	-0.6642995	160000	-2.9802322e-08	1.300769	-0.007211197	-0.4867021	1.3475134	0.0065785255	0.0830625	127.0	185.3138976097107	0.0	0.0	0.0	0.0	0.0
10	6.9742575	3.6407588	21.57366	1.2440989	500.0	2.9291778	1.5133401	5.9975634	-1.1310666	176000	2.6077032e-08	1.2658591	-0.009904561	-0.6273594	1.3475134	0.0075601554	0.0848125	127.0	203.87169981002808	0.0	0.0	0.0	0.0	0.0
11	9.738434	4.2592225	19.273623	1.9183983	500.0	2.6046965	1.3726752	5.14087	-0.7121506	192000	-1.3038516e-08	1.3857546	-0.0072285626	-0.28709522	1.3475134	0.005665936	0.0735625	127.0	223.16170620918274	0.0	0.0	0.0	0.0	0.0
12	10.282228	6.5467873	27.636265	1.080843	500.0	2.8791466	1.175918	4.7307143	0.022754528	208000	0.0	2.6134706	-0.0054294993	-0.30170435	1.3475134	0.006883231	0.06975	127.0	242.9644284248352	0.0	0.03125	0.0	0.0	0.0
13	11.586359	5.5733128	25.697927	3.0762286	500.0	3.0660067	1.0380422	4.5520225	0.15807076	224000	-3.7252903e-08	2.1800725	-0.0062218937	-0.18994465	1.3475134	0.0064027207	0.063125	127.0	262.94406604766846	0.0	0.09375	0.0	0.0	0.0
14	13.126684	3.5025218	20.526897	5.5795355	500.0	3.1002142	0.9166967	4.185847	0.2382119	240000	-9.313226e-10	1.3742704	-0.006253797	-0.1222032	1.3475134	0.006163651	0.0581875	127.0	282.6025719642639	0.0	0.0	0.0	0.0	0.0
15	14.082356	4.9462714	26.981411	3.0568826	500.0	3.3493824	0.7350195	4.0094576	0.5089543	256000	-7.450581e-09	1.8976967	-0.005126673	-0.07211825	1.3475134	0.0042928155	0.036562502	127.0	301.992627620697	0.0	0.0	0.0	0.0	0.0
16	17.221075	6.2722583	28.21697	5.1073923	500.0	3.3872519	0.65450245	4.104234	0.6601931	272000	5.5879354e-09	2.8966842	-0.005405595	-0.455679	1.3475134	0.0064428146	0.0448125	127.0	321.71459102630615	0.0	0.03125	0.0	0.0	0.0
17	19.029411	5.75072	31.619848	10.894505	500.0	3.922262	0.80561185	4.5248427	0.6041209	288000	5.5879354e-09	2.3987107	-0.0051904693	-0.4173754	1.3475134	0.0055267764	0.046375	127.0	341.35751366615295	0.0	0.09375	0.0	0.0	0.0
18	22.255823	11.581504	78.13379	9.734735	500.0	4.4116497	0.88615924	5.264941	0.6145971	304000	-1.4901161e-08	7.096937	-0.0063934685	-1.0164874	1.3475134	0.0048377	0.049125	127.0	361.08836936950684	0.0	0.09375	0.0	0.0	0.0
19	23.778286	7.4775624	55.553204	14.238183	500.0	5.0060444	1.2296264	6.371015	0.44774005	320000	-2.2351742e-08	3.295995	-0.004549845	-0.4151672	1.3475134	0.0039787097	0.02975	127.0	381.8752529621124	0.0	0.125	0.0	0.0	0.0
20	23.915806	8.034804	56.878998	13.056483	500.0	5.3692517	1.3684661	6.9846873	0.64979637	336000	0.0	3.5229573	-0.0059508826	-0.22823109	1.3475134	0.0064228987	0.0476875	127.0	401.86552929878235	0.0	0.09375	0.0	0.0	0.0
21	25.688095	7.2875896	53.45545	14.708436	500.0	5.7233524	1.5382434	7.22241	0.8576245	352000	0.0	2.9022293	-0.0062621622	-0.32427394	1.3475134	0.0055331793	0.0535	127.0	421.82615661621094	0.0	0.125	0.0	0.0	0.0
22	26.922327	4.074494	36.40864	15.357398	500.0	5.912343	1.6990318	7.876957	1.2057533	368000	-1.3969839e-08	1.0922579	-0.0073289913	-0.22165981	1.3475134	0.004089549	0.042937502	127.0	441.56062269210815	0.0	0.15625	0.0	0.0	0.0
23	28.828934	4.0712686	43.93628	22.755648	500.0	6.4368396	1.8465157	8.756426	1.4076258	384000	1.4901161e-08	1.2052002	-0.0069535314	-0.19370358	1.3475134	0.0055046156	0.056	127.0	461.54496335983276	0.0	0.28125	0.0	0.0	0.0
24	27.315628	2.6311784	32.199017	20.64104	500.0	6.770079	1.9100088	8.982454	1.5922377	400000	8.381903e-09	0.50845104	-0.007479536	-0.10803288	1.3475134	0.005086847	0.0483125	127.0	481.38673281669617	0.0	0.1875	0.0	0.0	0.0
25	30.480612	11.086066	72.36322	18.1808	500.0	6.5335045	1.8833681	9.129006	1.6707418	416000	7.450581e-09	6.5270233	-0.0072329496	-1.0543439	1.3475134	0.006438205	0.06225	127.0	500.29452252388	0.0	0.125	0.0	0.0	0.0
26	27.235088	3.6073422	32.27913	17.81231	500.0	6.996914	2.3130333	10.845361	0.07929082	432000	7.916242e-09	1.1851554	-0.008340532	-0.6055743	1.3475134	0.0074346466	0.05525	127.0	519.1751852035522	0.0	0.0	0.0	0.0	0.0
27	33.216656	15.3659935	76.19718	21.834835	500.0	6.052591	1.8935779	9.512742	1.9130429	448000	-7.450581e-09	13.425406	-0.0071328646	-2.9525492	1.3475134	0.00624686	0.049312502	127.0	540.3797416687012	0.0	0.21875	0.0	0.0	0.0
