Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25729263	0.1229622	0.6042272	0.093132205	500.0	0.03894466	0.02605578	0.10118931	-0.038890332	16000	1.1175871e-08	0.0018976862	-0.006103999	-0.001351099	1.3564423	0.0071150865	0.06	127.0	30.94999599456787	0.0	0.0	0.0	0.0	0.0
1	0.2944486	0.13985206	0.7548404	0.098676905	500.0	0.04901105	0.017263107	0.09436316	-0.00066329725	32000	0.0	0.0007000981	-0.0101223625	-0.00023590695	1.3564423	0.0077928333	0.104	127.0	58.57039284706116	0.0	0.0	0.0	0.0	0.0
2	0.5327387	0.2437262	1.1383605	0.21322763	500.0	0.06877386	0.017689321	0.1278828	0.013290428	48000	-5.9604645e-08	0.002314061	-0.012801209	-0.0013241217	1.3564423	0.0075224065	0.1143125	127.0	86.13975763320923	0.0	0.0	0.0	0.0	0.0
3	0.8570913	0.56453747	3.52962	0.25033954	500.0	0.12324399	0.02993448	0.21690817	0.027983185	64000	7.450581e-09	0.013608271	-0.0072447676	-0.0062915008	1.3564423	0.007669523	0.100687504	127.0	113.89757657051086	0.0	0.0	0.0	0.0	0.0
4	1.7743582	1.550164	7.5494285	0.45716748	500.0	0.24191597	0.104731634	0.57596177	0.024902001	80000	-3.7252903e-08	0.11857613	-0.006824064	-0.05933686	1.3564423	0.0070925495	0.0885	127.0	141.76479268074036	0.0	0.0	0.0	0.0	0.0
5	3.5103855	3.2181542	13.809825	0.6497881	500.0	0.5365272	0.37121928	1.6818534	-0.2754798	96000	-1.4901161e-08	0.5077356	-0.0064124176	-0.20336467	1.3564423	0.0062539196	0.075375006	127.0	166.1197226047516	0.0	0.0	0.0	0.0	0.0
6	8.026961	5.2117863	20.542398	1.0466145	500.0	1.3235657	0.74586594	3.0328736	-0.20176423	112000	3.7252903e-09	1.5222645	-0.007279382	-0.6018269	1.3564423	0.0055077756	0.0713125	127.0	191.81339836120605	0.0	0.0	0.0	0.0	0.0
7	9.939549	7.2062364	23.66919	0.91751254	500.0	1.7491133	1.2030509	4.6115646	-0.3806376	128000	-1.6763806e-08	2.0847306	-0.008875103	-1.1068145	1.3564423	0.0082264505	0.0915	127.0	218.84774661064148	0.0	0.0	0.0	0.0	0.0
8	17.215015	8.094792	30.173645	0.8520534	500.0	3.8345845	1.9278157	6.8382645	-0.557318	144000	2.9802322e-08	3.0414321	-0.007675856	-0.5286117	1.3564423	0.0039542955	0.0735625	127.0	244.38193774223328	0.0	0.0	0.0	0.0	0.0
9	15.335028	7.859029	28.53134	0.9051556	500.0	4.182665	2.1666486	7.0956798	-0.42291322	160000	0.0	1.7442274	-0.007997179	-0.20647739	1.3564423	0.0063561653	0.05925	127.0	270.1403133869171	0.0	0.0	0.0	0.0	0.0
10	18.319332	8.346372	29.80358	1.1855541	500.0	4.2189655	1.9792007	6.7572036	-0.23329364	176000	-1.4901161e-08	1.8273292	-0.008449707	-0.29392034	1.3564423	0.007827986	0.074375	127.0	298.4309766292572	0.0	0.0	0.0	0.0	0.0
11	20.510475	5.6497116	32.200813	8.698748	500.0	5.40301	1.7064354	7.8335238	-0.18142727	192000	3.7252903e-09	1.9927406	-0.007769291	-0.34652323	1.3564423	0.006205068	0.060000002	127.0	324.7520020008087	0.0	0.0	0.0	0.0	0.0
12	24.57167	5.4818597	35.140972	13.596188	500.0	5.2446494	1.2760133	7.05233	0.7806425	208000	-2.9802322e-08	2.4076915	-0.009175058	-0.51042724	1.3564423	0.005876703	0.0785625	127.0	350.6892867088318	0.0	0.0	0.0	0.0	0.0
13	25.344242	5.560734	34.892357	9.745572	500.0	5.8807726	1.3591095	7.87359	0.8066283	224000	-1.1175871e-08	2.143827	-0.007368209	-0.23205689	1.3564423	0.0057696877	0.04775	127.0	377.9196162223816	0.0	0.0625	0.0	0.0	0.0
14	28.42338	5.1601176	38.423973	18.466698	500.0	6.0549207	1.2914853	7.620748	0.16348433	240000	7.450581e-09	2.369968	-0.008559515	-0.46879292	1.3564423	0.005786754	0.06625	127.0	403.7797656059265	0.0	0.0625	0.0	0.0	0.0
15	26.400724	5.37697	34.069523	14.914522	500.0	6.554453	1.2524716	8.356667	0.7506062	256000	-2.2351742e-08	2.2296903	-0.010195497	-0.28569004	1.3564423	0.0071691987	0.0734375	127.0	432.68569827079773	0.0	0.0	0.0	0.0	0.0
16	28.312584	4.381065	40.348885	19.073662	500.0	6.3280497	1.0394228	8.104611	1.3316773	272000	7.450581e-09	2.0622892	-0.007522445	-0.3185014	1.3564423	0.0055021085	0.055062503	127.0	459.122008562088	0.0	0.0	0.0	0.0	0.0
17	30.996046	4.8513765	40.70577	18.933521	500.0	6.564006	1.2820415	8.731556	0.87707996	288000	1.4901161e-08	1.6951025	-0.009121852	-0.2759511	1.3564423	0.006527301	0.0644375	127.0	488.2682435512543	0.0	0.0625	0.0	0.0	0.0
18	31.526964	3.8391078	38.696587	23.305956	500.0	6.885621	1.1922369	9.37876	1.4774414	304000	1.21071935e-08	1.3323083	-0.009651779	-0.19098336	1.3564423	0.007072743	0.079375	127.0	515.3029134273529	0.0	0.0625	0.0	0.0	0.0
19	34.192818	3.8552666	41.51501	25.85792	500.0	7.227935	1.3922812	9.5651455	1.821466	320000	1.1175871e-08	1.1642942	-0.0096743945	-0.27131534	1.3564423	0.004740215	0.069125	127.0	544.2281723022461	0.0	0.21875	0.0	0.0	0.0
20	33.746544	3.318787	39.962357	24.881643	500.0	7.856035	1.7362896	10.138972	1.9049995	336000	2.0489097e-08	1.3277645	-0.009584306	-0.33275527	1.3564423	0.0073939497	0.074875	127.0	572.3205235004425	0.0	0.3125	0.0	0.0	0.0
21	36.26818	4.30008	45.82687	28.805569	500.0	7.8695784	1.4235952	9.653579	1.6174102	352000	-1.1175871e-08	1.1086857	-0.0099203605	-0.18485552	1.3564423	0.0074148504	0.081125	127.0	600.659928560257	0.0	0.46875	0.0	0.0	0.0
22	36.384315	5.585653	42.824203	20.616852	500.0	7.9987783	1.6079055	10.136024	1.5065644	368000	-7.450581e-09	1.0141943	-0.009342367	-0.14268053	1.3564423	0.0068216706	0.066874996	127.0	630.374623298645	0.0	0.21875	0.0	0.0	0.0
23	37.272316	7.0174494	60.278828	19.687456	500.0	7.9217987	1.7040313	10.570494	1.8708721	384000	1.8626451e-09	2.171645	-0.007863402	-0.26629454	1.3564423	0.006254245	0.0705625	127.0	660.2953534126282	0.0	0.28125	0.0	0.0	0.0
24	37.112976	6.342078	46.51233	9.985337	500.0	8.465282	1.8475009	10.959328	1.8670518	400000	2.6077032e-08	1.0357544	-0.008798614	-0.14154476	1.3564423	0.006742142	0.069125	127.0	687.855580329895	0.0	0.3125	0.0	0.0	0.0
25	38.981644	3.9940116	46.886154	29.75765	500.0	8.511422	1.6524173	10.741701	0.7098522	416000	0.0	0.8170235	-0.009484755	-0.1301449	1.3564423	0.007790575	0.0653125	127.0	712.4677364826202	0.0	0.3125	0.0	0.0	0.0
26	35.878796	4.220699	42.16035	23.492985	500.0	8.367363	1.5045981	10.642675	2.471357	432000	-7.450581e-09	1.4194677	-0.009463689	-0.45243335	1.3564423	0.007406002	0.0696875	127.0	739.356714963913	0.0	0.4375	0.0	0.0	0.0
27	37.97901	6.651409	46.161575	4.9031963	500.0	8.124502	1.4811302	10.347317	2.7132912	448000	-2.6077032e-08	1.1410075	-0.009027108	-0.32122606	1.3564423	0.0071583646	0.0726875	127.0	767.8743550777435	0.0	0.5625	0.0	0.0	0.0
28	40.14575	3.7647252	47.53513	33.519054	500.0	8.45588	1.520302	10.566914	1.4962294	464000	3.7252903e-09	0.9226101	-0.009823705	-0.24082303	1.3564423	0.006462087	0.0785	127.0	793.4366195201874	0.0	0.3125	0.0	0.0	0.0
29	41.09923	4.349459	51.292355	26.72694	500.0	8.88984	1.698928	10.964997	2.0544605	480000	0.0	0.90202224	-0.011409273	-0.12509835	1.3564423	0.0057838187	0.08337501	127.0	819.1692833900452	0.0	0.40625	0.0	0.0	0.0
30	42.19094	3.496465	47.911243	33.272984	500.0	9.201459	1.631168	11.186205	2.4442494	496000	-1.0244548e-08	0.6650627	-0.008967683	-0.058745526	1.3564423	0.008113153	0.076437496	127.0	848.437402009964	0.0	0.3125	0.0	0.0	0.0
31	42.504807	4.2509737	58.96365	34.34523	500.0	9.282359	1.5563439	11.287957	2.8093424	512000	2.6077032e-08	1.1885532	-0.008512325	-0.12392806	1.3564423	0.007386024	0.0806875	127.0	878.1573061943054	0.0	0.4375	0.0	0.0	0.0
32	43.102	3.924776	54.845375	34.54388	500.0	9.38996	1.6668266	11.582627	3.1380613	528000	9.313226e-10	1.0613055	-0.009399252	-0.12730125	1.3564423	0.008084484	0.0753125	127.0	904.6764488220215	0.0	0.34375	0.0	0.0	0.0
33	43.342613	3.9364414	49.849163	30.619074	500.0	9.49303	1.5068337	11.438638	3.6749618	544000	-1.071021e-08	0.7779977	-0.010920637	-0.08530177	1.3564423	0.008061927	0.0878125	127.0	932.4710392951965	0.0	0.3125	0.0	0.0	0.0
34	44.411644	2.8713355	49.814877	36.637253	500.0	9.557501	1.4618592	11.385104	3.437939	560000	-8.381903e-09	0.8785269	-0.010300919	-0.13807155	1.3564423	0.0077552204	0.096062504	127.0	962.9988045692444	0.0	0.46875	0.0	0.0	0.0
35	45.82083	4.4743643	57.20115	27.654457	500.0	9.976277	1.4899613	11.678838	3.928259	576000	7.450581e-09	1.3297925	-0.010708056	-0.1426716	1.3564423	0.009459095	0.102437496	127.0	990.0402131080627	0.0	0.34375	0.0	0.0	0.0
36	47.083527	4.455868	59.01884	37.89922	500.0	10.064698	1.509778	11.660921	4.103778	592000	2.3283064e-09	1.7865484	-0.007985357	-0.3409382	1.3564423	0.008473788	0.077750005	127.0	1019.5887660980225	0.0	0.4375	0.0	0.0	0.0
37	48.14192	9.41177	79.59321	25.980923	500.0	10.456787	1.9428018	12.441652	3.4835691	608000	-1.8626451e-08	5.0678177	-0.010115883	-0.8879402	1.3564423	0.012178844	0.0898125	127.0	1048.1182811260223	0.0	0.5	0.0	0.0	0.0
38	52.98297	13.20568	108.00503	38.07464	500.0	11.025266	2.242765	13.907447	2.7061808	624000	1.8626451e-08	10.299543	-0.0071704816	-1.8628801	1.3564423	0.0086127985	0.070250005	127.0	1078.417665719986	0.0	0.46875	0.0	0.0	0.0
39	50.689697	8.439325	80.766266	40.296734	500.0	11.53456	2.3640654	15.704775	2.6308103	640000	0.0	4.652933	-0.008539894	-0.60755134	1.3564423	0.0070633064	0.073437504	127.0	1108.6229298114777	0.0	0.5	0.0	0.0	0.0
40	50.28232	8.309533	78.67981	35.06879	500.0	11.560705	2.2458525	15.363138	3.7670336	656000	-9.313226e-09	3.6846054	-0.007502303	-0.47413522	1.3564423	0.007082109	0.07925001	127.0	1139.6357023715973	0.0	0.40625	0.0	0.0	0.0
41	49.993904	7.937605	74.852516	37.781742	500.0	11.378366	2.2830393	15.44514	4.095774	672000	-1.1175871e-08	3.7836108	-0.00948563	-0.2870353	1.3564423	0.01015039	0.0934375	127.0	1166.9500114917755	0.0	0.5625	0.0	0.0	0.0
42	52.104416	12.517577	100.38111	38.47301	500.0	11.201991	2.3959458	15.488859	4.038246	688000	0.0	8.139028	-0.00899775	-1.2388705	1.3564423	0.008379009	0.088	127.0	1192.0186278820038	0.0	0.71875	0.0	0.0	0.0
43	53.761032	12.05691	92.24286	38.910057	500.0	11.828062	2.3422294	16.366049	4.104709	704000	7.450581e-09	8.328575	-0.008578496	-1.5449429	1.3564423	0.0085084345	0.087437496	127.0	1221.4838325977325	0.0	0.8125	0.0	0.0	0.0
44	59.084335	16.675682	104.86288	44.734978	500.0	12.353114	2.7504466	17.654049	4.004047	720000	1.1175871e-08	11.833718	-0.008972574	-3.030909	1.3564423	0.0075608958	0.089875	127.0	1253.5691800117493	0.0	0.8125	0.0	0.0	0.0
45	60.700916	15.406149	97.44424	42.840317	500.0	12.813233	3.0257921	20.09218	3.7098246	736000	-7.450581e-09	12.339723	-0.008396882	-1.9773402	1.3564423	0.006655705	0.0830625	127.0	1286.5341536998749	0.0	0.84375	0.0	0.0	0.0
46	57.565838	14.193072	95.04734	38.62784	500.0	13.393702	3.26744	21.467747	4.5417233	752000	5.5879354e-09	10.036315	-0.008877404	-1.6526219	1.3564423	0.006432507	0.0735625	127.0	1317.6576249599457	0.0	0.8125	0.0	0.0	0.0
47	64.50488	19.963058	105.61257	36.614452	500.0	13.372989	3.7919304	21.852272	4.583788	768000	7.450581e-09	15.434229	-0.009282026	-2.9596696	1.3564423	0.009037792	0.08375	127.0	1351.8079051971436	0.0	0.875	0.0	0.0	0.0
48	67.19478	20.165699	108.73449	39.071026	500.0	14.974129	4.346577	23.26639	4.5525928	784000	1.4901161e-08	17.06056	-0.0077222474	-1.9544952	1.3564423	0.008069037	0.071875006	127.0	1382.2030894756317	0.0	0.90625	0.0	0.0	0.0
49	74.175	18.812586	104.92023	41.85509	500.0	15.6211405	4.7386646	23.799164	4.651903	800000	-1.6763806e-08	15.80179	-0.0074420706	-3.4462013	1.3564423	0.0068153245	0.066937506	127.0	1411.8215577602386	0.0	0.90625	0.0	0.0	0.0
50	67.27069	22.421656	118.301384	29.358324	500.0	15.887215	4.449765	25.154749	4.4059505	816000	-7.450581e-09	15.763419	-0.007878353	-3.2459474	1.3564423	0.00565675	0.061125003	127.0	1443.8861646652222	0.0	0.78125	0.0	0.0	0.0
51	66.007744	21.252996	112.250824	42.620117	500.0	14.500807	4.6769214	25.525183	3.2878914	832000	-1.1175871e-08	13.454124	-0.009001728	-2.204988	1.3564423	0.007131811	0.075625	127.0	1478.3584315776825	0.0	0.8125	0.0	0.0	0.0
52	66.07004	19.979658	101.51036	38.492416	500.0	15.010196	5.1708617	26.652374	1.0979209	848000	-7.450581e-09	14.942963	-0.0083177	-2.5382686	1.3564423	0.008209253	0.0774375	127.0	1508.4335398674011	0.0	0.78125	0.0	0.0	0.0
53	68.73996	26.435741	124.72817	44.03225	500.0	14.4030485	4.9394875	25.85871	3.2993445	864000	1.9557774e-08	16.94385	-0.008507237	-2.7686505	1.3564423	0.0071972944	0.0783125	127.0	1537.101390838623	0.0	0.84375	0.0	0.0	0.0
54	70.32562	27.732069	124.25276	40.45689	500.0	15.834143	5.1592984	26.703583	2.2685375	880000	0.0	13.916088	-0.008734853	-1.7565359	1.3564423	0.0054417686	0.07175	127.0	1565.862475156784	0.0	0.8125	0.0	0.0	0.0
55	79.590485	22.001883	130.16861	41.102474	500.0	16.88013	5.3003	26.497404	2.503013	896000	-7.450581e-09	14.676934	-0.007861482	-1.5930307	1.3564423	0.006259652	0.0673125	127.0	1593.0232141017914	0.0	0.90625	0.0	0.0	0.0
56	73.29547	22.980133	125.4055	41.550293	500.0	15.985418	6.07149	27.303225	-0.8461531	912000	1.3969839e-08	15.107754	-0.008548092	-1.9377179	1.3564423	0.005936603	0.0706875	127.0	1619.9960489273071	0.0	0.78125	0.0	0.0	0.0
57	67.839424	27.27782	136.46393	41.474846	500.0	15.889566	5.878351	28.527874	-0.22891092	928000	1.6763806e-08	13.3437	-0.00725204	-3.0488336	1.3564423	0.006429948	0.060249995	127.0	1648.8294360637665	0.0	0.6875	0.0	0.0	0.0
