Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.6874726	0.4801472	1.8326902	0.14650598	500.0	0.044811163	0.0130221965	0.08367681	-0.00059296377	16000	3.1664968e-08	0.016908176	-0.005709502	-0.008398689	1.3564423	0.007773175	0.050812498	127.0	29.565733909606934	0.0	0.0	0.0	0.0	0.0
1	1.2264907	0.83338636	3.0431373	0.20228676	500.0	0.12034805	0.05011486	0.23472892	-0.05509164	32000	-3.7252903e-09	0.03409647	-0.006997377	-0.012237919	1.3564423	0.006255181	0.06568749	127.0	53.632145404815674	0.0	0.0	0.0	0.0	0.0
2	2.3927498	1.922289	9.1360655	0.3744048	500.0	0.24872561	0.07024462	0.43337768	0.014556742	48000	5.5879354e-09	0.1928128	-0.006603781	-0.065589376	1.3564423	0.0060720937	0.0709375	127.0	76.6944489479065	0.0	0.0	0.0	0.0	0.0
3	5.789612	4.356874	18.541908	0.5179182	500.0	0.56014985	0.13322063	0.94245857	0.055662565	64000	1.4901161e-08	1.1824307	-0.006734484	-0.54366845	1.3564423	0.0062657497	0.065625	127.0	99.33601498603821	0.0	0.0	0.0	0.0	0.0
4	8.371807	5.214491	22.159426	0.8381004	500.0	1.3927237	0.3651365	2.3542683	0.23274893	80000	7.450581e-09	1.7434709	-0.008501223	-0.6971793	1.3564423	0.0077900584	0.0775	127.0	123.62245607376099	0.0	0.0625	0.0	0.0	0.0
5	14.913739	6.84562	37.880974	4.030194	500.0	2.2009907	0.76725125	3.86649	0.06734231	96000	3.7252903e-09	4.437274	-0.007343184	-1.9557118	1.3564423	0.0047253193	0.07075	127.0	148.07922267913818	0.0	0.15625	0.0	0.0	0.0
6	19.282549	8.460331	56.437096	8.067591	500.0	3.736379	1.3281338	6.0583982	0.0779541	112000	1.4901161e-08	4.187236	-0.0070355767	-1.001872	1.3564423	0.005621894	0.076875	127.0	171.3328378200531	0.0	0.03125	0.0	0.0	0.0
7	21.404072	4.909162	36.661648	13.856923	500.0	4.74327	1.5683578	7.251488	-0.10089837	128000	-2.9802322e-08	2.5064914	-0.00894795	-0.44897625	1.3564423	0.007395732	0.084249996	127.0	194.6656334400177	0.0	0.0625	0.0	0.0	0.0
8	25.71134	14.001614	80.25778	13.955564	500.0	5.679364	1.5792192	7.5492826	0.23468062	144000	-7.450581e-09	9.117792	-0.007736098	-0.45525804	1.3564423	0.006784019	0.0814375	127.0	219.15441966056824	0.0	0.1875	0.0	0.0	0.0
9	27.513214	9.633803	60.825893	14.846812	500.0	6.1321087	1.4012975	7.72238	1.1528733	160000	-1.4901161e-08	5.020028	-0.008292821	-0.24613915	1.3564423	0.007717907	0.07525	127.0	242.99683141708374	0.0	0.125	0.0	0.0	0.0
10	32.6445	18.913855	98.38418	14.586149	500.0	6.6048017	1.3953584	8.004498	1.4510841	176000	-1.4901161e-08	16.140343	-0.0076087574	-1.0568376	1.3564423	0.006725765	0.076000005	127.0	266.3429002761841	0.0	0.1875	0.0	0.0	0.0
11	27.41629	10.447549	74.59836	16.701622	500.0	7.6454787	1.5082897	8.997749	1.426059	192000	0.0	6.10726	-0.0065314528	-1.2716041	1.3564423	0.005372448	0.053125	127.0	288.9037997722626	0.0	0.09375	0.0	0.0	0.0
12	29.060326	15.3812895	89.44768	14.860069	500.0	6.7257004	1.0845132	7.782655	1.6197413	208000	-2.9802322e-08	10.633567	-0.0074063186	-0.29618737	1.3564423	0.006632635	0.06631251	127.0	310.63806438446045	0.0	0.09375	0.0	0.0	0.0
13	31.39272	15.098657	88.10684	15.1634245	500.0	6.731704	0.99168396	7.706407	2.2167785	224000	-7.450581e-09	10.190737	-0.0070865494	-0.25829288	1.3564423	0.006709248	0.063250005	127.0	340.41380429267883	0.0	0.1875	0.0	0.0	0.0
