Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.24669936	0.11451025	0.594469	0.07505149	500.0	0.047242127	0.024939215	0.1022829	-0.036591712	16000	-3.7252903e-09	0.0017145618	-0.0059403824	-0.0011364296	1.3564423	0.0071805753	0.057812497	127.0	28.492730855941772	0.0	0.0	0.0	0.0	0.0
1	0.29085135	0.12311331	0.54030037	0.098316014	500.0	0.048827544	0.015073726	0.08910757	0.0026382003	32000	7.450581e-09	0.00072786165	-0.0090648625	-0.00029482035	1.3564423	0.006601569	0.0860625	127.0	53.68535661697388	0.0	0.0	0.0	0.0	0.0
2	0.51844263	0.21840504	1.0281382	0.190059	500.0	0.065511584	0.017141033	0.109245434	-0.0022975728	48000	7.450581e-09	0.002530957	-0.012975916	-0.0011623048	1.3564423	0.0077265925	0.119875	127.0	82.1430823802948	0.0	0.0	0.0	0.0	0.0
3	0.8645303	0.40350252	1.969093	0.20960023	500.0	0.123168804	0.024919841	0.19274868	-0.0022548977	64000	-1.4901161e-08	0.0077726627	-0.01081335	-0.0039232564	1.3564423	0.007580268	0.099562496	127.0	109.28773927688599	0.0	0.0	0.0	0.0	0.0
4	1.0757301	0.42519474	1.965096	0.3779542	500.0	0.19235691	0.052493367	0.40383118	0.09282838	80000	-1.4901161e-08	0.0107904505	-0.010617174	-0.004870439	1.3564423	0.008749636	0.1045	127.0	137.5991816520691	0.0	0.0	0.0	0.0	0.0
5	2.6251445	1.9048433	10.48841	0.752311	500.0	0.2903713	0.10318968	0.6113151	0.10441413	96000	-3.3527613e-08	0.28498113	-0.0059812255	-0.14980625	1.3564423	0.005690541	0.0603125	127.0	166.19929766654968	0.0	0.0	0.0	0.0	0.0
6	4.681016	3.0129266	11.207409	0.45335266	500.0	0.69172585	0.38373697	1.8219934	-0.13140026	112000	1.3038516e-08	0.6317495	-0.0063053556	-0.34393495	1.3564423	0.0065802815	0.074875	127.0	193.03779888153076	0.0	0.0	0.0	0.0	0.0
7	8.012447	3.0950522	14.71722	2.7712142	500.0	1.491313	0.81592876	3.3736248	-0.16952613	128000	1.1175871e-08	0.89252377	-0.007648658	-0.49562532	1.3564423	0.007416675	0.095249996	127.0	218.48310351371765	0.0	0.0	0.0	0.0	0.0
8	12.447234	4.0782175	20.313074	5.8187065	500.0	2.5294244	1.3455255	4.9026465	-0.118152276	144000	-1.8626451e-08	1.5206046	-0.008478599	-0.5850749	1.3564423	0.0069983145	0.082625	127.0	247.8239462375641	0.0	0.0	0.0	0.0	0.0
9	16.266617	5.6427007	32.9488	6.6006646	500.0	3.5235271	1.5926713	6.065658	0.15739602	160000	1.3038516e-08	2.725982	-0.008853858	-0.5595802	1.3564423	0.0088418275	0.0873125	127.0	275.706081867218	0.0	0.125	0.0	0.0	0.0
10	19.351162	5.671849	30.176062	10.894752	500.0	4.617236	1.8438052	7.031845	0.53875726	176000	0.0	1.9489665	-0.008385893	-0.24687596	1.3564423	0.0050292476	0.070062496	127.0	302.6002616882324	0.0	0.0	0.0	0.0	0.0
11	23.948189	8.958448	58.623085	11.298118	500.0	5.0189304	1.6646314	6.947692	0.55717653	192000	1.1175871e-08	4.455764	-0.007852579	-0.8117705	1.3564423	0.007154769	0.0674375	127.0	331.4825336933136	0.0	0.03125	0.0	0.0	0.0
12	25.587917	7.786468	52.609604	13.534834	500.0	5.9641886	1.9080322	8.065747	0.49848765	208000	0.0	3.1598754	-0.00783284	-0.23893094	1.3564423	0.007326133	0.072187506	127.0	365.64892578125	0.0	0.03125	0.0	0.0	0.0
13	28.029297	10.758792	62.508053	13.836443	500.0	6.354234	1.993948	8.178922	1.1492501	224000	1.4901161e-08	6.4303145	-0.006289306	-0.35409495	1.3564423	0.007211104	0.063375	127.0	395.68918895721436	0.0	0.25	0.0	0.0	0.0
14	25.639376	10.001792	62.103443	8.652378	500.0	6.9060025	2.097686	8.799399	1.1784936	240000	1.4901161e-08	5.0806427	-0.00742781	-0.4909153	1.3564423	0.0069607194	0.0601875	127.0	420.8743395805359	0.0	0.0625	0.0	0.0	0.0
15	28.293802	10.828978	70.66303	12.8398075	500.0	6.523526	1.7852964	8.350546	1.4665053	256000	2.7939677e-09	5.358513	-0.007665023	-0.19116983	1.3564423	0.007913881	0.078999996	127.0	449.87152552604675	0.0	0.09375	0.0	0.0	0.0
16	28.116432	9.441341	63.73322	15.41982	500.0	6.8990936	1.751418	8.666067	1.0846438	272000	-1.4901161e-08	4.3796835	-0.007413487	-0.24164945	1.3564423	0.005573068	0.06362499	127.0	477.513831615448	0.0	0.03125	0.0	0.0	0.0
17	29.722351	7.0155277	38.30544	13.041266	500.0	6.8688984	1.6689365	8.718644	0.39659327	288000	0.0	2.2492747	-0.008993914	-0.21183312	1.3564423	0.0068600434	0.059	127.0	506.27262020111084	0.0	0.0	0.0	0.0	0.0
18	27.62995	8.679739	39.937	11.395607	500.0	7.0192795	1.8666049	8.982898	-0.52919024	304000	9.313226e-09	3.6343846	-0.008575743	-0.9702068	1.3564423	0.008593313	0.05975	127.0	534.2279131412506	0.0	0.0	0.0	0.0	0.0
19	30.411259	11.049991	67.289375	12.227799	500.0	6.5888195	1.8266526	8.870617	-1.645519	320000	1.4901161e-08	5.5975814	-0.0076373876	-0.40936702	1.3564423	0.0078139305	0.068937495	127.0	562.300443649292	0.0	0.03125	0.0	0.0	0.0
20	33.79005	14.663709	100.8426	14.026965	500.0	7.277094	1.6233739	9.16514	1.3134902	336000	7.450581e-09	9.166304	-0.0078047113	-0.80683804	1.3564423	0.006198477	0.061625	127.0	588.7000117301941	0.0	0.09375	0.0	0.0	0.0
21	30.402975	13.701336	83.88732	9.1449375	500.0	7.6967144	2.1763513	10.2402725	-2.203662	352000	-7.450581e-09	8.470677	-0.0073690265	-1.2294645	1.3564423	0.0041283406	0.06525	127.0	617.6166384220123	0.0	0.0625	0.0	0.0	0.0
22	33.791824	14.918589	93.346466	13.720101	500.0	7.5199866	1.9022936	10.3054	-1.0485594	368000	1.4901161e-08	9.770563	-0.0082129	-2.0579872	1.3564423	0.006842659	0.066937506	127.0	645.6081075668335	0.0	0.25	0.0	0.0	0.0
23	31.218231	12.836805	72.12066	11.071035	500.0	7.9468555	1.9297172	11.050696	1.8558412	384000	7.450581e-09	6.8904867	-0.008521462	-0.9698248	1.3564423	0.007832501	0.07412501	127.0	674.3541712760925	0.0	0.125	0.0	0.0	0.0
