Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.22902179	0.113846056	0.5997582	0.07505149	500.0	0.046874665	0.026605494	0.10721043	-0.033022135	16000	-3.7252903e-09	0.0017970648	-0.0053470973	-0.0011962566	1.3564423	0.006589232	0.0555	127.0	22.143858194351196	0.0	0.0	0.0	0.0	0.0
1	0.28587478	0.14846459	0.6504505	0.11367966	500.0	0.046224207	0.0129594235	0.08466308	0.008767431	32000	1.1175871e-08	0.00081236864	-0.00863177	-0.00037386685	1.3564423	0.0059884926	0.0779375	127.0	40.88654160499573	0.0	0.0	0.0	0.0	0.0
2	0.5430753	0.2838278	1.5315955	0.21928406	500.0	0.06920246	0.02206833	0.14429308	0.014926602	48000	-1.4901161e-08	0.0028818464	-0.012476116	-0.0014552764	1.3564423	0.008100234	0.1225625	127.0	59.32788825035095	0.0	0.0	0.0	0.0	0.0
3	0.89505714	0.60673136	2.999851	0.26231596	500.0	0.12714969	0.041129917	0.27674156	0.012454008	64000	2.2351742e-08	0.016410341	-0.008443922	-0.007953464	1.3564423	0.008328596	0.104875	127.0	78.01374435424805	0.0	0.0	0.0	0.0	0.0
4	1.4599013	1.0338564	5.40547	0.5070629	500.0	0.2672209	0.11533612	0.64380944	0.080553	80000	3.7252903e-09	0.040872097	-0.009513268	-0.018952377	1.3564423	0.007387554	0.110249996	127.0	97.15004372596741	0.0	0.0	0.0	0.0	0.0
5	2.9388092	2.3901174	10.514722	0.583369	500.0	0.4835373	0.30139175	1.5111299	-0.011967257	96000	-4.4703484e-08	0.24332511	-0.0077703996	-0.10073642	1.3564423	0.007390197	0.0963125	127.0	118.0054919719696	0.0	0.0	0.0	0.0	0.0
6	7.6817307	4.641166	17.917679	0.6415375	500.0	1.0855249	0.63969475	2.466408	-0.16490693	112000	2.6077032e-08	1.4460156	-0.0065639177	-0.8131956	1.3564423	0.0050000767	0.061375	127.0	137.10163283348083	0.0	0.0	0.0	0.0	0.0
7	9.265161	6.1144404	24.670803	0.6052163	500.0	1.7934965	1.2189363	4.4802704	-0.45417958	128000	-1.4901161e-08	1.3405341	-0.008528017	-0.66630846	1.3564423	0.007192187	0.083375	127.0	156.5394561290741	0.0	0.0	0.0	0.0	0.0
8	15.911662	7.535837	41.215748	0.5052256	500.0	3.3018339	1.6283945	6.109339	-0.67349213	144000	-3.7252903e-09	2.6769834	-0.009023538	-0.6409929	1.3564423	0.0059312787	0.091249995	127.0	176.5596044063568	0.0	0.0625	0.0	0.0	0.0
9	20.105879	15.04966	64.01971	0.6726849	500.0	3.9075832	2.056951	6.9992146	-0.55317533	160000	1.4901161e-08	9.234258	-0.0063893376	-2.0111592	1.3564423	0.008035861	0.073125	127.0	196.22400784492493	0.0	0.21875	0.0	0.0	0.0
10	20.74565	11.962945	55.58127	0.8132867	500.0	5.1918025	2.7479348	8.686973	-1.5247183	176000	-3.7252903e-09	4.5532694	-0.0067952313	-0.5858275	1.3564423	0.0065603917	0.067875005	127.0	215.74144291877747	0.0	0.3125	0.0	0.0	0.0
