Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.52181566	0.29799065	1.2897975	0.15539683	500.0	0.09347219	0.015924416	0.1403223	0.046700396	16000	2.6077032e-08	0.004237513	-0.006172266	-0.0016789682	1.3564423	0.007716584	0.0518125	127.0	25.326370239257812	0.0	0.0	0.0	0.0	0.0
1	0.863101	0.53032035	2.1476386	0.24361275	500.0	0.10756729	0.026943658	0.16677302	0.006972717	32000	-1.8626451e-08	0.012369685	-0.0064040725	-0.004661653	1.3564423	0.00617733	0.0675625	127.0	48.55317449569702	0.0	0.0	0.0	0.0	0.0
2	1.3666239	0.64609754	3.1376164	0.46318555	500.0	0.1762279	0.040148403	0.28341734	-0.008297933	48000	-5.7742e-08	0.021331422	-0.009694189	-0.011733452	1.3564423	0.0057669496	0.0864375	127.0	70.16827964782715	0.0	0.0	0.0	0.0	0.0
3	3.3954256	2.648092	13.817973	0.41552824	500.0	0.30991772	0.078564905	0.56096834	0.07263428	64000	0.0	0.3810906	-0.007496871	-0.17628264	1.3564423	0.0067505115	0.074562505	127.0	92.40947079658508	0.0	0.0	0.0	0.0	0.0
4	7.075937	4.8490605	17.829338	0.75357616	500.0	0.8551526	0.1927612	1.4168544	0.39313436	80000	0.0	1.5192735	-0.007815143	-0.70230246	1.3564423	0.008198622	0.0765625	127.0	115.03317260742188	0.0	0.0	0.0	0.0	0.0
5	12.148434	5.1802254	22.824497	3.1756673	500.0	1.7421412	0.582944	3.2363987	0.043731645	96000	-3.7252903e-09	2.4082236	-0.008411916	-1.3832331	1.3564423	0.0042893426	0.066874996	127.0	139.86397647857666	0.0	0.0	0.0	0.0	0.0
6	22.023338	9.794339	51.92296	6.191866	500.0	3.1914728	1.1315507	5.559708	0.0064952	112000	-2.9802322e-08	8.541786	-0.0058731907	-3.9247074	1.3564423	0.004626017	0.0495	127.0	167.53770756721497	0.0	0.25	0.0	0.0	0.0
7	18.413528	6.948613	46.010876	5.7345634	500.0	5.0005116	1.8406308	7.819407	0.11184381	128000	-2.9802322e-08	2.3694668	-0.009654968	-0.10690524	1.3564423	0.008193672	0.092875004	127.0	194.7334644794464	0.0	0.0625	0.0	0.0	0.0
8	22.127857	11.98903	62.87048	11.793556	500.0	5.572905	1.8811405	8.040801	-0.05314525	144000	7.450581e-09	7.762001	-0.0074357195	-0.3979724	1.3564423	0.0064621856	0.065125	127.0	218.31262850761414	0.0	0.25	0.0	0.0	0.0
9	23.492128	13.438622	76.926544	13.020213	500.0	5.6622453	1.4615576	7.484001	1.2286459	160000	7.450581e-09	9.642197	-0.007038858	-0.13296357	1.3564423	0.0078980895	0.086875	127.0	242.74588060379028	0.0	0.1875	0.0	0.0	0.0
10	31.859632	22.426329	84.09291	10.769045	500.0	5.876466	1.4811108	7.556715	1.1632966	176000	0.0	25.88162	-0.0073955874	-2.0966825	1.3564423	0.008474637	0.084625	127.0	267.4792711734772	0.0	0.21875	0.0	0.0	0.0
11	30.507425	22.632412	96.13043	8.685172	500.0	7.361349	1.3653786	8.733928	2.136555	192000	-2.6077032e-08	23.419472	-0.0068570534	-0.15068538	1.3564423	0.006507103	0.0636875	127.0	291.0985736846924	0.0	0.25	0.0	0.0	0.0
12	21.561573	10.596908	75.95348	12.112743	500.0	7.3529086	1.4725518	8.729423	1.7210294	208000	3.5390258e-08	10.325222	-0.007319792	-3.9620934	1.3564423	0.006473269	0.0609375	127.0	317.9606759548187	0.0	0.0625	0.0	0.0	0.0
13	37.009132	24.857494	95.01541	15.345076	500.0	5.6562247	1.0079366	6.8890867	2.298932	224000	2.9802322e-08	37.06815	-0.0067437976	-6.1199975	1.3564423	0.0077386713	0.052874997	127.0	343.8445270061493	0.0	0.25	0.0	0.0	0.0
14	28.03269	16.532097	110.6142	17.621067	500.0	7.7411475	1.0665075	8.721886	3.336606	240000	-1.8626451e-08	12.990431	-0.0073778275	-1.3001846	1.3564423	0.0060351947	0.0594375	127.0	371.89239740371704	0.0	0.0625	0.0	0.0	0.0
15	27.476397	16.51271	80.431244	14.16316	500.0	6.768371	1.010354	7.836268	2.5075524	256000	7.450581e-09	13.69323	-0.007103455	-0.45085064	1.3564423	0.006691727	0.060687497	127.0	397.8464148044586	0.0	0.09375	0.0	0.0	0.0
16	33.181553	23.313015	108.69369	15.232605	500.0	6.4821544	0.8305378	7.344421	3.1528568	272000	-2.2351742e-08	23.101704	-0.006185865	-0.66993356	1.3564423	0.006265235	0.060125	127.0	422.5069172382355	0.0	0.1875	0.0	0.0	0.0
17	39.445717	27.908659	114.93761	17.584179	500.0	7.223716	0.7259892	7.9675007	3.9561212	288000	0.0	32.73082	-0.0074179033	-2.0810435	1.3564423	0.007204308	0.062000003	127.0	448.17207527160645	0.0	0.1875	0.0	0.0	0.0
