Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.69868624	0.4850615	1.8411194	0.14890487	500.0	0.03900751	0.01312823	0.07647027	-0.0053500608	16000	-5.401671e-08	0.018030297	-0.0055041504	-0.009212868	1.3564423	0.0078066806	0.0513125	127.0	29.276562452316284	0.0	0.0	0.0	0.0	0.0
1	1.2414984	0.84221375	3.0786502	0.20727146	500.0	0.12049305	0.049712233	0.2331117	-0.056116153	32000	0.0	0.03508226	-0.006971536	-0.0126746	1.3564423	0.0062884805	0.0665	127.0	52.10850548744202	0.0	0.0	0.0	0.0	0.0
2	2.4139838	1.8999976	8.8053	0.4075471	500.0	0.25018102	0.07035659	0.42706805	0.011326466	48000	1.3038516e-08	0.19168329	-0.0066658016	-0.06603257	1.3564423	0.0060095377	0.069437504	127.0	76.31207227706909	0.0	0.0	0.0	0.0	0.0
3	5.80772	4.3513756	18.077177	0.53177327	500.0	0.5601974	0.13075767	0.93247896	0.05861768	64000	-2.9802322e-08	1.1980071	-0.006421534	-0.5457606	1.3564423	0.0063573606	0.061375	127.0	100.52655339241028	0.0	0.0	0.0	0.0	0.0
4	8.26734	4.648555	18.7926	0.8705993	500.0	1.3828257	0.35480976	2.2998424	0.21919222	80000	-1.4901161e-08	1.3872502	-0.008159061	-0.6207833	1.3564423	0.0075203963	0.073249996	127.0	123.24891662597656	0.0	0.0	0.0	0.0	0.0
5	15.068181	6.096809	33.731857	4.3935676	500.0	2.144722	0.7321615	3.792959	0.19557181	96000	-1.8626451e-08	4.2519526	-0.008001762	-2.116712	1.3564423	0.0046613207	0.0676875	127.0	143.28538346290588	0.0	0.1875	0.0	0.0	0.0
6	18.531384	6.58008	41.05272	7.934465	500.0	3.7731905	1.2909881	6.061944	0.19394052	112000	7.450581e-09	2.9001148	-0.008511874	-0.79308677	1.3564423	0.006423136	0.0813125	127.0	168.64855766296387	0.0	0.09375	0.0	0.0	0.0
7	20.83356	6.2132626	46.0988	12.289782	500.0	4.6211534	1.459381	6.86839	0.37777573	128000	0.0	3.0064354	-0.008621771	-0.3525677	1.3564423	0.008177166	0.090937495	127.0	192.63967180252075	0.0	0.0625	0.0	0.0	0.0
8	25.201696	12.816067	80.78123	11.345548	500.0	5.4246697	1.4038115	7.15263	0.7201674	144000	-1.1175871e-08	7.521876	-0.0072019985	-0.4546275	1.3564423	0.005658144	0.075125	127.0	214.03227138519287	0.0	0.125	0.0	0.0	0.0
9	27.320393	10.39899	70.21252	14.602276	500.0	5.977411	1.2880766	7.361112	1.3128817	160000	-1.1175871e-08	5.7426867	-0.0073318807	-0.28062493	1.3564423	0.0069304276	0.07224999	127.0	238.0906994342804	0.0	0.1875	0.0	0.0	0.0
10	29.475624	14.9310465	81.49797	13.07481	500.0	6.5459843	1.2596054	7.7884035	1.5446618	176000	3.7252903e-08	10.183211	-0.0072076395	-0.22276014	1.3564423	0.006792565	0.06825	127.0	264.4395287036896	0.0	0.125	0.0	0.0	0.0
11	32.006042	13.062598	80.04446	19.35004	500.0	6.8660126	1.2306589	8.065694	1.6085298	192000	1.4901161e-08	7.7177496	-0.0071023423	-0.417391	1.3564423	0.0069677974	0.061125003	127.0	288.7479946613312	0.0	0.0625	0.0	0.0	0.0
12	32.9449	17.576004	90.73303	16.06103	500.0	7.394262	1.1406056	8.360575	1.0195932	208000	2.6077032e-08	13.80262	-0.007653771	-0.2969593	1.3564423	0.007577138	0.0773125	127.0	310.8697636127472	0.0	0.15625	0.0	0.0	0.0
13	27.515697	5.306409	40.46561	17.364094	500.0	7.5873213	1.3234165	8.736478	-0.2212393	224000	1.8626451e-08	2.8963547	-0.008571531	-1.2240275	1.3564423	0.0063942736	0.05875	127.0	339.4790794849396	0.0	0.0	0.0	0.0	0.0
14	34.861794	19.216042	99.093185	18.282331	500.0	6.6020617	1.0072007	7.688793	0.74072284	240000	1.4901161e-08	17.30125	-0.0067428485	-1.3690648	1.3564423	0.006152171	0.0576875	127.0	364.2103109359741	0.0	0.21875	0.0	0.0	0.0
15	33.49253	18.710499	87.77829	16.509083	500.0	7.64357	0.9248359	8.391014	3.449164	256000	-2.2351742e-08	15.993036	-0.008029528	-0.2642802	1.3564423	0.0084869675	0.0838125	127.0	386.6238112449646	0.0	0.1875	0.0	0.0	0.0
16	35.201942	22.133928	126.288246	17.740303	500.0	7.5525656	0.8782719	8.2115	1.4754175	272000	7.450581e-09	20.952847	-0.0074475855	-0.45069757	1.3564423	0.0071848007	0.0714375	127.0	413.17215371131897	0.0	0.1875	0.0	0.0	0.0
17	31.707378	13.359471	98.669624	15.621548	500.0	7.8457413	1.1132365	8.697281	2.0055041	288000	-7.450581e-09	8.920246	-0.0072853793	-0.46434182	1.3564423	0.007378518	0.071125	127.0	437.0477395057678	0.0	0.0625	0.0	0.0	0.0
18	34.181435	15.421913	109.06473	23.361795	500.0	7.3774686	1.0540789	8.278472	2.8457959	304000	0.0	10.579928	-0.008380551	-0.17550391	1.3564423	0.008209228	0.07906249	127.0	463.39938855171204	0.0	0.09375	0.0	0.0	0.0
19	41.58255	19.760464	97.73497	27.0279	500.0	7.6310115	0.94427943	8.373908	2.9758232	320000	-7.450581e-09	16.780281	-0.006996611	-1.9442565	1.3564423	0.008129133	0.0593125	127.0	489.13808822631836	0.0	0.25	0.0	0.0	0.0
20	40.770157	17.578856	100.134254	25.638512	500.0	8.978377	1.0554912	9.690142	3.7698715	336000	-1.8626451e-08	14.181037	-0.0064339284	-0.2506332	1.3564423	0.0051563224	0.056062497	127.0	512.5559492111206	0.0	0.25	0.0	0.0	0.0
21	41.108704	21.328878	115.6643	18.059393	500.0	9.116588	1.3724642	10.115856	2.766835	352000	-3.7252903e-09	18.842506	-0.0063568437	-0.17761937	1.3564423	0.0060299365	0.056812502	127.0	534.990535736084	0.0	0.1875	0.0	0.0	0.0
22	35.923767	13.480436	107.55511	22.042437	500.0	9.271243	1.3598877	10.333939	2.9095113	368000	-4.8428774e-08	7.719883	-0.0070526768	-1.0536191	1.3564423	0.009473009	0.0855625	127.0	559.7199683189392	0.0	0.03125	0.0	0.0	0.0
23	36.28308	14.45196	112.753654	23.526102	500.0	8.404589	1.2275474	9.724845	3.5351775	384000	-1.1175871e-08	8.652589	-0.00841854	-0.21656504	1.3564423	0.009497842	0.079437494	127.0	589.5857474803925	0.0	0.09375	0.0	0.0	0.0
24	41.517494	20.727465	100.13289	26.825022	500.0	8.278117	1.113641	9.4915285	2.1056023	400000	7.450581e-09	19.04502	-0.0075727627	-1.0381545	1.3564423	0.008192347	0.076625004	127.0	613.0479130744934	0.0	0.125	0.0	0.0	0.0
25	42.992676	21.971516	104.22667	26.465115	500.0	8.936723	1.3298312	10.3306675	1.1068227	416000	2.2351742e-08	20.99223	-0.006890037	-1.0320578	1.3564423	0.0069062626	0.061125003	127.0	636.0119032859802	0.0	0.21875	0.0	0.0	0.0
26	40.622528	20.464603	124.76038	22.712582	500.0	9.358992	1.7157017	11.53928	2.041638	432000	7.450581e-09	17.392637	-0.008453278	-0.9826642	1.3564423	0.0062275873	0.0795625	127.0	660.4364998340607	0.0	0.3125	0.0	0.0	0.0
27	39.151924	11.544103	90.27895	25.477955	500.0	9.496989	1.7882233	11.961953	0.7005344	448000	7.450581e-09	7.5631022	-0.008057041	-1.0327414	1.3564423	0.0066083055	0.071375	127.0	689.6319417953491	0.0	0.1875	0.0	0.0	0.0
28	43.641926	21.255669	117.62258	26.773367	500.0	9.132107	1.5030965	11.437079	3.2899854	464000	0.0	17.983934	-0.008412964	-1.4466108	1.3564423	0.008660598	0.0779375	127.0	717.1277348995209	0.0	0.15625	0.0	0.0	0.0
29	39.11637	15.151401	116.03978	27.500422	500.0	10.11103	1.6515375	12.592671	3.6738617	480000	-7.450581e-09	10.391922	-0.008228328	-1.639306	1.3564423	0.0062569613	0.082875006	127.0	738.6752450466156	0.0	0.21875	0.0	0.0	0.0
30	43.92121	21.312239	111.5135	24.991251	500.0	8.781941	1.8821503	12.008543	-1.6597733	496000	3.7252903e-08	20.310333	-0.007817777	-1.5621103	1.3564423	0.008064462	0.08575	127.0	762.5873870849609	0.0	0.15625	0.0	0.0	0.0
31	48.836563	27.822699	123.316505	25.822737	500.0	10.185463	2.1352105	13.261486	0.5686729	512000	1.8626451e-08	32.58036	-0.008410893	-1.9211637	1.3564423	0.0061905026	0.081	127.0	790.0281918048859	0.0	0.40625	0.0	0.0	0.0
32	44.808064	23.530333	123.360886	28.32666	500.0	10.928148	2.2186	13.729422	0.99666035	528000	0.0	22.618279	-0.008490806	-1.4861457	1.3564423	0.009386463	0.075187504	127.0	813.2415273189545	0.0	0.28125	0.0	0.0	0.0
33	42.97178	21.177504	119.05997	27.129406	500.0	10.265068	1.931441	13.775245	1.7675312	544000	-1.6763806e-08	19.900097	-0.00923517	-1.3854262	1.3564423	0.009673156	0.083375	127.0	836.3645873069763	0.0	0.125	0.03125	0.0	0.0
34	38.26628	12.025264	101.07234	25.515837	500.0	9.548045	1.870003	13.600675	0.06283	560000	9.313226e-09	7.9795074	-0.008737732	-1.411144	1.3564423	0.0064720954	0.054875	127.0	862.5215682983398	0.0	0.0625	0.0	0.0	0.0
35	44.052086	22.243856	130.35089	26.7995	500.0	8.846673	1.5818605	13.215288	0.33029467	576000	2.2351742e-08	19.31102	-0.0075472295	-1.3547952	1.3564423	0.006588679	0.08087501	127.0	886.1191394329071	0.0	0.25	0.0	0.0	0.0
36	46.00484	25.19954	117.21718	29.423523	500.0	9.59481	1.6301055	14.293327	1.8321073	592000	7.450581e-09	23.552181	-0.00774173	-3.2385843	1.3564423	0.0070317998	0.0706875	127.0	907.9681098461151	0.0	0.21875	0.03125	0.0	0.0
37	50.251152	29.56362	125.61206	25.731537	500.0	10.397219	2.3653953	16.611992	-2.058246	608000	-2.4214387e-08	34.664585	-0.009273522	-4.3447757	1.3564423	0.0073050126	0.068312496	127.0	933.3972749710083	0.0	0.34375	0.0625	0.0	0.0
38	49.906204	25.714508	115.5886	25.587822	500.0	10.508692	3.0400076	17.820528	-1.509045	624000	-1.1175871e-08	29.996763	-0.008768305	-4.905862	1.3564423	0.0053662425	0.0670625	127.0	960.5642735958099	0.0	0.40625	0.0	0.0	0.0
39	44.817707	22.542912	121.79014	27.920668	500.0	11.13961	3.18872	18.152142	-0.191751	640000	0.0	21.857307	-0.009598924	-3.067504	1.3564423	0.007045734	0.078125	127.0	985.7352194786072	0.0	0.1875	0.0	0.0	0.0
40	46.039043	28.739798	126.057205	23.176073	500.0	11.216295	2.7737288	19.057156	2.58246	656000	1.4901161e-08	30.979908	-0.008783074	-3.5479894	1.3564423	0.00675889	0.06775	127.0	1010.7907211780548	0.0	0.25	0.0625	0.0	0.0
41	60.531837	35.388657	128.35327	27.11329	500.0	11.085037	3.7345347	19.422369	-13.284373	672000	5.5879354e-08	49.87484	-0.008255327	-8.972427	1.3564423	0.005381966	0.0664375	127.0	1033.9211564064026	0.0	0.5625	0.03125	0.0	0.0
42	49.83986	28.449371	133.43567	17.437525	500.0	12.83358	4.134935	21.571817	-0.46297133	688000	-2.9802322e-08	33.131992	-0.010474985	-5.701991	1.3564423	0.007856586	0.068312496	127.0	1062.762145280838	0.0	0.34375	0.0625	0.0	0.0
43	54.714844	33.755306	128.05876	21.19972	500.0	11.090614	3.7500327	21.492971	1.6872724	704000	0.0	39.181313	-0.008491593	-3.2648323	1.3564423	0.0069517875	0.064375	127.0	1090.6636891365051	0.0	0.375	0.0	0.0	0.0
44	55.915176	34.237217	126.709724	21.915972	500.0	13.165404	4.1573443	21.656275	0.86459434	720000	2.2351742e-08	43.841736	-0.00910761	-4.0474243	1.3564423	0.007412282	0.072	127.0	1117.9160442352295	0.0	0.40625	0.0	0.0	0.0
45	66.46438	42.061016	132.65804	25.328962	500.0	14.100163	4.35771	22.15764	1.6829122	736000	0.0	60.99524	-0.009661756	-9.658491	1.3564423	0.0065591466	0.073750004	127.0	1145.1475913524628	0.0	0.53125	0.0625	0.0	0.0
46	62.16565	40.565456	129.93199	24.142233	500.0	14.659944	5.108571	23.631495	-6.4617085	752000	1.3038516e-08	51.077568	-0.009054519	-5.1383934	1.3564423	0.0063144746	0.06712501	127.0	1171.7431154251099	0.0	0.4375	0.0	0.0	0.0
47	49.11989	32.224625	129.21191	27.644985	500.0	15.19851	5.516507	24.219162	0.17576723	768000	1.4901161e-08	60.322025	-0.00859474	-18.244926	1.3564423	0.006109069	0.066687495	127.0	1197.7395567893982	0.0	0.25	0.0	0.0	0.0
48	44.691456	32.086266	132.42924	22.601837	500.0	11.465099	3.5389056	21.279829	2.5820754	784000	2.2351742e-08	33.480587	-0.008964789	-5.6551113	1.3564423	0.005791101	0.0896875	127.0	1221.651911020279	0.0	0.1875	0.0	0.0	0.0
49	52.537453	35.734108	140.36053	26.533241	500.0	12.369185	4.1628194	23.382494	2.249224	800000	1.4901161e-08	51.398224	-0.0076495754	-2.0711555	1.3564423	0.006205056	0.063374996	127.0	1246.1883563995361	0.0	0.3125	0.0	0.0	0.0
50	57.621223	36.29158	131.2151	29.531357	500.0	11.281774	3.2908921	20.38748	3.9443622	816000	0.0	50.993965	-0.007770963	-5.2228293	1.3564423	0.0052503617	0.0636875	127.0	1271.289437532425	0.0	0.40625	0.0	0.0	0.0
51	59.732094	40.381374	130.34079	27.370518	500.0	14.498504	3.8685489	22.196087	5.6853976	832000	0.0	63.088593	-0.007889705	-3.6152663	1.3564423	0.007103796	0.065	127.0	1297.7357454299927	0.0	0.40625	0.0	0.0	0.0
52	51.808624	34.862774	135.91171	24.364529	500.0	14.177691	4.0435348	22.602076	3.57888	848000	-1.4901161e-08	55.476143	-0.008337691	-5.4764833	1.3564423	0.0057548312	0.066937506	127.0	1323.3770744800568	0.0	0.28125	0.0	0.0	0.0
53	47.954758	33.670525	130.43257	25.282825	500.0	13.109886	3.847523	21.891205	4.017317	864000	7.450581e-09	54.106514	-0.008872962	-8.238641	1.3564423	0.007541178	0.08	127.0	1348.0480353832245	0.0	0.15625	0.0	0.0	0.0
54	45.280266	26.930191	127.69674	27.089266	500.0	11.484393	2.4291294	18.830978	6.1085296	880000	4.0978193e-08	34.13288	-0.009326518	-3.4815	1.3564423	0.0074194362	0.088625	127.0	1372.974692106247	0.0	0.125	0.0	0.0	0.0
55	53.56636	31.617533	136.08374	27.789717	500.0	10.508004	1.4171022	15.708222	6.097793	896000	-1.4901161e-08	41.533585	-0.007685666	-2.5189004	1.3564423	0.008302001	0.0719375	127.0	1398.5628945827484	0.0	0.4375	0.0	0.0	0.0
56	50.645462	32.188015	131.80064	28.923254	500.0	12.141615	1.8835955	16.784513	6.494679	912000	7.450581e-09	44.551502	-0.007740968	-1.2690511	1.3564423	0.008028978	0.0844375	127.0	1424.121516942978	0.0	0.25	0.0	0.0	0.0
57	63.979195	43.93619	140.15451	24.471678	500.0	11.74702	1.7148652	15.3642025	5.6692166	928000	0.0	79.5341	-0.0087496005	-5.837456	1.3564423	0.0059646545	0.063374996	127.0	1447.068734407425	0.0	0.40625	0.0	0.0	0.0
58	59.724007	40.12241	139.46857	26.916348	500.0	13.662145	1.840451	17.89212	6.7167583	944000	2.2351742e-08	63.62342	-0.008431536	-1.9776962	1.3564423	0.008578156	0.0714375	127.0	1471.460064649582	0.0	0.4375	0.0	0.0	0.0
59	56.809742	40.288567	141.79639	28.842525	500.0	14.081108	3.053475	21.826197	4.923864	960000	2.2351742e-08	59.629517	-0.008310091	-0.94814926	1.3564423	0.007869889	0.0713125	127.0	1496.2899899482727	0.0	0.3125	0.0	0.0	0.0
60	52.324127	32.383057	130.89926	28.708721	500.0	13.989841	3.1176617	21.199026	5.0052176	976000	1.8626451e-08	43.761154	-0.007874918	-2.3441784	1.3564423	0.007568056	0.072437495	127.0	1525.0489332675934	0.0	0.1875	0.0	0.0	0.0
61	49.322823	29.565046	134.34492	27.95487	500.0	12.517763	2.7127814	19.540857	4.486268	992000	1.4901161e-08	35.64548	-0.008482842	-0.8498771	1.3564423	0.004802998	0.06925	127.0	1557.9146769046783	0.0	0.15625	0.0	0.0	0.0
