Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25218073	0.11477375	0.5795637	0.07503857	500.0	0.04014931	0.024489958	0.097292945	-0.043383382	16000	-7.450581e-09	0.0017260737	-0.0057641133	-0.0012003444	1.3564423	0.007155439	0.058562502	127.0	32.418819189071655	0.0	0.0	0.0	0.0	0.0
1	0.30469882	0.13170698	0.5592218	0.10469173	500.0	0.050246425	0.016643438	0.093232885	0.003841035	32000	3.7252903e-09	0.0007296337	-0.01012568	-0.00029227883	1.3564423	0.007173608	0.097	127.0	56.71357607841492	0.0	0.0	0.0	0.0	0.0
2	0.548599	0.22445211	0.95639217	0.19005246	500.0	0.070118085	0.017168757	0.11379386	0.0015230756	48000	-4.4703484e-08	0.0026187554	-0.014267941	-0.0012593649	1.3564423	0.008057191	0.124749996	127.0	82.41448926925659	0.0	0.0	0.0	0.0	0.0
3	0.9407824	0.45110798	2.153673	0.23330282	500.0	0.1293388	0.0255369	0.20265254	0.011688434	64000	-7.450581e-09	0.010765575	-0.009618778	-0.005857622	1.3564423	0.007445013	0.0940625	127.0	107.870920419693	0.0	0.0	0.0	0.0	0.0
4	1.0907974	0.42952833	1.855009	0.3527905	500.0	0.20060319	0.058141105	0.4291016	0.08354369	80000	7.450581e-09	0.009595193	-0.011757287	-0.004501948	1.3564423	0.009236136	0.11525001	127.0	133.16202974319458	0.0	0.0	0.0	0.0	0.0
5	2.8946404	2.0426238	9.919162	0.7871601	500.0	0.32342672	0.12350611	0.66026556	0.07525179	96000	-3.7252903e-09	0.33535174	-0.0063804244	-0.18036328	1.3564423	0.0054337373	0.0593125	127.0	159.4655191898346	0.0	0.0	0.0	0.0	0.0
6	4.951614	2.8667786	10.671523	0.6090984	500.0	0.8000891	0.4415362	1.921969	-0.13195577	112000	0.0	0.561314	-0.0064822584	-0.2876575	1.3564423	0.0060151336	0.072124995	127.0	190.71683430671692	0.0	0.0	0.0	0.0	0.0
7	8.556068	3.2516513	15.150289	1.25503	500.0	1.525447	0.83272296	3.4198396	-0.15872905	128000	-3.3527613e-08	1.113159	-0.007417289	-0.6500578	1.3564423	0.0068365037	0.079875	127.0	220.5640995502472	0.0	0.03125	0.0	0.0	0.0
8	12.425306	4.8122034	21.336716	4.6310053	500.0	2.6179473	1.3684728	5.175763	0.10571228	144000	-1.8626451e-08	1.620718	-0.008114021	-0.511329	1.3564423	0.006056226	0.0828125	127.0	248.64944744110107	0.0	0.0	0.0	0.0	0.0
9	15.193352	4.664552	25.2354	6.5264163	500.0	3.5061235	1.6335042	5.9812055	0.25958315	160000	3.7252903e-09	1.5182999	-0.008830316	-0.34690836	1.3564423	0.009280097	0.087875	127.0	278.57043719291687	0.0	0.0	0.0	0.0	0.0
10	19.74945	5.583591	30.538643	11.060589	500.0	4.5622816	1.7957668	6.977094	0.3057684	176000	7.450581e-09	1.9264417	-0.00812305	-0.2825525	1.3564423	0.0051713595	0.065874994	127.0	308.16435861587524	0.0	0.0	0.0	0.0	0.0
11	21.534882	6.1263733	36.12229	11.846133	500.0	5.0324483	1.6864848	6.9567704	0.5759927	192000	3.7252903e-09	1.9688786	-0.008860572	-0.15814072	1.3564423	0.0074510816	0.0733125	127.0	338.4540865421295	0.0	0.0	0.0	0.0	0.0
12	26.556564	11.090882	61.39103	12.643026	500.0	5.546383	1.7447652	7.437916	0.62403226	208000	-1.8626451e-08	6.593025	-0.0066441	-0.92577296	1.3564423	0.0076605068	0.072937496	127.0	367.0865652561188	0.0	0.09375	0.0	0.0	0.0
13	23.286913	10.684197	70.680305	12.616227	500.0	6.3696346	2.0324452	8.526945	0.71515304	224000	-7.450581e-09	6.274053	-0.006174562	-0.6568253	1.3564423	0.006898456	0.058375	127.0	396.18915820121765	0.0	0.09375	0.0	0.0	0.0
14	22.978838	7.150483	35.92898	9.088001	500.0	5.959237	1.8582361	8.251268	0.83242136	240000	2.2351742e-08	2.4400272	-0.008093478	-0.2617427	1.3564423	0.005425363	0.057625	127.0	423.43794989585876	0.0	0.0	0.0	0.0	0.0
15	23.235756	8.115417	36.08231	12.248686	500.0	5.784803	1.6361004	7.920766	1.2704651	256000	1.21071935e-08	3.1732326	-0.008218339	-0.34612447	1.3564423	0.0074336715	0.070875	127.0	451.25104808807373	0.0	0.0	0.0	0.0	0.0
16	26.266026	9.234742	57.149925	15.467131	500.0	5.7266374	1.3263395	7.5147295	0.6367741	272000	3.7252903e-09	3.7250772	-0.0067596342	-0.5929201	1.3564423	0.0058454666	0.0510625	127.0	479.06892108917236	0.0	0.03125	0.0	0.0	0.0
17	26.05642	7.556087	37.768063	14.150207	500.0	6.052148	1.7022942	8.515114	-0.03631874	288000	0.0	2.322505	-0.0077260863	-0.22336316	1.3564423	0.0052487836	0.050375	127.0	508.25237464904785	0.0	0.0	0.0	0.0	0.0
18	26.392122	8.007593	40.51319	14.62655	500.0	6.0287185	1.6590693	8.673841	0.9926034	304000	1.4901161e-08	1.9134585	-0.008163844	-0.3171866	1.3564423	0.007919094	0.053625003	127.0	535.1430854797363	0.0	0.0	0.0	0.0	0.0
19	29.827808	6.714638	40.00836	17.71892	500.0	6.2834435	1.762855	9.095374	1.1447964	320000	-3.7252903e-09	1.8272661	-0.009309323	-0.32948643	1.3564423	0.005769181	0.0654375	127.0	563.2533569335938	0.0	0.0625	0.0	0.0	0.0
20	31.302929	6.2099147	39.261414	19.729961	500.0	7.3141084	1.7339379	9.449363	1.406339	336000	-3.7252903e-09	1.5930777	-0.008255565	-0.10485343	1.3564423	0.0052419184	0.05	127.0	592.5062744617462	0.0	0.0	0.0	0.0	0.0
21	29.325468	7.1813965	40.54071	16.937725	500.0	7.335413	1.6956191	9.62352	1.8053999	352000	7.450581e-09	1.8067958	-0.008188227	-0.35226277	1.3564423	0.0043249466	0.0488125	127.0	622.0043137073517	0.0	0.0	0.0	0.0	0.0
22	30.077488	6.427643	40.77577	18.234018	500.0	7.0992227	1.653829	9.516773	1.6784796	368000	3.7252903e-09	1.6049683	-0.01093839	-0.2001311	1.3564423	0.008602828	0.082375005	127.0	648.8107318878174	0.0	0.0	0.0	0.0	0.0
23	32.27564	7.1992335	50.2263	19.586485	500.0	7.019502	1.8330435	9.4531145	1.9899015	384000	7.450581e-09	2.2849038	-0.007851286	-0.33521295	1.3564423	0.005100337	0.053875003	127.0	676.7548236846924	0.0	0.03125	0.0	0.0	0.0
24	32.95696	7.3346925	41.17787	12.537061	500.0	7.3720665	1.7385269	9.61935	2.2964554	400000	-2.6077032e-08	1.4506125	-0.008292531	-0.2977283	1.3564423	0.006928037	0.0653125	127.0	704.5253021717072	0.0	0.0	0.0	0.0	0.0
25	33.057884	6.769748	41.540863	17.86881	500.0	7.730451	1.7088205	10.169084	2.4826195	416000	0.0	1.1082711	-0.008177442	-0.14319655	1.3564423	0.0061848913	0.0559375	127.0	734.0634045600891	0.0	0.0	0.0	0.0	0.0
