Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.051754642	0.038745273	0.16712046	0.0076986607	500.0	0.002983936	0.030422818	0.09546709	-0.05596982	16000	-5.5879354e-09	0.0007501851	-0.008202225	-0.00064419024	1.3564423	0.0067476295	0.077250004	127.0	21.4839928150177	0.0	0.0	0.0	0.0	0.0
1	0.07619774	0.05220945	0.21043095	0.01280124	500.0	0.013786556	0.0068718814	0.036736824	-0.012875013	32000	1.8626451e-08	0.00010264561	-0.009300521	-4.8372327e-05	1.3564423	0.006375442	0.083875	127.0	40.91153955459595	0.0	0.0	0.0	0.0	0.0
2	0.16103905	0.15037611	0.63213235	0.019443087	500.0	0.019438915	0.007190014	0.044519253	-0.00095836073	48000	-4.0978193e-08	0.0007983891	-0.007959141	-0.00048842374	1.3564423	0.0068035373	0.088062495	127.0	60.85571098327637	0.0	0.0	0.0	0.0	0.0
3	0.44280803	0.41322356	1.9505804	0.017017415	500.0	0.05262596	0.02472902	0.13376838	-0.013725037	64000	-2.9802322e-08	0.007069757	-0.0077928053	-0.0037006775	1.3564423	0.0097833965	0.1005	127.0	78.49906253814697	0.0	0.0	0.0	0.0	0.0
4	0.821965	0.5085162	1.9783069	0.108657174	500.0	0.14229672	0.06047326	0.3196762	-0.03375397	80000	1.4901161e-08	0.013383557	-0.009464913	-0.0070422576	1.3564423	0.007414297	0.095937505	127.0	98.24515390396118	0.0	0.0	0.0	0.0	0.0
5	1.5424383	0.95332175	5.250336	0.35099185	500.0	0.25472796	0.1179968	0.663441	-0.07787191	96000	0.0	0.052193522	-0.008659812	-0.029822463	1.3564423	0.008559897	0.112937495	127.0	116.61554265022278	0.0	0.0	0.0	0.0	0.0
6	4.5087643	3.0723677	14.779411	1.1046426	500.0	0.55370104	0.26440594	1.1872374	-0.20519298	112000	-1.1175871e-08	0.7419389	-0.0045425547	-0.38913247	1.3564423	0.004261948	0.0505625	127.0	135.96717762947083	0.0	0.0	0.0	0.0	0.0
7	4.5305467	2.2184117	11.763507	1.17594	500.0	1.1907659	0.63971436	2.8454478	-0.41650894	128000	-2.6077032e-08	0.2842537	-0.008557817	-0.0948583	1.3564423	0.007205114	0.0883125	127.0	155.09445238113403	0.0	0.0	0.0	0.0	0.0
8	7.691472	4.437455	17.303888	1.4505357	500.0	1.6029744	0.82808745	3.3772073	-0.27164215	144000	1.4901161e-08	1.1689428	-0.006730525	-0.36786067	1.3564423	0.0064383624	0.0831875	127.0	175.0558021068573	0.0	0.0	0.0	0.0	0.0
9	8.668154	4.240894	19.627476	2.8068247	500.0	2.4294658	1.395955	5.0042872	-0.6575013	160000	2.2351742e-08	1.1064937	-0.008021859	-0.2352317	1.3564423	0.0071816836	0.068812504	127.0	193.65486216545105	0.0	0.0	0.0	0.0	0.0
10	11.31543	6.3088465	27.39113	1.9846436	500.0	2.8708658	1.5315071	5.3823295	-0.19282201	176000	1.4901161e-08	2.2051497	-0.00746495	-0.32254612	1.3564423	0.006372738	0.086125	127.0	212.69835591316223	0.0	0.0	0.0	0.0	0.0
11	17.307646	5.73725	30.922709	6.41359	500.0	3.5260894	1.5606283	5.908345	-0.034734223	192000	-1.1175871e-08	3.13008	-0.0086361375	-1.0956254	1.3564423	0.0060895905	0.080312505	127.0	232.28856801986694	0.0	0.0	0.0	0.0	0.0
12	20.048698	7.2351227	31.771793	6.871497	500.0	4.4017463	1.7713802	6.844813	-0.056578215	208000	9.313226e-10	2.7510476	-0.008509762	-0.5971159	1.3564423	0.0074822125	0.0773125	127.0	253.75588369369507	0.0	0.0	0.0	0.0	0.0
13	20.037102	8.464662	40.69299	7.800034	500.0	5.1140947	2.057825	7.7618737	-0.47130138	224000	-3.7252903e-09	3.8329916	-0.006532765	-0.49066603	1.3564423	0.0073465523	0.0525	127.0	275.45179295539856	0.0	0.0625	0.0	0.0	0.0
14	21.05293	8.872351	37.33563	8.630565	500.0	5.5984044	1.9477768	8.196699	-0.4649725	240000	-3.7252903e-09	3.680097	-0.007854602	-1.0009	1.3564423	0.005084423	0.049624998	127.0	294.3382315635681	0.0	0.0	0.0	0.0	0.0
15	23.831545	9.36177	43.78833	8.931655	500.0	5.4815607	2.00042	9.006963	-0.75620323	256000	0.0	3.7510915	-0.0071758376	-0.9495006	1.3564423	0.0056801797	0.046249997	127.0	315.233523607254	0.0	0.0	0.0	0.0	0.0
16	23.661905	10.71911	45.949585	8.227965	500.0	6.1729927	2.0845115	10.108664	-0.5365373	272000	2.2351742e-08	4.3573556	-0.0068855686	-1.8469747	1.3564423	0.0055346065	0.053375	127.0	337.64306902885437	0.0	0.0	0.0	0.0	0.0
17	24.82412	10.331915	40.77783	6.801938	500.0	5.7245784	2.5548322	10.330295	-1.4069024	288000	-2.2351742e-08	2.931529	-0.007225003	-0.8474876	1.3564423	0.006468612	0.052	127.0	358.5249903202057	0.0	0.03125	0.0	0.0	0.0
18	23.252356	11.038119	46.765514	8.336547	500.0	5.7243466	3.0437102	13.039445	-0.8587348	304000	3.7252903e-09	2.5693638	-0.009584611	-0.80856866	1.3564423	0.006217556	0.067312494	127.0	379.52397537231445	0.0	0.0	0.0	0.0	0.0
19	28.000439	12.021637	48.093575	4.954688	500.0	6.2439075	2.6415515	11.466055	-0.07666787	320000	0.0	2.9302607	-0.0078078215	-0.75966763	1.3564423	0.0061254343	0.0628125	127.0	398.32861518859863	0.0	0.0	0.0	0.0	0.0
20	28.161905	16.500484	82.41314	8.188594	500.0	6.025559	2.557718	11.731054	-0.116433874	336000	1.1175871e-08	9.0633	-0.007833423	-1.6722798	1.3564423	0.0056255152	0.08	127.0	421.38530564308167	0.0	0.21875	0.0	0.0	0.0
21	26.75316	8.882951	42.854523	7.818917	500.0	7.3348527	3.12773	13.017476	-0.061037317	352000	3.3527613e-08	5.0246606	-0.008774057	-2.396143	1.3564423	0.006368556	0.07	127.0	443.08326053619385	0.0	0.09375	0.0	0.0	0.0
22	27.151485	11.910957	77.69964	3.2844253	500.0	6.790086	2.6165876	12.05453	0.6089122	368000	-1.8626451e-09	6.205029	-0.007941653	-1.4311167	1.3564423	0.009680398	0.0754375	127.0	464.2692918777466	0.0	0.0625	0.0	0.0	0.0
23	32.1151	15.213859	90.23926	15.077866	500.0	6.8519545	2.4487367	11.151773	1.0962313	384000	-1.4901161e-08	10.008793	-0.00781984	-1.212659	1.3564423	0.007779919	0.0816875	127.0	486.0059554576874	0.0	0.09375	0.0	0.0	0.0
24	28.765436	7.9454246	45.38491	14.288053	500.0	6.70986	2.3774362	11.554332	1.460656	400000	0.0	2.052509	-0.009042171	-0.57670766	1.3564423	0.006360098	0.073062494	127.0	505.1735599040985	0.0	0.0625	0.0	0.0	0.0
25	34.824677	16.16812	105.093636	8.998467	500.0	7.359666	2.2155757	11.129122	1.5305965	416000	2.9802322e-08	10.147287	-0.008901068	-1.2824802	1.3564423	0.0066600824	0.083875	127.0	524.4578363895416	0.0	0.1875	0.0	0.0	0.0
26	34.51109	12.827927	80.83787	9.361972	500.0	7.6884894	2.3292334	12.4337	1.4092898	432000	0.0	7.329546	-0.008786247	-1.4166139	1.3564423	0.00803176	0.0771875	127.0	547.029935836792	0.0	0.21875	0.0	0.0	0.0
27	31.984589	7.706339	49.27759	16.931215	500.0	7.7431297	2.2995648	12.7020235	1.8668752	448000	-2.9802322e-08	3.2918515	-0.009202965	-0.849859	1.3564423	0.006294516	0.079125	127.0	568.6890516281128	0.0	0.09375	0.0	0.0	0.0
28	35.051765	9.462866	57.276093	13.913221	500.0	8.391436	2.3265793	13.020247	2.5064714	464000	2.9802322e-08	4.0541873	-0.010268036	-0.93151426	1.3564423	0.008753445	0.085250005	127.0	589.5730712413788	0.0	0.21875	0.0	0.0	0.0
29	39.017708	14.475342	88.803986	21.917187	500.0	8.54975	2.1020887	11.711977	2.2957907	480000	1.44355e-08	8.995767	-0.0074621416	-1.2274082	1.3564423	0.006404391	0.0676875	127.0	608.3503594398499	0.0	0.25	0.0	0.0	0.0
30	37.936394	15.898831	86.78116	20.493977	500.0	8.401286	2.8154435	13.296362	1.8184052	496000	-2.9802322e-08	10.16989	-0.0067571336	-1.3313123	1.3564423	0.0071572196	0.058	127.0	630.7144145965576	0.0	0.3125	0.0	0.0	0.0
31	33.546814	13.911905	80.20465	15.072502	500.0	8.40935	2.5805383	13.162973	1.7610626	512000	-2.6077032e-08	6.338787	-0.0074187596	-1.2505748	1.3564423	0.008017268	0.06425001	127.0	651.1401855945587	0.0	0.3125	0.0	0.0	0.0
32	42.4279	17.106049	92.94118	12.775489	500.0	9.089509	3.528762	15.529051	0.57064956	528000	-3.7252903e-09	12.257526	-0.010331523	-2.1098704	1.3564423	0.0077531203	0.0876875	127.0	671.1281049251556	0.0	0.4375	0.0	0.0	0.0
33	33.240715	10.567109	72.07188	12.068798	500.0	10.014435	3.567423	15.135235	0.19975746	544000	0.0	10.812231	-0.008461286	-5.7242064	1.3564423	0.006823299	0.0691875	127.0	691.0520060062408	0.0	0.125	0.0	0.0	0.0
34	46.943268	22.678259	111.94496	14.095634	500.0	8.688414	2.5641115	12.544143	1.7739168	560000	1.4901161e-08	28.039421	-0.007990085	-5.298573	1.3564423	0.007803892	0.0818125	127.0	711.0863630771637	0.0	0.34375	0.0	0.0	0.0
35	50.112835	26.421112	120.11627	27.136368	500.0	10.68244	2.908392	13.983987	2.7119498	576000	0.0	29.673773	-0.0071826554	-2.160569	1.3564423	0.007771693	0.060562503	127.0	732.3220012187958	0.0	0.3125	0.0	0.0	0.0
36	39.929413	13.749482	96.89577	20.15955	500.0	11.168187	3.1958737	15.152446	2.9462087	592000	-1.1175871e-08	12.348787	-0.008281937	-4.374353	1.3564423	0.007474211	0.07	127.0	752.0934479236603	0.0	0.21875	0.0	0.0	0.0
37	38.707733	14.910246	95.82744	18.273127	500.0	9.529868	2.9874852	13.6433735	2.501284	608000	-7.450581e-09	11.616851	-0.008065308	-0.74808025	1.3564423	0.0068044565	0.074562505	127.0	772.1231281757355	0.0	0.15625	0.0	0.0	0.0
38	45.470272	23.203068	111.24813	21.833914	500.0	9.880117	2.8248215	14.334561	2.340332	624000	2.9802322e-08	26.289988	-0.0079288045	-2.1957388	1.3564423	0.005500907	0.07275	127.0	792.6939358711243	0.0	0.3125	0.0	0.0	0.0
39	45.501564	22.827257	125.789474	20.659378	500.0	10.979325	3.103784	14.261182	2.598014	640000	-1.4901161e-08	22.72961	-0.008384312	-0.80224806	1.3564423	0.009258436	0.08500001	127.0	816.4469735622406	0.0	0.375	0.0	0.0	0.0
40	44.82409	23.180923	112.44886	23.037397	500.0	10.465488	2.791408	14.006485	3.184702	656000	-1.4901161e-08	24.093328	-0.008588469	-1.7595495	1.3564423	0.006984971	0.085062504	127.0	836.6514871120453	0.0	0.3125	0.0	0.0	0.0
41	44.43442	20.280508	126.126114	28.061054	500.0	11.20165	3.062588	14.885234	3.224888	672000	2.2351742e-08	18.122948	-0.008580481	-1.4959733	1.3564423	0.009057892	0.0811875	127.0	856.4337220191956	0.0	0.1875	0.0	0.0	0.0
42	41.040524	16.47329	127.28576	24.896917	500.0	10.178924	2.4627368	13.775627	3.385542	688000	-1.4901161e-08	12.188342	-0.009357354	-2.0294385	1.3564423	0.007696299	0.0805625	127.0	878.1294696331024	0.0	0.3125	0.0	0.0	0.0
43	45.875732	23.398645	128.096	18.577366	500.0	9.725171	2.498271	13.091572	3.0321593	704000	2.4214387e-08	22.64674	-0.009013442	-2.271826	1.3564423	0.008682426	0.095874995	127.0	898.4480068683624	0.0	0.3125	0.0	0.0	0.0
44	44.114304	20.66934	122.70793	25.041006	500.0	10.710177	2.7863975	14.0618925	3.0212214	720000	2.2351742e-08	18.771173	-0.0056022843	-2.3096235	1.3564423	0.007123513	0.0658125	127.0	918.267231464386	0.0	0.28125	0.0	0.0	0.0
45	53.543457	29.711637	127.8344	30.612396	500.0	10.307178	2.8506749	13.957952	3.0934746	736000	-5.5879354e-09	39.018364	-0.0073196646	-5.4848967	1.3564423	0.0060602743	0.065625	127.0	938.6439294815063	0.0	0.40625	0.0	0.0	0.0
46	42.174767	11.929583	102.46243	26.313347	500.0	12.022223	3.2632072	16.038496	3.471659	752000	7.450581e-09	14.028365	-0.007974675	-6.5134945	1.3564423	0.007772241	0.0681875	127.0	959.2202363014221	0.0	0.21875	0.0	0.0	0.0
47	47.88569	21.032017	113.4599	17.529104	500.0	9.99109	2.5562	13.046462	3.1641223	768000	1.8626451e-08	22.580853	-0.0072391983	-2.8318903	1.3564423	0.008455866	0.0776875	127.0	978.6819355487823	0.0	0.5	0.0	0.0	0.0
48	41.327248	17.302265	128.03424	8.06695	500.0	11.141538	3.0781655	15.325648	3.5476902	784000	-2.2351742e-08	12.496817	-0.008399909	-2.2908618	1.3564423	0.008063188	0.0740625	127.0	998.8520574569702	0.0	0.3125	0.0	0.0	0.0
