Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.1358415	0.12570278	0.4301985	0.011848853	500.0	0.04177137	0.022618651	0.094802015	-0.02209562	16000	-1.1175871e-08	0.001109781	-0.0091093425	-0.00069019565	1.3564423	0.006989875	0.0795	127.0	26.118528127670288	0.0	0.0	0.0	0.0	0.0
1	0.3206033	0.3090252	1.2928139	0.02733393	500.0	0.041427217	0.010028679	0.06833445	-0.0020907633	32000	1.1175871e-08	0.0029597867	-0.007273688	-0.0016201831	1.3564423	0.006091386	0.07125	127.0	48.21800971031189	0.0	0.0	0.0	0.0	0.0
2	0.6085	0.58874184	2.2437694	0.073361486	500.0	0.07915059	0.02568136	0.16088004	0.020864148	48000	1.1175871e-08	0.011978133	-0.006640413	-0.0074054403	1.3564423	0.006184946	0.07625	127.0	70.29735946655273	0.0	0.0	0.0	0.0	0.0
3	1.5603064	1.6959945	8.359389	0.08170582	500.0	0.18909848	0.10424645	0.46430245	-0.053771485	64000	0.0	0.113334395	-0.005638686	-0.052424077	1.3564423	0.008190274	0.0911875	127.0	94.7132089138031	0.0	0.0	0.0	0.0	0.0
4	2.9751587	2.5705805	12.781715	0.13095205	500.0	0.4835147	0.28462207	1.2496485	-0.18852906	80000	-7.450581e-09	0.30878285	-0.0069747344	-0.15143943	1.3564423	0.007809241	0.094	127.0	115.83846139907837	0.0	0.0	0.0	0.0	0.0
5	5.7530427	3.9940133	16.41891	0.7281884	500.0	0.8341718	0.49275118	2.0270615	-0.26398748	96000	1.8626451e-08	1.01431	-0.0072983243	-0.49515706	1.3564423	0.007651354	0.092125	127.0	141.60408425331116	0.0	0.0	0.0	0.0	0.0
6	13.161988	7.7253575	31.09925	2.8718965	500.0	1.8026729	0.8310999	3.4314442	-0.46913594	112000	7.450581e-09	4.1683235	-0.00566793	-2.0088186	1.3564423	0.004741339	0.057875	127.0	163.62673544883728	0.0	0.0	0.0	0.0	0.0
7	14.328455	8.296848	28.980059	2.0184355	500.0	3.117232	1.4108858	5.836592	-0.9265681	128000	-1.8626451e-08	3.2499604	-0.0062057343	-1.5066836	1.3564423	0.005830703	0.0665	127.0	189.9289906024933	0.0	0.0	0.0	0.0	0.0
8	20.238003	8.593178	35.66564	2.8296163	500.0	4.1018896	2.0070484	8.586684	-1.7634797	144000	2.6077032e-08	3.6382203	-0.009044423	-1.1108286	1.3564423	0.0069552036	0.0768125	127.0	213.6998963356018	0.0	0.0	0.0	0.0	0.0
9	18.421345	7.182934	35.986046	8.381026	500.0	4.9329543	2.4597974	8.825662	-1.6042017	160000	-9.313226e-09	3.1849165	-0.009106014	-0.2519325	1.3564423	0.00765753	0.0735	127.0	238.38771152496338	0.0	0.0	0.0	0.0	0.0
10	23.243443	7.726807	44.387535	8.281797	500.0	6.02185	2.3416197	9.115623	-0.6020426	176000	-1.4901161e-08	3.7796504	-0.0071001747	-0.42174768	1.3564423	0.004735629	0.06275	127.0	260.4686276912689	0.0	0.0	0.0	0.0	0.0
11	22.048807	7.963383	41.307926	10.095477	500.0	6.2116075	2.0758736	8.470897	-0.6092258	192000	7.450581e-09	5.23148	-0.007515303	-0.9303524	1.3564423	0.0064164074	0.0591875	127.0	283.4759900569916	0.0	0.0	0.0	0.0	0.0
12	21.79014	9.168207	42.028103	5.7888384	500.0	5.889971	1.4097505	7.479187	0.48950917	208000	1.3038516e-08	5.6544976	-0.0073343557	-0.73185354	1.3564423	0.0065398794	0.066125005	127.0	306.5518181324005	0.0	0.03125	0.0	0.0	0.0
13	24.85072	7.878136	40.818222	13.092717	500.0	5.3990617	1.0392401	6.8138127	1.5872301	224000	-7.450581e-09	5.0339046	-0.00680709	-0.42861623	1.3564423	0.0070559205	0.0468125	127.0	340.97718811035156	0.0	0.0	0.0	0.0	0.0
14	27.41846	16.512568	102.6688	14.121566	500.0	5.876094	1.0525823	7.0542173	0.8245505	240000	-2.6077032e-08	13.639753	-0.006766528	-0.7273545	1.3564423	0.006362552	0.0485	127.0	374.67931747436523	0.0	0.0625	0.0	0.0	0.0
15	24.98207	9.470322	47.379597	12.090459	500.0	6.21336	0.9101051	7.5256457	1.5502732	256000	2.9802322e-08	6.504887	-0.0072307773	-0.86085457	1.3564423	0.0073244907	0.06275	127.0	410.0041301250458	0.0	0.0	0.0	0.0	0.0
16	27.074158	9.591303	48.220764	15.6462	500.0	5.7083845	0.8787148	7.2214537	1.6184378	272000	2.2351742e-08	5.6897917	-0.0075616087	-0.6813984	1.3564423	0.007253123	0.0604375	127.0	434.2295322418213	0.0	0.03125	0.0	0.0	0.0
17	31.524796	9.07182	49.96317	15.049877	500.0	6.056634	1.2128469	7.8409953	0.94811434	288000	-3.7252903e-08	5.4539833	-0.007825192	-1.4892385	1.3564423	0.0075591747	0.0624375	127.0	455.54188299179077	0.0	0.0	0.0	0.0	0.0
18	31.820177	10.507498	49.579224	15.853207	500.0	7.038497	1.620381	9.08662	-0.5316744	304000	4.0978193e-08	6.114473	-0.007744054	-0.87229717	1.3564423	0.008877347	0.068875	127.0	479.47209787368774	0.0	0.0625	0.0	0.0	0.0
19	36.70543	16.200432	107.23138	17.381466	500.0	6.780544	1.8661937	9.004798	-0.6517158	320000	1.4901161e-08	11.901688	-0.007494312	-1.7730849	1.3564423	0.0060127955	0.0594375	127.0	504.9073679447174	0.0	0.15625	0.0	0.0	0.0
20	33.493065	10.725664	48.01478	16.55143	500.0	7.753021	2.1959746	10.04963	-1.0668614	336000	-1.1175871e-08	5.3413777	-0.007284226	-1.1809607	1.3564423	0.005594951	0.048687503	127.0	529.0776615142822	0.0	0.0	0.0	0.0	0.0
21	33.01207	10.903425	51.009315	16.532118	500.0	7.5634346	1.5784793	9.92258	2.1958795	352000	1.4901161e-08	5.653014	-0.007179832	-1.7939887	1.3564423	0.0052206824	0.052625	127.0	552.4968433380127	0.0	0.0	0.0	0.0	0.0
22	38.656948	11.039058	68.44641	16.750788	500.0	7.1810946	1.8609935	10.058358	2.0600603	368000	7.450581e-09	6.968823	-0.008799826	-2.0710158	1.3564423	0.007791453	0.077250004	127.0	576.542275428772	0.0	0.125	0.0	0.0	0.0
23	36.136826	8.560165	47.64622	14.803187	500.0	7.9703684	2.5443408	11.493789	-2.865509	384000	-1.4901161e-08	2.0712085	-0.01026884	-0.34562942	1.3564423	0.00714566	0.081625	127.0	599.0039439201355	0.0	0.0	0.0	0.0	0.0
24	36.899673	16.243101	91.410576	17.215502	500.0	7.599551	2.5575898	11.140057	-1.0195502	400000	-1.4901161e-08	9.517708	-0.008822633	-1.674703	1.3564423	0.006776589	0.09137499	127.0	625.3148422241211	0.0	0.15625	0.0	0.0	0.0
25	37.23832	16.633024	93.04925	19.010141	500.0	8.589078	2.6084437	12.603689	2.17373	416000	1.1175871e-08	9.952964	-0.0103288265	-2.2334344	1.3564423	0.009654316	0.089375004	127.0	648.5319843292236	0.0	0.09375	0.0	0.0	0.0
26	40.26546	13.910414	78.946655	20.480616	500.0	9.189943	2.6855597	13.5676985	0.41926596	432000	-1.4901161e-08	6.3283362	-0.008718963	-0.8957435	1.3564423	0.0074789957	0.088375	127.0	674.3857295513153	0.0	0.21875	0.0	0.0	0.0
27	39.19115	12.198737	69.00968	20.522892	500.0	9.388504	2.6624124	14.154412	3.2061493	448000	1.8626451e-08	5.562936	-0.011610426	-2.3672917	1.3564423	0.007990194	0.1025625	127.0	699.0029780864716	0.0	0.1875	0.0	0.0	0.0
28	48.372467	14.73699	96.37321	29.026342	500.0	10.531748	2.8127046	14.607512	0.4261371	464000	1.8626451e-08	10.819708	-0.008919103	-1.8246129	1.3564423	0.008393919	0.078	127.0	727.3544461727142	0.0	0.21875	0.0	0.0	0.0
29	40.255276	7.806383	54.03595	26.016901	500.0	10.50525	2.8607304	14.874509	2.8071792	480000	-3.3527613e-08	2.9890542	-0.009466898	-1.7177311	1.3564423	0.0057338616	0.0765	127.0	751.360280752182	0.0	0.0625	0.0	0.0	0.0
30	43.17311	9.457911	61.61648	25.947954	500.0	9.90791	2.7461798	14.356374	-0.31328237	496000	-7.450581e-09	3.6575181	-0.009296248	-1.0428212	1.3564423	0.006211567	0.06875	127.0	775.6343364715576	0.0	0.21875	0.0	0.0	0.0
31	42.166775	11.401157	87.5182	26.548506	500.0	9.754443	2.4956267	13.957548	2.84072	512000	-3.7252903e-09	5.734524	-0.009714344	-0.99133104	1.3564423	0.009934165	0.098	127.0	800.6011579036713	0.0	0.21875	0.0	0.0	0.0
32	44.50666	10.399411	89.12129	27.928429	500.0	10.257193	3.656882	14.8214245	-0.2525714	528000	-1.4901161e-08	4.4530897	-0.010639997	-0.90105903	1.3564423	0.008396278	0.0924375	127.0	825.669843673706	0.0	0.1875	0.0	0.0	0.0
33	44.847538	8.342074	64.282936	27.420086	500.0	10.168904	2.6083791	14.163933	3.6925113	544000	-1.4901161e-08	1.8443935	-0.010684118	-0.34406486	1.3564423	0.007486534	0.08425	127.0	851.1788651943207	0.0	0.3125	0.0	0.0	0.0
34	44.469917	9.069628	69.04865	27.761684	500.0	9.842657	3.6980658	14.35144	-4.4614463	560000	3.7252903e-09	3.4406192	-0.009780616	-1.0602367	1.3564423	0.006346641	0.0891875	127.0	873.6794240474701	0.0	0.1875	0.0	0.0	0.0
