Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.04641509	0.036832985	0.16745064	0.0077188434	500.0	0.0025262914	0.03039163	0.09556194	-0.057999425	16000	-1.4901161e-08	0.0007432671	-0.00787724	-0.00063212274	1.3564423	0.0066333143	0.077375	127.0	21.859671354293823	0.0	0.0	0.0	0.0	0.0
1	0.07976843	0.049506247	0.20924379	0.013948014	500.0	0.0123818815	0.006285729	0.033784118	-0.011919159	32000	1.3969839e-08	9.8989316e-05	-0.009680925	-5.11439e-05	1.3564423	0.006712133	0.089687504	127.0	43.68557024002075	0.0	0.0	0.0	0.0	0.0
2	0.16227084	0.13543639	0.58241695	0.02493435	500.0	0.020090973	0.0068993466	0.04168082	-0.005088687	48000	-1.4901161e-08	0.00064461934	-0.008497188	-0.00037321934	1.3564423	0.0072802277	0.09075	127.0	62.23637080192566	0.0	0.0	0.0	0.0	0.0
3	0.38664758	0.31629342	1.229289	0.015829517	500.0	0.047532197	0.022300297	0.10978689	-0.0051494706	64000	7.450581e-09	0.00421274	-0.009131137	-0.0023254026	1.3564423	0.010283804	0.10675	127.0	84.17328333854675	0.0	0.0	0.0	0.0	0.0
4	0.7654052	0.4857557	2.5468893	0.15963213	500.0	0.12966962	0.0541302	0.2835359	-0.026812535	80000	-1.8626451e-08	0.011712451	-0.009773516	-0.0062317215	1.3564423	0.007620697	0.099	127.0	103.87261772155762	0.0	0.0	0.0	0.0	0.0
5	1.4077781	0.81862843	3.600822	0.3588379	500.0	0.22490518	0.10684636	0.56474304	-0.092988946	96000	-1.8626451e-08	0.040490866	-0.007837588	-0.021730978	1.3564423	0.006606724	0.092374995	127.0	122.5008897781372	0.0	0.0	0.0	0.0	0.0
6	2.192154	0.99902767	4.9117913	0.7090694	500.0	0.41411805	0.18638241	0.85450697	-0.22481547	112000	-1.4901161e-08	0.045507234	-0.008906409	-0.018939123	1.3564423	0.00616537	0.089375	127.0	143.43394708633423	0.0	0.0	0.0	0.0	0.0
7	2.9113054	2.262839	11.577201	0.66741425	500.0	0.60064626	0.25253865	1.2322315	-0.14351824	128000	2.2351742e-08	0.21480785	-0.004467345	-0.080268964	1.3564423	0.0064752204	0.07143749	127.0	176.12177872657776	0.0	0.0	0.0	0.0	0.0
8	3.3275092	2.444937	10.040898	0.54712856	500.0	0.8924871	0.5996745	2.7428412	-0.3755468	144000	-2.0489097e-08	0.11869596	-0.010466314	-0.037121255	1.3564423	0.0069101276	0.098124996	127.0	207.35789561271667	0.0	0.0	0.0	0.0	0.0
9	4.8823023	5.217183	20.956457	0.4569955	500.0	1.1799052	0.7191077	2.8415217	-0.5322318	160000	-3.7252903e-09	0.9958397	-0.0063419454	-0.24364951	1.3564423	0.007673299	0.08925	127.0	235.05610251426697	0.0	0.0	0.0	0.0	0.0
10	8.715548	7.20328	25.510931	0.9737448	500.0	1.7436513	1.2224114	4.5922775	-1.2712289	176000	-3.7252903e-09	1.8108042	-0.0073104138	-0.584774	1.3564423	0.006803171	0.0825625	127.0	258.44393134117126	0.0	0.0	0.0	0.0	0.0
11	9.682958	7.858232	24.634926	0.5566798	500.0	2.303945	1.7189842	6.475064	-1.8709805	192000	-7.450581e-09	1.4905136	-0.0066828914	-0.2632163	1.3564423	0.0045661004	0.0528125	127.0	277.3369212150574	0.0	0.0	0.0	0.0	0.0
12	10.029722	7.491979	30.794884	0.48299488	500.0	2.7082598	2.0752785	8.00224	-2.2603965	208000	0.0	1.3520148	-0.0083246445	-0.1692036	1.3564423	0.00769451	0.063999996	127.0	297.0353195667267	0.0	0.0	0.0	0.0	0.0
13	14.388906	13.40358	71.96939	0.6212098	500.0	3.5178144	1.9587446	8.181706	-1.6439887	224000	0.0	8.033159	-0.0055562053	-0.70707333	1.3564423	0.006826395	0.0535625	127.0	319.8771688938141	0.0	0.125	0.0	0.0	0.0
14	13.326146	8.728623	41.59799	0.5609011	500.0	3.6245236	2.247549	9.662649	-2.4365327	240000	-1.1175871e-08	2.810671	-0.006641633	-0.5893737	1.3564423	0.0057781665	0.04875	127.0	338.7114202976227	0.0	0.03125	0.0	0.0	0.0
15	9.800804	7.228166	25.849907	0.6118564	500.0	3.0552542	1.8958822	6.823886	-1.9805778	256000	1.8626451e-08	1.8154452	-0.006028528	-0.65064454	1.3564423	0.0039460324	0.0435	127.0	359.17256331443787	0.0	0.0	0.0	0.0	0.0
16	10.238151	6.916037	26.21274	0.3066329	500.0	2.8272665	1.5044603	6.130494	-1.4299954	272000	-3.7252903e-09	1.5220274	-0.00701984	-0.25413367	1.3564423	0.0049395375	0.0524375	127.0	379.85439014434814	0.0	0.0625	0.0	0.0	0.0
17	15.437175	8.786985	43.987812	0.8428758	500.0	2.7939026	1.3915247	5.6032834	-1.7059771	288000	1.4901161e-08	2.668398	-0.0061766356	-0.89542186	1.3564423	0.00561799	0.0516875	127.0	400.08806896209717	0.0	0.0	0.0	0.0	0.0
18	15.079865	6.137763	25.668798	1.0137902	500.0	3.835514	1.3337445	7.0901985	-1.0290755	304000	2.6077032e-08	1.6759903	-0.0074831806	-0.22367395	1.3564423	0.005622353	0.0601875	127.0	420.23985481262207	0.0	0.0	0.0	0.0	0.0
19	16.065893	6.82992	33.390514	1.1064831	500.0	3.4672894	1.3852738	6.7513423	-1.1970676	320000	-1.1175871e-08	1.7171835	-0.006894164	-0.34336954	1.3564423	0.005427276	0.0496875	127.0	440.38902282714844	0.0	0.03125	0.0	0.0	0.0
20	20.365013	9.842697	42.699707	1.0907074	500.0	4.207836	1.7611784	9.250061	-1.4369478	336000	3.7252903e-09	3.5954838	-0.008448886	-0.8225551	1.3564423	0.00661862	0.062625	127.0	461.4981155395508	0.0	0.21875	0.0	0.0	0.0
21	19.902466	18.56426	114.65373	0.6956284	500.0	4.1203976	1.8398293	8.248422	-3.5107338	352000	-1.1175871e-08	12.382193	-0.0065052	-1.7968546	1.3564423	0.0068593016	0.072312504	127.0	482.6820697784424	0.0	0.03125	0.0	0.0	0.0
22	21.51159	17.189878	102.688126	0.4455299	500.0	4.6230974	2.1594152	10.39654	-1.3806115	368000	-1.1175871e-08	9.256017	-0.008541759	-1.1930354	1.3564423	0.0084330235	0.0855	127.0	503.4265730381012	0.0	0.03125	0.0	0.0	0.0
23	19.728565	10.494272	51.415306	0.6247474	500.0	5.3220353	2.6448357	12.7694435	-2.0515702	384000	1.1175871e-08	4.673834	-0.009145677	-1.9173186	1.3564423	0.008043509	0.081625	127.0	523.7449023723602	0.0	0.0625	0.0	0.0	0.0
24	18.205173	8.624333	39.411327	0.31171298	500.0	5.41031	2.29754	9.826214	-3.256388	400000	-7.450581e-09	4.1602764	-0.0072192056	-2.1845448	1.3564423	0.005637017	0.058375	127.0	544.6624000072479	0.0	0.03125	0.0	0.0	0.0
25	12.33774	9.984428	33.738487	0.3610571	500.0	3.893666	2.0262542	9.053542	-1.1482319	416000	3.7252903e-09	3.3254905	-0.008597881	-1.4668161	1.3564423	0.0069334945	0.07275	127.0	563.0882561206818	0.0	0.0625	0.0	0.0	0.0
26	11.209322	9.90049	34.735207	0.3345708	500.0	3.1360214	2.1456068	8.978558	-2.2287521	432000	-1.1175871e-08	2.3006139	-0.0070874826	-0.73499835	1.3564423	0.006015593	0.051875003	127.0	582.93732380867	0.0	0.0625	0.0	0.0	0.0
27	8.891945	8.984332	30.195377	0.50152236	500.0	2.2204516	1.7069014	8.56777	-1.8197304	448000	-3.7252903e-09	1.500602	-0.0073314123	-0.31442243	1.3564423	0.007491814	0.0558125	127.0	605.8824651241302	0.0	0.0	0.0	0.0	0.0
28	6.3809366	7.018525	24.098883	0.7783517	500.0	1.7370105	1.7571752	9.16857	-1.7113918	464000	9.313226e-09	1.2093356	-0.007369708	-0.25657701	1.3564423	0.0072843265	0.063	127.0	623.6058592796326	0.0	0.0625	0.0	0.0	0.0
29	6.798277	8.667964	40.992138	0.49818075	500.0	1.6039991	1.7574608	7.9508524	-1.6610081	480000	7.450581e-09	1.6538496	-0.007077987	-0.4035301	1.3564423	0.006327469	0.0585625	127.0	645.3769533634186	0.0	0.0625	0.0	0.0	0.0
30	15.782588	12.28198	51.677593	0.4705175	500.0	3.3298628	2.5556684	10.905533	-4.3210154	496000	1.4901161e-08	4.3062086	-0.0077381576	-0.8416134	1.3564423	0.006939465	0.065437496	127.0	666.2421035766602	0.0	0.03125	0.0	0.0	0.0
31	16.185244	12.111568	49.47725	0.49908054	500.0	4.4245768	2.9208708	11.440781	-1.2823513	512000	-5.5879354e-09	3.5722318	-0.008445419	-1.5107011	1.3564423	0.006500269	0.06725	127.0	686.9290199279785	0.0	0.0625	0.0	0.0	0.0
