Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.21252102	0.14692824	0.7167417	0.05046019	500.0	0.29369488	0.017691184	0.3663275	0.20941822	16000	8.195639e-08	0.04552237	-0.008576721	-0.04299414	1.3564423	0.006981574	0.07618751	127.0	22.391808032989502	0.0	0.0	0.0	0.0	0.0
1	0.3166502	0.27857754	1.5341355	0.060961444	500.0	0.10644875	0.043385122	0.22649205	0.009082742	32000	-1.8626451e-09	0.003954882	-0.0065288576	-0.0013892076	1.3564423	0.006859657	0.05525	127.0	43.758368492126465	0.0	0.0	0.0	0.0	0.0
2	0.48873863	0.39319527	1.91257	0.08258149	500.0	0.10104567	0.031273857	0.17660189	0.0118602365	48000	-1.8626451e-08	0.0071048895	-0.006077383	-0.0013981465	1.3564423	0.0058704624	0.0609375	127.0	65.0251886844635	0.0	0.0	0.0	0.0	0.0
3	0.653664	0.45254695	1.8901755	0.18469153	500.0	0.1216609	0.024564024	0.19215842	0.052201133	64000	2.9802322e-08	0.008000899	-0.006347776	-0.0019322697	1.3564423	0.007866741	0.066375	127.0	86.60096859931946	0.0	0.0	0.0	0.0	0.0
4	2.0807364	1.7085872	7.990766	0.5433647	500.0	0.17204261	0.032454263	0.2575693	0.073963895	80000	2.6077032e-08	0.19134627	-0.0062512085	-0.082067154	1.3564423	0.0070426976	0.0500625	127.0	106.52063155174255	0.0	0.0	0.0	0.0	0.0
5	1.9271016	1.5832942	9.197721	0.37546563	500.0	0.43181813	0.08245734	0.6801612	0.13447401	96000	-7.450581e-09	0.11509842	-0.00679224	-0.03391014	1.3564423	0.0073362887	0.0730625	127.0	128.88599109649658	0.0	0.0	0.0	0.0	0.0
6	5.6477327	3.8021994	16.358252	1.3358163	500.0	0.5748799	0.23488797	1.1548926	-0.12273899	112000	0.0	1.2260325	-0.0058951853	-0.5769021	1.3564423	0.005258084	0.059625	127.0	149.1801085472107	0.0	0.0	0.0	0.0	0.0
7	9.491567	5.8556952	19.607615	1.9033273	500.0	1.4127973	0.59226304	2.8090687	-0.062463477	128000	3.3527613e-08	2.5843406	-0.007162215	-0.9933641	1.3564423	0.0061344886	0.07287499	127.0	172.67560076713562	0.0	0.0	0.0	0.0	0.0
8	14.634288	5.5246334	27.140203	4.151751	500.0	2.581207	1.1400325	4.4666405	-0.119364925	144000	-4.4703484e-08	2.8911283	-0.008079323	-1.3368495	1.3564423	0.0068562077	0.0783125	127.0	196.25903820991516	0.0	0.0	0.0	0.0	0.0
9	18.496176	6.0720234	35.366676	7.2067723	500.0	3.9711273	1.6695787	6.2044096	-0.48657742	160000	-2.9802322e-08	2.2985258	-0.008060502	-0.52585125	1.3564423	0.0072348975	0.082625	127.0	217.5136444568634	0.0	0.0	0.0	0.0	0.0
10	18.862185	5.3269076	33.096653	8.161035	500.0	5.031976	1.7470862	7.1882243	0.031614423	176000	-3.7252903e-09	2.2764409	-0.007927587	-0.21011667	1.3564423	0.006594019	0.066062495	127.0	238.12820506095886	0.0	0.0	0.0	0.0	0.0
11	20.346838	6.2910132	38.09249	9.350587	500.0	4.961804	1.4478095	6.5212297	0.38770825	192000	-1.4901161e-08	2.665616	-0.005813303	-0.21058196	1.3564423	0.005431787	0.05575	127.0	261.1466221809387	0.0	0.0	0.0	0.0	0.0
12	21.90385	7.3651185	39.764793	11.357059	500.0	5.0838094	1.2429904	6.2621765	0.67998904	208000	0.0	3.1905584	-0.0069979983	-0.11621259	1.3564423	0.005169771	0.0525	127.0	284.56634998321533	0.0	0.0	0.0	0.0	0.0
